0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
01,,,,,,Bagerhat Zila Total,354223,350537,269,3417,1476090,740138,735952,101
01,,,,,1,Bagerhat Zila,308197,305173,168,2856,1280759,640761,639998,100
01,,,,,2,Bagerhat Zila,25979,25443,75,461,110651,57063,53588,106
01,,,,,3,Bagerhat Zila,20047,19921,26,100,84680,42314,42366,100
01,08,,,,,Bagerhat Sadar Upazila Total,64022,63807,70,145,266389,133690,132699,101
01,08,,,,1,Bagerhat Sadar Upazila,52040,51987,22,31,217316,109089,108227,101
01,08,,,,2,Bagerhat Sadar Upazila,11982,11820,48,114,49073,24601,24472,101
01,08,,,,,Bagerhat Paurashava,11982,11820,48,114,49073,24601,24472,101
01,08,01,,,,Ward No-01 Total,1200,1168,17,15,5339,2595,2744,95
01,08,01,346,,2,*Harinkhali,733,731,0,2,3174,1546,1628,95
01,08,01,432,,2,*Malo Para,294,289,0,5,1126,542,584,93
01,08,01,625,,2,*Uttar Muniganj,173,148,17,8,1039,507,532,95
01,08,02,,,,Ward No-02 Total,1200,1157,6,37,5406,2695,2711,99
01,08,02,519,,2,*Dakshin Muniganj,505,501,2,2,1994,920,1074,86
01,08,02,995,,2,*Paschim Harinkhana,383,370,0,13,1805,938,867,108
01,08,02,997,,2,*Purba Harinkhana,312,286,4,22,1607,837,770,109
01,08,03,,,,Ward No-03 Total,1988,1951,6,31,7688,3849,3839,100
01,08,03,260,,2,*Dakshin Sorui (Paschim),135,132,1,2,540,299,241,124
01,08,03,759,,2,*Paschim Dash Ani,313,307,0,6,1249,632,617,102
01,08,03,765,,2,*Paschim Sonatala,744,738,2,4,2897,1386,1511,92
01,08,03,816,,2,*Purba Dash Ani,796,774,3,19,3002,1532,1470,104
01,08,04,,,,Ward No-04 Total,1118,1110,1,7,4530,2298,2232,103
01,08,04,778,,2,*Uttar Puratan Bazar,101,99,0,2,404,207,197,105
01,08,04,823,,2,*Uttar Sorui,1017,1011,1,5,4126,2091,2035,103
01,08,05,,,,Ward No-05 Total,1053,1029,4,20,4297,2180,2117,103
01,08,05,276,,2,*Dakshin Puratan Bazar,148,148,0,0,579,270,309,87
01,08,05,551,,2,*Purba Dakshin Bazar,206,206,0,0,762,383,379,101
01,08,05,648,,2,*Uttar Amla Para,378,378,0,0,1490,695,795,87
01,08,05,692,,2,*Uttar Bazar,321,297,4,20,1466,832,634,131
01,08,06,,,,Ward No-06 Total,1005,997,6,2,3869,1853,2016,92
01,08,06,208,,2,*Dakshin Amla Para,331,331,0,0,1266,603,663,91
01,08,06,221,,2,*Dakshin Sorui,336,335,1,0,1289,626,663,94
01,08,06,251,,2,*Dakshin Bazar (Paschim),189,183,5,1,753,349,404,86
01,08,06,629,,2,*Paschim Basabari (Daspara),149,148,0,1,561,275,286,96
01,08,07,,,,Ward No-07 Total,1359,1358,0,1,5210,2647,2563,103
01,08,07,605,,2,*Uttar Nager Bazar,972,971,0,1,3589,1828,1761,104
01,08,07,740,,2,*Uttar Basabari,387,387,0,0,1621,819,802,102
01,08,08,,,,Ward No-08 Total,1737,1734,3,0,7394,3729,3665,102
01,08,08,043,,2,*Dakshin Basabari,805,804,1,0,3376,1637,1739,94
01,08,08,225,,2,*Dakshin Nager Bazar,97,97,0,0,408,196,212,92
01,08,08,562,,2,*Purba Nagerbari Basabari,199,198,1,0,789,388,401,97
01,08,08,735,,2,*Palpara Basabari,501,500,1,0,2318,1263,1055,120
01,08,08,780,,2,*Purba Basabari (Daspara),135,135,0,0,503,245,258,95
01,08,09,,,,Ward No-09 Total,1322,1316,5,1,5340,2755,2585,107
01,08,09,086,,2,*Basabari Sahapara,254,254,0,0,1012,512,500,102
01,08,09,129,,2,*Basabari Daspara,116,110,5,1,527,293,234,125
01,08,09,389,,2,*Khardwar,663,663,0,0,2667,1392,1275,109
01,08,09,720,,2,*Paschim Nager Bazar,289,289,0,0,1134,558,576,97
01,08,17,,,,Barai Para Union Total,5991,5990,1,0,25610,12961,12649,102
01,08,17,010,,1,*Ajodhya,177,177,0,0,741,372,369,101
01,08,17,016,,1,*Akhainagar,101,101,0,0,382,201,181,111
01,08,17,038,,1,*Arpara Kursail,885,885,0,0,4097,2088,2009,104
01,08,17,038,01,1,Kursail,252,252,0,0,1198,598,600,100
01,08,17,038,02,1,Par Kursail,214,214,0,0,970,471,499,94
01,08,17,038,03,1,Arpara,419,419,0,0,1929,1019,910,112
01,08,17,076,,1,*Baghdia,355,354,1,0,1412,709,703,101
01,08,17,120,,1,*Barai Para,816,816,0,0,3492,1761,1731,102
01,08,17,159,,1,*Bhairab Nadir Char,1,1,0,0,5,2,3,67
01,08,17,186,,1,*Bhatta Pratap,179,179,0,0,654,324,330,98
01,08,17,467,,1,*Katakhali,262,262,0,0,1073,530,543,98
01,08,17,505,,1,*Kartikdia,1008,1008,0,0,4216,2142,2074,103
01,08,17,588,,1,*Kodla,1054,1054,0,0,4603,2342,2261,104
01,08,17,588,01,1,Kodla,299,299,0,0,1241,621,620,100
01,08,17,588,02,1,Goalkhali,150,150,0,0,696,356,340,105
01,08,17,588,03,1,Kafurpura,310,310,0,0,1322,673,649,104
01,08,17,588,04,1,Chintirkhor,108,108,0,0,545,283,262,108
01,08,17,588,05,1,Bakpura,187,187,0,0,799,409,390,105
01,08,17,637,,1,*Laupala,365,365,0,0,1451,724,727,100
01,08,17,918,,1,*Sotal,355,355,0,0,1502,749,753,99
01,08,17,989,,1,*Ujalpur,433,433,0,0,1982,1017,965,105
01,08,17,989,01,1,Ujalpur,231,231,0,0,1056,528,528,100
01,08,17,989,02,1,Sahebar,202,202,0,0,926,489,437,112
01,08,25,,,,Bemarta Union Total,5935,5931,2,2,24595,12201,12394,98
01,08,25,027,,1,*Anardanga,33,33,0,0,128,67,61,110
01,08,25,032,,1,*Arjun Bahar,137,137,0,0,593,289,304,95
01,08,25,087,,1,*Baitpur,775,775,0,0,3286,1612,1674,96
01,08,25,087,01,1,Baitpur,529,529,0,0,2281,1119,1162,96
01,08,25,087,02,1,Bhadrapara,246,246,0,0,1005,493,512,96
01,08,25,131,,1,*Bemarta,204,204,0,0,803,400,403,99
01,08,25,142,,1,*Ber Gajalia,105,105,0,0,447,231,216,107
01,08,25,153,,1,*Bhadra Para,23,23,0,0,96,49,47,104
01,08,25,192,,1,*Bijoypur,206,206,0,0,881,430,451,95
01,08,25,214,,1,*Char Bijoypur,15,15,0,0,70,37,33,112
01,08,25,219,,1,*Chargram,409,409,0,0,1650,802,848,95
01,08,25,230,,1,*Chhota Bishnupur,360,359,0,1,1472,703,769,91
01,08,25,241,,1,*Chhota Raghunathpur,219,219,0,0,998,503,495,102
01,08,25,252,,1,*Chaitali,425,425,0,0,1704,824,880,94
01,08,25,307,,1,*Dattakati,188,188,0,0,731,371,360,103
01,08,25,324,,1,*Dhanaganti,58,58,0,0,258,123,135,91
01,08,25,335,,1,*Fatehpur,680,678,1,1,2884,1450,1434,101
01,08,25,412,,1,*Joygachhi,196,196,0,0,837,435,402,108
01,08,25,428,,1,*Kalabari,142,142,0,0,552,261,291,90
01,08,25,478,,1,*Kapali Bandar,162,162,0,0,642,313,329,95
01,08,25,533,,1,*Khalkulia,149,149,0,0,573,304,269,113
01,08,25,544,,1,*Khara Sambal,319,319,0,0,1361,699,662,106
01,08,25,604,,1,*Kondala,526,526,0,0,2082,1061,1021,104
01,08,25,604,01,1,Kondala,446,446,0,0,1789,912,877,104
01,08,25,604,02,1,Khashbari,80,80,0,0,293,149,144,103
01,08,25,687,,1,*Mauzardanga,17,17,0,0,80,38,42,90
01,08,25,808,,1,*Rajapur,108,108,0,0,512,257,255,101
01,08,25,819,,1,*Ramchandrapur,80,80,0,0,355,169,186,91
01,08,25,824,,1,*Ramnagar Satgachhia,39,39,0,0,163,85,78,109
01,08,25,940,,1,*Sultanpur,360,359,1,0,1437,688,749,92
01,08,34,,,,Bishnupur Union Total,5020,5018,1,1,21593,10812,10781,100
01,08,34,197,,1,*Bishnupur,482,482,0,0,1982,1012,970,104
01,08,34,247,,1,*Chirulia Dashminsa,141,140,1,0,607,292,315,93
01,08,34,362,,1,*Gobindapur Dashminsa,72,72,0,0,282,141,141,100
01,08,34,439,,1,*Halisahar,111,111,0,0,460,233,227,103
01,08,34,483,,1,*Koramara,730,730,0,0,3164,1569,1595,98
01,08,34,483,01,1,Par Kuramara,201,201,0,0,895,430,465,92
01,08,34,483,02,1,Koramara,361,361,0,0,1550,769,781,98
01,08,34,483,03,1,Champar Khul,30,30,0,0,116,58,58,100
01,08,34,483,04,1,Sahaspur,138,138,0,0,603,312,291,107
01,08,34,527,,1,*Khalishpur,229,228,0,1,930,496,434,114
01,08,34,577,,1,*Kismat Halisahar,279,279,0,0,1309,654,655,100
01,08,34,577,01,1,Kismat Halisahar,112,112,0,0,565,291,274,106
01,08,34,577,02,1,Kalipur,167,167,0,0,744,363,381,95
01,08,34,593,,1,*Koekhan,697,697,0,0,3209,1616,1593,101
01,08,34,593,01,1,Koekhan,152,152,0,0,618,306,312,98
01,08,34,593,02,1,Basurghat,483,483,0,0,2320,1171,1149,102
01,08,34,593,03,1,Sajukhali,62,62,0,0,271,139,132,105
01,08,34,621,,1,*Kulia Dair,913,913,0,0,3693,1810,1883,96
01,08,34,621,01,1,Kulia Dair,336,336,0,0,1320,645,675,96
01,08,34,621,02,1,Kulia Bishnupur,191,191,0,0,808,377,431,87
01,08,34,621,03,1,Dingsi Para,123,123,0,0,476,247,229,108
01,08,34,621,04,1,Kulia Karamara,263,263,0,0,1089,541,548,99
01,08,34,659,,1,*Mandra,243,243,0,0,1042,525,517,102
