0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
01,,,,,,Bagerhat Zila Total,350537,3.9,12.0,21.6,26.1,18.2,9.6,4.5,,4.0,4.1
01,,,,,1,Bagerhat Zila,305173,3.8,12.1,21.5,26.1,18.4,9.7,4.5,,3.9,4.1
01,,,,,2,Bagerhat Zila,25443,4.9,12.2,23.3,26.3,16.2,8.3,4.2,,4.7,4.1
01,,,,,3,Bagerhat Zila,19921,4.5,11.3,21.4,25.9,17.9,9.7,4.5,,4.8,4.2
01,08,,,,,Bagerhat Sadar Upazila Total,63807,4.0,10.9,22.1,28.2,17.9,9.0,4.1,,3.7,4.1
01,08,,,,1,Bagerhat Sadar Upazila,51987,3.5,10.5,21.7,28.4,18.5,9.5,4.2,,3.6,4.2
01,08,,,,2,Bagerhat Sadar Upazila,11820,5.9,12.8,24.0,27.4,15.3,6.9,3.5,,4.2,3.9
01,08,,,,,Bagerhat Paurashava,11820,5.9,12.8,24.0,27.4,15.3,6.9,3.5,,4.2,3.9
01,08,01,,,,Ward No-01 Total,1168,4.7,13.8,21.2,26.1,15.9,7.8,5.0,,5.5,4.1
01,08,01,346,,2,*Harinkhali,731,4.2,11.8,20.1,24.5,18.1,8.5,6.4,,6.4,4.3
01,08,01,432,,2,*Malo Para,289,4.8,16.3,23.5,29.8,12.8,5.5,2.4,,4.8,3.8
01,08,01,625,,2,*Uttar Muniganj,148,6.8,18.9,22.3,27.0,11.5,8.8,2.7,,2.0,3.7
01,08,02,,,,Ward No-02 Total,1157,4.8,11.6,22.2,25.6,17.1,7.3,4.8,,6.7,4.2
01,08,02,519,,2,*Dakshin Muniganj,501,9.0,14.2,22.0,27.3,16.2,5.0,3.4,,3.0,3.7
01,08,02,995,,2,*Paschim Harinkhana,370,1.4,9.5,21.6,21.9,18.4,9.7,7.6,,10.0,4.6
01,08,02,997,,2,*Purba Harinkhana,286,2.1,9.8,23.4,27.3,17.1,8.0,3.5,,8.7,4.5
01,08,03,,,,Ward No-03 Total,1951,6.5,14.2,26.9,27.2,13.3,6.4,2.8,,2.7,3.7
01,08,03,260,,2,*Dakshin Sorui (Paschim),132,10.6,12.9,34.8,18.9,12.9,4.5,3.8,,1.5,3.5
01,08,03,759,,2,*Paschim Dash Ani,307,4.9,13.0,20.2,31.3,14.7,9.8,2.9,,3.3,4.0
01,08,03,765,,2,*Paschim Sonatala,738,9.1,15.3,23.6,25.9,13.8,6.8,2.4,,3.1,3.7
01,08,03,816,,2,*Purba Dash Ani,774,4.0,13.8,31.3,28.3,12.4,5.0,3.0,,2.2,3.7
01,08,04,,,,Ward No-04 Total,1110,6.2,13.1,22.2,27.6,17.1,7.0,2.9,,4.0,3.9
01,08,04,778,,2,*Uttar Puratan Bazar,99,9.1,11.1,20.2,32.3,13.1,4.0,3.0,,7.1,4.0
01,08,04,823,,2,*Uttar Sorui,1011,5.9,13.3,22.4,27.1,17.5,7.3,2.9,,3.7,3.9
01,08,05,,,,Ward No-05 Total,1029,7.6,11.7,21.4,31.7,13.9,6.1,3.4,,4.3,3.9
01,08,05,276,,2,*Dakshin Puratan Bazar,148,4.1,12.8,18.2,37.8,15.5,6.8,2.0,,2.7,3.9
01,08,05,551,,2,*Purba Dakshin Bazar,206,12.6,13.6,22.3,23.3,13.6,5.3,5.8,,3.4,3.7
01,08,05,648,,2,*Uttar Amla Para,378,6.9,11.6,20.6,32.3,14.3,6.6,3.7,,4.0,3.9
01,08,05,692,,2,*Uttar Bazar,297,6.7,9.8,23.2,33.7,12.8,5.7,2.0,,6.1,4.0
01,08,06,,,,Ward No-06 Total,997,6.8,14.1,24.2,29.4,13.9,6.1,2.8,,2.6,3.8
01,08,06,208,,2,*Dakshin Amla Para,331,7.9,11.2,22.7,35.3,10.6,5.4,3.6,,3.3,3.8
01,08,06,221,,2,*Dakshin Sorui,335,5.1,14.0,26.0,29.0,16.4,5.4,2.4,,1.8,3.7
01,08,06,251,,2,*Dakshin Bazar (Paschim),183,10.9,19.7,19.7,21.3,15.3,6.0,3.8,,3.3,3.7
01,08,06,629,,2,*Paschim Basabari (Daspara),148,3.4,14.2,29.1,27.0,14.2,9.5,0.7,,2.0,3.8
01,08,07,,,,Ward No-07 Total,1358,7.5,13.0,25.3,26.7,13.7,6.7,3.1,,4.0,3.8
01,08,07,605,,2,*Uttar Nager Bazar,971,8.3,14.8,26.3,25.5,12.6,6.1,3.1,,3.3,3.7
01,08,07,740,,2,*Uttar Basabari,387,5.4,8.3,23.0,29.7,16.5,8.3,3.1,,5.7,4.2
01,08,08,,,,Ward No-08 Total,1734,4.3,11.5,24.0,25.4,18.1,8.2,3.8,,4.7,4.1
01,08,08,043,,2,*Dakshin Basabari,804,4.9,10.9,22.3,26.4,18.0,8.0,4.4,,5.2,4.1
01,08,08,225,,2,*Dakshin Nager Bazar,97,3.1,6.2,26.8,27.8,17.5,12.4,3.1,,3.1,4.2
01,08,08,562,,2,*Purba Nagerbari Basabari,198,3.5,10.6,33.8,23.7,15.2,6.6,2.5,,4.0,3.9
01,08,08,735,,2,*Palpara Basabari,500,3.2,12.6,22.2,24.0,20.6,8.8,3.8,,4.8,4.2
01,08,08,780,,2,*Purba Basabari (Daspara),135,7.4,16.3,24.4,25.2,14.1,6.7,3.0,,3.0,3.7
01,08,09,,,,Ward No-09 Total,1316,5.1,11.8,25.6,28.6,14.7,6.3,3.6,,4.3,4.0
01,08,09,086,,2,*Basabari Sahapara,254,3.1,12.6,24.8,31.5,14.6,5.9,3.5,,3.9,4.0
01,08,09,129,,2,*Basabari Daspara,110,3.6,13.6,24.5,30.0,16.4,4.5,2.7,,4.5,3.9
01,08,09,389,,2,*Khardwar,663,5.6,11.2,25.8,26.8,15.2,6.8,4.1,,4.5,4.0
01,08,09,720,,2,*Paschim Nager Bazar,289,6.2,11.8,26.3,29.8,12.8,6.2,2.8,,4.2,3.9
01,08,17,,,,Barai Para Union Total,5990,2.8,9.7,20.5,27.9,19.2,11.5,4.3,,4.0,4.3
01,08,17,010,,1,*Ajodhya,177,5.6,10.2,18.1,23.2,25.4,10.7,2.3,,4.5,4.2
01,08,17,016,,1,*Akhainagar,101,4.0,8.9,34.7,24.8,16.8,7.9,2.0,,1.0,3.8
01,08,17,038,,1,*Arpara Kursail,885,1.7,7.9,17.1,24.1,21.7,15.3,6.3,,6.0,4.6
01,08,17,038,01,1,Kursail,252,2.0,4.8,18.7,24.6,18.7,17.5,6.7,,7.1,4.8
01,08,17,038,02,1,Par Kursail,214,1.9,9.3,15.4,24.8,23.4,15.9,5.1,,4.2,4.5
01,08,17,038,03,1,Arpara,419,1.4,9.1,16.9,23.4,22.7,13.6,6.7,,6.2,4.6
01,08,17,076,,1,*Baghdia,354,4.2,11.9,23.4,29.4,15.3,11.3,2.8,,1.7,3.9
01,08,17,120,,1,*Barai Para,816,2.5,8.8,20.3,30.5,20.0,11.0,3.2,,3.7,4.3
01,08,17,159,,1,*Bhairab Nadir Char,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,5.0
01,08,17,186,,1,*Bhatta Pratap,179,3.4,12.3,30.2,31.3,15.6,7.3,0.0,,0.0,3.7
01,08,17,467,,1,*Katakhali,262,1.5,7.6,23.7,35.1,19.5,6.9,3.8,,1.9,4.1
01,08,17,505,,1,*Kartikdia,1008,1.8,11.2,22.8,29.4,16.9,10.8,3.3,,3.9,4.2
01,08,17,588,,1,*Kodla,1054,3.7,8.6,18.7,26.1,20.4,12.6,5.4,,4.5,4.4
01,08,17,588,01,1,Kodla,299,5.4,11.4,23.1,23.1,17.1,12.0,3.7,,4.3,4.2
01,08,17,588,02,1,Goalkhali,150,0.7,6.0,22.0,25.3,21.3,8.0,9.3,,7.3,4.6
01,08,17,588,03,1,Kafurpura,310,4.5,7.7,18.1,27.4,22.6,12.9,4.5,,2.3,4.3
01,08,17,588,04,1,Chintirkhor,108,2.8,6.5,6.5,23.1,20.4,20.4,11.1,,9.3,5.0
01,08,17,588,05,1,Bakpura,187,2.7,9.1,17.1,31.0,21.4,12.3,3.2,,3.2,4.3
01,08,17,637,,1,*Laupala,365,3.8,12.6,24.7,28.5,14.5,9.3,3.3,,3.3,4.0
01,08,17,918,,1,*Sotal,355,2.8,11.5,16.1,29.3,23.4,9.3,3.9,,3.7,4.2
01,08,17,989,,1,*Ujalpur,433,3.0,8.5,16.9,26.3,18.2,12.7,8.1,,6.2,4.6
01,08,17,989,01,1,Ujalpur,231,0.4,7.4,20.3,29.9,16.9,11.7,9.1,,4.3,4.6
01,08,17,989,02,1,Sahebar,202,5.9,9.9,12.9,22.3,19.8,13.9,6.9,,8.4,4.6
01,08,25,,,,Bemarta Union Total,5931,3.2,10.4,21.5,29.2,19.1,9.4,3.8,,3.4,4.1
01,08,25,027,,1,*Anardanga,33,0.0,24.2,15.2,27.3,21.2,9.1,0.0,,3.0,3.9
01,08,25,032,,1,*Arjun Bahar,137,1.5,10.9,18.2,27.7,17.5,16.1,4.4,,3.6,4.3
01,08,25,087,,1,*Baitpur,775,2.7,9.0,21.7,28.5,19.7,10.2,4.1,,4.0,4.2
01,08,25,087,01,1,Baitpur,529,2.1,8.5,19.8,29.5,21.2,11.2,3.6,,4.2,4.3
01,08,25,087,02,1,Bhadrapara,246,4.1,10.2,25.6,26.4,16.7,8.1,5.3,,3.7,4.1
01,08,25,131,,1,*Bemarta,204,2.5,15.2,23.0,30.4,14.7,6.9,5.4,,2.0,3.9
01,08,25,142,,1,*Ber Gajalia,105,2.9,7.6,24.8,25.7,21.9,7.6,4.8,,4.8,4.3
01,08,25,153,,1,*Bhadra Para,23,4.3,0.0,30.4,30.4,17.4,13.0,0.0,,4.3,4.2
01,08,25,192,,1,*Bijoypur,206,1.9,11.2,17.0,28.2,25.7,8.3,3.4,,4.4,4.3
01,08,25,214,,1,*Char Bijoypur,15,6.7,6.7,13.3,20.0,33.3,6.7,0.0,,13.3,4.7
01,08,25,219,,1,*Chargram,409,5.4,10.8,22.0,28.4,15.9,10.3,4.4,,2.9,4.0
01,08,25,230,,1,*Chhota Bishnupur,359,4.2,10.6,22.0,30.4,15.9,9.5,4.7,,2.8,4.1
01,08,25,241,,1,*Chhota Raghunathpur,219,0.9,8.2,16.0,26.9,28.8,10.0,1.8,,7.3,4.6
01,08,25,252,,1,*Chaitali,425,4.0,12.5,22.6,28.0,18.8,7.3,4.2,,2.6,4.0
01,08,25,307,,1,*Dattakati,188,6.4,12.2,23.4,28.2,14.4,9.6,3.7,,2.1,3.9
01,08,25,324,,1,*Dhanaganti,58,0.0,12.1,13.8,25.9,24.1,19.0,0.0,,5.2,4.4
01,08,25,335,,1,*Fatehpur,678,2.4,7.4,21.2,32.7,18.6,10.6,3.8,,3.2,4.2
01,08,25,412,,1,*Joygachhi,196,1.5,9.7,21.4,28.6,22.4,7.1,5.1,,4.1,4.3
01,08,25,428,,1,*Kalabari,142,5.6,13.4,21.1,27.5,19.0,6.3,6.3,,0.7,3.9
01,08,25,478,,1,*Kapali Bandar,162,4.9,14.2,24.1,23.5,16.7,10.5,1.9,,4.3,4.0
01,08,25,533,,1,*Khalkulia,149,0.7,11.4,23.5,40.9,14.8,8.1,0.7,,0.0,3.8
01,08,25,544,,1,*Khara Sambal,319,1.9,10.3,21.0,24.8,23.2,11.3,4.1,,3.4,4.3
01,08,25,604,,1,*Kondala,526,2.9,12.0,24.3,30.4,16.5,8.0,4.0,,1.9,4.0
01,08,25,604,01,1,Kondala,446,2.2,11.4,23.5,30.9,17.3,9.0,4.0,,1.6,4.0
01,08,25,604,02,1,Khashbari,80,6.3,15.0,28.8,27.5,12.5,2.5,3.8,,3.8,3.7
01,08,25,687,,1,*Mauzardanga,17,0.0,0.0,11.8,64.7,17.6,0.0,0.0,,5.9,4.7
01,08,25,808,,1,*Rajapur,108,3.7,5.6,13.0,32.4,20.4,9.3,6.5,,9.3,4.7
01,08,25,819,,1,*Ramchandrapur,80,1.3,6.3,25.0,26.3,18.8,11.3,2.5,,8.8,4.4
01,08,25,824,,1,*Ramnagar Satgachhia,39,2.6,5.1,25.6,28.2,23.1,12.8,0.0,,2.6,4.2
01,08,25,940,,1,*Sultanpur,359,5.8,11.7,21.2,27.9,19.8,7.5,3.1,,3.1,4.0
01,08,34,,,,Bishnupur Union Total,5018,3.8,9.6,19.9,26.8,19.3,10.9,5.5,,4.2,4.3
01,08,34,197,,1,*Bishnupur,482,4.8,12.0,19.7,28.4,19.3,8.5,3.9,,3.3,4.1
01,08,34,247,,1,*Chirulia Dashminsa,140,4.3,9.3,19.3,27.1,20.7,11.4,6.4,,1.4,4.2
01,08,34,362,,1,*Gobindapur Dashminsa,72,5.6,8.3,26.4,27.8,19.4,5.6,6.9,,0.0,3.9
01,08,34,439,,1,*Halisahar,111,2.7,13.5,26.1,17.1,19.8,13.5,3.6,,3.6,4.1
01,08,34,483,,1,*Koramara,730,2.7,8.1,23.3,25.3,18.5,11.6,5.6,,4.8,4.3
01,08,34,483,01,1,Par Kuramara,201,2.0,9.5,18.9,24.9,19.9,14.4,5.5,,5.0,4.5
01,08,34,483,02,1,Koramara,361,2.8,8.3,26.0,25.5,15.2,10.8,5.8,,5.5,4.3
01,08,34,483,03,1,Champar Khul,30,3.3,13.3,23.3,23.3,26.7,10.0,0.0,,0.0,3.9
01,08,34,483,04,1,Sahaspur,138,3.6,4.3,22.5,26.1,23.2,10.1,6.5,,3.6,4.4
01,08,34,527,,1,*Khalishpur,228,5.3,9.6,20.2,30.3,18.4,10.5,3.5,,2.2,4.1
01,08,34,577,,1,*Kismat Halisahar,279,2.5,5.4,14.3,27.6,22.6,13.3,9.0,,5.4,4.7
01,08,34,577,01,1,Kismat Halisahar,112,3.6,5.4,8.9,22.3,20.5,19.6,12.5,,7.1,5.0
01,08,34,577,02,1,Kalipur,167,1.8,5.4,18.0,31.1,24.0,9.0,6.6,,4.2,4.5
