0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
01,,,,,,Bagerhat Zila Total,5433,5143,42786,41312,74055,71612,17449,15246,55136,57199,12771,7078
01,,,,,1,Bagerhat Zila,4562,4350,37753,36376,64610,62771,15438,13534,47966,49687,11170,6043
01,,,,,2,Bagerhat Zila,581,541,2466,2470,4953,4673,962,868,3998,4230,852,621
01,,,,,3,Bagerhat Zila,290,252,2567,2466,4492,4168,1049,844,3172,3282,749,414
01,08,,,,,Bagerhat Sadar Upazila Total,885,842,6781,6593,12344,11811,2583,2257,9428,9793,2155,1039
01,08,,,,1,Bagerhat Sadar Upazila,650,616,5715,5502,10269,9768,2179,1868,7853,8165,1787,733
01,08,,,,2,Bagerhat Sadar Upazila,235,226,1066,1091,2075,2043,404,389,1575,1628,368,306
01,08,,,,,Bagerhat Paurashava,235,226,1066,1091,2075,2043,404,389,1575,1628,368,306
01,08,01,,,,Ward No-01 Total,28,16,119,110,214,204,26,27,170,157,28,24
01,08,01,346,,2,*Harinkhali,15,10,79,72,138,152,13,14,103,101,23,11
01,08,01,432,,2,*Malo Para,9,3,27,31,47,31,4,4,43,34,4,5
01,08,01,625,,2,*Uttar Muniganj,4,3,13,7,29,21,9,9,24,22,1,8
01,08,02,,,,Ward No-02 Total,24,25,99,99,193,195,53,38,138,206,32,40
01,08,02,519,,2,*Dakshin Muniganj,9,9,29,29,81,85,13,13,48,94,17,14
01,08,02,995,,2,*Paschim Harinkhana,6,2,37,42,57,69,31,16,51,65,6,14
01,08,02,997,,2,*Purba Harinkhana,9,14,33,28,55,41,9,9,39,47,9,12
01,08,03,,,,Ward No-03 Total,38,45,151,171,347,368,37,59,283,257,32,33
01,08,03,260,,2,*Dakshin Sorui (Paschim),0,0,7,17,22,8,5,8,21,14,0,0
01,08,03,759,,2,*Paschim Dash Ani,5,13,30,26,62,51,7,5,51,37,11,5
01,08,03,765,,2,*Paschim Sonatala,23,18,49,64,141,186,18,35,96,120,11,21
01,08,03,816,,2,*Purba Dash Ani,10,14,65,64,122,123,7,11,115,86,10,7
01,08,04,,,,Ward No-04 Total,37,28,80,99,254,160,43,38,195,162,29,30
01,08,04,778,,2,*Uttar Puratan Bazar,4,0,11,10,12,11,8,5,16,7,1,4
01,08,04,823,,2,*Uttar Sorui,33,28,69,89,242,149,35,33,179,155,28,26
01,08,05,,,,Ward No-05 Total,22,17,85,79,166,195,26,18,119,154,24,21
01,08,05,276,,2,*Dakshin Puratan Bazar,3,5,14,11,21,32,6,2,17,27,1,2
01,08,05,551,,2,*Purba Dakshin Bazar,4,2,19,16,29,25,4,4,18,15,10,7
01,08,05,648,,2,*Uttar Amla Para,10,6,35,28,57,82,12,7,44,65,8,9
01,08,05,692,,2,*Uttar Bazar,5,4,17,24,59,56,4,5,40,47,5,3
01,08,06,,,,Ward No-06 Total,27,21,77,72,129,153,31,44,144,108,40,45
01,08,06,208,,2,*Dakshin Amla Para,17,8,17,21,39,60,5,7,48,44,7,9
01,08,06,221,,2,*Dakshin Sorui,3,9,31,31,47,48,11,24,40,32,26,25
01,08,06,251,,2,*Dakshin Bazar (Paschim),1,2,16,10,20,25,4,4,34,19,4,6
01,08,06,629,,2,*Paschim Basabari (Daspara),6,2,13,10,23,20,11,9,22,13,3,5
01,08,07,,,,Ward No-07 Total,31,28,119,118,231,244,49,39,150,152,70,37
01,08,07,605,,2,*Uttar Nager Bazar,20,15,88,85,147,153,35,32,106,98,50,28
01,08,07,740,,2,*Uttar Basabari,11,13,31,33,84,91,14,7,44,54,20,9
01,08,08,,,,Ward No-08 Total,11,21,201,216,291,304,92,86,201,247,75,53
01,08,08,043,,2,*Dakshin Basabari,3,10,109,101,128,146,48,46,97,123,31,24
01,08,08,225,,2,*Dakshin Nager Bazar,0,1,10,18,26,17,9,3,10,17,5,6
01,08,08,562,,2,*Purba Nagerbari Basabari,1,1,23,20,31,31,6,7,19,22,7,9
01,08,08,735,,2,*Palpara Basabari,3,6,56,69,89,79,27,29,55,71,28,14
01,08,08,780,,2,*Purba Basabari (Daspara),4,3,3,8,17,31,2,1,20,14,4,0
01,08,09,,,,Ward No-09 Total,17,25,135,127,250,220,47,40,175,185,38,23
01,08,09,086,,2,*Basabari Sahapara,10,9,26,21,45,39,8,7,23,36,4,4
01,08,09,129,,2,*Basabari Daspara,0,0,8,12,14,19,8,7,17,16,2,2
01,08,09,389,,2,*Khardwar,4,13,72,56,139,111,19,16,97,93,27,14
01,08,09,720,,2,*Paschim Nager Bazar,3,3,29,38,52,51,12,10,38,40,5,3
01,08,17,,,,Barai Para Union Total,76,77,731,689,1258,1225,336,255,987,1030,244,108
01,08,17,010,,1,*Ajodhya,0,1,30,20,29,27,14,9,29,41,5,5
01,08,17,016,,1,*Akhainagar,0,0,10,5,11,7,7,6,19,11,1,0
01,08,17,038,,1,*Arpara Kursail,25,22,94,85,229,229,44,27,170,175,51,22
01,08,17,038,01,1,Kursail,6,9,20,19,64,67,14,6,44,54,11,6
01,08,17,038,02,1,Par Kursail,2,1,34,29,51,60,12,9,35,36,19,8
01,08,17,038,03,1,Arpara,17,12,40,37,114,102,18,12,91,85,21,8
01,08,17,076,,1,*Baghdia,22,17,25,23,60,69,7,5,61,67,6,2
01,08,17,120,,1,*Barai Para,3,4,103,116,174,162,66,48,118,149,22,8
01,08,17,159,,1,*Bhairab Nadir Char,0,0,0,1,1,0,0,0,0,0,0,0
01,08,17,186,,1,*Bhatta Pratap,0,5,20,23,30,17,9,12,27,23,10,4
01,08,17,467,,1,*Katakhali,9,1,29,34,64,50,7,3,52,45,1,6
01,08,17,505,,1,*Kartikdia,8,7,121,104,186,180,39,49,150,161,43,13
01,08,17,588,,1,*Kodla,5,5,141,114,223,215,58,40,165,160,56,21
01,08,17,588,01,1,Kodla,1,2,35,22,48,46,13,10,37,40,6,4
01,08,17,588,02,1,Goalkhali,1,0,23,19,36,36,3,5,29,25,10,1
01,08,17,588,03,1,Kafurpura,0,2,49,48,71,76,20,12,48,49,22,6
01,08,17,588,04,1,Chintirkhor,3,0,15,7,23,29,9,7,22,17,12,7
01,08,17,588,05,1,Bakpura,0,1,19,18,45,28,13,6,29,29,6,3
01,08,17,637,,1,*Laupala,2,1,40,48,66,81,27,14,45,39,17,7
01,08,17,918,,1,*Sotal,2,11,45,34,64,65,29,27,62,71,9,9
01,08,17,989,,1,*Ujalpur,0,3,73,82,121,123,29,15,89,88,23,11
01,08,17,989,01,1,Ujalpur,0,3,32,45,60,58,14,9,40,46,6,8
01,08,17,989,02,1,Sahebar,0,0,41,37,61,65,15,6,49,42,17,3
01,08,25,,,,Bemarta Union Total,95,89,591,594,1156,1121,190,163,857,911,191,88
01,08,25,027,,1,*Anardanga,0,1,2,4,5,3,1,1,3,2,3,0
01,08,25,032,,1,*Arjun Bahar,1,2,10,15,22,36,5,3,21,24,10,4
01,08,25,087,,1,*Baitpur,9,9,72,80,154,141,23,19,120,134,23,7
01,08,25,087,01,1,Baitpur,2,6,54,60,110,105,20,15,85,102,14,4
01,08,25,087,02,1,Bhadrapara,7,3,18,20,44,36,3,4,35,32,9,3
01,08,25,131,,1,*Bemarta,5,7,13,18,42,26,13,8,26,29,5,5
01,08,25,142,,1,*Ber Gajalia,2,1,18,20,24,14,3,2,15,11,0,1
01,08,25,153,,1,*Bhadra Para,2,2,0,1,5,1,1,0,5,3,1,0
01,08,25,192,,1,*Bijoypur,0,6,27,25,42,38,15,15,30,39,15,9
01,08,25,214,,1,*Char Bijoypur,1,0,3,3,1,6,2,0,2,3,2,1
01,08,25,219,,1,*Chargram,4,4,44,36,97,73,6,5,52,66,13,3
01,08,25,230,,1,*Chhota Bishnupur,3,3,42,37,69,81,11,11,50,59,15,4
01,08,25,241,,1,*Chhota Raghunathpur,1,0,25,26,42,41,6,6,38,40,7,4
01,08,25,252,,1,*Chaitali,19,12,34,38,81,72,13,9,71,65,11,5
01,08,25,307,,1,*Dattakati,5,6,11,18,35,36,3,6,23,16,2,1
01,08,25,324,,1,*Dhanaganti,1,0,13,11,6,11,5,2,4,10,4,1
01,08,25,335,,1,*Fatehpur,13,12,65,74,141,138,13,8,116,93,18,5
