0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
01,,,,,,Bagerhat Zila Total,102723,95840,6883,65585,2329,3420,567,26835,3987
01,,,,,1,Bagerhat Zila,91110,85702,5408,62579,2227,2984,508,20139,2673
01,,,,,2,Bagerhat Zila,6707,5612,1095,716,49,258,36,4638,1010
01,,,,,3,Bagerhat Zila,4906,4526,380,2290,53,178,23,2058,304
01,08,,,,,Bagerhat Sadar Upazila Total,16184,14749,1435,9338,337,722,130,4689,968
01,08,,,,1,Bagerhat Sadar Upazila,13943,13074,869,9208,315,588,102,3278,452
01,08,,,,2,Bagerhat Sadar Upazila,2241,1675,566,130,22,134,28,1411,516
01,08,,,,,Bagerhat Paurashava,2241,1675,566,130,22,134,28,1411,516
01,08,01,,,,Ward No-01 Total,220,183,37,41,0,19,7,123,30
01,08,01,346,,2,*Harinkhali,147,119,28,26,0,19,7,74,21
01,08,01,432,,2,*Malo Para,40,36,4,15,0,0,0,21,4
01,08,01,625,,2,*Uttar Muniganj,33,28,5,0,0,0,0,28,5
01,08,02,,,,Ward No-02 Total,222,173,49,29,2,7,1,137,46
01,08,02,519,,2,*Dakshin Muniganj,120,85,35,25,1,7,1,53,33
01,08,02,995,,2,*Paschim Harinkhana,51,44,7,4,1,0,0,40,6
01,08,02,997,,2,*Purba Harinkhana,51,44,7,0,0,0,0,44,7
01,08,03,,,,Ward No-03 Total,236,178,58,31,13,18,3,129,42
01,08,03,260,,2,*Dakshin Sorui (Paschim),21,18,3,0,0,0,0,18,3
01,08,03,759,,2,*Paschim Dash Ani,47,36,11,0,0,3,1,33,10
01,08,03,765,,2,*Paschim Sonatala,67,53,14,3,0,3,0,47,14
01,08,03,816,,2,*Purba Dash Ani,101,71,30,28,13,12,2,31,15
01,08,04,,,,Ward No-04 Total,290,207,83,7,1,5,0,195,82
01,08,04,778,,2,*Uttar Puratan Bazar,13,8,5,0,1,3,0,5,4
01,08,04,823,,2,*Uttar Sorui,277,199,78,7,0,2,0,190,78
01,08,05,,,,Ward No-05 Total,126,91,35,7,0,3,0,81,35
01,08,05,276,,2,*Dakshin Puratan Bazar,15,15,0,5,0,3,0,7,0
01,08,05,551,,2,*Purba Dakshin Bazar,34,22,12,1,0,0,0,21,12
01,08,05,648,,2,*Uttar Amla Para,43,32,11,1,0,0,0,31,11
01,08,05,692,,2,*Uttar Bazar,34,22,12,0,0,0,0,22,12
01,08,06,,,,Ward No-06 Total,264,168,96,6,4,66,10,96,82
01,08,06,208,,2,*Dakshin Amla Para,28,22,6,5,3,7,2,10,1
01,08,06,221,,2,*Dakshin Sorui,114,92,22,0,1,59,8,33,13
01,08,06,251,,2,*Dakshin Bazar (Paschim),96,35,61,0,0,0,0,35,61
01,08,06,629,,2,*Paschim Basabari (Daspara),26,19,7,1,0,0,0,18,7
01,08,07,,,,Ward No-07 Total,352,246,106,5,2,10,7,231,97
01,08,07,605,,2,*Uttar Nager Bazar,231,165,66,3,2,8,7,154,57
01,08,07,740,,2,*Uttar Basabari,121,81,40,2,0,2,0,77,40
01,08,08,,,,Ward No-08 Total,440,354,86,4,0,6,0,344,86
01,08,08,043,,2,*Dakshin Basabari,224,177,47,0,0,1,0,176,47
01,08,08,225,,2,*Dakshin Nager Bazar,57,43,14,0,0,2,0,41,14
01,08,08,562,,2,*Purba Nagerbari Basabari,42,30,12,2,0,0,0,28,12
01,08,08,735,,2,*Palpara Basabari,107,97,10,2,0,3,0,92,10
01,08,08,780,,2,*Purba Basabari (Daspara),10,7,3,0,0,0,0,7,3
01,08,09,,,,Ward No-09 Total,91,75,16,0,0,0,0,75,16
01,08,09,086,,2,*Basabari Sahapara,5,3,2,0,0,0,0,3,2
01,08,09,129,,2,*Basabari Daspara,1,1,0,0,0,0,0,1,0
01,08,09,389,,2,*Khardwar,85,71,14,0,0,0,0,71,14
01,08,09,720,,2,*Paschim Nager Bazar,0,0,0,0,0,0,0,0,0
01,08,17,,,,Barai Para Union Total,1973,1876,97,1557,52,140,21,179,24
01,08,17,010,,1,*Ajodhya,124,107,17,91,7,0,0,16,10
01,08,17,016,,1,*Akhainagar,16,14,2,14,2,0,0,0,0
01,08,17,038,,1,*Arpara Kursail,401,385,16,350,9,1,0,34,7
01,08,17,038,01,1,Kursail,100,98,2,97,2,1,0,0,0
01,08,17,038,02,1,Par Kursail,79,77,2,69,1,0,0,8,1
01,08,17,038,03,1,Arpara,222,210,12,184,6,0,0,26,6
01,08,17,076,,1,*Baghdia,103,103,0,65,0,0,0,38,0
01,08,17,120,,1,*Barai Para,284,281,3,208,1,64,2,9,0
01,08,17,159,,1,*Bhairab Nadir Char,0,0,0,0,0,0,0,0,0
01,08,17,186,,1,*Bhatta Pratap,30,30,0,30,0,0,0,0,0
