0,1,2,3,4,5,6,7,8,9,10,11,12
03,,,,,,Bandarban Zila Total,1106788,80102,388335,387129,1206,87
03,,,,,1,Bandarban Zila,,59352,287912,287805,107,
03,,,,,2,Bandarban Zila,,12761,61574,60499,1075,
03,,,,,3,Bandarban Zila,,7989,38849,38825,24,
03,04,,,,,Alikadam Upazila Total,218880,9422,49317,49317,0,56
03,04,,,,1,Alikadam Upazila,,6546,34792,34792,0,
03,04,,,,2,Alikadam Upazila,,45,763,763,0,
03,04,,,,3,Alikadam Upazila,,2831,13762,13762,0,
03,04,31,,,,Alikadam Union Total,186880,5391,28495,28495,0,38
03,04,31,,,1,Alikadam Union,,2515,13970,13970,0,
03,04,31,,,2,Alikadam Union,,45,763,763,0,
03,04,31,,,3,Alikadam Union,,2831,13762,13762,0,
03,04,31,142,,3,*Alikadam,,2831,13762,13762,0,
03,04,31,142,01,3,Saber Miah Para,,244,1238,1238,0,
03,04,31,142,02,3,Mangfu Mahajan Para,,101,458,458,0,
03,04,31,142,03,3,Upazila Parishad,,207,919,919,0,
03,04,31,142,04,3,Bazar Para,,120,469,469,0,
03,04,31,142,05,3,Uttar Bazar,,58,333,333,0,
03,04,31,142,06,3,Dakshin Bazar,,60,260,260,0,
03,04,31,142,07,3,Bazar Mogh Para,,104,460,460,0,
03,04,31,142,08,3,Khulla Mia Para,,79,399,399,0,
03,04,31,142,09,3,Anwar Hossain Chairman Para,,182,807,807,0,
03,04,31,142,10,3,Ali Muddin Para,,107,457,457,0,
03,04,31,142,11,3,Danu Sardar  Para,,374,2060,2060,0,
03,04,31,142,12,3,Uttar Palong Para,,212,1038,1038,0,
03,04,31,142,13,3,Purba Palong Para,,460,2270,2270,0,
03,04,31,142,14,3,Mong Soi Pru Para,,75,365,365,0,
03,04,31,142,15,3,Daya Chan Dra Para,,48,251,251,0,
03,04,31,142,16,3,Mong Golu Para,,37,172,172,0,
03,04,31,142,17,3,Mostack Para,,50,275,275,0,
03,04,31,142,18,3,Chion Para,,24,136,136,0,
03,04,31,142,19,3,Taluk Ddar Para,,9,34,34,0,
03,04,31,142,20,3,Godar Par Para,,118,587,587,0,
03,04,31,142,21,3,Amtali Para,,162,774,774,0,
03,04,31,284,,1,*Chaimfra,,659,3601,3601,0,
03,04,31,284,01,1,Ka-You Karbari Para,,17,84,84,0,
03,04,31,284,02,1,Ra-Lai-Para,,59,333,333,0,
03,04,31,284,03,1,Man Rom Para,,41,225,225,0,
03,04,31,284,04,1,Man Long Para,,5,29,29,0,
03,04,31,284,05,1,Payea  Para,,16,101,101,0,
03,04,31,284,06,1,Menlay Para,,29,159,159,0,
03,04,31,284,07,1,Prova Para,,17,93,93,0,
03,04,31,284,08,1,Paley Para,,50,254,254,0,
03,04,31,284,09,1,Langthong,,15,87,87,0,
03,04,31,284,10,1,Bu-Li  Para,,14,70,70,0,
03,04,31,284,11,1,Ching Chong Karbari Para,,29,141,141,0,
03,04,31,284,12,1,Da-Khoi Para,,13,63,63,0,
03,04,31,284,13,1,Ba Choa Para,,8,35,35,0,
03,04,31,284,14,1,Rai To Moni Karbari Para,,90,467,467,0,
03,04,31,284,15,1,Padi Para,,24,135,135,0,
03,04,31,284,16,1,Chak Lam Karbari Para,,21,81,81,0,
03,04,31,284,17,1,Do Basi Para,,16,109,109,0,
03,04,31,284,18,1,Chandra Moni Para,,14,89,89,0,
03,04,31,284,19,1,Langchong,,32,177,177,0,
03,04,31,284,20,1,Mencock,,24,130,130,0,
03,04,31,284,21,1,Menning,,30,155,155,0,
03,04,31,284,22,1,Johonmaster,,16,89,89,0,
03,04,31,284,23,1,Menku Para,,21,132,132,0,
03,04,31,284,24,1,Khido Para,,33,204,204,0,
03,04,31,284,25,1,Motaparow,,25,159,159,0,
03,04,31,700,,1,*Matamuhury Reserve Forest,,1292,7304,7304,0,
03,04,31,700,01,1,Langchong Para,,60,346,346,0,
03,04,31,700,02,1,Satirang Para,,15,89,89,0,
03,04,31,700,03,1,Adoy Para,,60,324,324,0,
03,04,31,700,04,1,Kain Prey Para,,60,327,327,0,
03,04,31,700,05,1,Consola Para,,30,173,173,0,
03,04,31,700,06,1,Bhaluk Para,,21,93,93,0,
03,04,31,700,10,1,Babu Para,,103,506,506,0,
03,04,31,700,11,1,Zira Para,,49,260,260,0,
03,04,31,700,12,1,Janaly Para,,3,35,35,0,
03,04,31,700,13,1,Aungsuy Para,,30,177,177,0,
03,04,31,700,14,1,Tili Para,,60,381,381,0,
03,04,31,700,15,1,Ringlot Para,,60,362,362,0,
03,04,31,700,16,1,Krokpata Bazar,,53,265,265,0,
03,04,31,700,17,1,Khampur Para,,60,302,302,0,
03,04,31,700,18,1,Patoy Para,,53,250,250,0,
03,04,31,700,19,1,Awoy Para,,60,313,313,0,
03,04,31,700,20,1,Menry Para,,25,155,155,0,
03,04,31,700,21,1,Mencrat Para,,30,139,139,0,
03,04,31,700,22,1,Khamtok Para,,38,237,237,0,
03,04,31,700,23,1,Langpung Para,,17,101,101,0,
03,04,31,700,24,1,Maliram Para,,60,402,402,0,
03,04,31,700,25,1,Jeoung Way Para,,60,362,362,0,
03,04,31,700,27,1,Indu Mukh Para,,55,382,382,0,
03,04,31,700,28,1,Mendir Para,,60,342,342,0,
03,04,31,700,29,1,Kengkaw Para,,59,333,333,0,
03,04,31,700,30,1,Chowkraon Para,,59,346,346,0,
03,04,31,700,31,1,Doge Chondra Para,,52,302,302,0,
03,04,31,994,,1,*Tainfa,,564,3065,3065,0,
03,04,31,994,01,1,Jabiram Karbari Para,,69,493,493,0,
03,04,31,994,02,1,Thoiwio  Goa Para,,4,15,15,0,
03,04,31,994,03,1,Yunus Member Para,,64,368,368,0,
03,04,31,994,04,1,Langri Para,,44,233,233,0,
03,04,31,994,05,1,Ba Chaiya Para,,25,171,171,0,
03,04,31,994,06,1,Chang Li Para,,22,111,111,0,
03,04,31,994,07,1,Man Rom Para,,14,68,68,0,
03,04,31,994,08,1,Jalanta Mani Para,,46,217,217,0,
03,04,31,994,09,1,Klaing Para,,20,108,108,0,
03,04,31,994,10,1,A-Sa-Ti Tripura Para,,60,287,287,0,
03,04,31,994,11,1,Bulu Para,,20,110,110,0,
03,04,31,994,12,1,Rai Nai Karbari Para,,15,67,67,0,
03,04,31,994,13,1,Uk-Ling Para,,10,40,40,0,
03,04,31,994,14,1,Diri Para,,9,34,34,0,
03,04,31,994,15,1,Kang Oya Para,,15,79,79,0,
03,04,31,994,16,1,Chilochandra Para,,21,100,100,0,
03,04,31,994,17,1,Kransing Para,,28,125,125,0,
03,04,31,994,18,1,Agula Trapura Para,,7,38,38,0,
03,04,31,994,19,1,Man Poya Para,,3,16,16,0,
03,04,31,994,20,1,Babi Para,,31,181,181,0,
03,04,31,994,21,1,Pai Toi Karbari Para,,28,145,145,0,
03,04,31,994,22,1,Ni-Ang Para,,9,59,59,0,
03,04,31,998,,2,*Cantonment,,45,763,763,0,
03,04,63,,,,Chokhyong Union Total,32000,4031,20822,20822,0,161
03,04,63,426,,1,*Chokhyong,,1299,6678,6678,0,
03,04,63,426,01,1,Thoaichhi Para,,60,240,240,0,
03,04,63,426,02,1,Mannan Member Para,,107,589,589,0,
03,04,63,426,03,1,Puterjhiri Para,,39,227,227,0,
03,04,63,426,04,1,Gurumia Para,,83,432,432,0,
03,04,63,426,05,1,Sanichary Paraa,,90,495,495,0,
