0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
03,,,,,,Bandarban Zila Total,80102,78714,239,1149,388335,203350,184985,110
03,,,,,1,Bandarban Zila,59352,58616,133,603,287912,149126,138786,107
03,,,,,2,Bandarban Zila,12761,12251,84,426,61574,34091,27483,124
03,,,,,3,Bandarban Zila,7989,7847,22,120,38849,20133,18716,108
03,04,,,,,Alikadam Upazila Total,9422,9371,35,16,49317,25650,23667,108
03,04,,,,1,Alikadam Upazila,6546,6514,20,12,34792,17850,16942,105
03,04,,,,2,Alikadam Upazila,45,35,10,0,763,703,60,1172
03,04,,,,3,Alikadam Upazila,2831,2822,5,4,13762,7097,6665,106
03,04,31,,,,Alikadam Union Total,5391,5356,27,8,28495,15035,13460,112
03,04,31,,,1,Alikadam Union,2515,2499,12,4,13970,7235,6735,107
03,04,31,,,2,Alikadam Union,45,35,10,0,763,703,60,1172
03,04,31,,,3,Alikadam Union,2831,2822,5,4,13762,7097,6665,106
03,04,31,142,,3,*Alikadam,2831,2822,5,4,13762,7097,6665,106
03,04,31,142,01,3,Saber Miah Para,244,242,0,2,1238,610,628,97
03,04,31,142,02,3,Mangfu Mahajan Para,101,100,1,0,458,235,223,105
03,04,31,142,03,3,Upazila Parishad,207,207,0,0,919,506,413,123
03,04,31,142,04,3,Bazar Para,120,120,0,0,469,242,227,107
03,04,31,142,05,3,Uttar Bazar,58,58,0,0,333,162,171,95
03,04,31,142,06,3,Dakshin Bazar,60,60,0,0,260,132,128,103
03,04,31,142,07,3,Bazar Mogh Para,104,104,0,0,460,239,221,108
03,04,31,142,08,3,Khulla Mia Para,79,79,0,0,399,199,200,100
03,04,31,142,09,3,Anwar Hossain Chairman Para,182,182,0,0,807,421,386,109
03,04,31,142,10,3,Ali Muddin Para,107,107,0,0,457,226,231,98
03,04,31,142,11,3,Danu Sardar  Para,374,370,4,0,2060,1072,988,109
03,04,31,142,12,3,Uttar Palong Para,212,211,0,1,1038,530,508,104
03,04,31,142,13,3,Purba Palong Para,460,460,0,0,2270,1168,1102,106
03,04,31,142,14,3,Mong Soi Pru Para,75,75,0,0,365,185,180,103
03,04,31,142,15,3,Daya Chan Dra Para,48,48,0,0,251,134,117,115
03,04,31,142,16,3,Mong Golu Para,37,37,0,0,172,92,80,115
03,04,31,142,17,3,Mostack Para,50,50,0,0,275,153,122,125
03,04,31,142,18,3,Chion Para,24,24,0,0,136,66,70,94
03,04,31,142,19,3,Taluk Ddar Para,9,9,0,0,34,20,14,143
03,04,31,142,20,3,Godar Par Para,118,117,0,1,587,298,289,103
03,04,31,142,21,3,Amtali Para,162,162,0,0,774,407,367,111
03,04,31,284,,1,*Chaimfra,659,658,0,1,3601,1814,1787,102
03,04,31,284,01,1,Ka-You Karbari Para,17,17,0,0,84,35,49,71
03,04,31,284,02,1,Ra-Lai-Para,59,59,0,0,333,171,162,106
03,04,31,284,03,1,Man Rom Para,41,41,0,0,225,106,119,89
03,04,31,284,04,1,Man Long Para,5,5,0,0,29,14,15,93
03,04,31,284,05,1,Payea  Para,16,16,0,0,101,59,42,140
03,04,31,284,06,1,Menlay Para,29,29,0,0,159,82,77,106
03,04,31,284,07,1,Prova Para,17,17,0,0,93,45,48,94
03,04,31,284,08,1,Paley Para,50,49,0,1,254,133,121,110
03,04,31,284,09,1,Langthong,15,15,0,0,87,43,44,98
03,04,31,284,10,1,Bu-Li  Para,14,14,0,0,70,27,43,63
03,04,31,284,11,1,Ching Chong Karbari Para,29,29,0,0,141,79,62,127
03,04,31,284,12,1,Da-Khoi Para,13,13,0,0,63,31,32,97
03,04,31,284,13,1,Ba Choa Para,8,8,0,0,35,19,16,119
03,04,31,284,14,1,Rai To Moni Karbari Para,90,90,0,0,467,236,231,102
03,04,31,284,15,1,Padi Para,24,24,0,0,135,68,67,101
03,04,31,284,16,1,Chak Lam Karbari Para,21,21,0,0,81,44,37,119
03,04,31,284,17,1,Do Basi Para,16,16,0,0,109,47,62,76
03,04,31,284,18,1,Chandra Moni Para,14,14,0,0,89,40,49,82
03,04,31,284,19,1,Langchong,32,32,0,0,177,89,88,101
03,04,31,284,20,1,Mencock,24,24,0,0,130,64,66,97
03,04,31,284,21,1,Menning,30,30,0,0,155,68,87,78
03,04,31,284,22,1,Johonmaster,16,16,0,0,89,42,47,89
03,04,31,284,23,1,Menku Para,21,21,0,0,132,75,57,132
03,04,31,284,24,1,Khido Para,33,33,0,0,204,106,98,108
03,04,31,284,25,1,Motaparow,25,25,0,0,159,91,68,134
03,04,31,700,,1,*Matamuhury Reserve Forest,1292,1280,10,2,7304,3793,3511,108
03,04,31,700,01,1,Langchong Para,60,60,0,0,346,160,186,86
03,04,31,700,02,1,Satirang Para,15,15,0,0,89,45,44,102
03,04,31,700,03,1,Adoy Para,60,60,0,0,324,165,159,104
03,04,31,700,04,1,Kain Prey Para,60,60,0,0,327,189,138,137
03,04,31,700,05,1,Consola Para,30,30,0,0,173,89,84,106
03,04,31,700,06,1,Bhaluk Para,21,21,0,0,93,51,42,121
03,04,31,700,10,1,Babu Para,103,103,0,0,506,254,252,101
03,04,31,700,11,1,Zira Para,49,49,0,0,260,131,129,102
03,04,31,700,12,1,Janaly Para,3,0,3,0,35,35,0,0
03,04,31,700,13,1,Aungsuy Para,30,30,0,0,177,92,85,108
03,04,31,700,14,1,Tili Para,60,56,3,1,381,212,169,125
03,04,31,700,15,1,Ringlot Para,60,60,0,0,362,187,175,107
03,04,31,700,16,1,Krokpata Bazar,53,53,0,0,265,139,126,110
03,04,31,700,17,1,Khampur Para,60,60,0,0,302,146,156,94
03,04,31,700,18,1,Patoy Para,53,53,0,0,250,132,118,112
03,04,31,700,19,1,Awoy Para,60,60,0,0,313,141,172,82
03,04,31,700,20,1,Menry Para,25,25,0,0,155,71,84,85
03,04,31,700,21,1,Mencrat Para,30,30,0,0,139,83,56,148
03,04,31,700,22,1,Khamtok Para,38,38,0,0,237,142,95,149
03,04,31,700,23,1,Langpung Para,17,12,4,1,101,66,35,189
03,04,31,700,24,1,Maliram Para,60,60,0,0,402,198,204,97
03,04,31,700,25,1,Jeoung Way Para,60,60,0,0,362,185,177,105
03,04,31,700,27,1,Indu Mukh Para,55,55,0,0,382,197,185,106
03,04,31,700,28,1,Mendir Para,60,60,0,0,342,174,168,104
03,04,31,700,29,1,Kengkaw Para,59,59,0,0,333,181,152,119
03,04,31,700,30,1,Chowkraon Para,59,59,0,0,346,171,175,98
03,04,31,700,31,1,Doge Chondra Para,52,52,0,0,302,157,145,108
03,04,31,994,,1,*Tainfa,564,561,2,1,3065,1628,1437,113
03,04,31,994,01,1,Jabiram Karbari Para,69,68,1,0,493,242,251,96
03,04,31,994,02,1,Thoiwio  Goa Para,4,4,0,0,15,6,9,67
03,04,31,994,03,1,Yunus Member Para,64,63,1,0,368,206,162,127
03,04,31,994,04,1,Langri Para,44,44,0,0,233,135,98,138
03,04,31,994,05,1,Ba Chaiya Para,25,25,0,0,171,90,81,111
03,04,31,994,06,1,Chang Li Para,22,22,0,0,111,56,55,102
03,04,31,994,07,1,Man Rom Para,14,14,0,0,68,38,30,127
03,04,31,994,08,1,Jalanta Mani Para,46,46,0,0,217,108,109,99
03,04,31,994,09,1,Klaing Para,20,20,0,0,108,68,40,170
03,04,31,994,10,1,A-Sa-Ti Tripura Para,60,60,0,0,287,136,151,90
03,04,31,994,11,1,Bulu Para,20,20,0,0,110,71,39,182
03,04,31,994,12,1,Rai Nai Karbari Para,15,15,0,0,67,35,32,109
03,04,31,994,13,1,Uk-Ling Para,10,10,0,0,40,21,19,111
03,04,31,994,14,1,Diri Para,9,9,0,0,34,23,11,209
03,04,31,994,15,1,Kang Oya Para,15,15,0,0,79,46,33,139
03,04,31,994,16,1,Chilochandra Para,21,21,0,0,100,55,45,122
03,04,31,994,17,1,Kransing Para,28,27,0,1,125,69,56,123
03,04,31,994,18,1,Agula Trapura Para,7,7,0,0,38,17,21,81
03,04,31,994,19,1,Man Poya Para,3,3,0,0,16,7,9,78
03,04,31,994,20,1,Babi Para,31,31,0,0,181,88,93,95
03,04,31,994,21,1,Pai Toi Karbari Para,28,28,0,0,145,78,67,116
03,04,31,994,22,1,Ni-Ang Para,9,9,0,0,59,33,26,127
03,04,31,998,,2,*Cantonment,45,35,10,0,763,703,60,1172
03,04,63,,,,Chokhyong Union Total,4031,4015,8,8,20822,10615,10207,104
03,04,63,426,,1,*Chokhyong,1299,1293,4,2,6678,3391,3287,103
03,04,63,426,01,1,Thoaichhi Para,60,60,0,0,240,114,126,90
03,04,63,426,02,1,Mannan Member Para,107,107,0,0,589,306,283,108
03,04,63,426,03,1,Puterjhiri Para,39,39,0,0,227,121,106,114
03,04,63,426,04,1,Gurumia Para,83,83,0,0,432,226,206,110
03,04,63,426,05,1,Sanichary Paraa,90,90,0,0,495,238,257,93
03,04,63,426,06,1,Barir Muk Para,121,121,0,0,722,382,340,112
03,04,63,426,07,1,Maila Karbari Para,56,56,0,0,243,127,116,109
03,04,63,426,08,1,Mohd Ali Para,16,16,0,0,81,47,34,138
03,04,63,426,09,1,Siddque Para,58,58,0,0,345,179,166,108
03,04,63,426,10,1,Mong Ching Para,58,58,0,0,269,136,133,102
03,04,63,426,11,1,Akibar Para,31,31,0,0,160,73,87,84
03,04,63,426,12,1,Ali Member Para,60,60,0,0,316,151,165,92
03,04,63,426,13,1,Kashem Member Para,48,48,0,0,233,110,123,89
03,04,63,426,14,1,Pokhaiya Jiri Para,47,47,0,0,225,111,114,97
03,04,63,426,15,1,Panijiri Para,28,28,0,0,118,54,64,84
03,04,63,426,16,1,Obaidul Hakim Para,119,118,0,1,602,306,296,103
03,04,63,426,18,1,Shiraj Karbari Para,60,55,4,1,306,150,156,96
03,04,63,426,19,1,Sonachandra Tripura Para,45,45,0,0,225,114,111,103
03,04,63,426,20,1,Tara Bunia Para,94,94,0,0,450,242,208,116
