0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
03,,,,,,Bandarban Zila Total,78714,3.5,8.7,16.8,21.1,18.8,13.4,8.0,9.7,4.8
03,,,,,1,Bandarban Zila,58616,3.1,8.6,16.6,20.8,18.9,13.6,8.3,10.1,4.8
03,,,,,2,Bandarban Zila,12251,5.0,9.2,18.1,23.1,18.8,12.1,6.3,7.4,4.5
03,,,,,3,Bandarban Zila,7847,4.0,8.0,16.3,20.1,18.6,14.4,8.3,10.2,4.8
03,04,,,,,Alikadam Upazila Total,9371,1.9,6.4,14.7,19.7,18.5,16.0,10.4,12.4,5.1
03,04,,,,1,Alikadam Upazila,6514,1.2,5.8,13.8,19.7,18.6,16.2,11.0,13.8,5.2
03,04,,,,2,Alikadam Upazila,35,0.0,20.0,34.3,25.7,14.3,0.0,0.0,5.7,4.7
03,04,,,,3,Alikadam Upazila,2822,3.5,7.6,16.6,19.8,18.5,15.7,8.9,9.4,4.8
03,04,31,,,,Alikadam Union Total,5356,2.2,6.5,14.6,18.8,18.9,15.6,10.3,13.1,5.2
03,04,31,,,1,Alikadam Union,2499,0.7,5.1,12.1,17.5,19.4,15.8,12.0,17.4,5.5
03,04,31,,,2,Alikadam Union,35,0.0,20.0,34.3,25.7,14.3,0.0,0.0,5.7,4.7
03,04,31,,,3,Alikadam Union,2822,3.5,7.6,16.6,19.8,18.5,15.7,8.9,9.4,4.8
03,04,31,142,,3,*Alikadam,2822,3.5,7.6,16.6,19.8,18.5,15.7,8.9,9.4,4.8
03,04,31,142,01,3,Saber Miah Para,242,1.7,7.0,14.0,17.8,18.2,23.6,5.4,12.4,5.1
03,04,31,142,02,3,Mangfu Mahajan Para,100,2.0,10.0,14.0,34.0,20.0,15.0,4.0,1.0,4.3
03,04,31,142,03,3,Upazila Parishad,207,10.1,10.1,14.0,21.7,15.5,10.6,10.1,7.7,4.4
03,04,31,142,04,3,Bazar Para,120,13.3,12.5,20.8,20.8,16.7,9.2,3.3,3.3,3.9
03,04,31,142,05,3,Uttar Bazar,58,3.4,8.6,8.6,13.8,19.0,20.7,12.1,13.8,5.7
03,04,31,142,06,3,Dakshin Bazar,60,11.7,18.3,10.0,8.3,20.0,13.3,11.7,6.7,4.3
03,04,31,142,07,3,Bazar Mogh Para,104,2.9,6.7,26.0,21.2,16.3,16.3,4.8,5.8,4.4
03,04,31,142,08,3,Khulla Mia Para,79,0.0,3.8,19.0,21.5,16.5,20.3,10.1,8.9,5.1
03,04,31,142,09,3,Anwar Hossain Chairman Para,182,4.4,14.8,15.4,19.2,19.2,12.1,6.6,8.2,4.4
03,04,31,142,10,3,Ali Muddin Para,107,14.0,6.5,15.9,17.8,17.8,12.1,9.3,6.5,4.3
03,04,31,142,11,3,Danu Sardar  Para,370,2.2,4.3,12.2,20.0,18.4,18.1,10.3,14.6,5.4
03,04,31,142,12,3,Uttar Palong Para,211,0.0,5.2,15.6,24.2,19.9,18.5,10.9,5.7,4.9
03,04,31,142,13,3,Purba Palong Para,460,1.5,6.5,19.1,17.2,22.4,13.9,9.8,9.6,4.9
03,04,31,142,14,3,Mong Soi Pru Para,75,1.3,5.3,18.7,21.3,22.7,10.7,9.3,10.7,4.9
03,04,31,142,15,3,Daya Chan Dra Para,48,0.0,6.3,22.9,12.5,14.6,12.5,16.7,14.6,5.2
03,04,31,142,16,3,Mong Golu Para,37,2.7,5.4,24.3,21.6,8.1,21.6,8.1,8.1,4.6
03,04,31,142,17,3,Mostack Para,50,0.0,6.0,10.0,28.0,20.0,6.0,14.0,16.0,5.5
03,04,31,142,18,3,Chion Para,24,4.2,0.0,12.5,8.3,12.5,29.2,20.8,12.5,5.7
03,04,31,142,19,3,Taluk Ddar Para,9,11.1,0.0,33.3,11.1,44.4,0.0,0.0,0.0,3.8
03,04,31,142,20,3,Godar Par Para,117,1.7,10.3,14.5,22.2,12.0,20.5,8.5,10.3,4.9
03,04,31,142,21,3,Amtali Para,162,0.6,6.8,25.3,17.9,16.7,14.2,9.3,9.3,4.8
03,04,31,284,,1,*Chaimfra,658,1.2,6.5,10.0,17.3,20.4,15.7,12.8,16.1,5.5
03,04,31,284,01,1,Ka-You Karbari Para,17,5.9,5.9,11.8,23.5,23.5,11.8,0.0,17.6,4.9
03,04,31,284,02,1,Ra-Lai-Para,59,0.0,5.1,10.2,20.3,23.7,11.9,6.8,22.0,5.6
03,04,31,284,03,1,Man Rom Para,41,0.0,4.9,17.1,12.2,14.6,19.5,19.5,12.2,5.5
03,04,31,284,04,1,Man Long Para,5,0.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,5.8
03,04,31,284,05,1,Payea  Para,16,0.0,0.0,0.0,12.5,37.5,6.3,18.8,25.0,6.3
03,04,31,284,06,1,Menlay Para,29,6.9,10.3,13.8,3.4,10.3,17.2,17.2,20.7,5.5
03,04,31,284,07,1,Prova Para,17,0.0,0.0,5.9,23.5,17.6,29.4,17.6,5.9,5.5
03,04,31,284,08,1,Paley Para,49,0.0,12.2,8.2,20.4,18.4,14.3,14.3,12.2,5.2
03,04,31,284,09,1,Langthong,15,0.0,6.7,6.7,20.0,20.0,13.3,13.3,20.0,5.8
03,04,31,284,10,1,Bu-Li  Para,14,0.0,21.4,7.1,28.6,14.3,0.0,7.1,21.4,5.0
03,04,31,284,11,1,Ching Chong Karbari Para,29,0.0,6.9,13.8,31.0,17.2,17.2,3.4,10.3,4.9
03,04,31,284,12,1,Da-Khoi Para,13,0.0,0.0,15.4,30.8,23.1,15.4,15.4,0.0,4.8
03,04,31,284,13,1,Ba Choa Para,8,0.0,12.5,12.5,25.0,25.0,25.0,0.0,0.0,4.4
03,04,31,284,14,1,Rai To Moni Karbari Para,90,1.1,4.4,12.2,21.1,22.2,14.4,12.2,12.2,5.2
03,04,31,284,15,1,Padi Para,24,0.0,0.0,0.0,16.7,37.5,20.8,20.8,4.2,5.6
03,04,31,284,16,1,Chak Lam Karbari Para,21,4.8,9.5,23.8,28.6,23.8,9.5,0.0,0.0,3.9
03,04,31,284,17,1,Do Basi Para,16,0.0,0.0,12.5,6.3,18.8,12.5,6.3,43.8,6.8
03,04,31,284,18,1,Chandra Moni Para,14,0.0,7.1,7.1,14.3,14.3,14.3,21.4,21.4,6.4
03,04,31,284,19,1,Langchong,32,0.0,12.5,9.4,12.5,25.0,3.1,21.9,15.6,5.5
03,04,31,284,20,1,Mencock,24,8.3,8.3,12.5,8.3,8.3,12.5,20.8,20.8,5.4
03,04,31,284,21,1,Menning,30,0.0,6.7,10.0,23.3,23.3,20.0,3.3,13.3,5.2
03,04,31,284,22,1,Johonmaster,16,0.0,6.3,6.3,25.0,18.8,12.5,18.8,12.5,5.6
03,04,31,284,23,1,Menku Para,21,0.0,0.0,0.0,14.3,19.0,23.8,19.0,23.8,6.3
03,04,31,284,24,1,Khido Para,33,3.0,12.1,3.0,3.0,18.2,24.2,9.1,27.3,6.2
03,04,31,284,25,1,Motaparow,25,0.0,0.0,12.0,4.0,16.0,28.0,16.0,24.0,6.4
03,04,31,700,,1,*Matamuhury Reserve Forest,1280,0.4,4.8,12.3,16.6,18.4,16.7,11.4,19.4,5.6
03,04,31,700,01,1,Langchong Para,60,0.0,3.3,16.7,18.3,16.7,10.0,6.7,28.3,5.8
03,04,31,700,02,1,Satirang Para,15,0.0,6.7,13.3,13.3,13.3,6.7,13.3,33.3,5.9
03,04,31,700,03,1,Adoy Para,60,0.0,1.7,13.3,23.3,18.3,16.7,11.7,15.0,5.4
03,04,31,700,04,1,Kain Prey Para,60,0.0,3.3,10.0,18.3,18.3,18.3,25.0,6.7,5.5
03,04,31,700,05,1,Consola Para,30,0.0,0.0,13.3,6.7,13.3,33.3,23.3,10.0,5.8
03,04,31,700,06,1,Bhaluk Para,21,0.0,14.3,9.5,33.3,19.0,14.3,4.8,4.8,4.4
03,04,31,700,10,1,Babu Para,103,3.9,4.9,15.5,16.5,22.3,21.4,6.8,8.7,4.9
03,04,31,700,11,1,Zira Para,49,0.0,6.1,18.4,16.3,16.3,14.3,16.3,12.2,5.3
03,04,31,700,12,1,Janaly Para,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03,04,31,700,13,1,Aungsuy Para,30,0.0,0.0,10.0,16.7,13.3,23.3,20.0,16.7,5.9
03,04,31,700,14,1,Tili Para,56,0.0,3.6,8.9,12.5,8.9,30.4,8.9,26.8,6.2
03,04,31,700,15,1,Ringlot Para,60,0.0,3.3,0.0,26.7,21.7,8.3,8.3,31.7,6.0
03,04,31,700,16,1,Krokpata Bazar,53,0.0,7.5,17.0,22.6,20.8,15.1,5.7,11.3,5.0
03,04,31,700,17,1,Khampur Para,60,1.7,8.3,13.3,13.3,25.0,21.7,6.7,10.0,5.0
03,04,31,700,18,1,Patoy Para,53,0.0,13.2,18.9,15.1,22.6,9.4,11.3,9.4,4.7
03,04,31,700,19,1,Awoy Para,60,0.0,6.7,15.0,16.7,21.7,15.0,11.7,13.3,5.2
03,04,31,700,20,1,Menry Para,25,0.0,0.0,4.0,8.0,32.0,28.0,0.0,28.0,6.2
03,04,31,700,21,1,Mencrat Para,30,0.0,10.0,23.3,13.3,26.7,10.0,10.0,6.7,4.6
03,04,31,700,22,1,Khamtok Para,38,0.0,0.0,15.8,13.2,18.4,13.2,7.9,31.6,6.2
03,04,31,700,23,1,Langpung Para,12,0.0,8.3,8.3,33.3,0.0,33.3,8.3,8.3,5.0
03,04,31,700,24,1,Maliram Para,60,0.0,3.3,8.3,5.0,11.7,18.3,15.0,38.3,6.7
03,04,31,700,25,1,Jeoung Way Para,60,0.0,3.3,13.3,6.7,20.0,13.3,20.0,23.3,6.0
03,04,31,700,27,1,Indu Mukh Para,55,0.0,3.6,9.1,12.7,7.3,18.2,10.9,38.2,6.9
03,04,31,700,28,1,Mendir Para,60,0.0,6.7,11.7,16.7,16.7,16.7,8.3,23.3,5.7
03,04,31,700,29,1,Kengkaw Para,59,0.0,5.1,16.9,25.4,10.2,11.9,8.5,22.0,5.6
03,04,31,700,30,1,Chowkraon Para,59,0.0,3.4,3.4,15.3,27.1,16.9,16.9,16.9,5.9
03,04,31,700,31,1,Doge Chondra Para,52,0.0,1.9,7.7,23.1,23.1,9.6,9.6,25.0,5.8
03,04,31,994,,1,*Tainfa,561,0.7,4.3,14.1,19.8,20.3,13.9,12.5,14.4,5.4
03,04,31,994,01,1,Jabiram Karbari Para,68,0.0,0.0,5.9,11.8,14.7,25.0,13.2,29.4,6.5
03,04,31,994,02,1,Thoiwio  Goa Para,4,0.0,25.0,25.0,0.0,50.0,0.0,0.0,0.0,3.8
03,04,31,994,03,1,Yunus Member Para,63,0.0,1.6,14.3,20.6,20.6,9.5,12.7,20.6,5.8
03,04,31,994,04,1,Langri Para,44,0.0,0.0,15.9,22.7,27.3,6.8,18.2,9.1,5.3
03,04,31,994,05,1,Ba Chaiya Para,25,0.0,4.0,4.0,20.0,20.0,8.0,12.0,32.0,6.8
03,04,31,994,06,1,Chang Li Para,22,9.1,4.5,9.1,18.2,13.6,9.1,27.3,9.1,5.0
03,04,31,994,07,1,Man Rom Para,14,0.0,14.3,14.3,21.4,14.3,7.1,21.4,7.1,4.9
03,04,31,994,08,1,Jalanta Mani Para,46,4.3,6.5,15.2,21.7,17.4,19.6,10.9,4.3,4.7
03,04,31,994,09,1,Klaing Para,20,0.0,0.0,5.0,30.0,25.0,15.0,15.0,10.0,5.4
03,04,31,994,10,1,A-Sa-Ti Tripura Para,60,0.0,8.3,20.0,20.0,18.3,15.0,8.3,10.0,4.8
03,04,31,994,11,1,Bulu Para,20,0.0,5.0,0.0,30.0,20.0,20.0,5.0,20.0,5.5
03,04,31,994,12,1,Rai Nai Karbari Para,15,0.0,0.0,26.7,33.3,20.0,6.7,13.3,0.0,4.5
03,04,31,994,13,1,Uk-Ling Para,10,0.0,10.0,20.0,30.0,40.0,0.0,0.0,0.0,4.0
03,04,31,994,14,1,Diri Para,9,0.0,22.2,11.1,33.3,33.3,0.0,0.0,0.0,3.8
03,04,31,994,15,1,Kang Oya Para,15,0.0,0.0,26.7,13.3,20.0,6.7,26.7,6.7,5.3
03,04,31,994,16,1,Chilochandra Para,21,0.0,9.5,19.0,14.3,19.0,23.8,9.5,4.8,4.8
03,04,31,994,17,1,Kransing Para,27,0.0,11.1,22.2,18.5,25.9,3.7,11.1,7.4,4.6
03,04,31,994,18,1,Agula Trapura Para,7,0.0,0.0,42.9,14.3,0.0,0.0,0.0,42.9,5.4
03,04,31,994,19,1,Man Poya Para,3,0.0,0.0,33.3,0.0,33.3,0.0,0.0,33.3,5.3
03,04,31,994,20,1,Babi Para,31,0.0,3.2,9.7,9.7,22.6,25.8,9.7,19.4,5.8
03,04,31,994,21,1,Pai Toi Karbari Para,28,0.0,0.0,17.9,25.0,17.9,14.3,17.9,7.1,5.2
03,04,31,994,22,1,Ni-Ang Para,9,0.0,0.0,0.0,22.2,22.2,22.2,0.0,33.3,6.6
03,04,31,998,,2,*Cantonment,35,0.0,20.0,34.3,25.7,14.3,0.0,0.0,5.7,4.7
03,04,63,,,,Chokhyong Union Total,4015,1.5,6.2,14.8,21.0,18.1,16.5,10.4,11.5,5.1
03,04,63,426,,1,*Chokhyong,1293,0.8,6.0,13.8,22.1,18.6,16.8,9.6,12.2,5.1
03,04,63,426,01,1,Thoaichhi Para,60,3.3,11.7,23.3,26.7,20.0,8.3,6.7,0.0,4.0
03,04,63,426,02,1,Mannan Member Para,107,0.0,0.9,10.3,28.0,14.0,17.8,13.1,15.9,5.5
03,04,63,426,03,1,Puterjhiri Para,39,0.0,0.0,10.3,15.4,25.6,17.9,7.7,23.1,5.8
03,04,63,426,04,1,Gurumia Para,83,0.0,6.0,9.6,25.3,19.3,14.5,13.3,12.0,5.2
03,04,63,426,05,1,Sanichary Paraa,90,1.1,2.2,11.1,16.7,20.0,22.2,13.3,13.3,5.5
03,04,63,426,06,1,Barir Muk Para,121,0.8,5.8,11.6,15.7,12.4,19.0,9.1,25.6,6.0
03,04,63,426,07,1,Maila Karbari Para,56,1.8,12.5,14.3,25.0,25.0,12.5,7.1,1.8,4.3
03,04,63,426,08,1,Mohd Ali Para,16,0.0,0.0,12.5,25.0,25.0,25.0,6.3,6.3,5.1
03,04,63,426,09,1,Siddque Para,58,0.0,0.0,13.8,12.1,20.7,22.4,8.6,22.4,5.9
03,04,63,426,10,1,Mong Ching Para,58,0.0,12.1,12.1,27.6,19.0,15.5,6.9,6.9,4.6
03,04,63,426,11,1,Akibar Para,31,3.2,6.5,12.9,25.8,9.7,16.1,12.9,12.9,5.2
03,04,63,426,12,1,Ali Member Para,60,1.7,5.0,15.0,23.3,11.7,13.3,15.0,15.0,5.3
03,04,63,426,13,1,Kashem Member Para,48,0.0,4.2,14.6,27.1,27.1,12.5,6.3,8.3,4.9
03,04,63,426,14,1,Pokhaiya Jiri Para,47,0.0,12.8,14.9,25.5,17.0,8.5,10.6,10.6,4.8
03,04,63,426,15,1,Panijiri Para,28,0.0,7.1,25.0,35.7,10.7,14.3,7.1,0.0,4.2
03,04,63,426,16,1,Obaidul Hakim Para,118,0.8,5.1,20.3,20.3,15.3,11.9,13.6,12.7,5.1
03,04,63,426,18,1,Shiraj Karbari Para,55,0.0,7.3,16.4,18.2,25.5,20.0,5.5,7.3,4.8
03,04,63,426,19,1,Sonachandra Tripura Para,45,0.0,8.9,11.1,24.4,22.2,13.3,4.4,15.6,5.0
03,04,63,426,20,1,Tara Bunia Para,94,1.1,8.5,11.7,21.3,24.5,22.3,5.3,5.3,4.8
03,04,63,426,21,1,Padoymorong Para,43,0.0,2.3,23.3,27.9,16.3,20.9,7.0,2.3,4.6
03,04,63,426,22,1,Cairi Morong Para,21,4.8,4.8,0.0,0.0,23.8,33.3,9.5,23.8,6.2
03,04,63,426,23,1,Oti Chandra Para,15,0.0,20.0,0.0,26.7,20.0,20.0,6.7,6.7,4.7
03,04,63,568,,1,*Mango,265,0.8,6.4,10.9,11.7,13.6,16.2,17.0,23.4,5.9
03,04,63,568,01,1,Ramju Para,9,0.0,11.1,0.0,11.1,22.2,11.1,33.3,11.1,5.9
03,04,63,568,02,1,Joynal Para,2,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,7.5
03,04,63,568,03,1,Ruirok Para,30,3.3,3.3,10.0,10.0,13.3,10.0,13.3,36.7,6.2
03,04,63,568,04,1,Chhatra Para,19,0.0,5.3,15.8,5.3,15.8,21.1,10.5,26.3,6.2
03,04,63,568,05,1,Tang Tuipara,7,0.0,14.3,0.0,14.3,14.3,14.3,14.3,28.6,5.7
03,04,63,568,06,1,Ruipa Para,21,0.0,0.0,0.0,23.8,19.0,14.3,19.0,23.8,6.2
03,04,63,568,07,1,Rang Yeua Karbari Para,3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,66.7,7.7
03,04,63,568,08,1,Menrua Para,13,0.0,7.7,23.1,7.7,23.1,15.4,7.7,15.4,5.0
03,04,63,568,09,1,Mempa Para,32,3.1,3.1,15.6,15.6,15.6,25.0,12.5,9.4,5.2
03,04,63,568,10,1,Laru Para,6,0.0,0.0,0.0,0.0,16.7,16.7,16.7,50.0,8.5
03,04,63,568,11,1,Adu  Para,27,0.0,0.0,3.7,0.0,7.4,22.2,33.3,33.3,7.2
03,04,63,568,12,1,Sang Chung,4,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,4.0
03,04,63,568,13,1,Khakue Para,6,0.0,0.0,0.0,16.7,16.7,16.7,16.7,33.3,6.3
03,04,63,568,14,1,Khingpong Para,10,0.0,0.0,10.0,20.0,0.0,20.0,10.0,40.0,6.4
03,04,63,568,15,1,Namsak Para,13,0.0,7.7,7.7,15.4,0.0,15.4,30.8,23.1,6.1
03,04,63,568,16,1,Pubola Para,7,0.0,0.0,0.0,14.3,0.0,28.6,14.3,42.9,8.3
03,04,63,568,17,1,Basa Chandra Para,11,0.0,9.1,18.2,9.1,18.2,18.2,9.1,18.2,5.4
03,04,63,568,18,1,Sak Lang Para,45,0.0,17.8,20.0,13.3,15.6,8.9,15.6,8.9,4.7
03,04,63,852,,1,*Tain,2457,2.0,6.2,15.8,21.4,18.4,16.3,10.1,9.8,5.0
03,04,63,852,01,1,Mongbu Karbari Para,37,8.1,5.4,16.2,21.6,27.0,13.5,2.7,5.4,4.3
03,04,63,852,02,1,Chibatali Para,108,1.9,5.6,13.0,13.9,18.5,24.1,12.0,11.1,5.3
03,04,63,852,03,1,Repar Para Bazar,302,4.6,5.6,17.9,17.9,13.9,18.2,8.9,12.9,5.0
03,04,63,852,04,1,Dopru Morong Para,21,0.0,4.8,23.8,14.3,19.0,28.6,4.8,4.8,4.8
03,04,63,852,05,1,Pattakhaiya Para,181,2.8,6.6,21.0,22.7,17.7,14.4,8.8,6.1,4.6
03,04,63,852,06,1,Shilbunia,60,6.7,6.7,23.3,26.7,18.3,11.7,3.3,3.3,4.1
03,04,63,852,07,1,Kerajiripara,31,0.0,6.5,16.1,12.9,6.5,16.1,22.6,19.4,5.7
03,04,63,852,08,1,Mangkhai Para,19,0.0,21.1,5.3,10.5,10.5,31.6,10.5,10.5,5.1
03,04,63,852,09,1,Dardari/Abul Kashem Para,59,0.0,3.4,15.3,22.0,23.7,10.2,8.5,16.9,5.4
03,04,63,852,10,1,Bager Jiri  Para,19,0.0,5.3,5.3,21.1,36.8,26.3,0.0,5.3,5.1
03,04,63,852,11,1,Youkki Para,8,50.0,12.5,0.0,0.0,0.0,12.5,12.5,12.5,3.6
03,04,63,852,12,1,Punarbasan-1,28,0.0,7.1,14.3,17.9,28.6,10.7,7.1,14.3,5.5
03,04,63,852,15,1,Bonku Morong Para,23,0.0,8.7,17.4,17.4,13.0,21.7,17.4,4.3,5.0
03,04,63,852,16,1,Jogendra Para,30,0.0,10.0,6.7,16.7,20.0,16.7,3.3,26.7,5.6
03,04,63,852,17,1,Bulu Para,105,3.8,4.8,13.3,26.7,21.9,17.1,6.7,5.7,4.7
03,04,63,852,19,1,Mangchha Para,245,0.8,7.3,18.4,22.0,15.9,13.9,11.4,10.2,5.0
03,04,63,852,20,1,Kalu Karbari Para,197,0.0,2.5,14.2,21.3,17.3,17.3,14.7,12.7,5.4
03,04,63,852,21,1,Naya Para Muslin,433,0.5,5.5,14.5,19.2,18.9,16.6,12.2,12.5,5.2
03,04,63,852,22,1,Ishak Para,120,0.0,5.0,14.2,21.7,19.2,16.7,15.8,7.5,5.1
03,04,63,852,23,1,Naya Para Mog,119,0.0,5.9,15.1,31.1,18.5,14.3,7.6,7.6,4.8
03,04,63,852,24,1,Kalar Jiri,60,3.3,11.7,10.0,23.3,23.3,15.0,10.0,3.3,4.6
03,04,63,852,25,1,Mong Paikhy Hadman Para,90,4.4,10.0,18.9,30.0,26.7,7.8,1.1,1.1,4.0
03,04,63,852,27,1,Karmokar Para,39,2.6,5.1,10.3,33.3,20.5,17.9,7.7,2.6,4.6
03,04,63,852,28,1,Laru Morung Para,12,0.0,16.7,0.0,0.0,16.7,33.3,16.7,16.7,6.3
03,04,63,852,29,1,Roheni Karbari Para,29,0.0,3.4,17.2,31.0,13.8,17.2,6.9,10.3,4.9
03,04,63,852,30,1,Bosudeb Karbari Para,60,0.0,13.3,18.3,26.7,20.0,11.7,8.3,1.7,4.3
03,04,63,852,31,1,Banopur Chakma Para,22,4.5,0.0,13.6,13.6,13.6,27.3,13.6,13.6,5.4
03,14,,,,,Bandarban Sadar Upazila Total,18399,4.8,10.0,18.7,23.4,18.7,11.3,6.1,7.0,4.4
03,14,,,,1,Bandarban Sadar Upazila,10073,4.4,10.4,18.9,22.8,18.7,11.3,6.4,7.2,4.5
03,14,,,,2,Bandarban Sadar Upazila,8326,5.3,9.6,18.5,24.1,18.7,11.4,5.7,6.8,4.4
03,14,,,,,Bandarban Paurashava,,,,,,,,,,
03,14,01,,,,Ward No-01 Total,686,5.7,10.9,15.7,23.5,17.1,13.4,5.8,7.9,4.5
