0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
03,,,,,,Bandarban Zila Total,5120,4478,11875,11936,959,608,14841,18317,201,89,17606,17980
03,,,,,1,Bandarban Zila,2945,2405,8957,9346,390,240,10509,13584,78,34,12474,13331
03,,,,,2,Bandarban Zila,1646,1604,1652,1378,471,319,2999,2879,106,45,3375,2751
03,,,,,3,Bandarban Zila,529,469,1266,1212,98,49,1333,1854,17,10,1757,1898
03,04,,,,,Alikadam Upazila Total,389,322,1787,1859,61,28,1872,2421,10,3,2088,2195
03,04,,,,1,Alikadam Upazila,216,168,1271,1390,30,14,1225,1694,3,1,1362,1490
03,04,,,,2,Alikadam Upazila,0,1,21,3,0,1,175,14,0,0,145,11
03,04,,,,3,Alikadam Upazila,173,153,495,466,31,13,472,713,7,2,581,694
03,04,31,,,,Alikadam Union Total,229,181,1103,1123,44,17,1171,1330,7,2,1239,1226
03,04,31,,,1,Alikadam Union,56,27,587,654,13,3,524,603,0,0,513,521
03,04,31,,,2,Alikadam Union,0,1,21,3,0,1,175,14,0,0,145,11
03,04,31,,,3,Alikadam Union,173,153,495,466,31,13,472,713,7,2,581,694
03,04,31,142,,3,*Alikadam,173,153,495,466,31,13,472,713,7,2,581,694
03,04,31,142,01,3,Saber Miah Para,16,9,43,43,1,1,35,61,0,0,52,68
03,04,31,142,02,3,Mangfu Mahajan Para,22,7,4,13,2,2,12,19,0,1,18,23
03,04,31,142,03,3,Upazila Parishad,7,5,34,25,2,1,26,52,1,0,39,36
03,04,31,142,04,3,Bazar Para,1,13,16,11,2,3,15,19,0,0,24,31
03,04,31,142,05,3,Uttar Bazar,6,6,14,7,3,1,10,17,0,0,6,9
03,04,31,142,06,3,Dakshin Bazar,5,7,10,8,1,0,15,8,1,0,11,16
03,04,31,142,07,3,Bazar Mogh Para,10,9,5,6,1,1,11,16,2,0,16,37
03,04,31,142,08,3,Khulla Mia Para,10,12,6,5,3,1,9,24,0,0,20,31
03,04,31,142,09,3,Anwar Hossain Chairman Para,12,16,21,37,7,2,27,53,1,0,39,35
03,04,31,142,10,3,Ali Muddin Para,9,16,10,14,2,0,22,24,1,0,16,26
03,04,31,142,11,3,Danu Sardar  Para,33,17,97,63,1,1,76,97,1,0,89,102
03,04,31,142,12,3,Uttar Palong Para,15,10,34,40,2,0,36,48,0,0,35,48
03,04,31,142,13,3,Purba Palong Para,7,12,98,97,2,0,84,134,0,1,105,102
03,04,31,142,14,3,Mong Soi Pru Para,4,0,18,15,0,0,12,27,0,0,17,16
03,04,31,142,15,3,Daya Chan Dra Para,1,3,12,6,0,0,13,13,0,0,8,13
03,04,31,142,16,3,Mong Golu Para,4,2,4,8,1,0,4,11,0,0,10,7
03,04,31,142,17,3,Mostack Para,2,2,14,12,1,0,13,9,0,0,16,15
03,04,31,142,18,3,Chion Para,0,1,6,7,0,0,3,6,0,0,4,6
03,04,31,142,19,3,Taluk Ddar Para,0,0,0,0,0,0,0,1,0,0,1,5
03,04,31,142,20,3,Godar Par Para,3,4,23,21,0,0,19,26,0,0,19,29
03,04,31,142,21,3,Amtali Para,6,2,26,28,0,0,30,48,0,0,36,39
03,04,31,284,,1,*Chaimfra,15,2,161,208,8,1,165,181,0,0,137,140
03,04,31,284,01,1,Ka-You Karbari Para,0,0,2,7,0,0,4,2,0,0,7,7
03,04,31,284,02,1,Ra-Lai-Para,0,0,25,18,0,0,16,15,0,0,13,8
03,04,31,284,03,1,Man Rom Para,0,0,11,17,0,0,5,7,0,0,11,7
03,04,31,284,04,1,Man Long Para,0,0,2,1,0,0,2,2,0,0,0,2
03,04,31,284,05,1,Payea  Para,2,0,3,5,0,0,8,4,0,0,2,2
03,04,31,284,06,1,Menlay Para,0,0,9,8,0,0,8,5,0,0,0,0
03,04,31,284,07,1,Prova Para,0,0,5,3,0,0,1,6,0,0,3,3
03,04,31,284,08,1,Paley Para,0,0,12,24,0,0,13,9,0,0,8,10
03,04,31,284,09,1,Langthong,0,0,1,5,0,0,4,7,0,0,5,6
03,04,31,284,10,1,Bu-Li  Para,0,0,0,9,0,0,5,5,0,0,1,4
03,04,31,284,11,1,Ching Chong Karbari Para,0,0,3,7,0,0,8,11,0,0,10,6
03,04,31,284,12,1,Da-Khoi Para,0,0,4,1,0,0,1,3,0,0,3,3
03,04,31,284,13,1,Ba Choa Para,0,0,0,1,0,0,0,3,0,0,2,3
03,04,31,284,14,1,Rai To Moni Karbari Para,2,0,14,25,0,0,19,21,0,0,21,24
03,04,31,284,15,1,Padi Para,0,0,14,14,0,0,7,14,0,0,10,4
03,04,31,284,16,1,Chak Lam Karbari Para,0,0,2,0,1,0,3,1,0,0,1,3
03,04,31,284,17,1,Do Basi Para,0,0,6,4,0,0,3,3,0,0,3,3
03,04,31,284,18,1,Chandra Moni Para,2,0,0,3,1,1,2,7,0,0,5,1
03,04,31,284,19,1,Langchong,0,0,8,6,0,0,8,10,0,0,4,11
03,04,31,284,20,1,Mencock,0,0,6,15,0,0,7,7,0,0,2,3
03,04,31,284,21,1,Menning,0,0,3,4,0,0,8,8,0,0,7,10
03,04,31,284,22,1,Johonmaster,1,0,2,1,0,0,4,9,0,0,6,8
03,04,31,284,23,1,Menku Para,0,0,15,7,0,0,8,5,0,0,3,3
03,04,31,284,24,1,Khido Para,0,0,10,12,0,0,8,9,0,0,7,6
03,04,31,284,25,1,Motaparow,8,2,4,11,6,0,13,8,0,0,3,3
03,04,31,700,,1,*Matamuhury Reserve Forest,16,5,308,332,2,1,254,295,0,0,252,269
03,04,31,700,01,1,Langchong Para,0,0,16,14,0,0,15,18,0,0,13,12
03,04,31,700,02,1,Satirang Para,0,0,3,10,0,0,5,5,0,0,3,2
