0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
03,,,,,,Bandarban Zila Total,153314,72952,80362,59182,21979,1012,497,2570,45853,10188,12033
03,,,,,1,Bandarban Zila,128460,61417,67043,50501,20199,716,394,2213,37257,7987,9193
03,,,,,2,Bandarban Zila,11255,5163,6092,3944,804,36,26,87,3796,1096,1466
03,,,,,3,Bandarban Zila,13599,6372,7227,4737,976,260,77,270,4800,1105,1374
03,04,,,,,Alikadam Upazila Total,20872,10032,10840,8089,3916,217,80,446,5259,1280,1585
03,04,,,,1,Alikadam Upazila,16731,8063,8668,6719,3677,63,47,354,3908,927,1036
03,04,,,,2,Alikadam Upazila,1,0,1,0,0,0,0,0,0,0,1
03,04,,,,3,Alikadam Upazila,4140,1969,2171,1370,239,154,33,92,1351,353,548
03,04,31,,,,Alikadam Union Total,12640,6107,6533,5075,3083,156,53,146,2478,730,919
03,04,31,,,1,Alikadam Union,8499,4138,4361,3705,2844,2,20,54,1127,377,370
03,04,31,,,2,Alikadam Union,1,0,1,0,0,0,0,0,0,0,1
03,04,31,,,3,Alikadam Union,4140,1969,2171,1370,239,154,33,92,1351,353,548
03,04,31,142,,3,*Alikadam,4140,1969,2171,1370,239,154,33,92,1351,353,548
03,04,31,142,01,3,Saber Miah Para,435,215,220,118,7,1,1,44,132,52,80
03,04,31,142,02,3,Mangfu Mahajan Para,141,62,79,42,24,0,0,0,0,20,55
03,04,31,142,03,3,Upazila Parishad,304,146,158,95,17,4,4,0,96,47,41
03,04,31,142,04,3,Bazar Para,80,37,43,36,6,0,0,0,32,1,5
03,04,31,142,05,3,Uttar Bazar,78,36,42,31,7,0,0,0,24,5,11
03,04,31,142,06,3,Dakshin Bazar,60,28,32,24,13,0,0,0,12,4,7
03,04,31,142,07,3,Bazar Mogh Para,99,37,62,29,0,0,0,0,42,8,20
03,04,31,142,08,3,Khulla Mia Para,40,20,20,18,1,0,0,0,15,2,4
03,04,31,142,09,3,Anwar Hossain Chairman Para,179,88,91,77,11,0,0,0,68,11,12
03,04,31,142,10,3,Ali Muddin Para,78,26,52,22,11,0,0,0,30,4,11
03,04,31,142,11,3,Danu Sardar  Para,554,252,302,216,50,0,6,1,189,35,57
03,04,31,142,12,3,Uttar Palong Para,239,115,124,59,13,0,0,26,41,30,70
03,04,31,142,13,3,Purba Palong Para,873,442,431,192,12,149,20,17,317,84,82
03,04,31,142,14,3,Mong Soi Pru Para,180,91,89,85,15,0,0,2,74,4,0
03,04,31,142,15,3,Daya Chan Dra Para,128,64,64,61,0,0,0,0,56,3,8
03,04,31,142,16,3,Mong Golu Para,46,11,35,11,4,0,0,0,24,0,7
03,04,31,142,17,3,Mostack Para,62,29,33,22,3,0,0,0,25,7,5
03,04,31,142,18,3,Chion Para,88,40,48,32,4,0,0,0,27,8,17
03,04,31,142,19,3,Taluk Ddar Para,18,9,9,9,0,0,0,0,8,0,1
03,04,31,142,20,3,Godar Par Para,186,85,101,80,10,0,0,0,77,5,14
03,04,31,142,21,3,Amtali Para,272,136,136,111,31,0,2,2,62,23,41
03,04,31,284,,1,*Chaimfra,2451,1194,1257,993,494,1,15,25,544,175,204
03,04,31,284,01,1,Ka-You Karbari Para,63,31,32,25,7,0,0,4,18,2,7
03,04,31,284,02,1,Ra-Lai-Para,245,125,120,107,67,0,1,0,39,18,13
03,04,31,284,03,1,Man Rom Para,156,73,83,68,29,0,0,1,46,4,8
03,04,31,284,04,1,Man Long Para,22,12,10,9,3,0,0,1,5,2,2
03,04,31,284,05,1,Payea  Para,73,36,37,27,19,0,2,1,7,8,9
03,04,31,284,06,1,Menlay Para,123,63,60,53,22,0,0,0,27,10,11
03,04,31,284,07,1,Prova Para,69,36,33,27,7,0,0,2,18,7,8
03,04,31,284,08,1,Paley Para,181,88,93,69,28,0,0,9,53,10,12
03,04,31,284,09,1,Langthong,57,26,31,20,19,0,0,0,7,6,5
03,04,31,284,10,1,Bu-Li  Para,47,20,27,15,12,0,0,0,12,5,3
03,04,31,284,11,1,Ching Chong Karbari Para,109,59,50,48,22,0,0,0,19,11,9
03,04,31,284,12,1,Da-Khoi Para,34,18,16,18,2,0,0,0,14,0,0
03,04,31,284,13,1,Ba Choa Para,20,9,11,9,0,0,0,0,11,0,0
03,04,31,284,14,1,Rai To Moni Karbari Para,297,134,163,104,93,0,0,2,32,28,38
03,04,31,284,15,1,Padi Para,107,54,53,44,18,0,0,0,28,10,7
03,04,31,284,16,1,Chak Lam Karbari Para,50,28,22,24,4,0,0,0,16,4,2
03,04,31,284,17,1,Do Basi Para,74,32,42,24,11,0,0,3,20,5,11
03,04,31,284,18,1,Chandra Moni Para,18,7,11,7,0,0,0,0,11,0,0
03,04,31,284,19,1,Langchong,117,55,62,50,29,0,0,0,23,5,10
03,04,31,284,20,1,Mencock,99,45,54,36,23,0,0,0,18,9,13
03,04,31,284,21,1,Menning,101,46,55,38,12,0,0,0,31,8,12
03,04,31,284,22,1,Johonmaster,55,26,29,22,9,0,0,0,13,4,7
03,04,31,284,23,1,Menku Para,100,55,45,48,39,0,0,0,1,7,5
03,04,31,284,24,1,Khido Para,137,63,74,59,5,0,0,0,61,4,8
03,04,31,284,25,1,Motaparow,97,53,44,42,14,1,12,2,14,8,4
03,04,31,700,,1,*Matamuhury Reserve Forest,4588,2235,2353,2142,2053,1,2,15,214,77,84
03,04,31,700,01,1,Langchong Para,233,104,129,103,124,0,1,0,3,1,1
03,04,31,700,02,1,Satirang Para,73,36,37,35,37,0,0,1,0,0,0
03,04,31,700,03,1,Adoy Para,173,86,87,86,87,0,0,0,0,0,0
03,04,31,700,04,1,Kain Prey Para,234,132,102,106,86,0,0,8,6,18,10
03,04,31,700,05,1,Consola Para,86,39,47,31,25,0,0,0,13,8,9
03,04,31,700,06,1,Bhaluk Para,46,24,22,21,19,0,0,0,0,3,3
03,04,31,700,10,1,Babu Para,184,72,112,67,23,1,0,2,84,2,5
03,04,31,700,11,1,Zira Para,48,21,27,19,25,0,0,0,0,2,2
03,04,31,700,12,1,Janaly Para,0,0,0,0,0,0,0,0,0,0,0
03,04,31,700,13,1,Aungsuy Para,85,41,44,40,44,0,0,0,0,1,0
03,04,31,700,14,1,Tili Para,267,127,140,123,134,0,0,0,0,4,6
03,04,31,700,15,1,Ringlot Para,248,121,127,115,119,0,1,0,0,6,7
03,04,31,700,16,1,Krokpata Bazar,144,73,71,65,63,0,0,0,0,8,8
03,04,31,700,17,1,Khampur Para,199,93,106,90,22,0,0,1,81,2,3
03,04,31,700,18,1,Patoy Para,91,42,49,39,43,0,0,1,1,2,5
03,04,31,700,19,1,Awoy Para,226,105,121,105,121,0,0,0,0,0,0
03,04,31,700,20,1,Menry Para,127,55,72,54,71,0,0,0,0,1,1
03,04,31,700,21,1,Mencrat Para,109,62,47,62,46,0,0,0,0,0,1
03,04,31,700,22,1,Khamtok Para,194,113,81,112,77,0,0,0,0,1,4
03,04,31,700,23,1,Langpung Para,42,16,26,16,26,0,0,0,0,0,0
03,04,31,700,24,1,Maliram Para,296,145,151,145,151,0,0,0,0,0,0
03,04,31,700,25,1,Jeoung Way Para,300,149,151,148,147,0,0,0,0,1,4
03,04,31,700,27,1,Indu Mukh Para,288,142,146,139,141,0,0,0,1,3,4
03,04,31,700,28,1,Mendir Para,241,115,126,112,126,0,0,0,0,3,0
03,04,31,700,29,1,Kengkaw Para,201,91,110,78,75,0,0,2,25,11,10
03,04,31,700,30,1,Chowkraon Para,247,129,118,129,117,0,0,0,0,0,1
03,04,31,700,31,1,Doge Chondra Para,206,102,104,102,104,0,0,0,0,0,0
03,04,31,994,,1,*Tainfa,1460,709,751,570,297,0,3,14,369,125,82
03,04,31,994,01,1,Jabiram Karbari Para,109,35,74,33,46,0,0,2,28,0,0
03,04,31,994,02,1,Thoiwio  Goa Para,2,1,1,0,0,0,0,1,1,0,0
03,04,31,994,03,1,Yunus Member Para,108,57,51,43,13,0,2,0,22,14,14
03,04,31,994,04,1,Langri Para,118,56,62,47,13,0,0,1,44,8,5
03,04,31,994,05,1,Ba Chaiya Para,56,26,30,25,27,0,0,0,2,1,1
03,04,31,994,06,1,Chang Li Para,68,32,36,27,33,0,0,0,2,5,1
03,04,31,994,07,1,Man Rom Para,44,24,20,16,2,0,0,0,13,8,5
03,04,31,994,08,1,Jalanta Mani Para,94,26,68,21,30,0,0,3,30,2,8
03,04,31,994,09,1,Klaing Para,87,56,31,41,4,0,0,0,21,15,6
03,04,31,994,10,1,A-Sa-Ti Tripura Para,87,39,48,34,18,0,1,4,28,1,1
03,04,31,994,11,1,Bulu Para,79,47,32,45,13,0,0,1,19,1,0
03,04,31,994,12,1,Rai Nai Karbari Para,48,24,24,17,8,0,0,0,14,7,2
03,04,31,994,13,1,Uk-Ling Para,32,15,17,13,3,0,0,0,12,2,2
03,04,31,994,14,1,Diri Para,23,13,10,9,0,0,0,0,9,4,1
03,04,31,994,15,1,Kang Oya Para,61,35,26,31,7,0,0,0,16,4,3
03,04,31,994,16,1,Chilochandra Para,55,24,31,21,5,0,0,0,24,3,2
03,04,31,994,17,1,Kransing Para,87,49,38,32,5,0,0,1,22,16,11
03,04,31,994,18,1,Agula Trapura Para,16,5,11,4,4,0,0,0,6,1,1
03,04,31,994,19,1,Man Poya Para,12,6,6,5,1,0,0,0,4,1,1
03,04,31,994,20,1,Babi Para,132,67,65,57,29,0,0,0,33,10,3
03,04,31,994,21,1,Pai Toi Karbari Para,98,47,51,30,30,0,0,1,9,16,12
03,04,31,994,22,1,Ni-Ang Para,44,25,19,19,6,0,0,0,10,6,3
03,04,31,998,,2,*Cantonment,1,0,1,0,0,0,0,0,0,0,1
03,04,63,,,,Chokhyong Union Total,8232,3925,4307,3014,833,61,27,300,2781,550,666
03,04,63,426,,1,*Chokhyong,2853,1390,1463,1201,328,16,10,17,932,156,193
03,04,63,426,01,1,Thoaichhi Para,144,62,82,57,17,0,1,2,58,3,6
03,04,63,426,02,1,Mannan Member Para,226,110,116,98,21,0,0,9,87,3,8
03,04,63,426,03,1,Puterjhiri Para,87,35,52,30,13,0,1,0,29,5,9
03,04,63,426,04,1,Gurumia Para,166,82,84,66,14,3,0,0,59,13,11
03,04,63,426,05,1,Sanichary Paraa,167,73,94,61,11,0,0,1,65,11,18
03,04,63,426,06,1,Barir Muk Para,219,120,99,116,7,0,0,0,68,4,24
03,04,63,426,07,1,Maila Karbari Para,134,64,70,56,2,0,0,0,64,8,4
03,04,63,426,08,1,Mohd Ali Para,29,13,16,13,2,0,0,0,14,0,0
03,04,63,426,09,1,Siddque Para,104,56,48,55,4,0,0,0,44,1,0
03,04,63,426,10,1,Mong Ching Para,150,72,78,63,26,0,0,2,42,7,10
03,04,63,426,11,1,Akibar Para,34,12,22,9,1,0,0,0,17,3,4
03,04,63,426,12,1,Ali Member Para,158,82,76,78,15,0,0,0,48,4,13
03,04,63,426,13,1,Kashem Member Para,68,33,35,24,6,0,0,0,24,9,5
03,04,63,426,14,1,Pokhaiya Jiri Para,96,47,49,37,6,0,1,2,37,8,5
03,04,63,426,15,1,Panijiri Para,11,4,7,4,6,0,0,0,0,0,1
03,04,63,426,16,1,Obaidul Hakim Para,301,152,149,129,30,0,0,0,92,23,27
03,04,63,426,18,1,Shiraj Karbari Para,118,51,67,44,2,1,0,0,49,6,16
03,04,63,426,19,1,Sonachandra Tripura Para,110,50,60,43,28,0,0,0,25,7,7
03,04,63,426,20,1,Tara Bunia Para,297,160,137,110,1,11,7,1,110,38,19
03,04,63,426,21,1,Padoymorong Para,121,58,63,57,58,0,0,0,0,1,5
03,04,63,426,22,1,Cairi Morong Para,84,39,45,37,44,1,0,0,0,1,1
03,04,63,426,23,1,Oti Chandra Para,29,15,14,14,14,0,0,0,0,1,0
03,04,63,568,,1,*Mango,953,457,496,354,233,8,7,8,162,87,94
03,04,63,568,01,1,Ramju Para,33,13,20,13,10,0,0,0,4,0,6
03,04,63,568,02,1,Joynal Para,7,3,4,3,1,0,0,0,2,0,1
03,04,63,568,03,1,Ruirok Para,141,74,67,38,19,7,3,4,31,25,14
03,04,63,568,04,1,Chhatra Para,36,14,22,13,13,0,0,0,7,1,2
03,04,63,568,05,1,Tang Tuipara,29,16,13,13,11,0,0,0,0,3,2
03,04,63,568,06,1,Ruipa Para,74,31,43,28,35,0,0,0,2,3,6
03,04,63,568,07,1,Rang Yeua Karbari Para,17,9,8,8,0,0,1,0,6,1,1
03,04,63,568,08,1,Menrua Para,42,21,21,15,2,0,1,1,12,5,6
03,04,63,568,09,1,Mempa Para,95,39,56,34,0,1,0,1,48,3,8
03,04,63,568,10,1,Laru Para,41,23,18,21,15,0,0,0,1,2,2
03,04,63,568,11,1,Adu  Para,95,39,56,32,44,0,0,2,2,5,10
03,04,63,568,12,1,Sang Chung,11,4,7,4,3,0,0,0,3,0,1
03,04,63,568,13,1,Khakue Para,34,18,16,16,13,0,0,0,1,2,2
03,04,63,568,14,1,Khingpong Para,51,28,23,20,19,0,0,0,0,8,4
03,04,63,568,15,1,Namsak Para,55,29,26,21,21,0,0,0,0,8,5
03,04,63,568,16,1,Pubola Para,49,25,24,19,17,0,0,0,0,6,7
03,04,63,568,17,1,Basa Chandra Para,41,16,25,14,0,0,2,0,15,2,8
03,04,63,568,18,1,Sak Lang Para,102,55,47,42,10,0,0,0,28,13,9
03,04,63,852,,1,*Tain,4426,2078,2348,1459,272,37,10,275,1687,307,379
03,04,63,852,01,1,Mongbu Karbari Para,80,43,37,27,2,0,0,0,25,16,10
03,04,63,852,02,1,Chibatali Para,172,82,90,66,3,0,0,0,70,16,17
03,04,63,852,03,1,Repar Para Bazar,528,246,282,113,25,0,0,82,209,51,48
03,04,63,852,04,1,Dopru Morong Para,62,33,29,8,4,0,0,19,21,6,4
03,04,63,852,05,1,Pattakhaiya Para,247,117,130,103,7,1,0,5,110,8,13
03,04,63,852,06,1,Shilbunia,41,13,28,12,4,0,0,0,20,1,4
03,04,63,852,07,1,Kerajiripara,115,61,54,47,23,4,0,0,23,10,8
03,04,63,852,08,1,Mangkhai Para,69,37,32,31,16,0,0,0,9,6,7
03,04,63,852,09,1,Dardari/Abul Kashem Para,123,63,60,46,2,4,0,6,50,7,8
03,04,63,852,10,1,Bager Jiri  Para,41,19,22,17,3,0,0,0,17,2,2
03,04,63,852,11,1,Youkki Para,22,12,10,9,2,0,0,2,5,1,3
03,04,63,852,12,1,Punarbasan-1,67,25,42,22,2,0,0,0,36,3,4
03,04,63,852,15,1,Bonku Morong Para,68,29,39,26,10,0,0,0,25,3,4
03,04,63,852,16,1,Jogendra Para,93,48,45,32,0,0,0,1,32,15,13
03,04,63,852,17,1,Bulu Para,127,51,76,47,8,3,0,0,58,1,10
03,04,63,852,19,1,Mangchha Para,397,192,205,49,5,22,7,90,167,31,26
03,04,63,852,20,1,Kalu Karbari Para,365,178,187,152,15,1,0,3,143,22,29
03,04,63,852,21,1,Naya Para Muslin,858,407,451,291,63,2,0,56,303,58,85
03,04,63,852,22,1,Ishak Para,6,4,2,2,0,0,0,0,1,2,1
03,04,63,852,23,1,Naya Para Mog,208,91,117,74,4,0,1,1,81,16,31
03,04,63,852,24,1,Kalar Jiri,183,88,95,71,22,0,0,7,66,10,7
03,04,63,852,25,1,Mong Paikhy Hadman Para,193,86,107,83,23,0,0,1,83,2,1
03,04,63,852,27,1,Karmokar Para,83,37,46,31,7,0,1,1,32,5,6
03,04,63,852,28,1,Laru Morung Para,52,24,28,20,12,0,0,1,9,3,7
03,04,63,852,29,1,Roheni Karbari Para,45,12,33,11,3,0,0,0,24,1,6
03,04,63,852,30,1,Bosudeb Karbari Para,120,52,68,44,4,0,1,0,47,8,16
03,04,63,852,31,1,Banopur Chakma Para,61,28,33,25,3,0,0,0,21,3,9
03,14,,,,,Bandarban Sadar Upazila Total,27389,12925,14464,10565,3295,144,103,234,8515,1982,2551
03,14,,,,1,Bandarban Sadar Upazila,20829,9829,11000,8296,2938,118,85,181,6410,1234,1567
03,14,,,,2,Bandarban Sadar Upazila,6560,3096,3464,2269,357,26,18,53,2105,748,984
03,14,,,,,Bandarban Paurashava,,,,,,,,,,,
03,14,01,,,,Ward No-01 Total,528,248,280,205,30,0,2,2,180,41,68
03,14,01,061,,2,*Balaghata Para,206,82,124,66,12,0,2,0,80,16,30
03,14,01,160,,2,*Balaghata Bazar,168,91,77,77,7,0,0,2,45,12,25
03,14,01,560,,2,*Paschim Balaghata (Part),153,75,78,62,11,0,0,0,55,13,12
