0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
03,,,,,,Bandarban Zila Total,81161,59182,21979,51371,20431,2890,297,4921,1251
03,,,,,1,Bandarban Zila,70700,50501,20199,46286,19255,2308,235,1907,709
03,,,,,2,Bandarban Zila,4748,3944,804,1310,349,345,26,2289,429
03,,,,,3,Bandarban Zila,5713,4737,976,3775,827,237,36,725,113
03,04,,,,,Alikadam Upazila Total,12005,8089,3916,7513,3719,124,13,452,184
03,04,,,,1,Alikadam Upazila,10396,6719,3677,6545,3547,41,7,133,123
03,04,,,,2,Alikadam Upazila,0,0,0,0,0,0,0,0,0
03,04,,,,3,Alikadam Upazila,1609,1370,239,968,172,83,6,319,61
03,04,31,,,,Alikadam Union Total,8158,5075,3083,4646,2963,88,7,341,113
03,04,31,,,1,Alikadam Union,6549,3705,2844,3678,2791,5,1,22,52
03,04,31,,,2,Alikadam Union,0,0,0,0,0,0,0,0,0
03,04,31,,,3,Alikadam Union,1609,1370,239,968,172,83,6,319,61
03,04,31,142,,3,*Alikadam,1609,1370,239,968,172,83,6,319,61
03,04,31,142,01,3,Saber Miah Para,125,118,7,73,5,0,0,45,2
03,04,31,142,02,3,Mangfu Mahajan Para,66,42,24,26,15,16,2,0,7
03,04,31,142,03,3,Upazila Parishad,112,95,17,75,17,2,0,18,0
03,04,31,142,04,3,Bazar Para,42,36,6,8,1,1,0,27,5
03,04,31,142,05,3,Uttar Bazar,38,31,7,3,2,4,0,24,5
03,04,31,142,06,3,Dakshin Bazar,37,24,13,5,2,0,0,19,11
03,04,31,142,07,3,Bazar Mogh Para,29,29,0,9,0,1,0,19,0
03,04,31,142,08,3,Khulla Mia Para,19,18,1,12,1,1,0,5,0
03,04,31,142,09,3,Anwar Hossain Chairman Para,88,77,11,61,10,16,1,0,0
03,04,31,142,10,3,Ali Muddin Para,33,22,11,20,10,0,0,2,1
03,04,31,142,11,3,Danu Sardar  Para,266,216,50,150,31,1,2,65,17
03,04,31,142,12,3,Uttar Palong Para,72,59,13,37,12,11,0,11,1
03,04,31,142,13,3,Purba Palong Para,204,192,12,166,12,5,0,21,0
03,04,31,142,14,3,Mong Soi Pru Para,100,85,15,84,15,0,0,1,0
03,04,31,142,15,3,Daya Chan Dra Para,61,61,0,61,0,0,0,0,0
03,04,31,142,16,3,Mong Golu Para,15,11,4,11,4,0,0,0,0
03,04,31,142,17,3,Mostack Para,25,22,3,19,3,0,0,3,0
03,04,31,142,18,3,Chion Para,36,32,4,32,4,0,0,0,0
03,04,31,142,19,3,Taluk Ddar Para,9,9,0,9,0,0,0,0,0
03,04,31,142,20,3,Godar Par Para,90,80,10,71,10,3,0,6,0
03,04,31,142,21,3,Amtali Para,142,111,31,36,18,22,1,53,12
03,04,31,284,,1,*Chaimfra,1487,993,494,989,492,1,1,3,1
03,04,31,284,01,1,Ka-You Karbari Para,32,25,7,24,7,1,0,0,0
03,04,31,284,02,1,Ra-Lai-Para,174,107,67,107,67,0,0,0,0
03,04,31,284,03,1,Man Rom Para,97,68,29,68,29,0,0,0,0
03,04,31,284,04,1,Man Long Para,12,9,3,9,3,0,0,0,0
03,04,31,284,05,1,Payea  Para,46,27,19,27,17,0,1,0,1
03,04,31,284,06,1,Menlay Para,75,53,22,53,22,0,0,0,0
03,04,31,284,07,1,Prova Para,34,27,7,27,7,0,0,0,0
03,04,31,284,08,1,Paley Para,97,69,28,68,28,0,0,1,0
03,04,31,284,09,1,Langthong,39,20,19,20,19,0,0,0,0
03,04,31,284,10,1,Bu-Li  Para,27,15,12,15,12,0,0,0,0
03,04,31,284,11,1,Ching Chong Karbari Para,70,48,22,48,22,0,0,0,0
03,04,31,284,12,1,Da-Khoi Para,20,18,2,18,2,0,0,0,0
03,04,31,284,13,1,Ba Choa Para,9,9,0,9,0,0,0,0,0
03,04,31,284,14,1,Rai To Moni Karbari Para,197,104,93,104,93,0,0,0,0
