0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
04,,,,,,Barguna Zila Total,"892,781",9.9,12.4,11.5,7.1,7.7,9.1,25.6,7.4,3.4,6.0
04,,,,,1,Barguna Zila,"789,687",10.0,12.6,11.6,6.9,7.7,9.0,25.2,7.4,3.5,6.1
04,,,,,2,Barguna Zila,"76,927",8.6,10.4,11.1,8.9,8.2,10.3,28.8,6.7,2.6,4.5
04,,,,,3,Barguna Zila,"26,167",9.4,11.5,11.3,7.5,8.2,9.5,26.0,7.2,3.2,6.2
04,09,,,,,Amtali Upazila Total,"270,802",10.3,13.2,11.8,6.5,7.7,9.1,25.1,7.1,3.3,5.8
04,09,,,,1,Amtali Upazila,"248,994",10.4,13.3,11.8,6.4,7.7,9.0,24.9,7.2,3.4,5.9
04,09,,,,2,Amtali Upazila,"17,311",9.1,11.3,11.4,8.5,8.0,10.4,28.5,6.3,2.5,4.0
04,09,,,,3,Amtali Upazila,"4,497",9.9,12.1,11.7,7.3,7.9,9.4,25.7,6.2,3.2,6.6
04,09,,,,2,Amtali  Paurashava,"17,311",9.1,11.3,11.4,8.5,8.0,10.4,28.5,6.3,2.5,4.0
04,09,01,,,,Ward No-01 Total,"1,011",11.2,11.2,13.8,6.4,5.5,10.9,29.4,5.1,2.2,4.3
04,09,01,165,,2,*Baitaghata,323,11.1,12.1,11.8,5.9,5.0,12.4,30.3,4.0,2.5,5.0
04,09,01,567,,2,*Kalibari Pachim,412,10.2,11.4,18.7,7.0,5.6,9.0,27.4,4.4,1.9,4.4
04,09,01,568,,2,*Kalibari Purba,276,12.7,9.8,9.1,6.2,6.2,12.0,31.2,7.6,2.2,3.3
04,09,02,,,,Ward No-02 Total,"1,800",9.4,10.7,11.0,8.6,9.7,10.4,28.3,6.4,2.3,3.2
04,09,02,400,,2,*Khontakata(Uttar),"1,425",9.1,10.3,11.5,8.8,10.3,10.3,27.7,6.2,2.5,3.2
04,09,02,566,,2,*Kalibari Dakshin,375,10.4,12.0,9.1,8.0,7.5,10.9,30.4,7.5,1.3,2.9
04,09,03,,,,Ward No-03 Total,"2,718",10.2,12.7,11.4,8.3,8.5,10.3,28.6,5.3,2.3,2.4
04,09,03,400,,2,*Kontakata(Dakshin),"2,718",10.2,12.7,11.4,8.3,8.5,10.3,28.6,5.3,2.3,2.4
04,09,04,,,,Ward No-04 Total,"2,662",6.9,9.3,10.4,8.3,8.5,11.3,30.8,7.0,2.7,4.7
04,09,04,233,,2,*Char Para,"1,150",8.9,9.8,11.8,8.4,9.3,11.0,27.5,6.7,2.7,3.9
04,09,04,823,,2,*Sadarpara,"1,512",5.4,8.9,9.3,8.3,7.9,11.5,33.3,7.3,2.7,5.4
04,09,05,,,,Ward No-05 Total,"2,441",9.5,11.8,10.7,9.0,7.2,10.0,29.1,6.1,2.6,4.0
04,09,05,800,,2,*Sabujbagh,"2,441",9.5,11.8,10.7,9.0,7.2,10.0,29.1,6.1,2.6,4.0
04,09,06,,,,Ward No-06 Total,"1,901",8.3,9.8,10.7,9.9,7.7,9.5,30.3,6.8,2.7,4.4
04,09,06,680,,2,*Purba Amtali,"1,901",8.3,9.8,10.7,9.9,7.7,9.5,30.3,6.8,2.7,4.4
04,09,07,,,,Ward No-07 Total,"2,018",8.4,11.8,10.7,8.6,9.1,11.1,27.1,7.0,2.2,3.9
04,09,07,250,,2,*Chhurikata,"2,018",8.4,11.8,10.7,8.6,9.1,11.1,27.1,7.0,2.2,3.9
04,09,08,,,,Ward No-08 Total,"1,648",9.0,12.0,13.3,9.5,7.3,10.3,24.2,6.9,3.1,4.4
04,09,08,150,,2,*Basuki Mouza,"1,016",9.2,11.1,14.9,8.8,7.1,11.3,24.9,6.4,3.0,3.4
04,09,08,750,,2,*Naya Banguli,632,8.7,13.4,10.8,10.8,7.6,8.7,22.9,7.8,3.3,6.0
04,09,09,,,,Ward No-09 Total,"1,112",11.6,12.6,12.7,5.1,6.5,9.7,27.2,5.4,3.0,6.2
04,09,09,350,,2,*Locha,"1,112",11.6,12.6,12.7,5.1,6.5,9.7,27.2,5.4,3.0,6.2
04,09,13,,,,Amtali Union Total,"24,155",10.1,12.5,11.0,6.3,8.1,9.9,25.5,7.3,3.3,6.0
04,09,13,,,1,Amtali Union,"19,658",10.1,12.6,10.8,6.1,8.2,10.0,25.5,7.6,3.3,5.9
04,09,13,,,3,Amtali Union,"4,497",9.9,12.1,11.7,7.3,7.9,9.4,25.7,6.2,3.2,6.6
04,09,13,024,,3,*Amtali,"4,497",9.9,12.1,11.7,7.3,7.9,9.4,25.7,6.2,3.2,6.6
04,09,13,147,,1,*Chalabhanga,"5,393",9.3,13.4,10.8,5.5,7.3,10.1,25.6,8.3,3.7,6.1
04,09,13,147,01,1,Chala Bhanga,"2,035",8.7,12.3,10.6,5.7,6.4,10.8,27.0,8.4,4.4,5.7
04,09,13,147,02,1,Chhota Nilganj,"1,565",10.4,13.5,10.1,5.0,8.9,10.5,24.6,7.9,2.7,6.3
04,09,13,147,03,1,Sarikhali,443,8.1,13.3,12.0,6.3,7.9,9.0,25.1,7.4,4.5,6.3
04,09,13,147,04,1,Bhayla Bunia,809,9.6,13.8,10.5,5.9,7.4,10.0,24.0,9.9,3.1,5.7
04,09,13,147,05,1,Maitha,541,8.1,16.5,12.8,4.8,5.7,6.8,25.9,7.4,4.8,7.2
04,09,13,270,,1,*Chhota Nachna Para,463,11.0,11.9,9.5,5.2,9.3,10.4,25.5,8.4,3.9,5.0
04,09,13,712,,1,*Nachna Para,"4,499",9.4,12.1,10.5,6.1,8.2,9.8,26.5,7.8,3.3,6.3
04,09,13,712,01,1,Uttar Nachna Para,"1,042",8.5,11.1,10.8,7.0,7.9,9.6,26.4,7.9,4.4,6.3
