0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
04,,,,,,Barguna Zila Total,"438,254","322,121","219,357","150,965","218,897","171,156",57.6,59.2,56.1
04,,,,,1,Barguna Zila,"375,575","295,143","186,709","138,271","188,866","156,872",56.0,57.5,54.6
04,,,,,2,Barguna Zila,"49,417","17,710","25,993","8,241","23,424","9,469",73.6,75.9,71.2
04,,,,,3,Barguna Zila,"13,262","9,268","6,655","4,453","6,607","4,815",58.9,59.9,57.8
04,09,,,,,Amtali Upazila Total,"120,582","107,860","60,756","49,983","59,826","57,877",52.8,54.9,50.8
04,09,,,,1,Amtali Upazila,"108,507","101,153","54,464","46,862","54,043","54,291",51.8,53.8,49.9
04,09,,,,2,Amtali Upazila,"10,268","4,670","5,400","2,120","4,868","2,550",68.7,71.8,65.6
04,09,,,,3,Amtali Upazila,"1,807","2,037",892,"1,001",915,"1,036",47.0,47.1,46.9
04,09,,,,2,Amtali  Paurashava,"10,268","4,670","5,400","2,120","4,868","2,550",68.7,71.8,65.6
04,09,01,,,,Ward No-01 Total,559,305,308,142,251,163,64.7,68.4,60.6
04,09,01,165,,2,*Baitaghata,196,77,99,35,97,42,71.8,73.9,69.8
04,09,01,567,,2,*Kalibari Pachim,219,142,141,64,78,78,60.7,68.8,50.0
04,09,01,568,,2,*Kalibari Purba,144,86,68,43,76,43,62.6,61.3,63.9
04,09,02,,,,Ward No-02 Total,843,723,430,322,413,401,53.8,57.2,50.7
04,09,02,400,,2,*Khontakata(Uttar),585,664,299,300,286,364,46.8,49.9,44.0
04,09,02,566,,2,*Kalibari Dakshin,258,59,131,22,127,37,81.4,85.6,77.4
04,09,03,,,,Ward No-03 Total,"1,686",616,887,266,799,350,73.2,76.9,69.5
04,09,03,400,,2,*Kontakata(Dakshin),"1,686",616,887,266,799,350,73.2,76.9,69.5
04,09,04,,,,Ward No-04 Total,"1,800",580,996,246,804,334,75.6,80.2,70.7
04,09,04,233,,2,*Char Para,680,317,362,143,318,174,68.2,71.7,64.6
04,09,04,823,,2,*Sadarpara,"1,120",263,634,103,486,160,81.0,86.0,75.2
04,09,05,,,,Ward No-05 Total,"1,546",534,769,257,777,277,74.3,75.0,73.7
04,09,05,800,,2,*Sabujbagh,"1,546",534,769,257,777,277,74.3,75.0,73.7
04,09,06,,,,Ward No-06 Total,"1,266",398,670,191,596,207,76.1,77.8,74.2
04,09,06,680,,2,*Purba Amtali,"1,266",398,670,191,596,207,76.1,77.8,74.2
04,09,07,,,,Ward No-07 Total,"1,360",387,723,161,637,226,77.8,81.8,73.8
04,09,07,250,,2,*Chhurikata,"1,360",387,723,161,637,226,77.8,81.8,73.8
04,09,08,,,,Ward No-08 Total,820,591,433,277,387,314,58.1,61.0,55.2
04,09,08,150,,2,*Basuki Mouza,541,327,286,154,255,173,62.3,65.0,59.6
04,09,08,750,,2,*Naya Banguli,279,264,147,123,132,141,51.4,54.4,48.4
04,09,09,,,,Ward No-09 Total,388,536,184,258,204,278,42.0,41.6,42.3
04,09,09,350,,2,*Locha,388,536,184,258,204,278,42.0,41.6,42.3
04,09,13,,,,Amtali Union Total,"10,389","10,152","5,207","4,866","5,182","5,286",50.6,51.7,49.5
04,09,13,,,1,Amtali Union,"8,582","8,115","4,315","3,865","4,267","4,250",51.4,52.8,50.1
04,09,13,,,3,Amtali Union,"1,807","2,037",892,"1,001",915,"1,036",47.0,47.1,46.9
04,09,13,024,,3,*Amtali,"1,807","2,037",892,"1,001",915,"1,036",47.0,47.1,46.9
04,09,13,147,,1,*Chalabhanga,"2,401","2,228","1,234","1,040","1,167","1,188",51.9,54.3,49.6
