0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
04,,,,,,Barguna Zila Total,"17,216","13,999","15,477","16,933","3,420","2,043","22,943","40,651",695,291,"32,746","47,401"
04,,,,,1,Barguna Zila,"14,388","11,463","13,769","15,185","2,703","1,474","20,274","36,172",513,188,"28,417","41,645"
04,,,,,2,Barguna Zila,"2,273","2,036","1,252","1,291",613,475,"1,958","3,255",156,87,"3,312","4,337"
04,,,,,3,Barguna Zila,555,500,456,457,104,94,711,"1,224",26,16,"1,017","1,419"
04,09,,,,,Amtali Upazila Total,"4,445","3,376","4,627","5,187",845,485,"6,925","12,572",181,88,"9,908","14,583"
04,09,,,,1,Amtali Upazila,"3,880","2,876","4,274","4,812",709,362,"6,382","11,630",130,59,"9,039","13,305"
04,09,,,,2,Amtali Upazila,483,440,250,290,127,113,411,737,50,27,690,"1,038"
04,09,,,,3,Amtali Upazila,82,60,103,85,9,10,132,205,1,2,179,240
04,09,,,,2,Amtali  Paurashava,483,440,250,290,127,113,411,737,50,27,690,"1,038"
04,09,01,,,,Ward No-01 Total,31,18,10,6,3,3,16,34,1,1,28,80
04,09,01,165,,2,*Baitaghata,9,7,3,0,0,0,4,12,0,0,11,29
04,09,01,567,,2,*Kalibari Pachim,15,8,4,2,2,1,7,13,1,0,9,27
04,09,01,568,,2,*Kalibari Purba,7,3,3,4,1,2,5,9,0,1,8,24
04,09,02,,,,Ward No-02 Total,41,61,14,39,17,28,46,84,8,1,68,111
04,09,02,400,,2,*Khontakata(Uttar),35,49,10,31,16,27,33,71,4,1,60,82
04,09,02,566,,2,*Kalibari Dakshin,6,12,4,8,1,1,13,13,4,0,8,29
04,09,03,,,,Ward No-03 Total,86,71,30,38,25,18,50,139,13,2,109,156
04,09,03,400,,2,*Kontakata(Dakshin),86,71,30,38,25,18,50,139,13,2,109,156
04,09,04,,,,Ward No-04 Total,54,73,58,37,18,11,86,112,5,3,140,152
