0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
06,,,,,,Barisal Zila Total,868543,40.2,58.9,0.9,0.1,926589,26.9,64.5,8.2,0.3
06,,,,,1,Barisal Zila,656638,39.5,59.4,1.0,0.1,720587,26.5,64.7,8.5,0.3
06,,,,,2,Barisal Zila,184289,42.4,56.8,0.7,0.1,176911,28.3,64.1,7.2,0.5
06,,,,,3,Barisal Zila,27616,40.4,58.6,1.0,0.1,29091,27.0,63.8,8.7,0.5
06,02,,,,,Agailjhara Upazila Total,56086,40.8,58.0,1.2,0.1,61011,26.6,62.5,10.5,0.3
06,02,,,,1,Agailjhara Upazila,51842,40.7,58.0,1.2,0.1,56643,26.7,62.4,10.6,0.3
06,02,,,,3,Agailjhara Upazila,4244,41.6,57.2,1.2,0.0,4368,25.9,63.6,10.1,0.4
06,02,13,,,,Bagdha Union Total,11089,41.2,57.6,1.1,0.0,12127,26.2,62.8,10.4,0.5
06,02,13,019,,1,*Ambala,1436,42.3,56.5,1.2,0.0,1682,29.4,61.1,8.4,1.0
06,02,13,024,,1,*Ashkar,302,40.7,57.6,1.7,0.0,308,30.2,62.0,7.8,0.0
06,02,13,049,,1,*Bagdha,3410,44.3,55.0,0.5,0.1,3496,24.5,66.5,8.8,0.3
06,02,13,049,01,1,Paschim Bagdha,1199,43.4,56.0,0.7,0.0,1250,22.2,66.4,11.2,0.2
06,02,13,049,02,1,Purba Bagdha,1147,45.0,54.3,0.5,0.2,1183,26.5,65.2,7.9,0.4
06,02,13,049,03,1,Khajuria,1064,44.7,54.8,0.4,0.1,1063,24.9,68.0,6.9,0.2
06,02,13,196,,1,*Chand Trishira,1639,42.5,56.2,1.3,0.0,1853,28.0,61.8,9.8,0.4
06,02,13,401,,1,*Gopal Sen,433,36.7,62.4,0.9,0.0,490,26.5,62.4,10.8,0.2
06,02,13,401,01,1,Gopal Sen,175,34.3,64.6,1.1,0.0,187,26.7,60.4,12.3,0.5
06,02,13,401,02,1,Khachikandi,173,38.7,60.1,1.2,0.0,208,25.5,61.1,13.5,0.0
06,02,13,401,03,1,Nimarpar,85,37.6,62.4,0.0,0.0,95,28.4,69.5,2.1,0.0
06,02,13,436,,1,*Jobarpar,1563,38.1,59.9,2.0,0.0,1741,25.6,60.0,14.1,0.3
06,02,13,436,01,1,Jobarpar,872,39.6,58.5,1.9,0.0,956,24.9,58.7,16.1,0.3
06,02,13,436,02,1,Somairpar,363,39.1,59.5,1.4,0.0,412,28.6,60.9,10.2,0.2
06,02,13,436,03,1,Nagirpar,328,33.2,64.0,2.7,0.0,373,23.9,62.5,13.4,0.3
06,02,13,455,,1,*Joyram Patti,386,41.5,58.0,0.5,0.0,448,24.1,62.3,10.9,2.7
06,02,13,475,,1,*Kalirbari,1920,37.3,61.3,1.4,0.0,2109,25.5,61.6,12.5,0.5
06,02,13,475,01,1,Kalirbari,1581,36.2,62.1,1.6,0.0,1765,25.3,61.5,12.7,0.5
06,02,13,475,02,1,Chakribari,339,42.5,57.2,0.3,0.0,344,26.5,61.9,11.0,0.6
06,02,15,,,,Bakal Union Total,9780,40.0,58.9,1.1,0.1,10322,26.1,62.1,11.5,0.4
06,02,15,,,1,Bakal Union,8385,39.2,59.6,1.1,0.1,8996,26.1,61.3,12.2,0.4
06,02,15,,,3,Bakal Union,1395,44.4,54.8,0.9,0.0,1326,25.9,67.5,6.3,0.3
06,02,15,073,,1,*Bakal,1598,40.1,59.0,0.9,0.1,1732,27.7,59.8,11.8,0.6
06,02,15,249,,1,*Dakshin Bara Magra,231,33.8,63.6,2.6,0.0,271,25.5,57.2,17.3,0.0
06,02,15,362,,1,*Dumuria,125,48.0,51.2,0.8,0.0,141,27.0,56.0,17.0,0.0
06,02,15,441,,1,*Jalirpar,401,38.9,58.1,3.0,0.0,449,29.0,58.1,12.9,0.0
06,02,15,450,,1,*Jasar,453,37.3,61.8,0.7,0.2,509,22.4,66.8,10.6,0.2
06,02,15,529,,1,*Kodal Dhoa,2141,38.6,60.0,1.2,0.1,2332,25.0,61.7,13.0,0.3
06,02,15,529,01,1,Kodal Dhoa,934,40.5,58.2,1.1,0.2,1038,26.0,58.8,15.0,0.2
06,02,15,529,02,1,Ambari,371,41.0,58.8,0.3,0.0,418,27.0,61.0,12.0,0.0
06,02,15,529,03,1,Andhar Manik,191,33.0,65.4,1.6,0.0,202,25.7,64.4,9.4,0.5
06,02,15,529,04,1,Kadambari,193,34.7,64.8,0.5,0.0,208,18.3,71.6,9.6,0.5
06,02,15,529,05,1,Phanabari,239,37.7,59.4,2.5,0.4,233,20.6,64.8,13.7,0.9
06,02,15,529,06,1,Rajapur,112,37.5,58.0,4.5,0.0,125,27.2,61.6,11.2,0.0
06,02,15,529,07,1,Shimulbari,101,34.7,65.3,0.0,0.0,108,25.9,63.0,11.1,0.0
06,02,15,588,,3,*Manasi Phulasree,1395,44.4,54.8,0.9,0.0,1326,25.9,67.5,6.3,0.3
06,02,15,632,,1,*Naopara,235,41.3,57.4,0.9,0.4,252,29.0,54.4,15.1,1.6
06,02,15,656,,1,*Pakurta,521,42.4,57.0,0.6,0.0,518,26.1,58.1,15.3,0.6
06,02,15,735,,1,*Paysa,1568,39.5,59.6,0.8,0.1,1624,26.0,62.1,11.5,0.4
06,02,15,852,,1,*Sarbari,181,40.3,59.1,0.6,0.0,181,28.7,71.3,0.0,0.0
06,02,15,872,,1,*Shibbari,191,33.0,66.0,1.0,0.0,207,23.2,73.4,3.4,0.0
06,02,15,921,,1,*Tetla,356,40.4,59.0,0.6,0.0,361,27.1,60.1,12.7,0.0
06,02,15,936,,1,*Uttar Bara Magra,384,37.0,61.2,1.8,0.0,419,25.3,61.1,12.9,0.7
06,02,47,,,,Gaila Union Total,12190,39.8,59.0,1.1,0.1,13428,25.9,63.3,10.5,0.4
06,02,47,,,1,Gaila Union,9341,39.7,59.2,1.0,0.1,10386,25.9,63.7,10.1,0.4
06,02,47,,,3,Gaila Union,2849,40.2,58.4,1.4,0.0,3042,25.9,61.9,11.7,0.4
06,02,47,186,,3,*Budhar,1631,41.5,57.2,1.3,0.0,1717,25.5,61.4,12.6,0.5
06,02,47,328,,1,*Dakshin Sihi Pasha,610,41.5,57.4,0.8,0.3,631,27.1,63.4,8.6,1.0
06,02,47,333,,1,*Daspatti,254,36.6,61.0,2.4,0.0,276,23.9,63.0,13.0,0.0
06,02,47,367,,1,*Gaila,736,39.1,59.6,1.1,0.1,858,27.9,60.3,11.5,0.3
06,02,47,485,,1,*Kalu Para,718,40.8,58.4,0.7,0.1,743,25.8,64.5,8.9,0.8
06,02,47,509,,1,*Kathira,264,41.3,56.4,2.3,0.0,279,25.1,58.1,16.8,0.0
06,02,47,568,,1,*Madhya Sihi Pasha,537,40.8,58.3,0.9,0.0,623,25.8,63.4,10.1,0.6
06,02,47,607,,1,*Murihar,190,30.5,67.4,2.1,0.0,212,26.9,66.5,6.6,0.0
06,02,47,695,,3,*Paschim Kathira,325,39.4,60.0,0.6,0.0,349,25.2,71.3,3.4,0.0
06,02,47,720,,3,*Paschim Sujankati,893,38.2,60.0,1.8,0.0,976,27.0,59.5,13.1,0.3
06,02,47,730,,1,*Patihar,847,38.5,60.7,0.8,0.0,912,22.1,67.5,9.9,0.4
06,02,47,774,,1,*Purba Kathira,112,38.4,60.7,0.9,0.0,111,18.9,70.3,10.8,0.0
06,02,47,779,,1,*Purba Rahut Para,238,32.4,65.1,2.5,0.0,264,22.0,61.7,15.9,0.4
06,02,47,794,,1,*Purba Sujankati,1089,38.1,61.0,0.9,0.0,1266,26.7,65.1,8.2,0.0
06,02,47,867,,1,*Seral,977,44.2,55.0,0.6,0.2,1134,28.0,60.3,11.4,0.4
06,02,47,896,,1,*Talta,973,41.8,57.0,1.1,0.0,1039,26.9,64.0,8.8,0.3
06,02,47,916,,1,*Temar,222,35.1,63.1,1.8,0.0,265,26.8,60.8,12.5,0.0
06,02,47,994,,1,*Uttar Sihi Pasha,1574,39.4,59.8,0.7,0.1,1773,25.2,65.0,9.5,0.3
06,02,79,,,,Rajiher Union Total,11877,40.0,58.8,1.1,0.1,13086,27.9,62.1,9.8,0.2
06,02,79,014,,1,*Ahuti Bhatra,1836,35.8,63.3,0.8,0.0,2058,25.9,63.4,10.4,0.2
06,02,79,014,01,1,Ahuti Bhatra,440,31.8,67.7,0.5,0.0,516,25.2,63.0,11.8,0.0
06,02,79,014,02,1,Ahuti,218,33.9,64.7,1.4,0.0,249,23.3,69.1,7.6,0.0
06,02,79,014,03,1,Bahadurpur,913,37.1,61.8,1.1,0.0,997,27.9,60.9,10.7,0.5
06,02,79,014,04,1,Magura,265,39.6,60.4,0.0,0.0,296,23.0,67.6,9.5,0.0
06,02,79,098,,1,*Bara Basail,1899,42.3,56.2,1.5,0.0,2119,30.6,57.3,11.8,0.3
06,02,79,132,,1,*Basunda,211,37.9,56.4,3.3,2.4,241,32.4,57.7,9.1,0.8
06,02,79,161,,1,*Bhatra,301,35.9,63.1,1.0,0.0,337,25.2,65.0,9.8,0.0
06,02,79,230,,1,*Chengtia,551,36.5,62.1,1.5,0.0,607,24.2,69.0,6.6,0.2
06,02,79,240,,1,*Chhota Basail,295,40.0,60.0,0.0,0.0,363,24.8,69.7,5.5,0.0
06,02,79,245,,1,*Chhota Dumuria,235,38.3,59.1,2.6,0.0,277,30.3,59.6,9.7,0.4
06,02,79,264,,1,*Dakshin Bhajna,212,38.7,59.4,1.9,0.0,213,22.1,61.5,16.4,0.0
06,02,79,269,,1,*Dakshin Bhaluksi,136,41.2,58.8,0.0,0.0,186,27.4,59.7,12.4,0.5
06,02,79,392,,1,*Goail,298,43.6,56.4,0.0,0.0,288,27.4,72.6,0.0,0.0
06,02,79,470,,1,*Kalaia,140,32.1,67.1,0.7,0.0,191,22.0,60.2,16.2,1.6
06,02,79,499,,1,*Kandirpar Chengtia,508,37.0,61.6,1.4,0.0,584,27.1,61.1,11.8,0.0
06,02,79,514,,1,*Kazirgram Sajuria,146,43.8,56.2,0.0,0.0,150,34.7,60.7,4.7,0.0
06,02,79,548,,1,*Lakhar Matia,324,45.1,54.9,0.0,0.0,389,30.1,65.6,3.9,0.5
06,02,79,691,,1,*Paschim Goail,392,42.1,56.9,1.0,0.0,404,29.5,58.7,11.9,0.0
06,02,79,700,,1,*Paschim Rajihar,178,43.3,55.6,1.1,0.0,194,38.1,55.2,6.7,0.0
06,02,79,764,,1,*Purba Goail,283,45.2,53.7,1.1,0.0,274,30.3,60.6,8.8,0.4
06,02,79,798,,1,*Rajihar,1327,43.6,55.5,0.9,0.0,1329,29.5,59.8,10.5,0.2
06,02,79,803,,1,*Ramananderak,886,40.5,58.9,0.6,0.0,941,29.4,63.5,7.0,0.0
06,02,79,808,,1,*Rangta,1014,37.4,60.2,2.3,0.2,1171,25.0,63.9,10.8,0.3
06,02,79,828,,1,*Sajuria,65,50.8,49.2,0.0,0.0,75,30.7,57.3,12.0,0.0
06,02,79,892,,1,*Sutarbari,119,44.5,55.5,0.0,0.0,110,20.0,70.0,9.1,0.9
06,02,79,945,,1,*Uttar Bhaluksi,400,40.3,59.5,0.0,0.3,461,25.8,63.8,10.2,0.2
06,02,79,990,,1,*Uttar Sajuria,121,40.5,58.7,0.8,0.0,124,27.4,61.3,11.3,0.0
06,02,87,,,,Ratnapur Union Total,11150,43.0,55.5,1.4,0.1,12048,27.0,62.1,10.7,0.2
06,02,87,112,,1,*Bara Paika,2491,39.4,58.5,2.0,0.1,2785,26.8,60.4,12.6,0.2
06,02,87,117,,1,*Barohazar Bariali,478,42.3,56.1,1.0,0.6,574,26.8,64.5,8.5,0.2
06,02,87,151,,1,*Beluhar,640,41.3,57.5,1.3,0.0,764,27.6,64.9,7.3,0.1
06,02,87,191,,1,*Chaukati,418,41.4,57.7,0.7,0.2,504,26.4,66.9,6.7,0.0
06,02,87,205,,1,*Chapachupa,111,40.5,58.6,0.9,0.0,101,19.8,69.3,10.9,0.0
06,02,87,235,,1,*Chhaygram,877,45.5,54.2,0.3,0.0,999,24.8,66.1,8.7,0.4
06,02,87,338,,1,*Datterabad,572,42.5,55.9,1.6,0.0,715,25.9,62.4,11.0,0.7
06,02,87,377,,1,*Gauhar,301,40.2,58.5,1.3,0.0,309,24.9,67.6,7.4,0.0
06,02,87,597,,1,*Mohankati,594,47.6,51.0,1.3,0.0,541,26.2,61.9,11.8,0.0
06,02,87,602,,1,*Mollah Para,2068,46.8,51.3,1.9,0.0,1946,28.4,60.3,11.2,0.2
06,02,87,612,,1,*Nagar,511,42.1,57.7,0.2,0.0,520,28.5,60.2,11.3,0.0
06,02,87,612,01,1,Nagar,334,42.5,57.2,0.3,0.0,359,29.5,56.0,14.5,0.0
06,02,87,612,02,1,Dighibali,177,41.2,58.8,0.0,0.0,161,26.1,69.6,4.3,0.0
06,02,87,813,,1,*Ratanpur,1310,38.9,59.2,1.7,0.2,1520,25.7,63.3,10.7,0.3
06,02,87,901,,1,*Talta Aicha,354,53.4,45.5,1.1,0.0,355,34.6,53.0,12.4,0.0
06,02,87,926,,1,*Thaneshwar Kati,425,47.8,52.2,0.0,0.0,415,28.2,59.3,12.5,0.0
06,02,87,926,01,1,Sundargaon,147,46.9,53.1,0.0,0.0,171,29.2,60.8,9.9,0.0
06,02,87,926,02,1,Thaneshwar Kati,278,48.2,51.8,0.0,0.0,244,27.5,58.2,14.3,0.0
06,03,,,,,Babuganj Upazila Total,52568,40.9,58.1,1.0,0.1,58325,26.9,63.6,9.1,0.3
