0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
06,,,,,,Barisal Zila Total,1211181,766597,595201,366668,615980,399929,61.2,61.9,60.6
06,,,,,1,Barisal Zila,881728,644666,423981,308544,457747,336122,57.8,57.9,57.7
06,,,,,2,Barisal Zila,287175,102261,150161,48855,137014,53406,73.7,75.5,72.0
06,,,,,3,Barisal Zila,42278,19670,21059,9269,21219,10401,68.2,69.4,67.1
06,02,,,,,Agailjhara Upazila Total,80985,47696,40594,21447,40391,26249,62.9,65.4,60.6
06,02,,,,1,Agailjhara Upazila,74226,45073,37104,20307,37122,24766,62.2,64.6,60.0
06,02,,,,3,Agailjhara Upazila,6759,2623,3490,1140,3269,1483,72.0,75.4,68.8
06,02,13,,,,Bagdha Union Total,15361,10393,7553,4818,7808,5575,59.6,61.1,58.3
06,02,13,019,,1,*Ambala,2291,1189,1093,538,1198,651,65.8,67.0,64.8
06,02,13,024,,1,*Ashkar,279,380,136,188,143,192,42.3,42.0,42.7
06,02,13,049,,1,*Bagdha,4082,3647,2014,1808,2068,1839,52.8,52.7,52.9
06,02,13,049,01,1,Paschim Bagdha,1656,1082,819,519,837,563,60.5,61.2,59.8
06,02,13,049,02,1,Purba Bagdha,1395,1203,672,612,723,591,53.7,52.3,55.0
06,02,13,049,03,1,Khajuria,1031,1362,523,677,508,685,43.1,43.6,42.6
06,02,13,196,,1,*Chand Trishira,1903,1975,918,934,985,1041,49.1,49.6,48.6
06,02,13,401,,1,*Gopal Sen,557,472,282,204,275,268,54.1,58.0,50.6
06,02,13,401,01,1,Gopal Sen,179,221,92,97,87,124,44.8,48.7,41.2
06,02,13,401,02,1,Khachikandi,248,188,123,83,125,105,56.9,59.7,54.3
06,02,13,401,03,1,Nimarpar,130,63,67,24,63,39,67.4,73.6,61.8
06,02,13,436,,1,*Jobarpar,2645,1018,1313,422,1332,596,72.2,75.7,69.1
06,02,13,436,01,1,Jobarpar,1480,569,745,216,735,353,72.2,77.5,67.6
06,02,13,436,02,1,Somairpar,629,223,307,103,322,120,73.8,74.9,72.9
06,02,13,436,03,1,Nagirpar,536,226,261,103,275,123,70.3,71.7,69.1
06,02,13,455,,1,*Joyram Patti,549,389,255,179,294,210,58.5,58.8,58.3
06,02,13,475,,1,*Kalirbari,3055,1323,1542,545,1513,778,69.8,73.9,66.0
06,02,13,475,01,1,Kalirbari,2586,1068,1286,441,1300,627,70.8,74.5,67.5
06,02,13,475,02,1,Chakribari,469,255,256,104,213,151,64.8,71.1,58.5
06,02,15,,,,Bakal Union Total,13910,8199,7134,3673,6776,4526,62.9,66.0,60.0
06,02,15,,,1,Bakal Union,11675,7465,5940,3337,5735,4128,61.0,64.0,58.1
