0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
06,,,,,,Barisal Zila Total,54005,52772,49729,52940,15730,10255,60509,98449,2939,1376,76358,104790
06,,,,,1,Barisal Zila,39042,38554,38687,41088,7572,4781,45130,75784,1393,655,55552,79337
06,,,,,2,Barisal Zila,13126,12326,9541,10182,7563,5073,13394,19642,1441,673,18346,22195
06,,,,,3,Barisal Zila,1837,1892,1501,1670,595,401,1985,3023,105,48,2460,3258
06,02,,,,,Agailjhara Upazila Total,3954,3764,2860,3065,879,532,3918,6137,185,73,4835,6726
06,02,,,,1,Agailjhara Upazila,3621,3436,2648,2855,821,484,3614,5685,171,66,4457,6218
06,02,,,,3,Agailjhara Upazila,333,328,212,210,58,48,304,452,14,7,378,508
06,02,13,,,,Bagdha Union Total,639,647,597,589,130,65,743,1116,23,12,832,1279
06,02,13,019,,1,*Ambala,109,104,71,71,13,10,81,154,1,2,101,173
06,02,13,024,,1,*Ashkar,21,16,24,24,4,5,23,23,1,0,20,44
06,02,13,049,,1,*Bagdha,167,153,232,185,25,9,240,341,6,3,266,379
06,02,13,049,01,1,Paschim Bagdha,63,60,79,62,6,4,74,139,3,1,92,147
06,02,13,049,02,1,Purba Bagdha,55,51,73,67,10,2,82,121,1,1,97,141
06,02,13,049,03,1,Khajuria,49,42,80,56,9,3,84,81,2,1,77,91
06,02,13,196,,1,*Chand Trishira,83,100,96,73,21,3,109,179,3,1,109,158
06,02,13,401,,1,*Gopal Sen,17,20,15,31,6,5,32,41,0,0,30,63
06,02,13,401,01,1,Gopal Sen,6,8,7,6,4,1,13,11,0,0,12,31
06,02,13,401,02,1,Khachikandi,7,8,6,16,1,2,11,25,0,0,15,26
06,02,13,401,03,1,Nimarpar,4,4,2,9,1,2,8,5,0,0,3,6
06,02,13,436,,1,*Jobarpar,105,114,50,63,23,15,91,144,9,1,122,177
06,02,13,436,01,1,Jobarpar,73,75,28,21,19,6,31,63,7,1,58,93
06,02,13,436,02,1,Somairpar,19,21,16,27,1,4,42,50,0,0,32,41
06,02,13,436,03,1,Nagirpar,13,18,6,15,3,5,18,31,2,0,32,43
06,02,13,455,,1,*Joyram Patti,27,22,18,28,2,0,24,46,0,0,28,54
06,02,13,475,,1,*Kalirbari,110,118,91,114,36,18,143,188,3,5,156,231
06,02,13,475,01,1,Kalirbari,92,100,72,102,27,16,110,151,3,5,127,198
06,02,13,475,02,1,Chakribari,18,18,19,12,9,2,33,37,0,0,29,33
06,02,15,,,,Bakal Union Total,678,624,471,500,143,85,698,988,26,15,902,1212
06,02,15,,,1,Bakal Union,593,556,374,423,132,70,595,856,23,14,775,1033
06,02,15,,,3,Bakal Union,85,68,97,77,11,15,103,132,3,1,127,179
06,02,15,073,,1,*Bakal,116,104,64,77,29,12,86,175,8,2,152,215
06,02,15,249,,1,*Dakshin Bara Magra,11,21,5,10,6,2,14,30,0,0,27,25
