0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
06,,,,,,Barisal Zila Total,2324310,1.3,0.2,0.2,0.1,0.5,0.2,0.1
06,,,,,1,Barisal Zila,1805294,1.4,0.2,0.3,0.1,0.6,0.2,0.1
06,,,,,2,Barisal Zila,447057,1.1,0.2,0.2,0.1,0.4,0.2,0.1
06,,,,,3,Barisal Zila,71959,1.3,0.2,0.2,0.1,0.4,0.2,0.1
06,02,,,,,Agailjhara Upazila Total,149456,1.7,0.2,0.3,0.2,0.7,0.2,0.1
06,02,,,,1,Agailjhara Upazila,138599,1.7,0.2,0.3,0.2,0.8,0.2,0.1
06,02,,,,3,Agailjhara Upazila,10857,1.3,0.2,0.3,0.2,0.5,0.1,0.1
06,02,13,,,,Bagdha Union Total,30306,2.3,0.2,0.5,0.3,0.9,0.2,0.1
06,02,15,,,,Bakal Union Total,25721,1.3,0.2,0.2,0.1,0.5,0.2,0.1
06,02,15,,,1,Bakal Union,22218,1.3,0.2,0.2,0.1,0.5,0.2,0.1
06,02,15,,,3,Bakal Union,3503,1.2,0.3,0.3,0.1,0.5,0.1,0.1
06,02,47,,,,Gaila Union Total,32323,1.6,0.2,0.3,0.2,0.7,0.2,0.1
06,02,47,,,1,Gaila Union,24969,1.6,0.2,0.2,0.2,0.8,0.2,0.1
06,02,47,,,3,Gaila Union,7354,1.4,0.2,0.3,0.2,0.5,0.1,0.1
06,02,79,,,,Rajiher Union Total,31825,1.6,0.2,0.3,0.1,0.7,0.1,0.1
06,02,87,,,,Ratnapur Union Total,29281,1.8,0.3,0.3,0.2,0.8,0.2,0.2
06,03,,,,,Babuganj Upazila Total,140361,1.2,0.2,0.2,0.1,0.4,0.2,0.1
06,03,,,,1,Babuganj Upazila,130514,1.2,0.2,0.2,0.1,0.5,0.2,0.1
06,03,,,,3,Babuganj Upazila,9847,0.8,0.2,0.1,0.1,0.2,0.1,0.1
06,03,13,,,,Jahangir Nagar(Agarpur) Union Total,24281,1.1,0.2,0.1,0.1,0.4,0.2,0.1
06,03,27,,,,Chandpasha Union Total,24092,1.6,0.2,0.2,0.2,0.6,0.3,0.1
06,03,40,,,,Dehergati Union Total,19723,1.1,0.2,0.2,0.1,0.3,0.2,0.0
06,03,54,,,,Kedarpur Union Total,19934,1.4,0.2,0.2,0.1,0.7,0.2,0.0
06,03,67,,,,Madhab Pasha Union Total,27972,1.1,0.2,0.1,0.1,0.4,0.2,0.2
06,03,81,,,,Rahmatpur Union Total,24359,0.8,0.1,0.1,0.1,0.2,0.2,0.1
06,03,81,,,1,Rahmatpur Union,14512,0.8,0.1,0.1,0.0,0.2,0.2,0.1
06,03,81,,,3,Rahmatpur Union,9847,0.8,0.2,0.1,0.1,0.2,0.1,0.1
06,07,,,,,Bakerganj Upazila Total,313845,1.3,0.2,0.2,0.1,0.5,0.1,0.1
06,07,,,,1,Bakerganj Upazila,294353,1.3,0.2,0.2,0.1,0.5,0.1,0.1
06,07,,,,2,Bakerganj Upazila,15418,1.0,0.1,0.1,0.1,0.5,0.2,0.1
06,07,,,,3,Bakerganj Upazila,4074,1.3,0.3,0.2,0.1,0.4,0.1,0.2
06,07,,,,2,Bakerganj  Paurashava,15418,1.0,0.1,0.1,0.1,0.5,0.2,0.1
06,07,01,,,,Ward No-01 Total,2402,1.0,0.1,0.1,0.0,0.5,0.2,0.2
06,07,02,,,,Ward No-02 Total,1249,0.4,0.0,0.1,0.1,0.1,0.1,0.1
06,07,03,,,,Ward No-03 Total,1193,0.5,0.1,0.0,0.0,0.2,0.1,0.2
06,07,04,,,,Ward No-04 Total,1840,1.0,0.2,0.0,0.2,0.5,0.2,0.0
06,07,05,,,,Ward No-05 Total,2095,1.4,0.1,0.0,0.2,0.7,0.3,0.1
06,07,06,,,,Ward No-06 Total,2491,1.2,0.3,0.1,0.0,0.6,0.1,0.2
06,07,07,,,,Ward No-07 Total,1738,1.1,0.3,0.1,0.0,0.4,0.2,0.1
06,07,08,,,,Ward No-08 Total,1169,1.5,0.2,0.6,0.0,0.6,0.1,0.0
06,07,09,,,,Ward No-09 Total,1241,0.6,0.1,0.1,0.0,0.3,0.2,0.0
06,07,12,,,,Bhar Pasha Union Total,18743,1.4,0.3,0.2,0.1,0.5,0.1,0.1
06,07,12,,,1,Bhar Pasha Union,15333,1.4,0.3,0.2,0.1,0.5,0.1,0.1
06,07,12,,,3,Bhar Pasha Union,3410,1.6,0.4,0.3,0.1,0.5,0.2,0.2
06,07,13,,,,Charadi Union Total,19233,1.4,0.2,0.2,0.2,0.5,0.2,0.1
06,07,20,,,,Char Amaddi Union Total,18122,1.1,0.1,0.1,0.0,0.5,0.2,0.1
06,07,27,,,,Darial Union Total,26628,1.5,0.2,0.2,0.1,0.7,0.1,0.1
06,07,33,,,,Dudhal Union Total,21909,1.9,0.2,0.4,0.1,0.9,0.2,0.2
06,07,40,,,,Durga Pasha Union Total,13338,1.7,0.3,0.4,0.1,0.6,0.2,0.1
06,07,47,,,,Faridpur Union Total,18649,1.9,0.1,0.2,0.1,1.2,0.1,0.2
06,07,54,,,,Garuria Union Total,24930,1.1,0.2,0.1,0.1,0.4,0.2,0.1
06,07,61,,,,Kabai Union Total,21197,1.2,0.2,0.2,0.1,0.4,0.1,0.1
06,07,67,,,,Kalaskati Union Total,24223,1.0,0.1,0.3,0.1,0.4,0.1,0.1
06,07,74,,,,Nalua Union Total,9270,1.1,0.2,0.3,0.1,0.4,0.1,0.0
06,07,81,,,,Niamati Union Total,24073,1.1,0.2,0.2,0.1,0.4,0.1,0.1
06,07,88,,,,Padri Shibpur Union Total,25258,1.0,0.2,0.2,0.1,0.4,0.1,0.1
06,07,94,,,,Rangasree Union Total,32854,1.2,0.2,0.2,0.1,0.4,0.2,0.1
06,07,94,,,1,Rangasree Union,32190,1.2,0.2,0.2,0.1,0.4,0.2,0.1
06,07,94,,,3,Rangasree Union,664,0.2,0.0,0.0,0.0,0.0,0.0,0.2
06,10,,,,,Banari Para Upazila Total,148188,1.3,0.2,0.2,0.1,0.6,0.1,0.1
06,10,,,,1,Banari Para Upazila,131306,1.3,0.2,0.2,0.1,0.6,0.1,0.1
06,10,,,,2,Banari Para Upazila,10366,1.3,0.1,0.3,0.1,0.6,0.1,0.1
06,10,,,,3,Banari Para Upazila,6516,1.5,0.2,0.3,0.1,0.5,0.3,0.1
06,10,,,,2,Banari Para  Paurashava,10366,1.3,0.1,0.3,0.1,0.6,0.1,0.1
06,10,01,,,,Ward No-01 Total,1770,3.1,0.0,1.3,0.3,1.2,0.1,0.1
06,10,02,,,,Ward No-02 Total,1459,0.2,0.0,0.0,0.0,0.1,0.1,0.0
06,10,03,,,,Ward No-03 Total,991,1.7,0.4,0.1,0.2,0.6,0.2,0.2
06,10,04,,,,Ward No-04 Total,1220,0.7,0.2,0.0,0.0,0.5,0.0,0.0
06,10,05,,,,Ward No-05 Total,1032,0.5,0.1,0.2,0.0,0.1,0.1,0.0
06,10,06,,,,Ward No-06 Total,870,1.4,0.2,0.1,0.1,0.7,0.1,0.1
06,10,07,,,,Ward No-07 Total,536,0.9,0.2,0.0,0.0,0.6,0.2,0.0
06,10,08,,,,Ward No-08 Total,882,1.1,0.1,0.0,0.1,0.7,0.2,0.0
06,10,09,,,,Ward No-09 Total,1606,1.2,0.1,0.1,0.0,0.7,0.1,0.2
06,10,10,,,,Banaripara Union Total,11609,1.0,0.2,0.1,0.1,0.4,0.1,0.1
06,10,21,,,,Baisari Union Total,15272,1.3,0.2,0.3,0.1,0.7,0.1,0.1
06,10,31,,,,Bisarkandi Union Total,21034,1.4,0.2,0.1,0.2,0.6,0.1,0.1
06,10,42,,,,Chakhar Union Total,16009,1.6,0.1,0.2,0.1,0.8,0.2,0.1
06,10,42,,,1,Chakhar Union,12927,1.4,0.1,0.1,0.1,0.9,0.1,0.1
06,10,42,,,3,Chakhar Union,3082,2.1,0.3,0.6,0.1,0.7,0.3,0.2
06,10,52,,,,Iluhar Union Total,18811,1.2,0.2,0.2,0.1,0.5,0.2,0.1
06,10,63,,,,Salia Bakpur Union Total,19592,1.1,0.2,0.1,0.1,0.4,0.1,0.2
06,10,63,,,1,Salia Bakpur Union,16158,1.2,0.2,0.1,0.1,0.4,0.1,0.2
