0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
06,,,,,,Barisal Zila Total,,404261 186511 217750 143565,,,10113,1775,690,,3858 157079,37313,49868
06,,,,,1,Barisal Zila,,342205 158438 183767 122328,,,6159,1475,569,,3364 135902,31271,41137
06,,,,,2,Barisal Zila,52102,23604,28498,17751,3697,264,98,417,17278,5172,7425
06,,,,,3,Barisal Zila,9954,4469,5485,3486,257,36,23,77,3899,870,1306
06,02,,,,,Agailjhara Upazila Total,22906,9283,13623,6818,613,55,31,299,9402,2111,3577
06,02,,,,1,Agailjhara Upazila,21853,8879,12974,6537,582,52,31,293,9004,1997,3357
06,02,,,,3,Agailjhara Upazila,1053,404,649,281,31,3,0,6,398,114,220
06,02,13,,,,Bagdha Union Total,5045,2114,2931,1563,137,24,14,42,1971,485,809
06,02,13,019,,1,*Ambala,720,289,431,197,31,3,1,8,274,81,125
06,02,13,024,,1,*Ashkar,241,114,127,86,7,1,0,7,93,20,27
06,02,13,049,,1,*Bagdha,1952,885,1067,681,46,13,6,12,766,179,249
06,02,13,049,01,1,Paschim Bagdha,714,329,385,240,35,8,2,5,241,76,107
06,02,13,049,02,1,Purba Bagdha,503,224,279,179,2,4,3,2,227,39,47
06,02,13,049,03,1,Khajuria,735,332,403,262,9,1,1,5,298,64,95
06,02,13,196,,1,*Chand Trishira,673,283,390,210,13,4,3,2,260,67,114
06,02,13,401,,1,*Gopal Sen,309,125,184,101,9,2,3,3,116,19,56
06,02,13,401,01,1,Gopal Sen,197,85,112,70,4,1,2,2,61,12,45
06,02,13,401,02,1,Khachikandi,57,19,38,16,4,0,1,0,24,3,9
06,02,13,401,03,1,Nimarpar,55,21,34,15,1,1,0,1,31,4,2
06,02,13,436,,1,*Jobarpar,571,205,366,154,13,0,0,2,226,49,127
06,02,13,436,01,1,Jobarpar,264,77,187,64,7,0,0,2,110,11,70
06,02,13,436,02,1,Somairpar,158,67,91,47,5,0,0,0,51,20,35
06,02,13,436,03,1,Nagirpar,149,61,88,43,1,0,0,0,65,18,22
06,02,13,455,,1,*Joyram Patti,99,42,57,20,0,0,0,3,43,19,14
06,02,13,475,,1,*Kalirbari,480,171,309,114,18,1,1,5,193,51,97
06,02,13,475,01,1,Kalirbari,447,163,284,111,18,1,0,5,178,46,88
06,02,13,475,02,1,Chakribari,33,8,25,3,0,0,1,0,15,5,9
06,02,15,,,,Bakal Union Total,4030,1611,2419,1186,130,8,3,61,1595,356,691
06,02,15,,,1,Bakal Union,3681,1464,2217,1094,125,6,3,57,1468,307,621
06,02,15,,,3,Bakal Union,349,147,202,92,5,2,0,4,127,49,70
06,02,15,073,,1,*Bakal,838,353,485,249,32,0,1,17,317,87,135
06,02,15,249,,1,*Dakshin Bara Magra,116,41,75,32,5,0,0,0,37,9,33
06,02,15,362,,1,*Dumuria,33,11,22,1,0,0,0,5,11,5,11
06,02,15,441,,1,*Jalirpar,167,57,110,40,5,0,0,1,73,16,32
06,02,15,450,,1,*Jasar,266,105,161,81,4,0,1,8,124,16,32
06,02,15,529,,1,*Kodal Dhoa,875,330,545,248,31,1,1,3,367,78,146
06,02,15,529,01,1,Kodal Dhoa,486,197,289,156,27,1,0,3,215,37,47
06,02,15,529,02,1,Ambari,64,12,52,7,1,0,1,0,37,5,13
06,02,15,529,03,1,Andhar Manik,122,44,78,32,2,0,0,0,44,12,32
06,02,15,529,04,1,Kadambari,73,30,43,25,0,0,0,0,27,5,16
06,02,15,529,05,1,Phanabari,34,10,24,3,0,0,0,0,7,7,17
06,02,15,529,06,1,Rajapur,69,30,39,24,0,0,0,0,28,6,11
06,02,15,529,07,1,Shimulbari,27,7,20,1,1,0,0,0,9,6,10
06,02,15,588,,3,*Manasi Phulasree,349,147,202,92,5,2,0,4,127,49,70
06,02,15,632,,1,*Naopara,227,101,126,85,7,1,0,0,91,15,28
06,02,15,656,,1,*Pakurta,179,61,118,54,7,0,0,0,73,7,38
06,02,15,735,,1,*Paysa,610,272,338,203,24,4,0,19,241,46,73
06,02,15,852,,1,*Sarbari,52,20,32,16,0,0,0,2,19,2,13
06,02,15,872,,1,*Shibbari,31,10,21,6,0,0,0,1,13,3,8
06,02,15,921,,1,*Tetla,147,60,87,51,8,0,0,0,43,9,36
06,02,15,936,,1,*Uttar Bara Magra,140,43,97,28,2,0,0,1,59,14,36
06,02,47,,,,Gaila Union Total,4471,1781,2690,1339,166,7,3,19,1787,416,734
06,02,47,,,1,Gaila Union,3767,1524,2243,1150,140,6,3,17,1516,351,584
06,02,47,,,3,Gaila Union,704,257,447,189,26,1,0,2,271,65,150
06,02,47,186,,3,*Budhar,514,196,318,143,20,1,0,2,193,50,105
06,02,47,328,,1,*Dakshin Sihi Pasha,179,83,96,49,0,0,0,0,68,34,28
06,02,47,333,,1,*Daspatti,55,18,37,13,22,0,0,1,1,4,14
