0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
09,,,,,,Bhola Zila Total,371799,1.9,7.6,16.1,22.8,21.5,14.4,7.8,7.8,4.8
09,,,,,1,Bhola Zila,322077,1.8,7.7,16.2,22.6,21.6,14.5,7.9,7.7,4.7
09,,,,,2,Bhola Zila,23467,2.2,6.5,15.8,24.9,21.2,13.2,7.3,9.0,4.8
09,,,,,3,Bhola Zila,26255,2.0,7.2,15.8,23.9,21.6,13.7,7.5,8.3,4.8
09,18,,,,,Bhola Sadar Upazila Total,87706,2.3,7.1,15.0,22.0,21.3,14.9,8.5,8.9,4.9
09,18,,,,1,Bhola Sadar Upazila,70289,2.2,7.2,14.9,21.3,21.4,15.3,8.8,8.8,4.9
09,18,,,,2,Bhola Sadar Upazila,9445,2.5,7.1,17.0,25.5,20.6,12.3,6.8,8.2,4.7
09,18,,,,3,Bhola Sadar Upazila,7972,2.3,6.5,13.1,23.6,21.5,14.4,8.0,10.6,5.0
,,,,,,Bhola Paurashava,,,,,,,,,,
09,18,01,,,,Ward No-01 Total,1100,3.5,7.0,16.1,24.4,20.2,12.7,7.4,8.8,4.8
09,18,01,186,,2,*Bapta (Part),1100,3.5,7.0,16.1,24.4,20.2,12.7,7.4,8.8,4.8
09,18,02,,,,Ward No-02 Total,852,3.5,7.2,17.0,26.2,20.1,12.0,6.5,7.6,4.6
09,18,02,062,,2,*Chhota Algi,319,1.9,7.2,15.4,24.8,18.8,14.7,8.2,9.1,4.8
09,18,02,521,,2,*Gazipur Road,165,1.2,5.5,20.0,22.4,22.4,9.1,7.3,12.1,4.9
09,18,02,559,,2,*Kalibari (Part),88,3.4,4.5,23.9,29.5,25.0,10.2,2.3,1.1,4.2
09,18,02,746,,2,*New Market (Natun Bazar),56,12.5,7.1,10.7,19.6,26.8,14.3,5.4,3.6,4.3
09,18,02,808,,2,*Officer Para,224,5.4,9.4,16.1,31.3,16.5,10.3,5.4,5.8,4.4
09,18,03,,,,Ward No-03 Total,1215,2.6,6.5,18.3,23.9,21.0,10.4,7.8,9.6,4.8
09,18,03,559,,2,*Kalibari (Part),443,2.5,7.0,16.0,24.2,19.9,11.3,7.9,11.3,4.9
09,18,03,684,,2,*Nabipur,772,2.6,6.2,19.6,23.7,21.6,9.8,7.8,8.7,4.7
09,18,04,,,,Ward No-04 Total,1411,1.4,8.6,16.8,25.1,20.0,13.5,6.3,8.4,4.7
09,18,04,372,,2,*Madhya Char Noabad,689,1.3,8.7,15.4,24.2,19.6,15.5,6.7,8.6,4.8
09,18,04,373,,2,*Uttar Char Noabad (Part),722,1.5,8.4,18.1,25.9,20.4,11.5,6.0,8.2,4.6
09,18,05,,,,Ward No-05 Total,1022,2.5,7.3,18.1,25.3,20.5,11.6,6.6,8.0,4.7
09,18,05,373,,2,*Dakshin Char Noabad,687,2.0,7.3,16.7,26.5,21.1,11.5,7.0,7.9,4.8
09,18,05,550,,2,*Kalinath Bazar,335,3.6,7.5,20.9,23.0,19.1,11.9,5.7,8.4,4.5
09,18,06,,,,Ward No-06 Total,859,2.1,5.6,17.2,30.5,19.4,11.9,5.6,7.7,4.7
09,18,06,373,,2,*Western Para,859,2.1,5.6,17.2,30.5,19.4,11.9,5.6,7.7,4.7
09,18,06,473,,2,*Mahazan Patty,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09,18,07,,,,Ward No-07 Total,924,2.9,6.8,17.7,23.7,22.6,12.4,6.2,7.6,4.7
09,18,07,435,,2,*Purba Ukil Para,222,3.6,6.8,18.9,23.4,23.4,10.8,4.5,8.6,4.6
09,18,07,870,,2,*Paschim Ukil Para (Part),702,2.7,6.8,17.4,23.8,22.4,13.0,6.7,7.3,4.7
09,18,08,,,,Ward No-08 Total,1007,2.7,6.0,14.6,24.5,20.4,14.3,7.8,9.7,4.9
09,18,08,650,,2,*Kathali(P),614,2.8,6.7,15.0,23.8,21.3,14.0,7.3,9.1,4.8
09,18,08,870,,2,*Paschim Ukil Para (Part),393,2.5,4.8,14.0,25.7,18.8,14.8,8.7,10.7,5.0
09,18,09,,,,Ward No-09 Total,1055,1.8,8.0,17.2,27.0,21.5,11.4,6.9,6.3,4.6
09,18,09,310,,2,*Char Janglia,1055,1.8,8.0,17.2,27.0,21.5,11.4,6.9,6.3,4.6
09,18,12,,,,Alinagar Union Total,3406,1.8,7.1,14.1,21.8,22.4,15.3,7.9,9.5,4.9
09,18,12,,,1,Alinagar Union,3205,1.9,7.1,14.0,21.7,22.5,15.5,8.0,9.2,4.9
09,18,12,,,3,Alinagar Union,201,0.5,7.0,15.9,22.9,21.9,11.9,6.5,13.4,5.0
09,18,12,382,,1,*Chipali,1009,1.7,7.2,14.0,21.7,24.2,14.6,8.2,8.4,4.9
09,18,12,650,,3,*Kanthali (Part),201,0.5,7.0,15.9,22.9,21.9,11.9,6.5,13.4,5.0
09,18,12,727,,1,*Mautupi,359,2.5,7.2,13.4,19.5,20.6,20.3,5.8,10.6,5.0
09,18,12,899,,1,*Rohita,757,1.7,10.4,16.0,24.3,20.5,11.6,8.1,7.4,4.6
09,18,12,908,,1,*Sachia,1080,1.9,4.7,12.9,20.7,22.9,17.5,8.5,10.8,5.1
09,18,14,,,,Bapta Union Total,7384,2.4,6.5,13.7,23.6,21.3,14.4,7.8,10.3,4.9
09,18,14,,,1,Bapta Union,1200,2.4,7.2,16.9,23.8,21.6,14.7,6.2,7.3,4.7
09,18,14,,,3,Bapta Union,6184,2.4,6.4,13.1,23.5,21.2,14.3,8.1,10.9,5.0
09,18,14,186,,3,*Bapta (Part),4568,2.7,5.9,12.8,23.7,21.7,14.4,7.9,11.0,5.0
09,18,14,186,01,3,Uttar Bapta,839,2.7,7.0,13.5,24.4,19.9,13.9,7.7,10.7,4.9
09,18,14,186,02,3,Madhya Bapta,798,2.9,6.3,11.8,20.1,22.3,17.4,8.1,11.2,5.1
09,18,14,186,03,3,Dakshin Bapta,715,2.2,6.0,13.1,24.3,23.4,12.0,6.4,12.4,5.0
09,18,14,186,04,3,Sunderkhali,492,2.0,6.1,12.8,28.5,19.7,13.4,8.3,9.1,4.9
09,18,14,186,05,3,Musakandi,504,3.2,5.2,13.3,21.8,23.4,14.1,8.7,10.3,4.9
09,18,14,186,06,3,Chacra,1025,2.9,4.8,12.6,23.6,22.2,14.3,8.0,11.5,5.0
09,18,14,186,07,3,Bapta Guchchhagram,195,2.1,7.2,12.8,26.2,17.4,15.9,8.7,9.7,4.9
09,18,14,258,,1,*Char Napta,453,1.1,6.0,20.1,26.0,22.3,12.8,5.3,6.4,4.6
09,18,14,296,,1,*Char Potka,747,3.2,7.9,15.0,22.5,21.2,15.8,6.7,7.8,4.7
09,18,14,296,01,1,Uttar Char Potka,299,4.0,9.4,13.4,24.4,22.7,15.4,6.4,4.3,4.5
09,18,14,296,02,1,Dakshin Char Pokta,325,2.5,7.1,15.1,20.3,18.8,17.5,6.8,12.0,5.0
09,18,14,296,03,1,Char Pokta Malarchara,123,3.3,6.5,18.7,23.6,23.6,12.2,7.3,4.9,4.5
09,18,14,373,,3,*Char Noabad (Part),1191,1.9,7.7,14.4,25.2,19.3,13.4,8.6,9.3,4.8
09,18,14,373,01,3,Uttar Paschim Char Noabad,623,0.8,5.9,13.0,24.1,21.0,13.2,9.3,12.7,5.1
09,18,14,373,02,3,Dakshin Purba Char Noabad,208,2.9,9.1,11.5,24.5,17.8,12.0,11.1,11.1,5.0
09,18,14,373,03,3,Dakshinpaschim Char Noabad,360,3.3,10.0,18.6,27.5,17.2,14.7,6.1,2.5,4.3
09,18,14,995,,3,*Jamirlata (Part),425,0.7,7.8,12.9,16.9,22.4,16.0,9.4,13.9,5.3
09,18,21,,,,Char Samaia Union Total,3926,2.2,6.7,14.8,21.4,21.2,15.7,8.8,9.2,4.9
09,18,21,047,,1,*Bara Char Samaia,1320,1.9,5.9,16.0,23.6,21.4,15.6,8.3,7.3,4.8
09,18,21,124,,1,*Char Chhifali,978,2.0,4.5,13.8,21.1,22.7,15.6,9.7,10.5,5.1
09,18,21,334,,1,*Char Samaia,851,2.6,10.9,14.8,20.8,18.3,15.0,8.9,8.6,4.7
09,18,21,401,,1,*Chhota Char Samaia,154,3.2,9.1,14.9,17.5,17.5,17.5,9.7,10.4,4.9
09,18,21,832,,1,*Purba Char Kali,453,1.5,4.9,13.9,20.5,23.2,15.2,7.5,13.2,5.3
09,18,21,947,,1,*Sekma,170,5.3,7.1,12.9,15.9,24.1,18.8,8.8,7.1,4.8
09,18,29,,,,Char Shibpur Union Total,4408,2.4,7.3,15.3,22.5,22.4,14.5,8.1,7.6,4.8
09,18,29,315,,1,*Char Ratanpur,1739,2.5,7.4,14.2,22.3,22.1,14.5,8.1,8.9,4.9
09,18,29,344,,1,*Char Shibpur,1643,2.8,7.9,16.5,22.9,22.3,14.7,7.4,5.5,4.6
09,18,29,612,,1,*Kali Kirti,1026,1.7,6.2,15.1,22.1,23.1,13.9,9.2,8.7,4.9
09,18,36,,,,Dhania Union Total,6435,1.8,6.4,13.9,22.6,22.7,14.9,8.2,9.4,4.9
09,18,36,,,1,Dhania Union,4848,1.5,6.3,14.4,22.2,22.8,15.0,8.3,9.4,4.9
09,18,36,,,3,Dhania Union,1587,2.4,6.9,12.4,23.9,22.3,14.8,7.9,9.5,4.9
09,18,36,062,,3,*Chhota Algi (Part),863,2.4,6.8,12.9,23.8,22.7,14.8,7.2,9.4,4.9
09,18,36,487,,1,*Dariram Shankar,622,1.6,4.8,11.4,22.0,22.5,18.8,8.7,10.1,5.1
09,18,36,497,,1,*Dhania,2055,1.3,6.8,12.8,22.2,23.7,15.8,8.9,8.5,4.9
09,18,36,497,01,1,Dhania,460,1.5,5.4,12.2,20.9,24.8,15.9,9.6,9.8,5.0
09,18,36,497,02,1,Baliakandi,588,0.7,8.8,12.9,22.4,24.3,15.6,8.7,6.5,4.8
09,18,36,497,03,1,Chowakhali,291,2.1,6.2,9.6,23.4,21.3,18.6,9.3,9.6,5.1
09,18,36,497,04,1,Paschim Dhania,409,2.0,7.1,13.2,23.5,22.5,14.2,9.0,8.6,4.9
09,18,36,497,05,1,Purba Dhania,307,0.7,4.9,16.0,21.2,24.8,15.3,7.8,9.4,5.0
09,18,36,526,,1,*Guli,1106,2.3,5.7,15.6,23.1,20.8,13.7,8.0,10.8,4.9
09,18,36,526,01,1,Guli,669,2.7,6.0,15.7,22.3,20.6,13.2,7.9,11.7,4.9
09,18,36,526,02,1,Ganga Karti,108,3.7,5.6,11.1,25.0,17.6,10.2,13.9,13.0,5.1
09,18,36,526,03,1,Bolgram Sura,32,0.0,9.4,3.1,25.0,25.0,12.5,9.4,15.6,5.3
09,18,36,526,04,1,Kala Sura,297,1.0,4.7,18.5,23.9,21.9,16.5,6.1,7.4,4.8
09,18,36,631,,1,*Kanainagar,1065,1.2,6.8,18.0,21.5,23.3,12.6,7.1,9.5,4.9
09,18,36,684,,3,*Nabipur (Part),724,2.3,6.9,11.9,24.0,21.8,14.8,8.7,9.5,4.9
09,18,51,,,,Illisha Union Total,9561,2.1,6.8,14.4,21.0,22.2,15.5,9.1,9.0,4.9
09,18,51,086,,1,*Char Ananda,1780,1.8,6.9,13.3,20.1,19.8,18.5,10.4,9.2,5.0
09,18,51,086,01,1,Char Ananda Part-1,334,1.5,6.3,12.0,21.3,20.7,18.6,9.3,10.5,5.1
09,18,51,086,02,1,Char Ananda Part-2,700,1.1,7.7,14.3,22.4,18.7,17.9,10.7,7.1,4.9
09,18,51,086,03,1,Char Ananda Part-3,746,2.5,6.4,12.9,17.3,20.5,19.2,10.6,10.6,5.1
09,18,51,172,,1,*Char Illisha,818,0.7,7.0,13.2,21.0,23.3,16.4,10.4,7.9,5.0
09,18,51,200,,1,*Char Kalupura,767,1.8,5.2,11.6,19.8,21.8,17.7,9.4,12.6,5.2
09,18,51,535,,1,*Gupta Munshi,1708,1.7,7.8,16.1,21.7,22.8,13.9,7.5,8.5,4.8
09,18,51,736,,1,*Murad Chhabulla,701,1.9,7.8,16.3,24.0,24.5,13.1,6.6,5.8,4.6
09,18,51,822,,1,*Purba Char Illisha,3787,2.8,6.5,14.6,20.9,22.3,14.6,9.3,9.1,4.9
09,18,55,,,,Paschim Ilisha Union Total,7532,2.7,7.8,16.0,23.0,21.3,14.0,7.5,7.7,4.7
09,18,55,181,,1,*Char Jangalia,618,3.9,9.2,18.1,25.4,20.1,12.0,5.8,5.5,4.4
09,18,55,277,,1,*Char Pakshia,181,3.9,8.8,8.8,17.7,19.9,16.6,11.6,12.7,5.1
09,18,55,430,,1,*D.Char Anando,453,2.2,10.8,17.2,21.6,20.1,14.8,6.6,6.6,4.6
09,18,55,440,,1,*D.Char Pata,2112,2.9,6.5,15.1,22.1,21.7,14.3,8.0,9.4,4.9
09,18,55,440,01,1,D.Char Pata,1204,3.1,6.8,14.3,21.5,21.8,14.9,8.8,8.8,4.8
09,18,55,440,02,1,Uttar Char Pata,908,2.6,6.1,16.1,22.9,21.6,13.7,6.9,10.1,4.9
09,18,55,774,,1,*Pangasia,1666,1.7,7.4,17.2,25.9,21.7,13.3,6.2,6.5,4.6
09,18,55,794,,1,*Paschim Char Pangasia,300,1.0,10.7,16.3,19.7,20.3,16.7,9.0,6.3,4.7
09,18,55,803,,1,*Paschim Char Pata,428,3.0,8.9,12.9,21.3,18.2,15.9,9.8,10.0,4.9
09,18,55,841,,1,*Purba Char Nandanpur,317,4.1,9.1,16.4,17.4,19.6,13.6,9.1,10.7,4.8
09,18,55,851,,1,*Purba Kazir Char,97,3.1,2.1,14.4,22.7,23.7,13.4,13.4,7.2,5.0
09,18,55,918,,1,*Sadur Char,1360,2.7,7.8,16.6,23.5,22.9,13.5,6.7,6.3,4.6
09,18,55,918,01,1,Purba Sadur Char,1052,2.9,6.4,15.1,23.0,23.5,14.8,7.1,7.2,4.7
09,18,55,918,02,1,Paschim Sadur Char,308,2.3,12.7,21.8,25.0,21.1,9.1,5.2,2.9,4.2
09,18,58,,,,Kachia Union Total,3118,2.8,11.1,21.0,21.9,19.1,13.1,6.4,4.6,4.3
09,18,58,057,,1,*Baraipur,115,0.9,4.3,33.9,37.4,14.8,4.3,3.5,0.9,3.9
09,18,58,066,,1,*Bhabanipur,779,2.6,10.4,17.5,22.3,18.2,16.0,7.2,5.8,4.5
09,18,58,602,,1,*Kachia,717,1.7,11.6,27.2,22.2,22.5,9.5,3.8,1.7,4.0
09,18,58,602,01,1,Dakshin-Purba Kachia,439,1.4,10.0,34.6,18.0,21.4,9.8,3.6,1.1,4.0
09,18,58,602,02,1,Madhya Kachia,278,2.2,14.0,15.5,28.8,24.1,9.0,4.0,2.5,4.1
09,18,58,621,,1,*Kalikanagar,120,0.0,5.0,8.3,21.7,31.7,15.8,13.3,4.2,5.0
09,18,58,889,,1,*Ramdebpur,547,3.5,9.9,18.8,16.1,19.2,16.5,9.5,6.6,4.6
09,18,58,928,,1,*Saha Mandur,840,4.2,14.0,20.6,23.1,15.6,12.0,5.2,5.2,4.2
09,18,65,,,,Uttar Dighaldi Union Total,5142,3.5,7.8,14.6,21.6,20.3,15.5,7.5,9.2,4.8
