0,1,2,3,4,5,6,7,8,9,10,11,12
10,,,,,,Bogra Zila Total,716280,867137,3400874,3398131,2743,1173
10,,,,,1,Bogra Zila,,708018,2730486,2729746,740,
10,,,,,2,Bogra Zila,,147921,624082,622095,1987,
10,,,,,3,Bogra Zila,,11198,46306,46290,16,
10,06,,,,,Adamdighi Upazila Total,41719,49600,195186,195096,90,1156
10,06,,,,1,Adamdighi Upazila,,39482,155240,155226,14,
10,06,,,,2,Adamdighi Upazila,,7847,31037,30961,76,
10,06,,,,3,Adamdighi Upazila,,2271,8909,8909,0,
10,06,,,,2,Santahar Paurashava,,7847,31037,30961,76,
10,06,01,,,,Ward No-01 Total,,1138,4330,4330,0,
10,06,01,097,,2,*Boshipur,,498,1994,1994,0,
10,06,01,429,,2,*Paschim Loco Colony,,400,1441,1441,0,
10,06,01,700,,2,*Sarder Para,,240,895,895,0,
10,06,02,,,,Ward No-02 Total,,893,3460,3460,0,
10,06,02,319,,2,*Dogachhi,,220,860,860,0,
10,06,02,482,,2,*Purba Loco Colony,,140,543,543,0,
10,06,02,746,,2,*Parbatipur,,207,809,809,0,
10,06,02,750,,2,*Powta,,326,1248,1248,0,
10,06,03,,,,Ward No-03 Total,,987,3661,3661,0,
10,06,03,390,,2,*Loco Civil Colony,,221,881,881,0,
10,06,03,423,,2,*Natun Bazar,,766,2780,2780,0,
10,06,04,,,,Ward No-04 Total,,841,3260,3260,0,
10,06,04,385,,2,*Kalsa,,733,2839,2839,0,
10,06,04,957,,2,*Tiar Para,,108,421,421,0,
10,06,05,,,,Ward No-05 Total,,1040,4023,4023,0,
10,06,05,152,,2,*Basundhara,,232,865,865,0,
10,06,05,476,,2,*Methar Patti,,23,86,86,0,
10,06,05,705,,2,*Puratan Driver Para,,42,141,141,0,
10,06,05,861,,2,*Santahar,,374,1476,1476,0,
10,06,05,987,,2,*Yard Colony,,369,1455,1455,0,
10,06,06,,,,Ward No-06 Total,,772,3160,3160,0,
10,06,06,373,,2,*Haludghar,,236,901,901,0,
10,06,06,405,,2,*Kunchkuri Para,,138,556,556,0,
10,06,06,780,,2,*Post Office Para,,120,511,511,0,
10,06,06,884,,2,*Shantahar Bazar,,278,1192,1192,0,
10,06,07,,,,Ward No-07 Total,,835,3806,3730,76,
10,06,07,094,,2,*Cha Bagan Colony,,109,410,410,0,
10,06,07,120,,2,*Cha Bagan Populated,,50,319,243,76,
10,06,07,141,,2,*Cha Bagan (Ghoraghat),,146,581,581,0,
10,06,07,220,,2,*Cha Bagan Civil Colony,,210,1223,1223,0,
10,06,07,230,,2,*Cha Bagan New Colony,,58,232,232,0,
10,06,07,317,,2,*Hospital Colony,,88,277,277,0,
10,06,07,800,,2,*Station Colony,,106,421,421,0,
10,06,07,895,,2,*Sweeper Colony,,68,343,343,0,
