0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10,,,,,,Bogra Zila Total,863600,4.1,13.6,25.3,28.4,15.9,7.0,2.9,2.8,3.9
10,,,,,1,Bogra Zila,707118,4.2,14.0,25.4,28.3,15.8,6.9,2.8,2.6,3.8
10,,,,,2,Bogra Zila,145312,3.5,12.0,24.7,29.0,16.2,7.5,3.3,3.7,4.0
10,,,,,3,Bogra Zila,11170,2.9,11.1,23.7,29.1,17.5,8.1,3.9,3.8,4.1
10,06,,,,,Adamdighi Upazila Total,49490,3.7,13.4,26.7,27.9,15.0,6.7,3.0,3.6,3.9
10,06,,,,1,Adamdighi Upazila,39448,3.5,13.3,26.5,28.2,15.0,6.8,3.0,3.6,3.9
10,06,,,,2,Adamdighi Upazila,7784,4.5,13.5,27.2,26.3,14.9,6.8,3.3,3.6,3.9
10,06,,,,3,Adamdighi Upazila,2258,4.1,13.9,28.0,29.2,14.4,5.5,1.9,2.8,3.8
10,06,,,,2,Santahar Paurashava,7784,4.5,13.5,27.2,26.3,14.9,6.8,3.3,3.6,3.9
10,06,01,,,,Ward No-01 Total,1137,3.7,13.3,28.9,28.0,14.8,6.4,2.6,2.3,3.8
10,06,01,097,,2,*Boshipur,498,3.2,9.6,29.3,26.1,17.9,8.0,3.0,2.8,4.0
10,06,01,429,,2,*Paschim Loco Colony,399,3.8,16.0,31.3,28.6,11.5,4.8,2.8,1.3,3.6
10,06,01,700,,2,*Sarder Para,240,4.6,16.3,24.2,30.8,13.8,5.8,1.7,2.9,3.7
10,06,02,,,,Ward No-02 Total,891,5.5,13.6,28.6,23.1,13.6,7.9,3.6,4.2,3.9
10,06,02,319,,2,*Dogachhi,220,4.1,14.5,29.1,23.6,13.6,6.4,4.1,4.5,3.9
10,06,02,482,,2,*Purba Loco Colony,140,5.0,17.9,23.6,22.9,15.0,6.4,4.3,5.0,3.9
10,06,02,746,,2,*Parbatipur,205,5.4,13.7,27.8,22.0,13.2,11.2,2.9,3.9,3.9
10,06,02,750,,2,*Powta,326,6.7,11.0,31.0,23.6,13.2,7.4,3.4,3.7,3.8
10,06,03,,,,Ward No-03 Total,986,3.4,18.1,30.6,24.3,11.2,6.7,2.4,3.2,3.7
10,06,03,390,,2,*Loco Civil Colony,221,0.0,14.5,29.4,28.5,10.9,9.0,4.1,3.6,4.0
10,06,03,423,,2,*Natun Bazar,765,4.4,19.1,31.0,23.1,11.2,6.0,2.0,3.1,3.6
10,06,04,,,,Ward No-04 Total,835,5.7,13.2,26.6,26.3,15.0,6.5,3.0,3.7,3.9
10,06,04,385,,2,*Kalsa,727,5.8,13.3,27.0,26.4,14.4,6.2,2.9,4.0,3.8
10,06,04,957,,2,*Tiar Para,108,5.6,12.0,24.1,25.9,18.5,8.3,3.7,1.9,3.9
10,06,05,,,,Ward No-05 Total,1036,6.1,14.2,25.3,25.9,15.3,6.6,2.9,3.8,3.9
10,06,05,152,,2,*Basundhara,232,6.5,17.7,25.9,23.3,12.5,6.9,3.9,3.4,3.7
10,06,05,476,,2,*Methar Patti,23,13.0,17.4,13.0,30.4,8.7,8.7,4.3,4.3,3.7
10,06,05,705,,2,*Puratan Driver Para,42,11.9,16.7,31.0,21.4,9.5,4.8,2.4,2.4,3.4
10,06,05,861,,2,*Santahar,370,5.9,13.5,25.7,25.9,15.7,6.8,2.2,4.3,3.9
10,06,05,987,,2,*Yard Colony,369,4.9,12.2,24.7,27.6,17.9,6.2,3.0,3.5,3.9
10,06,06,,,,Ward No-06 Total,761,3.5,12.1,25.9,25.5,15.4,8.1,4.9,4.6,4.1
10,06,06,373,,2,*Haludghar,235,5.5,16.6,25.5,23.8,14.0,7.7,2.1,4.7,3.8
10,06,06,405,,2,*Kunchkuri Para,130,2.3,6.9,27.7,26.9,19.2,6.9,8.5,1.5,4.2
10,06,06,780,,2,*Post Office Para,120,1.7,9.2,30.0,20.8,18.3,10.0,4.2,5.8,4.3
10,06,06,884,,2,*Shantahar Bazar,276,3.3,12.0,23.6,28.3,13.4,8.3,5.8,5.4,4.3
10,06,07,,,,Ward No-07 Total,799,3.5,13.4,23.9,27.2,17.3,7.0,4.3,3.5,4.0
10,06,07,094,,2,*Cha Bagan Colony,109,5.5,15.6,25.7,24.8,16.5,5.5,4.6,1.8,3.8
10,06,07,120,,2,*Cha Bagan Populated,22,0.0,0.0,22.7,31.8,36.4,9.1,0.0,0.0,4.3
10,06,07,141,,2,*Cha Bagan (Ghoraghat),141,4.3,14.2,17.7,25.5,23.4,8.5,5.0,1.4,4.0
