0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10,,,,,,Bogra Zila Total,3400874,9.3,11.1,10.3,8.1,9.2,10.1,27.0,7.1,2.8,4.9
10,,,,,1,Bogra Zila,2730486,9.5,11.4,10.3,7.7,8.9,10.0,26.8,7.2,2.9,5.2
10,,,,,2,Bogra Zila,624082,8.4,9.9,10.3,9.9,10.8,10.4,27.7,6.4,2.3,3.7
10,,,,,3,Bogra Zila,46306,9.6,11.8,11.2,8.0,8.9,10.3,27.2,6.3,2.5,4.2
10,06,,,,,Adamdighi Upazila Total,195186,8.7,9.9,9.7,8.4,9.9,10.4,27.8,7.4,2.9,5.0
10,06,,,,1,Adamdighi Upazila,155240,8.7,10.0,9.7,8.1,9.9,10.5,27.7,7.4,2.9,5.1
10,06,,,,2,Adamdighi Upazila,31037,8.7,8.9,9.6,9.7,9.5,10.0,28.5,7.5,2.7,4.7
10,06,,,,3,Adamdighi Upazila,8909,7.8,10.3,11.6,8.7,10.0,10.3,27.6,6.1,2.8,4.8
10,06,,,,2,Santahar Paurashava,31037,8.7,8.9,9.6,9.7,9.5,10.0,28.5,7.5,2.7,4.7
10,06,01,,,,Ward No-01 Total,4330,8.7,8.7,9.8,9.2,9.4,10.6,27.8,7.9,2.9,5.0
10,06,01,097,,2,*Boshipur,1994,9.3,8.1,9.1,8.7,10.0,11.5,26.3,8.4,3.1,5.5
10,06,01,429,,2,*Paschim Loco Colony,1441,8.0,9.5,10.8,9.3,7.4,9.9,30.5,8.3,3.0,3.3
10,06,01,700,,2,*Sarder Para,895,8.2,8.6,9.6,10.2,11.4,10.1,26.7,6.3,2.6,6.5
10,06,02,,,,Ward No-02 Total,3460,9.2,9.6,9.4,7.7,11.2,10.6,27.2,6.6,2.9,5.6
10,06,02,319,,2,*Dogachhi,860,11.4,8.4,9.3,7.6,12.9,9.4,27.4,6.2,2.4,5.0
10,06,02,482,,2,*Purba Loco Colony,543,11.0,10.5,10.7,5.3,9.2,9.8,26.9,7.6,3.5,5.5
10,06,02,746,,2,*Parbatipur,809,7.5,9.5,10.1,6.7,9.4,13.2,27.7,6.9,2.3,6.6
10,06,02,750,,2,*Powta,1248,8.0,10.1,8.3,9.6,11.9,10.1,26.9,6.3,3.3,5.4
