0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10,,,,,,Bogra Zila Total,1448450,1484767,776377,692416,672073,792351,49.4,52.9,45.9
10,,,,,1,Bogra Zila,1058763,1287267,562992,599841,495771,687426,45.1,48.4,41.9
10,,,,,2,Bogra Zila,369836,177696,202729,83305,167107,94391,67.5,70.9,63.9
10,,,,,3,Bogra Zila,19851,19804,10656,9270,9195,10534,50.1,53.5,46.6
10,06,,,,,Adamdighi Upazila Total,93012,77438,48908,35601,44104,41837,54.6,57.9,51.3
10,06,,,,1,Adamdighi Upazila,71320,64082,37358,29366,33962,34716,52.7,56.0,49.5
10,06,,,,2,Adamdighi Upazila,16891,10326,8933,4735,7958,5591,62.1,65.4,58.7
10,06,,,,3,Adamdighi Upazila,4801,3030,2617,1500,2184,1530,61.3,63.6,58.8
10,06,,,,2,Adamdighi Paurashava,16891,10326,8933,4735,7958,5591,62.1,65.4,58.7
10,06,01,,,,Ward No-01 Total,2172,1626,1148,728,1024,898,57.2,61.2,53.3
10,06,01,097,,2,*Boshipur,974,777,517,354,457,423,55.6,59.4,51.9
10,06,01,429,,2,*Paschim Loco Colony,722,535,388,230,334,305,57.4,62.8,52.3
10,06,01,700,,2,*Sarder Para,476,314,243,144,233,170,60.3,62.8,57.8
10,06,02,,,,Ward No-02 Total,1493,1509,771,714,722,795,49.7,51.9,47.6
10,06,02,319,,2,*Dogachhi,323,410,165,203,158,207,44.1,44.8,43.3
10,06,02,482,,2,*Purba Loco Colony,83,375,45,170,38,205,18.1,20.9,15.6
10,06,02,746,,2,*Parbatipur,424,289,227,129,197,160,59.5,63.8,55.2
10,06,02,750,,2,*Powta,663,435,334,212,329,223,60.4,61.2,59.6
10,06,03,,,,Ward No-03 Total,2380,834,1228,367,1152,467,74.1,77.0,71.2
10,06,03,390,,2,*Loco Civil Colony,667,108,318,43,349,65,86.1,88.1,84.3
10,06,03,423,,2,*Natun Bazar,1713,726,910,324,803,402,70.2,73.7,66.6
10,06,04,,,,Ward No-04 Total,2087,765,1088,322,999,443,73.2,77.2,69.3
10,06,04,385,,2,*Kalsa,1935,558,1007,218,928,340,77.6,82.2,73.2
10,06,04,957,,2,*Tiar Para,152,207,81,104,71,103,42.3,43.8,40.8
10,06,05,,,,Ward No-05 Total,1887,1600,993,689,894,911,54.1,59.0,49.5
10,06,05,152,,2,*Basundhara,252,473,137,207,115,266,34.8,39.8,30.2
10,06,05,476,,2,*Methar Patti,6,68,4,34,2,34,8.1,10.5,5.6
10,06,05,705,,2,*Puratan Driver Para,103,27,48,8,55,19,79.2,85.7,74.3
10,06,05,861,,2,*Santahar,901,387,473,159,428,228,70.0,74.8,65.2
10,06,05,987,,2,*Yard Colony,625,645,331,281,294,364,49.2,54.1,44.7
10,06,06,,,,Ward No-06 Total,2087,689,1056,281,1031,408,75.2,79.0,71.6
10,06,06,373,,2,*Haludghar,592,208,308,84,284,124,74.0,78.6,69.6
10,06,06,405,,2,*Kunchkuri Para,206,263,102,117,104,146,43.9,46.6,41.6
10,06,06,780,,2,*Post Office Para,399,60,186,18,213,42,86.9,91.2,83.5
10,06,06,884,,2,*Shantahar Bazar,890,158,460,62,430,96,84.9,88.1,81.7
10,06,07,,,,Ward No-07 Total,2243,1170,1322,652,921,518,65.7,67.0,64.0
10,06,07,094,,2,*Cha Bagan Colony,199,172,121,80,78,92,53.6,60.2,45.9
10,06,07,120,,2,*Cha Bagan Populated,198,109,172,87,26,22,64.5,66.4,54.2
10,06,07,141,,2,*Cha Bagan (Ghoraghat),360,157,193,69,167,88,69.6,73.7,65.5
10,06,07,220,,2,*Cha Bagan Civil Colony,839,246,507,191,332,55,77.3,72.6,85.8
10,06,07,230,,2,*Cha Bagan New Colony,138,71,74,30,64,41,66.0,71.2,61.0
10,06,07,317,,2,*Hospital Colony,130,122,70,46,60,76,51.6,60.3,44.1
10,06,07,800,,2,*Station Colony,361,17,176,7,185,10,95.5,96.2,94.9
10,06,07,895,,2,*Sweeper Colony,18,276,9,142,9,134,6.1,6.0,6.3
10,06,08,,,,Ward No-08 Total,1385,1255,715,595,670,660,52.5,54.6,50.4
10,06,08,465,,2,*Malson,1091,913,555,444,536,469,54.4,55.6,53.3
10,06,08,700,,2,*Patharkuta,92,74,45,33,47,41,55.4,57.7,53.4
10,06,08,800,,2,*Saheb Para,202,268,115,118,87,150,43.0,49.4,36.7
