0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10,,,,,,Bogra Zila Total,11683,11307,102005,96366,153320,143969,49148,42228,111661,108047,28594,16074
10,,,,,1,Bogra Zila,8655,8486,85087,80442,124682,117448,41173,35097,89172,86513,22931,12185
10,,,,,2,Bogra Zila,2881,2683,15475,14546,26651,24486,6997,6434,20885,20047,5143,3638
10,,,,,3,Bogra Zila,147,138,1443,1378,1987,2035,978,697,1604,1487,520,251
10,06,,,,,Adamdighi Upazila Total,456,455,5402,5045,8033,7650,2531,2004,5748,5985,1664,832
10,06,,,,1,Adamdighi Upazila,295,294,4350,4140,6486,6184,2017,1646,4559,4796,1194,631
10,06,,,,2,Adamdighi Upazila,135,124,811,695,1211,1110,295,264,935,969,250,144
10,06,,,,3,Adamdighi Upazila,26,37,241,210,336,356,219,94,254,220,220,57
10,06,,,,2,Adamdighi Paurashava,135,124,811,695,1211,1110,295,264,935,969,250,144
10,06,01,,,,Ward No-01 Total,10,7,114,113,170,152,35,37,127,155,26,12
10,06,01,097,,2,*Boshipur,6,2,50,58,78,62,11,10,56,67,11,10
10,06,01,429,,2,*Paschim Loco Colony,3,3,43,33,59,61,12,18,43,54,10,2
10,06,01,700,,2,*Sarder Para,1,2,21,22,33,29,12,9,28,34,5,0
10,06,02,,,,Ward No-02 Total,9,13,83,107,131,118,41,42,96,107,36,13
10,06,02,319,,2,*Dogachhi,1,2,25,41,19,23,15,14,21,23,9,8
10,06,02,482,,2,*Purba Loco Colony,0,0,18,19,10,16,15,18,17,17,7,2
10,06,02,746,,2,*Parbatipur,3,3,15,20,39,32,5,7,23,29,9,1
10,06,02,750,,2,*Powta,5,8,25,27,63,47,6,3,35,38,11,2
10,06,03,,,,Ward No-03 Total,29,19,101,79,143,118,21,19,99,120,12,17
10,06,03,390,,2,*Loco Civil Colony,15,8,16,15,40,25,1,2,27,42,0,1
10,06,03,423,,2,*Natun Bazar,14,11,85,64,103,93,20,17,72,78,12,16
10,06,04,,,,Ward No-04 Total,28,30,86,61,118,109,17,23,96,104,15,8
10,06,04,385,,2,*Kalsa,28,24,65,49,100,96,13,16,82,92,10,7
10,06,04,957,,2,*Tiar Para,0,6,21,12,18,13,4,7,14,12,5,1
10,06,05,,,,Ward No-05 Total,18,17,110,96,165,172,50,36,95,130,55,30
10,06,05,152,,2,*Basundhara,4,5,31,22,42,36,16,13,17,22,18,8
10,06,05,476,,2,*Methar Patti,0,0,4,3,0,2,4,5,0,1,4,1
10,06,05,705,,2,*Puratan Driver Para,2,1,1,1,2,8,0,0,5,9,1,1
10,06,05,861,,2,*Santahar,4,8,34,30,61,65,12,5,42,40,14,11
10,06,05,987,,2,*Yard Colony,8,3,40,40,60,61,18,13,31,58,18,9
10,06,06,,,,Ward No-06 Total,4,14,90,63,105,102,44,30,88,116,14,16
10,06,06,373,,2,*Haludghar,0,11,27,15,43,29,4,2,26,28,4,2
10,06,06,405,,2,*Kunchkuri Para,0,0,25,16,13,18,15,10,12,15,5,3
10,06,06,780,,2,*Post Office Para,0,1,9,11,6,16,9,6,13,26,1,1
10,06,06,884,,2,*Shantahar Bazar,4,2,29,21,43,39,16,12,37,47,4,10
10,06,07,,,,Ward No-07 Total,20,10,67,59,173,121,34,36,200,79,34,17
10,06,07,094,,2,*Cha Bagan Colony,0,0,7,5,19,12,3,4,12,10,4,2
10,06,07,120,,2,*Cha Bagan Populated,0,0,2,3,5,2,0,0,8,2,6,0
