0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,,,,,,Bogra Zila Total,3400874,1.5,0.2,0.3,0.1,0.6,0.2,0.1
10,,,,,1,Bogra Zila,2730486,1.6,0.2,0.3,0.2,0.6,0.2,0.1
10,,,,,2,Bogra Zila,624082,1.4,0.1,0.3,0.1,0.5,0.2,0.1
10,,,,,3,Bogra Zila,46306,1.0,0.2,0.1,0.1,0.4,0.2,0.1
10,06,,,,,Adamdighi Upazila Total,195186,1.9,0.2,0.3,0.2,0.9,0.2,0.1
10,06,,,,1,Adamdighi Upazila,155240,1.6,0.2,0.3,0.2,0.7,0.2,0.1
10,06,,,,2,Adamdighi Upazila,31037,3.8,0.2,0.7,0.1,2.3,0.3,0.1
10,06,,,,3,Adamdighi Upazila,8909,0.9,0.1,0.1,0.0,0.3,0.1,0.2
10,06,,,,2,Adamdighi Paurashava,31037,3.8,0.2,0.7,0.1,2.3,0.3,0.1
10,06,01,,,,Ward No-01 Total,4330,4.5,0.1,0.3,0.0,3.4,0.3,0.4
10,06,02,,,,Ward No-02 Total,3460,12.2,0.2,4.0,0.8,6.4,0.6,0.1
10,06,03,,,,Ward No-03 Total,3661,4.2,0.1,0.2,0.1,3.3,0.4,0.1
10,06,04,,,,Ward No-04 Total,3260,1.5,0.1,0.2,0.0,0.8,0.2,0.1
10,06,05,,,,Ward No-05 Total,4023,1.5,0.2,0.2,0.0,0.8,0.2,0.1
10,06,06,,,,Ward No-06 Total,3160,1.8,0.2,0.3,0.1,0.9,0.2,0.0
10,06,07,,,,Ward No-07 Total,3806,2.7,0.2,0.3,0.1,1.7,0.3,0.1
10,06,08,,,,Ward No-08 Total,3025,1.8,0.3,0.3,0.2,0.5,0.5,0.1
10,06,09,,,,Ward No-09 Total,2312,3.3,0.3,0.3,0.0,2.2,0.4,0.0
10,06,13,,,,Adam Dighi Union Total,31046,1.3,0.2,0.3,0.1,0.5,0.1,0.1
10,06,13,,,1,Adam Dighi Union,22137,1.4,0.2,0.4,0.1,0.5,0.2,0.0
10,06,13,,,3,Adam Dighi Union,8909,0.9,0.1,0.1,0.0,0.3,0.1,0.2
10,06,27,,,,Champapur Union Total,24366,1.6,0.1,0.2,0.2,0.5,0.3,0.1
10,06,40,,,,Chhatiangram Union Total,29868,1.9,0.3,0.4,0.2,0.6,0.2,0.1
10,06,54,,,,Kundagram Union Total,24877,1.2,0.1,0.2,0.1,0.4,0.2,0.2
10,06,67,,,,Nasratpur Union Total,28610,1.1,0.2,0.1,0.1,0.5,0.2,0.0
10,06,81,,,,Shantahar Union Total,25382,2.6,0.2,0.4,0.2,1.3,0.3,0.2
10,20,,,,,Bogra Sadar Upazila Total,555014,1.5,0.2,0.4,0.1,0.6,0.2,0.1
10,20,,,,1,Bogra Sadar Upazila,204617,2.0,0.2,0.4,0.2,0.8,0.3,0.1
10,20,,,,2,Bogra Sadar Upazila,350397,1.2,0.1,0.3,0.1,0.4,0.2,0.1
10,20,,,,2,Bogra  Paurashava,350397,1.2,0.1,0.3,0.1,0.4,0.2,0.1
10,20,01,,,,Ward No-01 Total,22316,1.3,0.1,0.4,0.1,0.5,0.2,0.0
10,20,02,,,,Ward No-02 Total,18048,1.2,0.1,0.2,0.1,0.5,0.2,0.0
10,20,03,,,,Ward No-03 Total,12562,1.0,0.2,0.3,0.0,0.3,0.2,0.0
10,20,04,,,,Ward No-04 Total,19524,1.6,0.1,0.5,0.1,0.5,0.2,0.0
10,20,05,,,,Ward No-05 Total,9933,0.8,0.1,0.1,0.1,0.3,0.1,0.1
10,20,06,,,,Ward No-06 Total,13794,0.7,0.1,0.1,0.0,0.2,0.2,0.0
10,20,07,,,,Ward No-07 Total,12293,0.8,0.1,0.1,0.0,0.4,0.2,0.0
10,20,08,,,,Ward No-08 Total,18785,2.8,0.2,1.8,0.1,0.4,0.3,0.0
10,20,09,,,,Ward No-09 Total,11855,0.7,0.0,0.1,0.1,0.3,0.1,0.0
