0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12,,,,,,Brahmanbaria Zila Total,9316,9287,131911,126893,170725,166820,66005,56083,91957,107372,39533,25563
12,,,,,1,Brahmanbaria Zila,7397,7457,114241,110143,146084,143170,57313,48304,77001,90150,33740,21785
12,,,,,2,Brahmanbaria Zila,1506,1425,11111,10689,16597,15928,5164,4695,10369,11774,3555,2341
12,,,,,3,Brahmanbaria Zila,413,405,6559,6061,8044,7722,3528,3084,4587,5448,2238,1437
12,02,,,,,Akhaura Upazila Total,537,561,5977,5736,8754,8443,2821,2366,5353,6208,1637,952
12,02,,,,1,Akhaura Upazila,404,439,4674,4447,6800,6632,2197,1845,4103,4750,1282,737
12,02,,,,2,Akhaura Upazila,133,122,1303,1289,1954,1811,624,521,1250,1458,355,215
,,,,,,Akhaura Paurashava,,,,,,,,,,,,
12,02,01,,,,Ward No-01 Total,28,14,189,179,285,272,52,41,188,212,47,23
12,02,01,298,,2,*Durgapur,28,14,189,179,285,272,52,41,188,212,47,23
12,02,02,,,,Ward No-02 Total,15,10,110,122,159,155,56,35,135,159,25,10
12,02,02,790,,2,*Tanpara,5,3,61,73,96,96,25,11,86,103,12,7
12,02,02,830,,2,*Uttar Kharampur,10,7,49,49,63,59,31,24,49,56,13,3
12,02,03,,,,Ward No-03 Total,16,12,117,114,156,142,49,43,126,119,27,18
12,02,03,060,,2,*Akhaura Uttar-Purba Corner,3,1,15,10,19,11,4,8,11,10,0,0
12,02,03,295,,2,*Dakshin Kharampur,0,0,35,35,33,41,9,8,26,27,3,5
12,02,03,310,,2,*Kumarpara Colony,0,5,28,32,41,34,14,10,27,34,3,1
12,02,03,725,,2,*Railway Paschim Colony,10,3,7,11,19,20,8,3,21,16,10,2
12,02,03,735,,2,*Railway Purba Colony,3,3,32,26,44,36,14,14,41,32,11,10
12,02,04,,,,Ward No-04 Total,10,12,165,128,177,179,82,69,100,142,44,31
12,02,04,820,,2,*Uttar Akhaura(Maslid Para),10,12,165,128,177,179,82,69,100,142,44,31
12,02,05,,,,Ward No-05 Total,16,11,86,105,190,131,60,48,109,107,25,25
12,02,05,045,,2,*Bara Bazar,3,1,18,25,35,25,12,14,14,24,4,8
12,02,05,290,,2,*Dakshin Akhaura,4,2,17,20,37,28,8,11,31,20,3,3
12,02,05,600,,2,*Paschim Radhanagar,9,8,43,50,104,68,32,16,59,56,13,10
12,02,05,640,,2,*Sarak Bazar,0,0,8,10,14,10,8,7,5,7,5,4
12,02,06,,,,Ward No-06 Total,10,14,220,191,299,305,87,100,212,248,57,26
12,02,06,605,,2,*Narayanpur,4,6,45,48,92,94,8,11,42,51,27,3
12,02,06,625,,2,*Purba Radhanagar,6,8,175,143,207,211,79,89,170,197,30,23
12,02,07,,,,Ward No-07 Total,8,4,149,166,190,180,110,79,87,130,48,30
12,02,07,205,,2,*Chandan Sar,1,0,36,35,33,42,37,32,19,29,20,12
12,02,07,290,,2,*Debagram Santi Nagar,0,0,27,31,44,37,27,13,18,33,9,4
12,02,07,298,,2,*Dakshin Radhanagar,0,0,19,15,14,12,9,7,19,13,1,2
12,02,07,655,,2,*Subar Pukur Par,0,0,3,6,4,4,4,2,1,6,0,0
12,02,07,810,,2,*Uttar Debagram,7,4,64,79,95,85,33,25,30,49,18,12
12,02,08,,,,Ward No-08 Total,26,42,162,157,345,282,64,60,191,215,46,25
12,02,08,305,,2,*Dakshin Debagram,26,42,162,157,345,282,64,60,191,215,46,25
12,02,09,,,,Ward No-09 Total,4,3,105,127,153,165,64,46,102,126,36,27
12,02,09,390,,2,*Purba Debagram,2,3,7,16,24,30,8,5,21,20,1,2
12,02,09,700,,2,*Taragan,2,0,98,111,129,135,56,41,81,106,35,25
12,02,19,,,,Dakshin Akhaura Union Total,38,43,418,386,747,741,157,109,397,456,123,45
12,02,19,013,,1,*Abdullahpur,2,4,68,56,109,103,16,15,49,53,23,4
12,02,19,068,,1,*Anandapur,0,0,28,28,51,31,18,18,30,36,6,3
12,02,19,068,01,1,Anandapur,0,0,19,20,33,16,6,13,18,25,2,1
12,02,19,068,02,1,Hapania,0,0,9,8,18,15,12,5,12,11,4,2
12,02,19,163,,1,*Banger Char,1,0,7,4,16,11,3,0,3,4,0,3
12,02,19,168,,1,*Bara Kuripaika,6,3,26,30,52,62,12,8,36,36,3,4
12,02,19,286,,1,*Bir Chandrapur,4,5,20,15,35,34,6,5,9,15,10,3
12,02,19,320,,1,*Chhota Kuripaika,4,6,26,37,85,75,19,13,53,45,13,2
12,02,19,390,,1,*Diljoypur,0,0,23,14,22,18,20,11,12,19,2,2
12,02,19,425,,1,*Hirapur,2,5,62,56,108,128,12,7,72,87,12,4
12,02,19,613,,1,*Kalikapur,0,0,20,10,14,14,8,1,3,6,5,0
12,02,19,619,,1,*Kalinagar,2,5,10,18,30,23,7,6,10,15,4,8
12,02,19,626,,1,*Kenduai,0,1,22,23,45,39,2,2,22,26,11,2
12,02,19,804,,1,*Nurpur,16,10,86,78,145,166,27,15,75,85,25,7
12,02,19,804,01,1,Nurpur,7,4,61,63,102,120,21,11,55,58,20,6
12,02,19,804,02,1,Nurpur Lamarbari,9,6,25,15,43,46,6,4,20,27,5,1
12,02,19,831,,1,*Rahimpur,1,1,3,4,8,9,1,3,10,11,1,0
12,02,19,838,,1,*Rajballabhpur,0,0,2,2,2,0,0,0,0,0,0,0
12,02,19,899,,1,*Satpara,0,0,4,3,5,9,5,2,3,3,1,3
12,02,19,920,,1,*Sahebnagar,0,3,11,8,20,19,1,3,10,15,7,0
12,02,57,,,,Dharkhar Union Total,130,137,1559,1437,2112,2139,735,574,1292,1553,412,237
12,02,57,011,,1,*Adilpur,0,1,44,45,54,45,22,9,26,35,9,9
12,02,57,149,,1,*Banganj,0,1,123,106,111,132,81,70,90,108,23,8
12,02,57,212,,1,*Bhatamatha,35,39,200,158,332,304,75,67,210,247,47,19
12,02,57,215,,1,*Chandpur,30,29,105,103,166,195,50,34,81,108,27,20
12,02,57,366,,1,*Dharkhar,7,4,163,141,274,258,55,32,124,158,54,14
12,02,57,387,,1,*Golkhar,2,3,205,212,233,254,124,82,164,172,64,48
12,02,57,387,01,1,Golkhar,2,3,201,201,218,237,118,78,152,160,61,46
12,02,57,387,02,1,Madhupur,0,0,4,11,15,17,6,4,12,12,3,2
12,02,57,470,,1,*Jikutia,1,0,20,16,29,23,15,6,17,17,1,6
12,02,57,599,,1,*Krishnanagar,0,0,27,27,23,36,24,17,30,11,4,7
12,02,57,693,,1,*Nowa Para,1,3,48,44,57,71,11,19,52,54,6,5
12,02,57,861,,1,*Ranikhar,17,14,134,137,181,186,52,35,123,148,27,18
12,02,57,877,,1,*Ruti,9,11,294,251,318,314,152,137,178,235,91,52
12,02,57,877,01,1,Ruti,2,3,167,135,187,163,99,98,82,117,61,49
12,02,57,877,02,1,Nurpur,7,8,127,116,131,151,53,39,96,118,30,3
12,02,57,893,,1,*Satura,20,22,112,116,204,206,46,36,119,150,33,14
12,02,57,954,,1,*Tantar,7,7,30,35,39,46,11,14,19,37,8,7
12,02,57,955,,1,*Tan Chandpur,0,1,6,3,4,1,0,0,1,5,0,0
12,02,57,991,,1,*Tulatali,1,2,48,43,87,68,17,16,58,68,18,10
12,02,57,991,01,1,Tulatali,1,2,26,24,37,42,5,8,29,42,12,1
12,02,57,991,02,1,Idilpur,0,0,22,19,50,26,12,8,29,26,6,9
12,02,76,,,,Maniand Union Total,92,84,1100,1063,1547,1416,551,486,930,1033,273,175
12,02,76,109,,1,*Airal,0,0,28,30,34,31,20,15,26,40,1,1
12,02,76,177,,1,*Bara Gangail,0,0,49,62,50,52,16,22,36,42,17,6
12,02,76,178,,1,*Bishnupur,2,0,8,4,8,10,2,1,8,11,3,1
12,02,76,190,,1,*Bara Lohaghar,4,0,58,57,39,36,45,29,28,34,22,14
12,02,76,218,,1,*Bhandusar,0,0,12,10,18,16,5,0,9,9,3,0
12,02,76,236,,1,*Baher Gazaria,0,0,8,16,14,20,5,8,10,15,3,3
12,02,76,354,,1,*Dakshin Minarkot,0,1,14,15,31,19,1,2,12,10,5,2
12,02,76,422,,1,*Dharmanagar Tanki,10,4,96,85,191,143,23,27,128,129,15,6
12,02,76,422,01,1,Uttar Dharmanagar,8,3,16,18,36,29,3,6,21,26,2,0
12,02,76,422,02,1,Sikarmura,0,0,40,22,51,52,9,12,33,40,6,3
12,02,76,422,03,1,Bara Tanki,0,0,25,28,76,42,3,6,52,48,3,1
12,02,76,422,04,1,Chhota Tanki,2,1,9,11,18,11,5,1,14,11,2,1
12,02,76,422,05,1,Bagaimura,0,0,3,5,3,4,2,1,4,2,2,1
12,02,76,422,06,1,Atka Para,0,0,3,1,7,5,1,1,4,2,0,0
12,02,76,477,,1,*Fatehpur,9,19,52,41,103,81,27,46,66,62,12,17
12,02,76,477,01,1,Fatehpur,9,17,43,38,96,74,25,42,61,56,11,12
12,02,76,477,02,1,Bekinagar,0,2,9,3,7,7,2,4,5,6,1,5
12,02,76,504,,1,*Goal Gangail,1,5,77,57,107,103,30,26,67,65,23,15
12,02,76,517,,1,*Gobindapur King,5,2,60,70,84,78,31,19,53,45,10,11
12,02,76,531,,1,*Gopalpur,1,0,10,10,9,10,8,6,6,4,2,4
12,02,76,558,,1,*Haripur,1,1,52,51,63,62,45,19,36,51,11,5
12,02,76,572,,1,*Itna,1,0,25,16,25,14,10,16,7,9,8,11
12,02,76,654,,1,*Kharkot,4,2,20,28,34,40,11,15,26,26,8,4
12,02,76,656,,1,*Kismat Ghagtia,0,1,9,11,13,23,6,8,7,7,3,0
12,02,76,695,,1,*Lakshmipur,0,0,17,12,15,12,3,5,4,2,2,0
12,02,76,712,,1,*Mirpur,0,0,4,4,8,7,0,1,4,3,0,0
12,02,76,722,,1,*Majhigachha,0,1,24,25,23,30,23,17,23,21,10,4
12,02,76,722,01,1,Majhigachha,0,1,24,23,20,25,20,15,17,20,9,4
12,02,76,722,02,1,Katamura,0,0,0,2,3,5,3,2,6,1,1,0
12,02,76,724,,1,*Mahendranagar,4,1,26,40,29,27,13,11,18,13,5,2
12,02,76,736,,1,*Maniand,33,39,271,254,436,395,137,114,209,280,71,44
12,02,76,736,01,1,Maniand,28,25,177,168,317,282,108,89,154,175,58,36
12,02,76,736,02,1,Girishnagar,1,3,26,23,33,26,6,6,5,24,6,1
12,02,76,736,03,1,Tan Mandail,4,11,68,63,86,87,23,19,50,81,7,7
12,02,76,781,,1,*Nowamura,1,2,39,42,38,48,25,23,36,34,9,7
12,02,76,885,,1,*Rajmangalpur,4,1,18,9,23,12,1,2,6,12,3,1
12,02,76,910,,1,*Shibnagar,3,1,52,51,59,62,26,19,53,43,13,12
12,02,76,910,01,1,Shibnagar,3,1,47,46,59,56,21,17,46,42,10,12
12,02,76,910,02,1,Baher Belabar,0,0,5,5,0,6,5,2,7,1,3,0
