0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
12,,,,,,Brahmanbaria Zila Total,842463,380517,461946,272020,21232,5032,1354,20098,349438,83367,89922
12,,,,,1,Brahmanbaria Zila,740792,333946,406846,238379,17106,4566,1215,19301,312219,71700,76306
12,,,,,2,Brahmanbaria Zila,60903,27873,33030,20010,2199,286,75,457,22300,7120,8456
12,,,,,3,Brahmanbaria Zila,40768,18698,22070,13631,1927,180,64,340,14919,4547,5160
12,02,,,,,Akhaura Upazila Total,33905,15215,18690,10737,579,188,88,210,13435,4080,4588
12,02,,,,1,Akhaura Upazila,27052,12240,14812,8597,365,143,79,183,10737,3317,3631
12,02,,,,2,Akhaura Upazila,6853,2975,3878,2140,214,45,9,27,2698,763,957
,,,,,,Akhaura Paurashava,,,,,,,,,,,
12,02,01,,,,Ward No-01 Total,800,321,479,257,14,10,2,2,366,52,97
12,02,01,298,,2,*Durgapur,800,321,479,257,14,10,2,2,366,52,97
12,02,02,,,,Ward No-02 Total,653,275,378,185,8,1,1,4,280,85,89
12,02,02,790,,2,*Tanpara,347,141,206,97,0,0,0,3,159,41,47
12,02,02,830,,2,*Uttar Kharampur,306,134,172,88,8,1,1,1,121,44,42
12,02,03,,,,Ward No-03 Total,576,256,320,148,32,24,1,3,194,81,93
12,02,03,060,,2,*Akhaura Uttar-Purba Corner,29,8,21,6,4,0,0,0,11,2,6
12,02,03,295,,2,*Dakshin Kharampur,96,39,57,28,4,1,0,1,35,9,18
12,02,03,310,,2,*Kumarpara Colony,118,43,75,31,3,0,0,1,46,11,26
12,02,03,725,,2,*Railway Paschim Colony,78,30,48,23,0,0,0,1,40,6,8
12,02,03,735,,2,*Railway Purba Colony,255,136,119,60,21,23,1,0,62,53,35
12,02,04,,,,Ward No-04 Total,888,390,498,306,22,1,0,0,361,83,115
12,02,04,820,,2,*Uttar Akhaura(Maslid Para),888,390,498,306,22,1,0,0,361,83,115
12,02,05,,,,Ward No-05 Total,547,240,307,182,40,3,2,0,198,55,67
12,02,05,045,,2,*Bara Bazar,151,71,80,60,22,0,1,0,47,11,10
12,02,05,290,,2,*Dakshin Akhaura,98,42,56,27,0,0,0,0,46,15,10
12,02,05,600,,2,*Paschim Radhanagar,235,97,138,72,17,3,1,0,81,22,39
12,02,05,640,,2,*Sarak Bazar,63,30,33,23,1,0,0,0,24,7,8
12,02,06,,,,Ward No-06 Total,871,349,522,250,39,1,0,4,315,94,168
12,02,06,605,,2,*Narayanpur,202,78,124,58,0,1,0,0,95,19,29
12,02,06,625,,2,*Purba Radhanagar,669,271,398,192,39,0,0,4,220,75,139
12,02,07,,,,Ward No-07 Total,959,442,517,331,44,5,2,4,356,102,115
12,02,07,205,,2,*Chandan Sar,350,168,182,138,22,0,0,1,130,29,30
12,02,07,290,,2,*Debagram Santi Nagar,172,85,87,63,7,5,1,0,63,17,16
12,02,07,298,,2,*Dakshin Radhanagar,45,13,32,5,2,0,1,1,22,7,7
12,02,07,655,,2,*Subar Pukur Par,11,4,7,2,0,0,0,0,5,2,2
12,02,07,810,,2,*Uttar Debagram,381,172,209,123,13,0,0,2,136,47,60
12,02,08,,,,Ward No-08 Total,862,389,473,249,13,0,1,4,332,136,127
12,02,08,305,,2,*Dakshin Debagram,862,389,473,249,13,0,1,4,332,136,127
12,02,09,,,,Ward No-09 Total,697,313,384,232,2,0,0,6,296,75,86
12,02,09,390,,2,*Purba Debagram,84,44,40,27,1,0,0,1,29,16,10
12,02,09,700,,2,*Taragan,613,269,344,205,1,0,0,5,267,59,76
12,02,19,,,,Dakshin Akhaura Union Total,2302,967,1335,642,13,15,3,19,1021,291,298
12,02,19,013,,1,*Abdullahpur,334,144,190,99,2,2,0,11,153,32,35
