0,1,2,3,4,5,6,7,8,9,10,11,12
12,,,,,,Brahmanbaria Zila Total,2840498,2627810,211899,389,118,282
12,,,,,1,Brahmanbaria Zila,2392005,2231153,160458,118,20,256
12,,,,,2,Brahmanbaria Zila,301852,263994,37480,258,94,26
12,,,,,3,Brahmanbaria Zila,146641,132663,13961,13,4,0
12,02,,,,,Akhaura Upazila Total,145215,136787,8423,0,3,2
12,02,,,,1,Akhaura Upazila,108953,103851,5100,0,0,2
12,02,,,,2,Akhaura Upazila,36262,32936,3323,0,3,0
,,,,,,Akhaura Paurashava,,,,,,
12,02,01,,,,Ward No-01 Total,5137,4749,388,0,0,0
12,02,01,298,,2,*Durgapur,5137,4749,388,0,0,0
12,02,02,,,,Ward No-02 Total,3181,2950,231,0,0,0
12,02,02,790,,2,*Tanpara,1773,1773,0,0,0,0
12,02,02,830,,2,*Uttar Kharampur,1408,1177,231,0,0,0
12,02,03,,,,Ward No-03 Total,3334,3052,279,0,3,0
12,02,03,060,,2,*Akhaura Uttar-Purba Corner,302,294,8,0,0,0
12,02,03,295,,2,*Dakshin Kharampur,790,789,1,0,0,0
12,02,03,310,,2,*Kumarpara Colony,735,659,76,0,0,0
12,02,03,725,,2,*Railway Paschim Colony,466,449,14,0,3,0
12,02,03,735,,2,*Railway Purba Colony,1041,861,180,0,0,0
12,02,04,,,,Ward No-04 Total,3830,3450,380,0,0,0
12,02,04,820,,2,*Uttar Akhaura(Maslid Para),3830,3450,380,0,0,0
12,02,05,,,,Ward No-05 Total,2958,2518,440,0,0,0
12,02,05,045,,2,*Bara Bazar,594,583,11,0,0,0
12,02,05,290,,2,*Dakshin Akhaura,689,473,216,0,0,0
12,02,05,600,,2,*Paschim Radhanagar,1467,1254,213,0,0,0
12,02,05,640,,2,*Sarak Bazar,208,208,0,0,0,0
12,02,06,,,,Ward No-06 Total,5800,4801,999,0,0,0
12,02,06,605,,2,*Narayanpur,1253,1253,0,0,0,0
12,02,06,625,,2,*Purba Radhanagar,4547,3548,999,0,0,0
12,02,07,,,,Ward No-07 Total,3767,3287,480,0,0,0
12,02,07,205,,2,*Chandan Sar,997,802,195,0,0,0
12,02,07,290,,2,*Debagram Santi Nagar,639,639,0,0,0,0
12,02,07,298,,2,*Dakshin Radhanagar,462,313,149,0,0,0
12,02,07,655,,2,*Subar Pukur Par,148,33,115,0,0,0
12,02,07,810,,2,*Uttar Debagram,1521,1500,21,0,0,0
12,02,08,,,,Ward No-08 Total,5158,5037,121,0,0,0
12,02,08,305,,2,*Dakshin Debagram,5158,5037,121,0,0,0
12,02,09,,,,Ward No-09 Total,3097,3092,5,0,0,0
12,02,09,390,,2,*Purba Debagram,432,432,0,0,0,0
12,02,09,700,,2,*Taragan,2665,2660,5,0,0,0
12,02,19,,,,Dakshin Akhaura Union Total,10670,10656,14,0,0,0
12,02,19,013,,1,*Abdullahpur,1425,1425,0,0,0,0
12,02,19,068,,1,*Anandapur,662,662,0,0,0,0
