0,1,2,3,4,5,6,7,8,9,10,11,12
13,,,,,,Chandpur Zila Total,406568,506521,2416018,2414522,1496,1468
13,,,,,1,Chandpur Zila,,414600,1980294,1979919,375,
13,,,,,2,Chandpur Zila,,86059,409291,408170,1121,
13,,,,,3,Chandpur Zila,,5862,26433,26433,0,
13,22,,,,,Chandpur Sadar Upazila Total,76300,98109,465919,464569,1350,1509
13,22,,,,1,Chandpur Sadar Upazila,,62296,294854,294613,241,
13,22,,,,2,Chandpur Sadar Upazila,,33322,159021,157912,1109,
13,22,,,,3,Chandpur Sadar Upazila,,2491,12044,12044,0,
,,,,,,Chandpur Paurashava,,,,,,
13,22,01,,,,Ward No-01 Total,,1864,8476,8476,0,
13,22,01,308,,2,*Dakhin Merkating Road,,311,1425,1425,0,
13,22,01,315,,2,*Dakhin Ramany Mohan Road,,210,986,986,0,
13,22,01,426,,2,*Chandpur Puran Bazar,,245,1040,1040,0,
13,22,01,722,,2,*Momefactory,,262,1169,1169,0,
13,22,01,895,,2,*Rifuji Colony,,373,1685,1685,0,
13,22,01,990,,2,*Uttar Ramany Mohan Road,,253,1186,1186,0,
13,22,01,994,,2,*Uttar Merkatig Road,,210,985,985,0,
13,22,02,,,,Ward No-02 Total,,2026,9571,9571,0,
13,22,02,284,,2,*Madhya Sreeramdi,,652,2999,2999,0,
13,22,02,300,,2,*Gosh Para (Part),,340,1642,1642,0,
13,22,02,447,,2,*Paschim Sreeramdi,,728,3419,3419,0,
13,22,02,621,,2,*Paschim Jafrabad (Paura Part),,136,688,688,0,
13,22,02,897,,2,*Royez Road (Uttar),,23,129,129,0,
13,22,02,941,,2,*Sayal Bari Road (Uttar),,147,694,694,0,
13,22,03,,,,Ward No-03 Total,,1807,8716,8716,0,
13,22,03,147,,2,*Daspara,,457,2115,2115,0,
13,22,03,163,,2,*Dakshin Sreeramdi,,551,2694,2694,0,
13,22,03,412,,2,*Palpara,,172,827,827,0,
13,22,03,503,,2,*Jafrabad (Paura Part),,594,2904,2904,0,
13,22,03,568,,2,*Ladaras Company,,33,176,176,0,
13,22,04,,,,Ward No-04 Total,,1289,6147,6147,0,
13,22,04,021,,2,*Amjad Ali Road(Purba Part),,257,1197,1197,0,
13,22,04,455,,2,*Hazi Sariat Ullha Road(Purbapt,,41,209,209,0,
13,22,04,473,,2,*Purba Sreeramdi,,398,1727,1727,0,
13,22,04,660,,2,*Madhya Jafrabad,,165,810,810,0,
13,22,04,805,,2,*Star Al-Kaid Jute Mill,,20,111,111,0,
13,22,04,896,,2,*Royez Road (Dakshin),,205,990,990,0,
13,22,04,899,,2,*Royez Road Uttar (Momenbag),,166,777,777,0,
13,22,04,921,,2,*W.R.Jute Mill,,37,326,326,0,
13,22,05,,,,Ward No-05 Total,,1320,6753,6753,0,
13,22,05,671,,2,*Purba Jafrabad,,36,164,164,0,
13,22,05,718,,2,*Miunichipality Mauza,,100,490,490,0,
13,22,05,989,,2,*Uttar Ragunath Pur(Paura Part),,1184,6099,6099,0,
13,22,06,,,,Ward No-06 Total,,1452,7134,6992,142,
13,22,06,097,,2,*Bakultala Road,,262,1170,1170,0,
13,22,06,425,,2,*J.Msengopta Road,,82,369,369,0,
13,22,06,602,,2,*Matarniti Road,,91,411,411,0,
13,22,06,610,,2,*Metha Road,,86,416,416,0,
13,22,06,700,,2,*Nadir Parer Kandi,,283,1468,1468,0,
13,22,06,730,,2,*Stand Road,,480,2469,2327,142,
13,22,06,750,,2,*Comilla Road (Uttar),,57,267,267,0,
13,22,06,788,,2,*Pal Bazar,,111,564,564,0,
13,22,07,,,,Ward No-07 Total,,2661,12995,12874,121,
13,22,07,260,,2,*Nisi Quatar Kacha Colony,,302,1390,1390,0,
13,22,07,390,,2,*G.R.P Colony & Loko Collony,,72,374,374,0,
13,22,07,458,,2,*Jamuna Road (P.H),,732,3686,3565,121,
13,22,07,560,,2,*Madrasha Road,,244,1161,1161,0,
13,22,07,678,,2,*Jamtala Nisi Road(Paschim),,611,2886,2886,0,
13,22,07,735,,2,*Railway Sweeper Colony,,71,303,303,0,
13,22,07,755,,2,*Railway Saramik Colony,,103,512,512,0,
13,22,07,765,,2,*Railway Kabarstan,,98,470,470,0,
13,22,07,780,,2,*Railway Colony,,58,334,334,0,
13,22,07,790,,2,*Railway Club Road,,176,867,867,0,
13,22,07,817,,2,*Tila Bari,,194,1012,1012,0,
13,22,08,,,,Ward No-08 Total,,2390,11286,11281,5,
13,22,08,091,,2,*Adarsha Muslim Para,,188,868,868,0,
13,22,08,210,,2,*Chowduri Para,,97,444,444,0,
13,22,08,300,,2,*Gosh Para,,120,532,532,0,
13,22,08,360,,2,*Hazi Mahashin Road(Paschim),,70,318,318,0,
13,22,08,392,,2,*Guakhola Road,,700,3188,3188,0,
13,22,08,397,,2,*J.T.C. Kuli Bagan,,155,671,671,0,
13,22,08,410,,2,*Kuralia Road Paschim,,516,2480,2475,5,
13,22,08,411,,2,*Kuralia Road Purba,,399,1983,1983,0,
13,22,08,590,,2,*Munshef Para,,1,5,5,0,
13,22,08,760,,2,*Sahid Muktijudda Sarak,,30,137,137,0,
13,22,08,782,,2,*Railway Fidar Road,,54,255,255,0,
13,22,08,995,,2,*Mahila Colege Road,,60,405,405,0,
13,22,09,,,,Ward No-09 Total,,2968,14923,14082,841,
13,22,09,062,,2,*Bakaul Bari Road,,298,1397,1397,0,
13,22,09,070,,2,*Addapak Para,,659,3567,3079,488,
13,22,09,190,,2,*Bus Stand,,0,353,0,353,
13,22,09,295,,2,*Comilla Road(Shingha Para),,214,1192,1192,0,
13,22,09,460,,2,*Koralia (Part),,119,597,597,0,
13,22,09,620,,2,*Paschim Bishnadi Road,,150,634,634,0,
13,22,09,690,,2,*Pir Badshamia Road,,411,1888,1888,0,
13,22,09,712,,2,*Biddabotikhal,,432,2027,2027,0,
13,22,09,720,,2,*Staff Quater,,52,257,257,0,
13,22,09,763,,2,*Sarankhula Road,,149,671,671,0,
13,22,09,823,,2,*Pshim Bishnadi Mohalla,,432,2084,2084,0,
13,22,09,971,,2,*Sweeper Colony,,52,256,256,0,
13,22,10,,,,Ward No-10 Total,,2887,13468,13468,0,
13,22,10,023,,2,*Adalat Para,,379,1806,1806,0,
13,22,10,060,,2,*Alim Para,,125,526,526,0,
13,22,10,277,,2,*C.Sd Colony,,17,85,85,0,
13,22,10,317,,2,*Ganguly Para,,83,338,338,0,
13,22,10,405,,2,*Hazi Mohashin Road(Rldp),,164,730,730,0,
13,22,10,412,,2,*Palpara,,631,2964,2964,0,
13,22,10,490,,2,*Kadamtala,,79,379,379,0,
13,22,10,647,,2,*Natun Alim Para,,242,1146,1146,0,
13,22,10,670,,2,*Purba J.M.Seengupta Road,,52,284,284,0,
13,22,10,708,,2,*Rahamatpur Abashikelaka,,763,3544,3544,0,
13,22,10,758,,2,*Shahid Jabed Darak,,50,259,259,0,
13,22,10,785,,2,*Shahid Ka.Kha.Su.Sankar Road,,145,691,691,0,
13,22,10,810,,2,*Ukil Para,,157,716,716,0,
13,22,11,,,,Ward No-11 Total,,1971,9788,9788,0,
13,22,11,275,,2,*Char Ragunath Pur Mohalla,,88,424,424,0,
13,22,11,438,,2,*Gunarajdipower Station Mohalla,,1167,5709,5709,0,
13,22,11,645,,2,*Madhya Ichali Mohalla,,567,2921,2921,0,
13,22,11,891,,2,*Rashid Patwary Road,,149,734,734,0,
13,22,12,,,,Ward No-12 Total,,3031,14177,14177,0,
13,22,12,125,,2,*Bangabandhu Sarak,,113,592,592,0,
13,22,12,220,,2,*Dakshin G.T. Road,,284,1377,1377,0,
13,22,12,263,,2,*Haji Moshahin Road (East),,183,852,852,0,
13,22,12,395,,2,*Eye (Chakku)Hospital Alaka,,51,221,221,0,
13,22,12,430,,2,*Kabarastan Alaka,,2,245,245,0,
13,22,12,530,,2,*Mission Road,,316,1319,1319,0,
13,22,12,560,,2,*Madrasha Road,,489,2346,2346,0,
13,22,12,600,,2,*Nazir Para,,728,3258,3258,0,
13,22,12,623,,2,*Pir Mahasin Uddin Road,,69,283,283,0,
13,22,12,860,,2,*Zila Prasasaker Karzzalay,,234,1080,1080,0,
13,22,12,993,,2,*Uttar Gunarajdi,,562,2604,2604,0,
13,22,13,,,,Ward No-13 Total,,3057,14856,14856,0,
13,22,13,061,,2,*Baherkhali Shaduli Mahalla,,120,577,577,0,
13,22,13,161,,2,*Chandpur-F.G.Rd E.S.D.Tarpur.,,806,3904,3904,0,
13,22,13,165,,2,*Chandpur-Faridgong Rd W.S.D.Tp,,390,1937,1937,0,
13,22,13,377,,2,*Khalishaduli North,,561,2887,2887,0,
13,22,13,389,,2,*Enayet Nagar Mahalla,,210,948,948,0,
13,22,13,408,,2,*Gucha Gram,,222,954,954,0,
13,22,13,605,,2,*Khalishaduli South,,468,2210,2210,0,
13,22,13,641,,2,*Police Line,,61,392,392,0,
13,22,13,714,,2,*Mirzapur Mahalla,,99,482,482,0,
13,22,13,996,,2,*U.N.O Officc&Cerkithouse Elaka,,120,565,565,0,
13,22,14,,,,Ward No-14 Total,,2431,11186,11186,0,
13,22,14,361,,2,*Dhakin Ashikati Mahalla,,291,1364,1364,0,
13,22,14,363,,2,*Dhakin Dashdi Model Towan,,1059,4819,4819,0,
13,22,14,951,,2,*Silandia Mahalla,,746,3445,3445,0,
13,22,14,997,,2,*Uttar Ashikati Mahalla,,335,1558,1558,0,
13,22,15,,,,Ward No-15 Total,,2168,9545,9545,0,
13,22,15,180,,2,*B.T. Road Alaka,,400,1827,1827,0,
13,22,15,200,,2,*Bank Colony,,670,2847,2847,0,
13,22,15,580,,2,*Purba Bishanadi Road,,166,742,742,0,
13,22,15,640,,2,*Uttar G.T. Road,,342,1505,1505,0,
13,22,15,712,,2,*Uttar Biddabati Khaler(Part),,84,423,423,0,
13,22,15,725,,2,*Motsha Gobesona Kandra Alaka,,259,1042,1042,0,
13,22,15,978,,2,*Telephone Exch.Off.Elaka (Wire,,247,1159,1159,0,
13,22,18,,,,Ashikati Union Total,2825,5075,24015,24000,15,2101
13,22,18,031,,1,*Ashikati(Part),,964,4674,4674,0,
13,22,18,465,,1,*Hapania,,631,3013,3013,0,
13,22,18,481,,1,*Hossainpur,,969,4698,4698,0,
13,22,18,772,,1,*Paikasta,,947,4171,4171,0,
13,22,18,852,,1,*Raldia,,1007,4863,4863,0,
13,22,18,942,,1,*Sengaon,,557,2596,2581,15,
13,22,20,,,,Kalyanpur Union Total,5637,3299,14860,14860,0,651
13,22,20,015,,1,*Amanullahpur,,524,2322,2322,0,
13,22,20,344,,1,*Dasadi,,752,3349,3349,0,
13,22,20,349,,1,*Dasdi(Part),,434,1998,1998,0,
13,22,20,518,,1,*Kalyandi,,1138,5223,5223,0,
13,22,20,809,,1,*Pathalia,,124,563,563,0,
13,22,20,883,,1,*Rangergaon,,327,1405,1405,0,
13,22,22,,,,Baghadi Union Total,3398,6740,32163,32163,0,2339
13,22,22,037,,1,*Baghadi,,1419,7107,7107,0,
13,22,22,148,,1,*Brahman Sakhua,,583,2784,2784,0,
13,22,22,158,,1,*Chandpur,,359,1423,1423,0,
13,22,22,174,,1,*Char Baghadi,,9,32,32,0,
13,22,22,254,,1,*Char Measa,,359,1618,1618,0,
13,22,22,386,,1,*Gachhtala,,342,1778,1778,0,
13,22,22,407,,1,*Ghasipur Char,,199,770,770,0,
13,22,22,449,,1,*Hajra,,138,627,627,0,
13,22,22,656,,1,*Islampur Gachhtala,,376,1837,1837,0,
