0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
13,,,,,,Chandpur Zila Total,2416018,10.9,13.2,13.0,9.9,8.6,8.0,21.3,6.3,3.1,5.9
13,,,,,1,Chandpur Zila,1980294,11.0,13.5,13.2,9.8,8.4,7.8,20.9,6.3,3.1,6.1
13,,,,,2,Chandpur Zila,409291,10.4,12.0,12.1,10.2,9.4,8.9,23.2,6.3,2.7,4.9
13,,,,,3,Chandpur Zila,26433,10.6,13.2,13.0,9.6,8.2,8.5,21.9,6.1,3.0,5.9
13 22,,,,,,Chandpur Sadar Upazila Total,465919,10.7,12.9,13.0,9.9,8.7,8.3,22.0,6.2,2.9,5.4
13 22,,,,,1,Chandpur Sadar Upazila,294854,10.9,13.8,13.5,9.8,8.1,7.7,21.0,6.1,3.1,6.0
13 22,,,,,2,Chandpur Sadar Upazila,159021,10.3,11.2,12.0,10.2,9.8,9.3,24.1,6.4,2.5,4.3
13 22,,,,,3,Chandpur Sadar Upazila,12044,11.0,13.5,12.7,9.2,8.4,8.7,21.5,5.9,2.9,6.1
,,,,,,Chandpur Paurashava,,,,,,,,,,,
13 22,,01,,,,Ward No-01 Total,8476,9.9,11.2,11.1,9.5,9.1,9.1,25.5,7.0,3.0,4.6
13 22,,01,308,,2,*Dakhin Merkating Road,1425,9.8,12.3,10.2,10.0,9.1,9.3,26.3,6.3,2.7,4.0
13 22,,01,315,,2,*Dakhin Ramany Mohan Road,986,8.1,9.7,8.7,11.2,11.3,8.7,26.3,8.4,3.3,4.3
13 22,,01,426,,2,*Chandpur Puran Bazar,1040,9.8,11.1,11.7,8.3,7.3,7.9,26.5,8.3,3.4,5.8
13 22,,01,722,,2,*Momefactory,1169,10.7,12.7,11.3,9.8,10.8,9.9,22.1,6.0,2.2,4.4
13 22,,01,895,,2,*Rifuji Colony,1685,11.3,10.5,14.0,8.7,7.4,7.5,26.2,6.9,3.2,4.2
13 22,,01,990,,2,*Uttar Ramany Mohan Road,1186,7.6,10.0,9.6,8.9,9.9,10.3,27.6,8.7,2.8,4.6
13 22,,01,994,,2,*Uttar Merkatig Road,985,11.2,11.7,11.0,9.8,8.7,11.0,23.1,4.9,3.1,5.5
13 22,,02,,,,Ward No-02 Total,9571,10.3,11.4,11.6,9.8,9.2,9.4,23.7,6.8,3.3,4.5
13 22,,02,284,,2,*Madhya Sreeramdi,2999,11.8,13.2,13.6,10.1,9.3,9.9,21.6,5.5,1.9,3.2
13 22,,02,300,,2,*Gosh Para (Part),1642,8.8,8.5,9.2,9.0,9.6,11.4,27.0,7.9,4.0,4.6
13 22,,02,447,,2,*Paschim Sreeramdi,3419,9.3,11.0,11.3,9.5,8.7,7.9,24.1,8.3,4.7,5.2
13 22,,02,621,,2,*Paschim Jafrabad (Paura Part),688,12.8,13.7,11.9,10.2,9.6,7.6,21.9,4.1,1.5,6.8
13 22,,02,897,,2,*Royez Road (Uttar),129,10.1,8.5,10.9,9.3,2.3,14.7,32.6,5.4,2.3,3.9
13 22,,02,941,,2,*Sayal Bari Road (Uttar),694,9.1,11.1,10.4,11.7,11.0,10.5,23.6,6.2,2.6,3.9
13 22,,03,,,,Ward No-03 Total,8716,10.6,11.6,10.9,10.3,9.9,9.2,23.4,6.6,2.8,4.7
13 22,,03,147,,2,*Daspara,2115,9.7,10.3,9.3,10.1,9.7,9.6,26.6,7.5,2.6,4.7
13 22,,03,163,,2,*Dakshin Sreeramdi,2694,11.8,11.4,10.4,10.3,10.5,9.7,23.2,5.7,2.6,4.5
13 22,,03,412,,2,*Palpara,827,9.2,12.6,13.3,8.3,7.7,10.0,25.9,6.7,2.2,4.1
13 22,,03,503,,2,*Jafrabad (Paura Part),2904,10.6,12.7,11.7,10.9,10.2,8.4,20.1,7.0,3.2,5.1
13 22,,03,568,,2,*Ladaras Company,176,8.0,7.4,14.2,13.1,8.0,7.4,31.8,5.1,2.3,2.8
13 22,,04,,,,Ward No-04 Total,6147,10.0,10.8,11.3,10.4,10.1,9.0,23.4,7.0,3.2,4.9
13 22,,04,021,,2,*Amjad Ali Road(Purba Part),1197,8.6,10.6,11.4,10.9,10.4,9.0,24.9,6.6,3.8,3.7
13 22,,04,455,,2,*Hazi Sariat Ullha Road(Purbapt,209,9.6,12.9,10.5,10.0,8.6,5.7,27.3,4.8,1.9,8.6
13 22,,04,473,,2,*Purba Sreeramdi,1727,10.8,10.9,11.3,10.6,9.7,9.7,22.1,6.3,3.1,5.6
13 22,,04,660,,2,*Madhya Jafrabad,810,12.3,11.4,10.7,9.5,11.7,9.0,19.8,7.0,2.3,6.2
13 22,,04,805,,2,*Star Al-Kaid Jute Mill,111,7.2,7.2,5.4,7.2,6.3,12.6,21.6,17.1,11.7,3.6
13 22,,04,896,,2,*Royez Road (Dakshin),990,10.0,11.1,11.7,11.3,9.7,7.7,26.1,6.1,2.5,3.8
13 22,,04,899,,2,*Royez Road Uttar (Momenbag),777,9.7,10.4,13.0,10.7,11.1,9.7,23.0,5.9,2.7,3.9
13 22,,04,921,,2,*W.R.Jute Mill,326,7.1,8.9,9.5,7.7,7.7,8.3,23.9,15.3,4.9,6.7
13 22,,05,,,,Ward No-05 Total,6753,10.4,12.0,13.3,10.9,9.9,8.5,21.8,6.4,2.4,4.3
13 22,,05,671,,2,*Purba Jafrabad,164,11.0,12.2,11.0,11.6,9.8,12.2,25.0,3.0,0.6,3.7
13 22,,05,718,,2,*Miunichipality Mauza,490,9.8,10.6,9.2,10.6,11.8,10.2,21.8,6.7,1.8,7.3
13 22,,05,989,,2,*Uttar Ragunath Pur(Paura Part),6099,10.5,12.1,13.6,11.0,9.8,8.3,21.7,6.5,2.5,4.1
13 22,,06,,,,Ward No-06 Total,7134,9.4,10.9,12.3,9.9,8.2,8.9,26.7,7.0,2.6,4.1
13 22,,06,097,,2,*Bakultala Road,1170,11.0,10.5,10.6,10.2,10.3,9.5,25.5,6.8,2.4,3.2
13 22,,06,425,,2,*J.Msengopta Road,369,8.4,12.5,11.4,7.6,4.6,9.2,29.3,8.9,4.3,3.8
13 22,,06,602,,2,*Matarniti Road,411,6.8,9.7,10.7,8.0,8.5,8.5,29.7,13.1,1.9,2.9
13 22,,06,610,,2,*Metha Road,416,7.9,11.8,13.0,6.0,9.1,9.6,28.4,6.3,2.9,5.0
13 22,,06,700,,2,*Nadir Parer Kandi,1468,10.1,11.2,12.7,8.6,7.9,9.0,26.0,5.7,3.7,5.0
13 22,,06,730,,2,*Stand Road,2469,8.6,11.2,13.6,10.7,8.3,8.4,26.5,6.7,2.0,4.0
13 22,,06,750,,2,*Comilla Road (Uttar),267,9.0,7.1,15.4,10.5,7.5,10.1,24.7,9.0,1.5,5.2
13 22,,06,788,,2,*Pal Bazar,564,11.2,10.3,9.2,14.5,6.2,9.0,27.8,5.7,2.5,3.5
13 22,,07,,,,Ward No-07 Total,12995,11.3,12.0,12.1,10.2,9.6,9.3,22.5,6.1,2.6,4.3
13 22,,07,260,,2,*Nisi Quatar Kacha Colony,1390,9.1,10.5,12.9,10.9,11.7,8.2,23.2,6.8,2.4,4.2
13 22,,07,390,,2,*G.R.P Colony & Loko Collony,374,11.2,8.8,10.4,8.0,8.6,12.0,25.7,10.2,2.1,2.9
13 22,,07,458,,2,*Jamuna Road (P.H),3686,11.6,12.7,12.9,9.5,8.8,9.6,23.2,5.3,2.4,4.0
13 22,,07,560,,2,*Madrasha Road,1161,11.6,13.4,11.4,10.9,8.1,8.7,20.8,7.3,2.5,5.4
13 22,,07,678,,2,*Jamtala Nisi Road(Paschim),2886,11.7,11.5,11.2,9.9,11.2,9.6,21.6,6.2,2.9,4.2
13 22,,07,735,,2,*Railway Sweeper Colony,303,8.9,8.3,10.2,11.6,11.9,8.9,26.4,7.3,3.0,3.6
13 22,,07,755,,2,*Railway Saramik Colony,512,11.5,15.0,11.9,8.6,8.2,10.2,19.9,5.7,3.5,5.5
13 22,,07,765,,2,*Railway Kabarstan,470,12.3,12.1,10.9,11.5,8.1,8.1,23.0,4.9,2.6,6.6
13 22,,07,780,,2,*Railway Colony,334,9.9,9.6,13.8,12.0,10.2,5.7,29.0,5.4,2.1,2.4
13 22,,07,790,,2,*Railway Club Road,867,11.3,11.8,13.3,10.1,9.1,11.4,21.6,5.5,2.3,3.6
13 22,,07,817,,2,*Tila Bari,1012,12.5,13.1,12.4,11.6,7.6,8.1,20.7,5.9,2.8,5.3
13 22,,08,,,,Ward No-08 Total,11286,9.0,10.4,11.2,11.7,9.1,9.1,26.1,6.2,2.6,4.7
13 22,,08,091,,2,*Adarsha Muslim Para,868,6.9,11.3,12.0,13.6,6.7,7.5,30.1,5.8,2.0,4.3
13 22,,08,210,,2,*Chowduri Para,444,7.4,11.3,10.8,9.9,10.1,9.0,29.5,6.3,1.4,4.3
13 22,,08,300,,2,*Gosh Para,532,7.0,8.5,10.5,7.1,10.9,7.9,32.9,6.4,3.2,5.6
13 22,,08,360,,2,*Hazi Mahashin Road(Paschim),318,6.3,11.0,12.9,10.7,8.2,8.8,29.2,7.5,2.5,2.8
13 22,,08,392,,2,*Guakhola Road,3188,9.5,9.8,11.8,9.8,9.0,8.2,27.4,7.2,2.8,4.5
