0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
13,,,,,,Chandpur Zila Total,850796,43.2,56.1,0.7,0.1,983481,27.9,64.2,7.5,0.4
13,,,,,1,Chandpur Zila,686563,43.2,56.0,0.7,0.1,809800,27.9,64.2,7.4,0.4
13,,,,,2,Chandpur Zila,154518,43.2,56.0,0.7,0.1,163258,27.7,64.0,7.9,0.5
13,,,,,3,Chandpur Zila,9715,40.9,58.4,0.6,0.1,10423,28.8,63.9,7.0,0.3
13,22,,,,,Chandpur Sadar Upazila Total,171014,43.2,56.0,0.7,0.1,184965,29.1,63.2,7.3,0.4
13,22,,,,1,Chandpur Sadar Upazila,104480,43.2,56.1,0.7,0.1,117559,29.0,63.5,7.1,0.4
13,22,,,,2,Chandpur Sadar Upazila,62255,43.4,55.7,0.8,0.1,62602,29.4,62.5,7.6,0.6
13,22,,,,3,Chandpur Sadar Upazila,4279,42.0,57.1,0.8,0.0,4804,27.9,64.9,6.8,0.4
,,,,,,Chandpur Paurashava,,,,,,,,,,
13,22,01,,,,Ward No-01 Total,3369,39.7,58.9,1.0,0.3,3325,28.1,62.4,8.7,0.8
13,22,01,308,,2,*Dakhin Merkating Road,562,37.7,61.4,0.7,0.2,549,27.7,67.4,4.4,0.5
13,22,01,315,,2,*Dakhin Ramany Mohan Road,425,37.6,60.9,1.4,0.0,385,22.6,68.8,8.3,0.3
13,22,01,426,,2,*Chandpur Puran Bazar,417,40.3,58.8,1.0,0.0,406,26.4,60.8,11.3,1.5
13,22,01,722,,2,*Momefactory,440,36.1,62.3,1.6,0.0,455,29.2,67.0,3.5,0.2
13,22,01,895,,2,*Rifuji Colony,628,40.8,57.8,0.6,0.8,690,33.0,54.2,11.0,1.7
13,22,01,990,,2,*Uttar Ramany Mohan Road,520,44.4,54.8,0.2,0.6,457,26.9,61.5,11.6,0.0
13,22,01,994,,2,*Uttar Merkatig Road,377,40.6,57.0,2.1,0.3,383,26.9,60.8,11.0,1.3
13,22,02,,,,Ward No-02 Total,3777,41.1,57.7,1.2,0.0,3720,27.7,62.7,9.0,0.5
13,22,02,284,,2,*Madhya Sreeramdi,1134,39.4,59.1,1.5,0.0,1114,28.6,64.5,6.0,0.9
13,22,02,300,,2,*Gosh Para (Part),692,43.4,55.1,1.6,0.0,667,27.0,60.0,12.7,0.3
13,22,02,447,,2,*Paschim Sreeramdi,1350,41.4,57.6,1.0,0.1,1375,27.5,60.9,11.3,0.3
13,22,02,621,,2,*Paschim Jafrabad (Paura Part),255,42.7,56.5,0.8,0.0,251,25.1,64.9,9.2,0.8
13,22,02,897,,2,*Royez Road (Uttar),69,44.9,52.2,2.9,0.0,36,33.3,61.1,5.6,0.0
13,22,02,941,,2,*Sayal Bari Road (Uttar),277,38.3,61.4,0.4,0.0,277,28.2,70.0,1.1,0.7
13,22,03,,,,Ward No-03 Total,3322,43.1,55.6,1.1,0.1,3462,28.2,60.7,10.5,0.6
13,22,03,147,,2,*Daspara,850,42.5,56.1,1.4,0.0,842,25.3,63.1,11.5,0.1
13,22,03,163,,2,*Dakshin Sreeramdi,1020,43.1,55.3,1.2,0.4,1049,26.1,60.3,12.4,1.1
13,22,03,412,,2,*Palpara,297,36.7,61.6,1.7,0.0,350,28.6,61.4,8.6,1.4
13,22,03,503,,2,*Jafrabad (Paura Part),1090,45.7,53.6,0.7,0.0,1137,31.4,59.6,8.6,0.4
13,22,03,568,,2,*Ladaras Company,65,36.9,61.5,1.5,0.0,84,39.3,52.4,8.3,0.0
13,22,04,,,,Ward No-04 Total,2365,41.6,57.3,1.0,0.1,2506,29.1,62.1,7.6,1.3
13,22,04,021,,2,*Amjad Ali Road(Purba Part),456,40.8,58.1,1.1,0.0,511,29.7,63.4,6.7,0.2
13,22,04,455,,2,*Hazi Sariat Ullha Road(Purbapt,84,45.2,54.8,0.0,0.0,78,24.4,74.4,0.0,1.3
13,22,04,473,,2,*Purba Sreeramdi,644,44.3,54.2,1.4,0.2,709,29.2,61.2,7.9,1.7
13,22,04,660,,2,*Madhya Jafrabad,292,42.8,56.8,0.3,0.0,326,24.2,68.1,7.4,0.3
13,22,04,805,,2,*Star Al-Kaid Jute Mill,64,20.3,79.7,0.0,0.0,31,19.4,71.0,9.7,0.0
13,22,04,896,,2,*Royez Road (Dakshin),369,45.5,53.4,0.8,0.3,412,29.4,60.0,9.7,1.0
13,22,04,899,,2,*Royez Road Uttar (Momenbag),286,45.1,53.5,1.0,0.3,335,31.0,57.9,9.6,1.5
13,22,04,921,,2,*W.R.Jute Mill,170,24.1,74.7,1.2,0.0,104,38.5,52.9,1.0,7.7
13,22,05,,,,Ward No-05 Total,2615,45.2,54.5,0.3,0.0,2625,30.7,60.8,8.0,0.5
13,22,05,671,,2,*Purba Jafrabad,73,46.6,53.4,0.0,0.0,53,18.9,71.7,9.4,0.0
13,22,05,718,,2,*Miunichipality Mauza,181,43.6,55.2,1.1,0.0,209,29.2,58.9,10.0,1.9
13,22,05,989,,2,*Uttar Ragunath Pur(Paura Part),2361,45.2,54.5,0.3,0.0,2363,31.1,60.7,7.8,0.4
13,22,06,,,,Ward No-06 Total,2953,42.4,56.3,1.1,0.2,2735,28.8,62.9,7.2,1.1
13,22,06,097,,2,*Bakultala Road,479,41.3,57.8,0.8,0.0,439,26.0,63.6,8.7,1.8
13,22,06,425,,2,*J.Msengopta Road,137,40.1,56.9,2.9,0.0,155,27.7,59.4,11.6,1.3
13,22,06,602,,2,*Matarniti Road,182,30.8,69.2,0.0,0.0,161,29.8,69.6,0.0,0.6
13,22,06,610,,2,*Metha Road,162,35.2,64.2,0.6,0.0,172,29.7,68.6,1.2,0.6
13,22,06,700,,2,*Nadir Parer Kandi,565,37.7,59.6,1.9,0.7,589,25.3,61.0,11.7,2.0
13,22,06,730,,2,*Stand Road,1061,46.3,52.6,0.9,0.2,919,32.3,62.7,4.6,0.4
13,22,06,750,,2,*Comilla Road (Uttar),121,52.1,47.9,0.0,0.0,103,32.0,58.3,8.7,1.0
13,22,06,788,,2,*Pal Bazar,246,48.8,50.4,0.8,0.0,197,26.9,62.9,10.2,0.0
13,22,07,,,,Ward No-07 Total,4942,41.5,57.9,0.5,0.1,5021,27.7,62.2,8.9,1.2
13,22,07,260,,2,*Nisi Quatar Kacha Colony,545,45.0,53.9,1.1,0.0,572,29.9,59.4,10.0,0.7
13,22,07,390,,2,*G.R.P Colony & Loko Collony,166,32.5,65.7,0.6,1.2,133,28.6,60.2,8.3,3.0
13,22,07,458,,2,*Jamuna Road (P.H),1398,39.8,59.4,0.8,0.0,1392,27.5,61.1,9.9,1.4
13,22,07,560,,2,*Madrasha Road,416,40.6,59.4,0.0,0.0,455,25.7,68.4,5.7,0.2
13,22,07,678,,2,*Jamtala Nisi Road(Paschim),1110,43.5,56.0,0.5,0.0,1106,26.5,63.6,8.7,1.3
13,22,07,735,,2,*Railway Sweeper Colony,126,42.9,56.3,0.8,0.0,125,30.4,61.6,8.0,0.0
