0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
13,,,,,,Chandpur Zila Total,1150857,876041,532551,416001,618306,460040,56.8,56.1,57.3
13,,,,,1,Chandpur Zila,912111,745108,415257,352732,496854,392376,55.0,54.1,55.9
13,,,,,2,Chandpur Zila,225519,121859,111048,58663,114471,63196,64.9,65.4,64.4
13,,,,,3,Chandpur Zila,13227,9074,6246,4606,6981,4468,59.3,57.6,61.0
13,22,,,,,Chandpur Sadar Upazila Total,219995,172488,105135,84501,114860,87987,56.1,55.4,56.6
13,22,,,,1,Chandpur Sadar Upazila,122678,124180,56338,60749,66340,63431,49.7,48.1,51.1
13,22,,,,2,Chandpur Sadar Upazila,91356,44173,46054,21677,45302,22496,67.4,68.0,66.8
13,22,,,,3,Chandpur Sadar Upazila,5961,4135,2743,2075,3218,2060,59.0,56.9,61.0
,,,,,,Chandpur Paurashava,,,,,,,,,
13,22,01,,,,Ward No-01 Total,4488,2776,2364,1286,2124,1490,61.8,64.8,58.8
13,22,01,308,,2,*Dakhin Merkating Road,691,523,355,261,336,262,56.9,57.6,56.2
13,22,01,315,,2,*Dakhin Ramany Mohan Road,735,137,390,67,345,70,84.3,85.3,83.1
13,22,01,426,,2,*Chandpur Puran Bazar,477,419,261,193,216,226,53.2,57.5,48.9
13,22,01,722,,2,*Momefactory,526,455,267,213,259,242,53.6,55.6,51.7
13,22,01,895,,2,*Rifuji Colony,755,678,384,297,371,381,52.7,56.4,49.3
13,22,01,990,,2,*Uttar Ramany Mohan Road,873,165,473,75,400,90,84.1,86.3,81.6
13,22,01,994,,2,*Uttar Merkatig Road,431,399,234,180,197,219,51.9,56.5,47.4
13,22,02,,,,Ward No-02 Total,4631,3514,2344,1768,2287,1746,56.9,57.0,56.7
13,22,02,284,,2,*Madhya Sreeramdi,975,1523,486,785,489,738,39.0,38.2,39.9
13,22,02,300,,2,*Gosh Para (Part),1057,371,556,168,501,203,74.0,76.8,71.2
13,22,02,447,,2,*Paschim Sreeramdi,1823,1127,911,554,912,573,61.8,62.2,61.4
13,22,02,621,,2,*Paschim Jafrabad (Paura Part),329,227,157,117,172,110,59.2,57.3,61.0
13,22,02,897,,2,*Royez Road (Uttar),91,20,55,18,36,2,82.0,75.3,94.7
13,22,02,941,,2,*Sayal Bari Road (Uttar),356,246,179,126,177,120,59.1,58.7,59.6
13,22,03,,,,Ward No-03 Total,4520,2857,2245,1390,2275,1467,61.3,61.8,60.8
13,22,03,147,,2,*Daspara,1085,725,565,349,520,376,59.9,61.8,58.0
13,22,03,163,,2,*Dakshin Sreeramdi,1342,914,665,445,677,469,59.5,59.9,59.1
13,22,03,412,,2,*Palpara,492,220,216,109,276,111,69.1,66.5,71.3
13,22,03,503,,2,*Jafrabad (Paura Part),1499,943,756,460,743,483,61.4,62.2,60.6
13,22,03,568,,2,*Ladaras Company,102,55,43,27,59,28,65.0,61.4,67.8
13,22,04,,,,Ward No-04 Total,3387,1864,1666,887,1721,977,64.5,65.3,63.8
13,22,04,021,,2,*Amjad Ali Road(Purba Part),770,270,373,122,397,148,74.0,75.4,72.8
13,22,04,455,,2,*Hazi Sariat Ullha Road(Purbapt,124,55,66,24,58,31,69.3,73.3,65.2
13,22,04,473,,2,*Purba Sreeramdi,845,609,399,293,446,316,58.1,57.7,58.5
13,22,04,660,,2,*Madhya Jafrabad,363,311,175,146,188,165,53.9,54.5,53.3
13,22,04,805,,2,*Star Al-Kaid Jute Mill,56,44,39,28,17,16,56.0,58.2,51.5
13,22,04,896,,2,*Royez Road (Dakshin),616,229,294,103,322,126,72.9,74.1,71.9
13,22,04,899,,2,*Royez Road Uttar (Momenbag),437,232,209,103,228,129,65.3,67.0,63.9
13,22,04,921,,2,*W.R.Jute Mill,176,114,111,68,65,46,60.7,62.0,58.6
13,22,05,,,,Ward No-05 Total,3670,2054,1867,999,1803,1055,64.1,65.1,63.1
13,22,05,671,,2,*Purba Jafrabad,63,73,43,35,20,38,46.3,55.1,34.5
13,22,05,718,,2,*Miunichipality Mauza,330,94,166,31,164,63,77.8,84.3,72.2
13,22,05,989,,2,*Uttar Ragunath Pur(Paura Part),3277,1887,1658,933,1619,954,63.5,64.0,62.9
13,22,06,,,,Ward No-06 Total,4110,2030,2220,966,1890,1064,66.9,69.7,64.0
13,22,06,097,,2,*Bakultala Road,551,438,291,225,260,213,55.7,56.4,55.0
