0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13,,,,,,Chandpur Zila Total,52953,59181,59770,67031,11806,6489,69741,1E+05,2100,728,75856,114365
13,,,,,1,Chandpur Zila,42188,48027,49206,55312,8291,4319,56083,97401,1408,480,59868,92824
13,,,,,2,Chandpur Zila,10257,10555,9870,10992,3429,2114,12868,19991,673,243,15014,20302
13,,,,,3,Chandpur Zila,508,599,694,727,86,56,790,1243,19,5,974,1239
13,22,,,,,Chandpur Sadar Upazila Total,9528,11003,12265,13434,2986,1796,13748,22048,612,203,15718,22013
13,22,,,,1,Chandpur Sadar Upazila,5473,6551,8111,8742,1144,529,8380,13953,192,69,9059,13440
13,22,,,,2,Chandpur Sadar Upazila,3876,4264,3807,4301,1803,1243,4992,7523,414,132,6235,7963
13,22,,,,3,Chandpur Sadar Upazila,179,188,347,391,39,24,376,572,6,2,424,610
,,,,,,Chandpur Paurashava,,,,,,,,,,,,
13,22,01,,,,Ward No-01 Total,118,164,244,277,49,36,286,401,14,8,330,421
13,22,01,308,,2,*Dakhin Merkating Road,20,35,34,54,4,7,58,61,6,2,48,76
13,22,01,315,,2,*Dakhin Ramany Mohan Road,30,27,21,32,14,5,37,55,0,2,43,41
13,22,01,426,,2,*Chandpur Puran Bazar,13,9,36,28,5,7,28,36,1,1,36,44
13,22,01,722,,2,*Momefactory,8,15,43,49,0,0,45,81,0,0,53,63
13,22,01,895,,2,*Rifuji Colony,13,23,56,54,6,3,44,72,3,0,48,76
13,22,01,990,,2,*Uttar Ramany Mohan Road,21,43,19,23,15,12,41,50,4,3,62,53
13,22,01,994,,2,*Uttar Merkatig Road,13,12,35,37,5,2,33,46,0,0,40,68
13,22,02,,,,Ward No-02 Total,114,156,335,334,34,22,350,472,8,2,411,478
13,22,02,284,,2,*Madhya Sreeramdi,22,20,116,146,0,0,112,167,1,0,142,153
13,22,02,300,,2,*Gosh Para (Part),29,44,44,30,6,6,70,76,1,0,87,100
13,22,02,447,,2,*Paschim Sreeramdi,42,65,115,103,20,12,120,144,4,2,108,157
13,22,02,621,,2,*Paschim Jafrabad (Paura Part),8,9,33,20,1,0,19,46,0,0,24,28
13,22,02,897,,2,*Royez Road (Uttar),1,1,5,5,0,0,3,0,0,0,12,7
13,22,02,941,,2,*Sayal Bari Road (Uttar),12,17,22,30,7,4,26,39,2,0,38,33
13,22,03,,,,Ward No-03 Total,161,194,262,282,69,25,301,467,9,5,348,444
13,22,03,147,,2,*Daspara,46,56,61,50,28,6,63,108,2,1,79,121
13,22,03,163,,2,*Dakshin Sreeramdi,42,49,92,95,12,6,107,158,4,1,123,134
13,22,03,412,,2,*Palpara,9,18,17,25,3,0,17,44,0,0,32,51
13,22,03,503,,2,*Jafrabad (Paura Part),60,64,87,105,26,10,111,149,3,1,107,134
13,22,03,568,,2,*Ladaras Company,4,7,5,7,0,3,3,8,0,2,7,4
13,22,04,,,,Ward No-04 Total,131,162,152,194,47,47,199,326,2,2,216,333
13,22,04,021,,2,*Amjad Ali Road(Purba Part),35,31,19,45,15,10,37,63,0,1,40,67
13,22,04,455,,2,*Hazi Sariat Ullha Road(Purbapt,11,5,5,0,1,0,5,12,0,0,3,9
13,22,04,473,,2,*Purba Sreeramdi,32,46,47,58,9,15,51,92,1,0,65,102
13,22,04,660,,2,*Madhya Jafrabad,6,15,26,30,1,3,39,52,0,0,33,40
13,22,04,805,,2,*Star Al-Kaid Jute Mill,2,0,1,5,0,1,2,4,0,1,10,3
13,22,04,896,,2,*Royez Road (Dakshin),26,31,32,23,10,12,27,47,0,0,27,49
13,22,04,899,,2,*Royez Road Uttar (Momenbag),12,30,17,24,9,3,26,48,1,0,29,45
13,22,04,921,,2,*W.R.Jute Mill,7,4,5,9,2,3,12,8,0,0,9,18
13,22,05,,,,Ward No-05 Total,134,134,224,247,27,11,251,380,7,3,275,290
13,22,05,671,,2,*Purba Jafrabad,5,2,8,4,0,0,3,13,0,1,13,6
13,22,05,718,,2,*Miunichipality Mauza,8,11,13,20,2,3,19,34,4,1,19,26
13,22,05,989,,2,*Uttar Ragunath Pur(Paura Part),121,121,203,223,25,8,229,333,3,1,243,258
13,22,06,,,,Ward No-06 Total,216,224,132,133,71,76,171,268,13,14,253,357
13,22,06,097,,2,*Bakultala Road,23,29,34,33,12,11,45,53,2,0,48,61
13,22,06,425,,2,*J.Msengopta Road,12,15,0,1,3,3,3,8,1,2,9,22
13,22,06,602,,2,*Matarniti Road,16,11,3,3,9,10,4,12,1,1,7,26
13,22,06,610,,2,*Metha Road,11,10,1,3,6,10,9,13,2,5,11,22
13,22,06,700,,2,*Nadir Parer Kandi,8,15,59,44,0,0,44,72,0,1,62,69
13,22,06,730,,2,*Stand Road,89,109,25,41,34,33,53,84,6,5,84,112
13,22,06,750,,2,*Comilla Road (Uttar),11,13,3,1,3,4,3,10,0,0,14,13
13,22,06,788,,2,*Pal Bazar,46,22,7,7,4,5,10,16,1,0,18,32
13,22,07,,,,Ward No-07 Total,185,187,449,502,73,25,433,711,15,4,546,642
13,22,07,260,,2,*Nisi Quatar Kacha Colony,32,30,42,47,18,4,59,82,8,2,45,59
13,22,07,390,,2,*G.R.P Colony & Loko Collony,2,12,5,11,2,0,16,14,0,0,25,20
13,22,07,458,,2,*Jamuna Road (P.H),26,27,133,165,11,6,107,201,2,1,166,184
13,22,07,560,,2,*Madrasha Road,15,20,45,46,3,2,26,63,0,0,42,59
13,22,07,678,,2,*Jamtala Nisi Road(Paschim),54,42,94,97,28,5,119,170,2,1,125,149
13,22,07,735,,2,*Railway Sweeper Colony,5,7,12,11,1,0,14,21,0,0,13,14
13,22,07,755,,2,*Railway Saramik Colony,1,1,21,21,0,1,13,28,0,0,26,26
13,22,07,765,,2,*Railway Kabarstan,8,5,17,24,1,0,16,21,0,0,20,18
13,22,07,780,,2,*Railway Colony,9,8,10,13,2,0,17,15,0,0,11,8
13,22,07,790,,2,*Railway Club Road,11,16,30,31,3,5,22,49,3,0,41,55
13,22,07,817,,2,*Tila Bari,22,19,40,36,4,2,24,47,0,0,32,50
13,22,08,,,,Ward No-08 Total,344,528,219,226,179,124,260,459,47,20,355,603
13,22,08,091,,2,*Adarsha Muslim Para,46,46,10,16,16,7,13,22,2,0,25,38
13,22,08,210,,2,*Chowduri Para,14,23,2,5,12,7,6,20,2,0,12,26
13,22,08,300,,2,*Gosh Para,9,15,9,5,5,4,25,24,1,0,13,28
13,22,08,360,,2,*Hazi Mahashin Road(Paschim),11,16,3,4,4,5,5,12,3,0,8,17
13,22,08,392,,2,*Guakhola Road,98,123,28,64,53,40,61,133,7,12,80,162
13,22,08,397,,2,*J.T.C. Kuli Bagan,3,5,42,36,0,1,21,31,0,0,32,27
13,22,08,410,,2,*Kuralia Road Paschim,66,73,70,63,26,19,57,111,8,2,89,137
13,22,08,411,,2,*Kuralia Road Purba,79,53,52,27,49,23,59,81,22,4,81,136
13,22,08,590,,2,*Munshef Para,0,0,0,1,0,0,0,0,0,0,0,0
13,22,08,760,,2,*Sahid Muktijudda Sarak,4,5,1,0,1,3,1,7,0,0,3,7
13,22,08,782,,2,*Railway Fidar Road,4,14,2,2,6,5,5,8,0,0,7,15
13,22,08,995,,2,*Mahila Colege Road,10,155,0,3,7,10,7,10,2,2,5,10
13,22,09,,,,Ward No-09 Total,392,459,348,332,365,303,514,719,84,18,678,767
13,22,09,062,,2,*Bakaul Bari Road,46,63,20,29,21,30,36,51,12,3,52,73
13,22,09,070,,2,*Addapak Para,107,131,66,68,80,85,105,155,18,6,166,188
13,22,09,190,,2,*Bus Stand,0,0,40,0,0,0,74,0,0,0,55,0
13,22,09,295,,2,*Comilla Road(Shingha Para),50,58,7,13,105,112,17,32,26,4,22,55
13,22,09,460,,2,*Koralia (Part),8,9,15,16,4,0,30,40,3,0,31,34
13,22,09,620,,2,*Paschim Bishnadi Road,16,17,13,15,10,4,26,45,0,0,34,35
13,22,09,690,,2,*Pir Badshamia Road,80,79,20,24,100,55,42,74,19,2,49,87
13,22,09,712,,2,*Biddabotikhal,18,30,77,74,6,6,84,120,0,0,99,115
13,22,09,720,,2,*Staff Quater,14,17,0,3,4,7,3,9,1,1,12,10
13,22,09,763,,2,*Sarankhula Road,18,10,7,11,26,2,11,48,3,2,35,33
13,22,09,823,,2,*Pshim Bishnadi Mohalla,33,36,69,63,7,2,74,127,2,0,109,122
13,22,09,971,,2,*Sweeper Colony,2,9,14,16,2,0,12,18,0,0,14,15
13,22,10,,,,Ward No-10 Total,463,468,145,245,211,158,297,497,59,15,476,654
13,22,10,023,,2,*Adalat Para,93,69,16,35,40,24,33,55,9,2,57,73
13,22,10,060,,2,*Alim Para,14,17,1,10,13,8,7,17,8,2,13,19
13,22,10,277,,2,*C.Sd Colony,2,4,3,0,2,3,4,2,1,0,9,3
13,22,10,317,,2,*Ganguly Para,10,12,6,5,2,2,7,6,2,0,7,14
13,22,10,405,,2,*Hazi Mohashin Road(Rldp),19,23,5,13,9,9,13,34,2,0,24,31
13,22,10,412,,2,*Palpara,101,106,35,62,32,34,61,95,7,2,103,141
13,22,10,490,,2,*Kadamtala,13,14,3,4,10,6,9,13,3,0,22,17
13,22,10,647,,2,*Natun Alim Para,43,47,5,29,29,18,13,46,9,1,32,50
13,22,10,670,,2,*Purba J.M.Seengupta Road,9,16,8,2,5,7,16,4,1,1,10,11
13,22,10,708,,2,*Rahamatpur Abashikelaka,112,112,43,62,44,29,88,163,9,4,125,193
13,22,10,758,,2,*Shahid Jabed Darak,6,4,4,4,5,3,6,12,0,0,8,11
13,22,10,785,,2,*Shahid Ka.Kha.Su.Sankar Road,23,16,7,16,11,7,25,32,2,2,40,42
13,22,10,810,,2,*Ukil Para,18,28,9,3,9,8,15,18,6,1,26,49
13,22,11,,,,Ward No-11 Total,161,227,314,309,56,35,448,485,10,6,423,481
13,22,11,275,,2,*Char Ragunath Pur Mohalla,5,9,13,18,2,2,24,12,1,0,20,24
13,22,11,438,,2,*Gunarajdipower Station Mohalla,116,133,167,167,41,19,235,286,6,5,236,299
