0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
13,,,,,,Chandpur Zila Total,503851,6.0,88.4,5.6,55.6,94.3,4.6,1.1
13,,,,,1,Chandpur Zila,413241,0.9,93.5,5.6,50.4,98.2,0.9,0.9
13,,,,,2,Chandpur Zila,84959,31.3,62.8,5.8,79.7,75.3,22.8,1.9
13,,,,,3,Chandpur Zila,5651,0.9,95.2,3.9,73.6,95.4,3.2,1.4
13,22,,,,,Chandpur Sadar Upazila Total,97383,22.0,70.0,8.1,71.2,84.6,13.4,2.0
13,22,,,,1,Chandpur Sadar Upazila,62077,1.7,90.7,7.6,57.6,97.7,1.0,1.3
13,22,,,,2,Chandpur Sadar Upazila,32815,61.9,29.2,9.0,95.9,58.9,37.6,3.4
13,22,,,,3,Chandpur Sadar Upazila,2491,2.0,91.5,6.4,83.7,94.2,3.8,2.0
,,,,,,Chandpur Paurashava,,,,,,,,
13,22,01,,,,Ward No-01 Total,1850,92.1,0.6,7.3,98.5,46.5,49.6,3.8
13,22,01,308,,2,*Dakhin Merkating Road,309,99.4,0.6,0.0,98.7,41.4,58.6,0.0
13,22,01,315,,2,*Dakhin Ramany Mohan Road,209,99.0,0.5,0.5,99.0,47.8,50.7,1.4
13,22,01,426,,2,*Chandpur Puran Bazar,244,48.4,0.8,50.8,94.7,61.5,34.0,4.5
13,22,01,722,,2,*Momefactory,262,98.1,1.9,0.0,99.2,43.5,56.5,0.0
13,22,01,895,,2,*Rifuji Colony,372,99.7,0.3,0.0,99.7,63.2,36.3,0.5
13,22,01,990,,2,*Uttar Ramany Mohan Road,244,95.5,0.4,4.1,98.4,41.0,53.7,5.3
13,22,01,994,,2,*Uttar Merkatig Road,210,100.0,0.0,0.0,99.5,16.2,63.8,20.0
13,22,02,,,,Ward No-02 Total,2024,98.5,0.8,0.7,95.3,61.0,35.7,3.3
13,22,02,284,,2,*Madhya Sreeramdi,650,99.8,0.2,0.0,98.5,55.8,43.8,0.3
13,22,02,300,,2,*Gosh Para (Part),340,100.0,0.0,0.0,99.7,58.5,41.5,0.0
13,22,02,447,,2,*Paschim Sreeramdi,728,99.9,0.1,0.0,91.1,58.5,33.1,8.4
13,22,02,621,,2,*Paschim Jafrabad (Paura Part),136,78.7,10.3,11.0,86.8,80.1,19.1,0.7
13,22,02,897,,2,*Royez Road (Uttar),23,100.0,0.0,0.0,100.0,43.5,52.2,4.3
13,22,02,941,,2,*Sayal Bari Road (Uttar),147,100.0,0.0,0.0,99.3,87.1,12.2,0.7
13,22,03,,,,Ward No-03 Total,1805,81.7,10.7,7.5,97.1,75.5,23.1,1.4
13,22,03,147,,2,*Daspara,457,100.0,0.0,0.0,99.8,67.4,30.6,2.0
13,22,03,163,,2,*Dakshin Sreeramdi,551,99.6,0.0,0.4,95.3,78.4,20.1,1.5
13,22,03,412,,2,*Palpara,172,41.9,25.0,33.1,93.6,76.2,21.5,2.3
13,22,03,503,,2,*Jafrabad (Paura Part),592,61.7,25.3,13.0,97.5,81.3,18.1,0.7
13,22,03,568,,2,*Ladaras Company,33,97.0,3.0,0.0,100.0,30.3,66.7,3.0
13,22,04,,,,Ward No-04 Total,1281,99.1,0.2,0.7,98.0,67.8,28.7,3.5
13,22,04,021,,2,*Amjad Ali Road(Purba Part),257,99.6,0.4,0.0,99.6,68.5,30.7,0.8
13,22,04,455,,2,*Hazi Sariat Ullha Road(Purbapt,40,77.5,0.0,22.5,95.0,40.0,40.0,20.0
13,22,04,473,,2,*Purba Sreeramdi,394,100.0,0.0,0.0,99.2,74.1,24.9,1.0
13,22,04,660,,2,*Madhya Jafrabad,165,99.4,0.6,0.0,90.9,92.7,7.3,0.0
13,22,04,805,,2,*Star Al-Kaid Jute Mill,19,100.0,0.0,0.0,100.0,0.0,100.0,0.0
13,22,04,896,,2,*Royez Road (Dakshin),205,100.0,0.0,0.0,98.5,84.4,15.6,0.0
13,22,04,899,,2,*Royez Road Uttar (Momenbag),166,100.0,0.0,0.0,99.4,30.1,54.8,15.1
13,22,04,921,,2,*W.R.Jute Mill,35,100.0,0.0,0.0,100.0,22.9,60.0,17.1
13,22,05,,,,Ward No-05 Total,1313,12.3,66.2,21.6,90.2,93.0,3.4,3.6
13,22,05,671,,2,*Purba Jafrabad,36,11.1,44.4,44.4,100.0,83.3,13.9,2.8
13,22,05,718,,2,*Miunichipality Mauza,100,71.0,3.0,26.0,95.0,89.0,11.0,0.0
13,22,05,989,,2,*Uttar Ragunath Pur(Paura Part),1177,7.3,72.2,20.5,89.5,93.6,2.5,3.9
13,22,06,,,,Ward No-06 Total,1446,66.3,12.9,20.8,94.2,28.9,52.4,18.7
13,22,06,097,,2,*Bakultala Road,262,65.3,8.0,26.7,98.9,14.1,68.3,17.6
13,22,06,425,,2,*J.Msengopta Road,82,100.0,0.0,0.0,100.0,31.7,68.3,0.0
13,22,06,602,,2,*Matarniti Road,89,100.0,0.0,0.0,100.0,55.1,43.8,1.1
13,22,06,610,,2,*Metha Road,85,100.0,0.0,0.0,98.8,10.6,89.4,0.0
13,22,06,700,,2,*Nadir Parer Kandi,283,2.1,47.0,50.9,97.9,7.4,14.8,77.7
13,22,06,730,,2,*Stand Road,477,75.1,6.7,18.2,84.5,45.1,54.3,0.6
13,22,06,750,,2,*Comilla Road (Uttar),57,98.2,1.8,0.0,100.0,42.1,57.9,0.0
13,22,06,788,,2,*Pal Bazar,111,100.0,0.0,0.0,100.0,33.3,66.7,0.0
13,22,07,,,,Ward No-07 Total,2619,43.5,35.1,21.5,96.3,60.1,32.0,7.9
13,22,07,260,,2,*Nisi Quatar Kacha Colony,290,56.2,36.6,7.2,97.6,34.5,31.7,33.8
13,22,07,390,,2,*G.R.P Colony & Loko Collony,71,66.2,12.7,21.1,93.0,31.0,49.3,19.7
13,22,07,458,,2,*Jamuna Road (P.H),723,8.0,45.0,47.0,91.6,60.7,38.9,0.4
13,22,07,560,,2,*Madrasha Road,244,9.4,90.6,0.0,99.2,70.5,29.1,0.4
13,22,07,678,,2,*Jamtala Nisi Road(Paschim),592,58.6,19.6,21.8,97.0,76.0,24.0,0.0
13,22,07,735,,2,*Railway Sweeper Colony,71,97.2,1.4,1.4,100.0,0.0,35.2,64.8
13,22,07,755,,2,*Railway Saramik Colony,103,98.1,1.9,0.0,99.0,51.5,11.7,36.9
13,22,07,765,,2,*Railway Kabarstan,98,32.7,34.7,32.7,99.0,62.2,35.7,2.0
13,22,07,780,,2,*Railway Colony,58,56.9,36.2,6.9,98.3,50.0,44.8,5.2
13,22,07,790,,2,*Railway Club Road,176,47.7,47.2,5.1,100.0,65.9,34.1,0.0
