0,1,2,3,4,5,6,7,8,9,10,11,12
70,,,,,,Chapai Nawabganj Zila Total,420710,357982,1647521,1647184,337,968
70,,,,,1,Chapai Nawabganj Zila,,287895,1327243,1327144,99,
70,,,,,2,Chapai Nawabganj Zila,,59839,275729,275491,238,
70,,,,,3,Chapai Nawabganj Zila,,10248,44549,44549,0,
70,18,,,,,Bholahat Upazila Total,30526,24475,103301,103298,3,836
70,18,,,,1,Bholahat Upazila,,21206,89575,89572,3,
70,18,,,,3,Bholahat Upazila,,3269,13726,13726,0,
70,18,18,,,,Bholahat Union Total,5436,6684,28456,28456,0,1294
70,18,18,,,1,Bholahat Union,,3415,14730,14730,0,
70,18,18,,,3,Bholahat Union,,3269,13726,13726,0,
70,18,18,066,,1,*Alalpur,,956,4301,4301,0,
70,18,18,066,01,1,Alalpur,,269,1261,1261,0,
70,18,18,066,02,1,Hossain Bhita,,258,1126,1126,0,
70,18,18,066,03,1,Kharobatra,,164,675,675,0,
70,18,18,066,04,1,Chamusa,,265,1239,1239,0,
70,18,18,198,,3,*Bholahat,,285,1138,1138,0,
70,18,18,198,01,3,Bholahat,,192,737,737,0,
70,18,18,198,02,3,Jadunagar,,93,401,401,0,
70,18,18,309,,1,*Chandpur,,65,294,294,0,
70,18,18,353,,3,*Dharampur,,872,3672,3672,0,
70,18,18,353,01,3,Dharampur,,305,1213,1213,0,
70,18,18,353,02,3,Char Dhadrampur,,567,2459,2459,0,
70,18,18,397,,1,*Gilahabari,,25,135,135,0,
70,18,18,442,,3,*Gopinathpur (Part),,707,3262,3262,0,
70,18,18,442,01,3,Gopinathpur (Part),,522,2402,2402,0,
70,18,18,442,02,3,Char Dharampur,,92,417,417,0,
70,18,18,442,03,3,Emamnagar,,93,443,443,0,
70,18,18,486,,1,*Hauspur,,107,423,423,0,
70,18,18,530,,1,*Jadunagar,,1064,4343,4343,0,
70,18,18,530,01,1,Imamnagar,,320,1317,1317,0,
70,18,18,530,02,1,Panch Tikri,,350,1474,1474,0,
70,18,18,530,03,1,Hans Pukur,,214,877,877,0,
70,18,18,530,04,1,Jadnagar,,180,675,675,0,
70,18,18,596,,3,*Jhaubona,,735,2885,2885,0,
70,18,18,596,01,3,Jhaubona,,311,1222,1222,0,
70,18,18,596,02,3,Joyrampur,,40,137,137,0,
70,18,18,596,03,3,Khalishakuri,,120,498,498,0,
70,18,18,596,04,3,Kashimpur,,69,252,252,0,
70,18,18,596,05,3,Tanti Para,,195,776,776,0,
70,18,18,906,,1,*Sikari,,1107,4833,4833,0,
70,18,18,906,01,1,Sikari,,556,2270,2270,0,
70,18,18,906,02,1,Alalpur,,276,1351,1351,0,
70,18,18,906,03,1,Hossain Bhita,,275,1212,1212,0,
70,18,18,972,,1,*Tanti Para,,91,401,401,0,
70,18,18,994,,3,*Teli Para,,670,2769,2769,0,
70,18,18,994,01,3,Teli Para,,293,1194,1194,0,
70,18,18,994,02,3,Bhadurganj,,283,1148,1148,0,
70,18,18,994,03,3,Char Dharampur,,94,427,427,0,
70,18,37,,,,Daldali Union Total,7950,7195,29456,29456,0,916
70,18,37,022,,1,*Adatala,,670,2827,2827,0,
70,18,37,022,01,1,Adatala,,206,919,919,0,
70,18,37,022,02,1,Panchanandapur (Part),,199,858,858,0,
70,18,37,022,03,1,Haripur,,265,1050,1050,0,
70,18,37,176,,1,*Barai Para,,306,1224,1224,0,
70,18,37,176,01,1,Musribhuja,,120,498,498,0,
70,18,37,176,02,1,Pirgachhi (Part),,186,726,726,0,
70,18,37,221,,1,*Bhabanipur,,593,2541,2541,0,
70,18,37,221,01,1,Mayamari,,299,1355,1355,0,
70,18,37,221,02,1,Beltala,,120,416,416,0,
70,18,37,221,03,1,Islampur (Part),,103,451,451,0,
70,18,37,221,04,1,Panchanandapur (Part),,71,319,319,0,
70,18,37,331,,1,*Daldali,,1833,7572,7572,0,
70,18,37,331,01,1,Bindu Para,,173,729,729,0,
70,18,37,331,02,1,Barai Para,,258,1028,1028,0,
70,18,37,331,03,1,Pirgachhi (Part),,187,731,731,0,
70,18,37,331,04,1,Ghaibari,,268,1057,1057,0,
70,18,37,331,05,1,Daldali,,232,1009,1009,0,
70,18,37,331,06,1,Upar Musribhuja,,464,1974,1974,0,
70,18,37,331,07,1,Balutungi (Part),,86,345,345,0,
70,18,37,331,08,1,Chamamusri Bhvja,,165,699,699,0,
70,18,37,675,,1,*Joygobinda (Jinnahnagar),,197,742,742,0,
70,18,37,751,,1,*Madhupur,,1924,7771,7771,0,
70,18,37,751,01,1,Madhupur,,133,563,563,0,
70,18,37,751,02,1,Battala,,363,1379,1379,0,
70,18,37,751,03,1,Kharakpur,,586,2390,2390,0,
70,18,37,751,04,1,Namo Musribhuja,,182,777,777,0,
70,18,37,751,05,1,Musribhuja (Part),,489,1948,1948,0,
70,18,37,751,06,1,Chamo Musribhuja,,171,714,714,0,
70,18,37,818,,1,*Nimgachhi,,1467,5965,5965,0,
70,18,37,818,01,1,Haji Para (Poladanga),,80,346,346,0,
70,18,37,818,02,1,Kashmir Para,,85,357,357,0,
70,18,37,818,03,1,School Para,,88,339,339,0,
70,18,37,818,04,1,Ghontala (Poladanga),,84,327,327,0,
70,18,37,818,05,1,Lamba Tola,,172,622,622,0,
70,18,37,818,06,1,Lambatala (Poladanga),,208,898,898,0,
70,18,37,818,07,1,Kashiabona,,103,453,453,0,
70,18,37,818,08,1,Nazirpur (Poladanga),,165,634,634,0,
70,18,37,818,09,1,Islampur (Part) Poladanga,,89,349,349,0,
70,18,37,818,10,1,Uladanga (Poladanga),,165,725,725,0,
70,18,37,818,11,1,Jinnahnagar (Poladanga),,120,483,483,0,
70,18,37,818,12,1,Nutan Haji Para (Poladanga),,108,432,432,0,
70,18,37,862,,1,*Raghunathpur,,205,814,814,0,
70,18,37,862,01,1,Balutungi (Part),,93,390,390,0,
70,18,37,862,02,1,Pirgachhi,,112,424,424,0,
70,18,56,,,,Gohalbari Union Total,12570,6475,27632,27629,3,543
70,18,56,420,,1,*Gohalbari,,1440,6088,6088,0,
70,18,56,420,01,1,Gohalbari,,896,3770,3770,0,
70,18,56,420,02,1,Kumirjan,,205,799,799,0,
70,18,56,420,03,1,Tiloki,,339,1519,1519,0,
70,18,56,442,,1,*Gopinathpur (Part),,1055,4453,4453,0,
70,18,56,442,01,1,Bireshwarpur,,813,3432,3432,0,
70,18,56,442,02,1,Ahmedpur,,200,832,832,0,
70,18,56,442,03,1,Pachtikri,,42,189,189,0,
70,18,56,675,,1,*Joygobinda (Partly),,1661,7024,7024,0,
70,18,56,675,01,1,Kanahat Sahapara,,214,944,944,0,
70,18,56,675,02,1,Bazar Tek,,729,3091,3091,0,
70,18,56,675,03,1,Piran Chak,,306,1284,1284,0,
70,18,56,675,04,1,Ali Sahaspur,,200,883,883,0,
70,18,56,675,05,1,Munshiganj,,212,822,822,0,
70,18,56,707,,1,*Khale Alampur,,897,3898,3898,0,
70,18,56,840,,1,*Radhanagar,,417,1779,1779,0,
70,18,56,840,01,1,Radhanagar,,200,874,874,0,
70,18,56,840,02,1,Radhanagar Colony,,217,905,905,0,
70,18,56,950,,1,*Suranpur,,1005,4390,4387,3,
70,18,56,950,01,1,Suranpur,,806,3501,3501,0,
70,18,56,950,02,1,Pachtikril,,199,889,886,3,
70,18,75,,,,Jambaria Union Total,4566,4121,17757,17757,0,961
70,18,75,088,,1,*Andipur,,717,3158,3158,0,
70,18,75,088,01,1,Andipur,,195,967,967,0,
70,18,75,088,02,1,Bara Gachhi,,522,2191,2191,0,
70,18,75,132,,1,*Bara Jambaria,,449,1800,1800,0,
70,18,75,154,,1,*Baraigachhi,,91,382,382,0,
70,18,75,265,,1,*Brahmangram,,276,1135,1135,0,
70,18,75,265,01,1,Brahmangram,,88,389,389,0,
70,18,75,265,02,1,Adampur,,188,746,746,0,
70,18,75,287,,1,*Chhota Jambaria,,535,2319,2319,0,
70,18,75,375,,1,*Fatehpur,,345,1534,1534,0,
70,18,75,464,,1,*Hariabari,,106,440,440,0,
70,18,75,508,,1,*Helachi,,405,1829,1829,0,
70,18,75,685,,1,*Kashiabari,,612,2437,2437,0,
70,18,75,685,01,1,Kalinagar,,240,1080,1080,0,
70,18,75,685,02,1,Kashiabari,,188,646,646,0,
70,18,75,685,03,1,Dharampur,,184,711,711,0,
70,18,75,729,,1,*Krishnapur,,175,838,838,0,
70,18,75,795,,1,*Mirpur,,410,1885,1885,0,
70,18,75,795,01,1,Mirpur,,87,342,342,0,
70,18,75,795,02,1,Durgapur,,323,1543,1543,0,
70,37,,,,,Gomastapur Upazila Total,78612,62938,275823,275793,30,867
70,37,,,,1,Gomastapur Upazila,,49939,217199,217177,22,
70,37,,,,2,Gomastapur Upazila,,7614,34941,34933,8,
70,37,,,,3,Gomastapur Upazila,,5385,23683,23683,0,
70,37,,,,2,Rahanpur Paurashava,,7614,34941,34933,8,
70,37,01,,,,Ward No-01 Total,,801,3611,3611,0,
70,37,01,210,,2,*Dhulauri,,320,1463,1463,0,
70,37,01,410,,2,*Kashim Pur,,209,946,946,0,
70,37,01,710,,2,*Notun Bazar,,144,635,635,0,
70,37,01,810,,2,*Shekh Para,,128,567,567,0,
70,37,02,,,,Ward No-02 Total,,577,2626,2626,0,
70,37,02,210,,2,*Babur Ghan,,269,1187,1187,0,
70,37,02,410,,2,*Islam Nagar,,308,1439,1439,0,
70,37,03,,,,Ward No-03 Total,,805,3601,3601,0,
70,37,03,210,,2,*Dakshin Rahamat Para,,132,571,571,0,
70,37,03,510,,2,*Muktasha Hall Para,,88,393,393,0,
70,37,03,610,,2,*Rahanpur(Part)Puratan Bazar,,174,800,800,0,
70,37,03,750,,2,*Rahamat Para,,411,1837,1837,0,
70,37,04,,,,Ward No-04 Total,,672,3271,3271,0,
70,37,04,200,,2,*Baganpara,,194,907,907,0,
70,37,04,210,,2,*Biswaspara,,104,546,546,0,
70,37,04,400,,2,*Hamidpara,,65,279,279,0,
70,37,04,580,,2,*Masterpara,,137,651,651,0,
70,37,04,620,,2,*Subhan Nagar Colony,,172,888,888,0,
70,37,05,,,,Ward No-05 Total,,1003,4196,4188,8,
70,37,05,200,,2,*Bagduar Para,,179,784,784,0,
70,37,05,300,,2,*Dakbanla Para,,165,750,750,0,
70,37,05,400,,2,*Hata Th Para-1,,221,848,848,0,
70,37,05,600,,2,*Station Para,,438,1814,1806,8,
70,37,06,,,,Ward No-06 Total,,1317,6170,6170,0,
70,37,06,350,,2,*Huzrapur,,736,3434,3434,0,
70,37,06,600,,2,*Nungola,,581,2736,2736,0,
70,37,07,,,,Ward No-07 Total,,817,3918,3918,0,
70,37,07,302,,2,*College Para,,51,293,293,0,
70,37,07,350,,2,*Hatath Para-2,,192,888,888,0,
70,37,07,400,,2,*Katiher Para,,144,626,626,0,
70,37,07,600,,2,*Madrasha Para,,100,514,514,0,
70,37,07,650,,2,*Puratan Prosadpur,,262,1257,1257,0,
70,37,07,900,,2,*Zharu Biswaspara,,68,340,340,0,
70,37,08,,,,Ward No-08 Total,,633,2903,2903,0,
70,37,08,200,,2,*Bohipara,,390,1864,1864,0,
70,37,08,250,,2,*Bohipara Daing,,111,466,466,0,
70,37,08,300,,2,*Chiniatala,,132,573,573,0,
70,37,09,,,,Ward No-09 Total,,989,4645,4645,0,
70,37,09,350,,2,*Khayrabad,,530,2489,2489,0,
70,37,09,650,,2,*Pirason,,296,1405,1405,0,
70,37,09,950,,2,*Zali Bagan,,163,751,751,0,
70,37,10,,,,Alinagar Union Total,3853,3595,15280,15280,0,980
70,37,10,023,,1,*Alinagar,,1717,7139,7139,0,
70,37,10,023,01,1,Imamnagar,,671,2780,2780,0,
70,37,10,023,02,1,Alinagar,,1046,4359,4359,0,
70,37,10,611,,1,*Mokrampur,,1878,8141,8141,0,
70,37,10,611,01,1,Mokrampur,,1081,4650,4650,0,
70,37,10,611,02,1,Nadarabad,,797,3491,3491,0,
70,37,21,,,,Bhangabaria Union Total,4893,6183,25638,25638,0,1295
70,37,21,059,,1,*Bangabari,,3311,13765,13765,0,
70,37,21,059,01,1,Begunbari,,173,722,722,0,
70,37,21,059,02,1,Uttar Brajanathpur,,538,2201,2201,0,
70,37,21,059,03,1,Paschim Brajanathpur,,344,1421,1421,0,
70,37,21,059,04,1,Purba Brajanathpur,,344,1520,1520,0,
70,37,21,059,05,1,Sumpur,,650,2698,2698,0,
70,37,21,059,06,1,Bangabari Islampur,,574,2358,2358,0,
70,37,21,059,07,1,Azagara,,501,2068,2068,0,
70,37,21,059,08,1,Shishatola,,187,777,777,0,
70,37,21,245,,1,*Chak Bhabani,,543,2308,2308,0,
70,37,21,245,01,1,Mohananda Bad,,479,2022,2022,0,
70,37,21,245,02,1,Jorgachha,,64,286,286,0,
70,37,21,293,,1,*Danripata,,658,2665,2665,0,
70,37,21,701,,1,*Paschim Anarpur,,174,688,688,0,
70,37,21,911,,1,*Santoshpur,,1161,4825,4825,0,
70,37,21,911,01,1,Uttar Santoshpur,,522,2199,2199,0,
70,37,21,911,02,1,Dakshin Santoshpur,,639,2626,2626,0,
70,37,21,941,,1,*Shibrampur (Jogibari),,336,1387,1387,0,
70,37,31,,,,Boalia Union Total,7440,6417,26920,26920,0,894
70,37,31,017,,1,*Alampur,,3423,14359,14359,0,
70,37,31,017,01,1,Alampur,,320,1195,1195,0,
70,37,31,017,02,1,Mohanpur,,69,301,301,0,
70,37,31,017,03,1,Daulatpur,,160,612,612,0,
70,37,31,017,04,1,Lalapur,,292,1242,1242,0,
70,37,31,017,05,1,Durgapur Paschim,,226,993,993,0,
70,37,31,017,06,1,Durgapur Purba,,224,898,898,0,
70,37,31,017,07,1,Babupur,,230,947,947,0,
70,37,31,017,08,1,Kalupur,,219,920,920,0,
70,37,31,017,09,1,Chhota Bangasarpur,,185,760,760,0,
70,37,31,017,10,1,Bara Bangasarpur,,340,1355,1355,0,
70,37,31,017,11,1,Khanchantala Paschim,,483,2148,2148,0,
70,37,31,017,12,1,Khanchantala Purba,,310,1397,1397,0,
70,37,31,017,13,1,Phulbagh,,86,373,373,0,
70,37,31,017,14,1,Marator,,50,223,223,0,
70,37,31,017,15,1,Kashiabari,,229,995,995,0,
70,37,31,209,,1,*Boalia,,1493,6133,6133,0,
70,37,31,209,01,1,Boalia,,231,988,988,0,
70,37,31,209,02,1,Naoda Padra,,158,693,693,0,
70,37,31,209,03,1,Lakshmi Naranyanpur,,626,2545,2545,0,
70,37,31,209,04,1,Ghatnagar,,396,1586,1586,0,
70,37,31,209,05,1,Bakhariahatha Para,,82,321,321,0,
70,37,31,251,,1,*Chak Majumder,,152,595,595,0,
70,37,31,299,,1,*Darbarpur,,851,3651,3651,0,
70,37,31,299,01,1,Darbarpur,,115,499,499,0,
70,37,31,299,02,1,Gauripur,,321,1428,1428,0,
70,37,31,299,03,1,Kawa Bansa,,415,1724,1724,0,
70,37,31,497,,1,*Kalinagar,,99,380,380,0,
70,37,31,647,,1,*Narayanpur Nawrasia,,78,377,377,0,
70,37,31,683,,1,*Palasbona,,92,371,371,0,
70,37,31,905,,1,*Sahapur Kalan,,229,1054,1054,0,
70,37,31,905,01,1,Sahapur Kalan,,187,890,890,0,
70,37,31,905,02,1,Lalgarh,,42,164,164,0,
70,37,42,,,,Chowdala Union Total,4594,8356,35247,35247,0,1896
70,37,42,,,1,Chowdala Union,,5646,23767,23767,0,
70,37,42,,,3,Chowdala Union,,2710,11480,11480,0,
70,37,42,083,,1,*Basani Para,,1211,5363,5363,0,
70,37,42,083,01,1,Basani Para,,402,1696,1696,0,
70,37,42,083,02,1,Danrabad,,133,586,586,0,
70,37,42,083,03,1,Nandalalpur,,676,3081,3081,0,
70,37,42,119,,1,*Beni Chak,,491,2156,2156,0,
70,37,42,227,,3,*Chowdala,,2710,11480,11480,0,
70,37,42,227,01,3,Chowdala,,337,1466,1466,0,
70,37,42,227,02,3,Biram Para,,562,2252,2252,0,
70,37,42,227,03,3,Momin Para,,359,1586,1586,0,
70,37,42,227,04,3,Sonar Para,,324,1413,1413,0,
70,37,42,227,05,3,Para Manik Para,,111,528,528,0,
70,37,42,227,06,3,Refujee Para,,120,523,523,0,
