0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
70,,,,,,Chapai Nawabganj Zila Total,1647521,10.5,12.6,12.1,9.3,9.2,8.7,24.5,6.3,2.6,4.2
70,,,,,1,Chapai Nawabganj Zila,1327243,10.8,13.0,12.1,9.0,9.2,8.7,24.3,6.2,2.6,4.2
70,,,,,2,Chapai Nawabganj Zila,275729,9.3,10.8,11.8,10.6,9.5,8.7,25.5,6.6,2.7,4.6
70,,,,,3,Chapai Nawabganj Zila,44549,9.8,11.4,11.9,9.6,9.3,8.8,25.7,6.7,2.6,4.3
70,18,,,,,Bholahat Upazila Total,103301,10.1,12.8,11.9,8.5,9.2,9.3,25.6,6.2,2.5,3.8
70,18,,,,1,Bholahat Upazila,89575,10.2,13.0,11.9,8.3,9.2,9.3,25.6,6.1,2.5,3.8
70,18,,,,3,Bholahat Upazila,13726,9.3,11.7,11.6,9.4,9.3,9.2,25.9,6.8,2.7,4.1
70,18,18,,,,Bholahat Union Total,28456,10.3,12.7,12.0,9.1,9.6,9.2,24.7,6.0,2.4,3.8
70,18,18,,,1,Bholahat Union,14730,11.3,13.7,12.4,8.9,9.9,9.3,23.6,5.3,2.1,3.5
70,18,18,,,3,Bholahat Union,13726,9.3,11.7,11.6,9.4,9.3,9.2,25.9,6.8,2.7,4.1
70,18,18,066,,1,*Alalpur,4301,12.2,13.6,12.0,8.2,11.1,9.4,22.4,5.1,2.4,3.6
70,18,18,066,01,1,Alalpur,1261,12.3,13.3,12.4,8.8,13.1,7.6,22.0,5.2,2.6,2.8
70,18,18,066,02,1,Hossain Bhita,1126,11.7,14.7,12.4,9.6,10.0,8.5,20.3,5.3,2.2,5.2
70,18,18,066,03,1,Kharobatra,675,10.4,12.7,10.4,7.4,11.3,11.6,26.5,4.1,2.1,3.6
70,18,18,066,04,1,Chamusa,1239,13.5,13.6,12.0,6.8,9.8,10.7,22.5,5.3,2.6,3.1
70,18,18,198,,3,*Bholahat,1138,7.9,9.5,12.5,10.0,8.7,7.6,28.5,7.6,3.6,4.1
70,18,18,198,01,3,Bholahat,737,7.1,9.4,13.0,10.7,9.2,8.4,26.9,7.9,3.4,4.1
70,18,18,198,02,3,Jadunagar,401,9.5,9.7,11.5,8.7,7.7,6.2,31.4,7.0,4.0,4.2
70,18,18,309,,1,*Chandpur,294,17.7,17.3,12.6,4.1,7.8,9.2,23.8,4.4,1.7,1.4
70,18,18,353,,3,*Dharampur,3672,9.7,12.6,11.4,9.1,11.2,8.9,23.8,6.7,2.5,4.2
70,18,18,353,01,3,Dharampur,1213,8.4,11.9,11.9,9.5,10.0,8.7,26.4,6.4,2.6,4.3
70,18,18,353,02,3,Char Dhadrampur,2459,10.3,13.0,11.1,8.9,11.8,8.9,22.5,6.8,2.4,4.1
70,18,18,397,,1,*Gilahabari,135,9.6,10.4,11.1,8.1,14.8,11.1,20.7,5.2,3.0,5.9
70,18,18,442,,3,*Gopinathpur (Part),3262,9.3,11.6,11.4,9.7,9.1,9.9,26.4,6.7,2.0,3.9
70,18,18,442,01,3,Gopinathpur (Part),2402,8.7,10.8,10.8,10.1,8.9,10.8,26.6,6.6,2.3,4.5
70,18,18,442,02,3,Char Dharampur,417,12.7,11.8,12.5,10.3,11.3,7.0,22.8,7.0,1.4,3.4
70,18,18,442,03,3,Emamnagar,443,9.5,15.8,13.3,6.8,8.4,7.9,29.1,7.2,0.9,1.1
70,18,18,486,,1,*Hauspur,423,10.2,14.2,14.7,8.3,6.9,6.1,21.5,9.7,1.2,7.3
70,18,18,530,,1,*Jadunagar,4343,10.7,12.8,10.9,9.1,10.5,10.1,24.5,6.1,2.2,3.2
70,18,18,530,01,1,Imamnagar,1317,9.5,13.6,10.7,10.0,10.6,9.3,25.0,5.8,2.2,3.3
70,18,18,530,02,1,Panch Tikri,1474,11.1,13.0,10.2,9.2,11.5,10.9,23.3,5.9,2.1,2.8
70,18,18,530,03,1,Hans Pukur,877,11.9,13.2,12.1,6.3,7.1,11.2,27.1,5.4,2.5,3.3
70,18,18,530,04,1,Jadnagar,675,10.4,10.7,11.1,10.7,12.3,8.4,22.5,8.0,2.1,3.9
70,18,18,596,,3,*Jhaubona,2885,8.1,11.6,11.4,8.8,7.8,9.8,27.4,6.5,3.7,4.7
70,18,18,596,01,3,Jhaubona,1222,8.8,12.4,10.4,9.1,7.9,9.0,28.5,6.5,2.6,4.7
70,18,18,596,02,3,Joyrampur,137,7.3,9.5,13.9,5.8,8.8,13.1,21.9,7.3,5.1,7.3
70,18,18,596,03,3,Khalishakuri,498,7.2,11.2,12.2,7.4,7.0,10.0,27.9,6.4,4.8,5.6
70,18,18,596,04,3,Kashimpur,252,5.2,11.1,14.7,11.1,5.6,7.9,29.4,7.1,3.2,4.8
70,18,18,596,05,3,Tanti Para,776,8.6,11.2,11.1,9.1,8.6,11.1,25.6,6.2,4.8,3.6
70,18,18,906,,1,*Sikari,4833,11.0,14.6,13.9,9.4,8.8,8.7,24.0,4.2,1.9,3.5
70,18,18,906,01,1,Sikari,2270,10.6,14.7,13.3,8.6,9.7,9.3,24.7,3.9,1.9,3.2
70,18,18,906,02,1,Alalpur,1351,11.9,15.5,14.9,9.1,8.7,7.8,22.6,4.4,1.9,3.1
70,18,18,906,03,1,Hossain Bhita,1212,10.7,13.3,13.9,11.1,7.3,8.6,24.3,4.6,1.8,4.4
70,18,18,972,,1,*Tanti Para,401,8.7,10.5,13.5,12.2,8.2,8.2,25.4,6.5,3.0,3.7
70,18,18,994,,3,*Teli Para,2769,10.5,11.3,11.8,9.7,8.9,8.9,25.6,7.0,2.4,3.7
70,18,18,994,01,3,Teli Para,1194,10.6,12.6,11.2,8.3,8.0,10.1,26.6,6.9,1.8,3.9
70,18,18,994,02,3,Bhadurganj,1148,10.7,9.6,11.8,9.5,9.9,8.8,25.3,7.7,3.3,3.5
70,18,18,994,03,3,Char Dharampur,427,10.1,12.6,13.8,14.1,8.7,5.6,23.9,5.9,1.6,3.7
70,18,37,,,,Daldali Union Total,29456,10.3,12.9,11.3,8.0,8.9,9.4,26.1,6.8,2.4,3.8
70,18,37,022,,1,*Adatala,2827,10.7,13.4,11.1,7.3,9.8,11.0,25.4,5.9,2.1,3.2
70,18,37,022,01,1,Adatala,919,11.2,15.2,10.0,4.8,9.8,12.5,25.0,5.2,2.3,3.9
70,18,37,022,02,1,Panchanandapur (Part),858,11.5,11.4,13.9,8.4,8.6,10.0,24.7,6.8,1.6,3.0
70,18,37,022,03,1,Haripur,1050,9.6,13.5,9.9,8.5,10.9,10.6,26.3,5.8,2.2,2.8
70,18,37,176,,1,*Barai Para,1224,9.6,11.9,13.7,9.4,8.8,8.2,26.3,8.0,1.6,2.5
70,18,37,176,01,1,Musribhuja,498,8.2,11.0,13.5,9.0,10.2,7.4,27.5,7.8,1.8,3.4
70,18,37,176,02,1,Pirgachhi (Part),726,10.5,12.5,13.9,9.6,7.9,8.7,25.5,8.1,1.4,1.9
70,18,37,221,,1,*Bhabanipur,2541,10.8,14.4,10.2,6.8,10.7,7.8,26.3,6.8,2.8,3.5
70,18,37,221,01,1,Mayamari,1355,11.0,13.4,9.8,7.8,9.9,8.4,25.4,6.8,3.4,4.1
70,18,37,221,02,1,Beltala,416,12.5,16.6,9.1,5.0,12.5,6.3,26.2,7.5,1.9,2.4
70,18,37,221,03,1,Islampur (Part),451,8.4,14.4,12.0,5.5,11.8,6.2,30.8,5.8,2.2,2.9
70,18,37,221,04,1,Panchanandapur (Part),319,11.3,15.4,10.7,6.6,10.0,9.1,23.8,7.2,2.2,3.8
70,18,37,331,,1,*Daldali,7572,10.4,12.9,11.3,7.9,7.7,9.4,27.4,5.9,2.8,4.3
70,18,37,331,01,1,Bindu Para,729,11.0,14.4,10.4,9.9,8.1,10.6,23.9,5.3,3.2,3.3
70,18,37,331,02,1,Barai Para,1028,12.5,11.9,11.2,7.8,6.3,9.5,28.9,4.8,1.8,5.4
70,18,37,331,03,1,Pirgachhi (Part),731,7.9,13.1,12.2,4.1,5.6,7.5,31.5,6.4,4.0,7.7
70,18,37,331,04,1,Ghaibari,1057,8.9,12.3,12.7,6.2,8.0,8.5,28.6,6.7,3.8,4.3
70,18,37,331,05,1,Daldali,1009,10.3,11.6,11.9,8.6,6.4,10.1,29.9,4.2,2.8,4.2
70,18,37,331,06,1,Upar Musribhuja,1974,11.0,13.0,10.5,8.7,7.8,9.7,26.3,6.8,2.5,3.6
70,18,37,331,07,1,Balutungi (Part),345,9.6,15.1,12.8,7.0,13.0,10.4,25.2,4.6,2.0,0.3
70,18,37,331,08,1,Chamamusri Bhvja,699,10.7,13.7,9.9,9.9,9.9,9.3,22.9,6.6,2.4,4.7
70,18,37,675,,1,*Joygobinda (Jinnahnagar),742,9.6,12.3,11.5,8.2,9.4,10.2,24.7,6.3,1.9,5.9
70,18,37,751,,1,*Madhupur,7771,10.5,13.2,11.8,8.0,9.6,9.5,24.2,7.4,2.2,3.6
70,18,37,751,01,1,Madhupur,563,13.7,15.6,13.3,4.3,5.5,7.1,22.7,11.4,2.3,4.1
70,18,37,751,02,1,Battala,1379,12.1,14.4,9.9,6.5,12.7,8.6,24.2,6.6,2.1,2.8
70,18,37,751,03,1,Kharakpur,2390,10.2,12.2,12.1,8.5,10.9,9.7,23.5,7.2,2.1,3.6
70,18,37,751,04,1,Namo Musribhuja,777,10.6,11.5,14.0,9.9,6.0,9.5,22.0,6.7,3.9,5.9
70,18,37,751,05,1,Musribhuja (Part),1948,9.5,13.7,10.8,9.0,9.0,10.5,26.0,7.4,1.2,2.9
70,18,37,751,06,1,Chamo Musribhuja,714,8.3,13.0,13.4,7.4,7.8,9.8,25.4,7.0,3.1,4.8
70,18,37,818,,1,*Nimgachhi,5965,9.8,12.0,10.7,8.5,8.9,9.4,26.7,7.4,2.7,3.9
70,18,37,818,01,1,Haji Para (Poladanga),346,13.3,8.4,7.8,9.5,11.0,11.6,23.7,5.8,3.5,5.5
70,18,37,818,02,1,Kashmir Para,357,9.8,14.3,12.0,8.4,8.4,9.8,28.0,6.4,2.0,0.8
70,18,37,818,03,1,School Para,339,8.6,12.4,12.7,9.7,10.9,6.2,26.8,8.3,2.7,1.8
70,18,37,818,04,1,Ghontala (Poladanga),327,11.0,8.9,12.2,6.7,9.5,8.9,25.1,9.5,2.4,5.8
70,18,37,818,05,1,Lamba Tola,622,10.1,9.2,10.6,7.7,8.8,10.8,28.5,7.1,2.4,4.8
70,18,37,818,06,1,Lambatala (Poladanga),898,9.0,13.0,11.4,6.9,9.6,10.7,26.2,6.8,2.6,3.9
