0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
70,,,,,,Chapai Nawabganj Zila Total,616880,35.4,63.9,0.5,0.2,650133,23.2,67.3,7.7,1.8
70,,,,,1,Chapai Nawabganj Zila,494387,34.6,64.7,0.5,0.2,517084,23.0,67.8,7.5,1.7
70,,,,,2,Chapai Nawabganj Zila,105228,39.2,60.0,0.6,0.3,115193,24.4,65.3,8.3,2.1
70,,,,,3,Chapai Nawabganj Zila,17265,33.9,65.3,0.5,0.3,17856,23.5,66.4,8.0,2.0
70,18,,,,,Bholahat Upazila Total,38903,32.2,67.2,0.4,0.2,40703,22.3,68.4,7.4,1.9
70,18,,,,1,Bholahat Upazila,33595,32.0,67.4,0.4,0.2,35161,21.9,68.8,7.4,1.9
70,18,,,,3,Bholahat Upazila,5308,33.3,66.2,0.4,0.1,5542,24.4,66.2,7.6,1.9
70,18,18,,,,Bholahat Union Total,10778,33.3,66.1,0.4,0.1,11124,23.8,67.2,7.1,1.9
70,18,18,,,1,Bholahat Union,5470,33.3,66.1,0.4,0.1,5582,23.2,68.2,6.7,2.0
70,18,18,,,3,Bholahat Union,5308,33.3,66.2,0.4,0.1,5542,24.4,66.2,7.6,1.9
70,18,18,066,,1,*Alalpur,1562,31.8,67.7,0.4,0.1,1628,23.0,67.9,7.1,2.0
70,18,18,066,01,1,Alalpur,469,34.1,65.9,0.0,0.0,469,22.6,67.4,7.9,2.1
70,18,18,066,02,1,Hossain Bhita,394,33.0,65.5,1.3,0.3,435,24.6,65.1,8.0,2.3
70,18,18,066,03,1,Kharobatra,271,32.5,67.2,0.4,0.0,248,19.4,67.7,10.5,2.4
70,18,18,066,04,1,Chamusa,428,27.8,72.2,0.0,0.0,476,23.9,71.0,3.8,1.3
70,18,18,198,,3,*Bholahat,456,33.1,66.7,0.2,0.0,484,28.7,62.6,7.0,1.7
70,18,18,198,01,3,Bholahat,300,35.0,64.7,0.3,0.0,316,29.4,60.4,8.2,1.9
70,18,18,198,02,3,Jadunagar,156,29.5,70.5,0.0,0.0,168,27.4,66.7,4.8,1.2
70,18,18,309,,1,*Chandpur,93,28.0,72.0,0.0,0.0,98,21.4,71.4,6.1,1.0
70,18,18,353,,3,*Dharampur,1411,33.9,65.6,0.3,0.2,1441,23.8,69.5,5.7,1.0
70,18,18,353,01,3,Dharampur,484,36.2,63.8,0.0,0.0,483,23.0,70.6,5.8,0.6
70,18,18,353,02,3,Char Dhadrampur,927,32.7,66.6,0.4,0.3,958,24.2,68.9,5.6,1.3
70,18,18,397,,1,*Gilahabari,62,38.7,61.3,0.0,0.0,46,21.7,67.4,10.9,0.0
70,18,18,442,,3,*Gopinathpur (Part),1270,33.9,65.4,0.6,0.2,1310,25.0,64.6,8.1,2.4
70,18,18,442,01,3,Gopinathpur (Part),948,34.3,65.2,0.3,0.2,986,24.5,64.0,9.1,2.3
70,18,18,442,02,3,Char Dharampur,152,31.6,68.4,0.0,0.0,163,20.9,68.1,6.1,4.9
70,18,18,442,03,3,Emamnagar,170,33.5,64.1,2.4,0.0,161,31.7,64.6,3.7,0.0
70,18,18,486,,1,*Hauspur,161,41.0,59.0,0.0,0.0,159,26.4,65.4,6.3,1.9
