0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
70,,,,,,Chapai Nawabganj Zila Total,30998,27711,44061,50016,7937,4319,56088,83480,1615,614,62567,78674
70,,,,,1,Chapai Nawabganj Zila,23317,20188,35682,40162,5452,2654,45654,67728,1108,359,50900,63123
70,,,,,2,Chapai Nawabganj Zila,6821,6642,7225,8490,2222,1498,8898,13563,454,228,9912,13459
70,,,,,3,Chapai Nawabganj Zila,860,881,1154,1364,263,167,1536,2189,53,27,1755,2092
70,18,,,,,Bholahat Upazila Total,1804,1515,2377,3062,443,230,3424,5438,98,38,4226,5250
70,18,,,,1,Bholahat Upazila,1512,1239,2073,2647,364,178,3000,4716,81,27,3656,4583
70,18,,,,3,Bholahat Upazila,292,276,304,415,79,52,424,722,17,11,570,667
70,18,18,,,,Bholahat Union Total,498,469,713,915,135,72,975,1557,31,13,1233,1351
70,18,18,,,1,Bholahat Union,206,193,409,500,56,20,551,835,14,2,663,684
70,18,18,,,3,Bholahat Union,292,276,304,415,79,52,424,722,17,11,570,667
70,18,18,066,,1,*Alalpur,47,54,117,135,16,2,174,284,0,0,214,189
70,18,18,066,01,1,Alalpur,14,22,44,31,7,0,67,91,0,0,53,43
70,18,18,066,02,1,Hossain Bhita,19,20,25,44,6,2,40,65,0,0,49,47
70,18,18,066,03,1,Kharobatra,5,7,20,18,2,0,23,51,0,0,49,29
70,18,18,066,04,1,Chamusa,9,5,28,42,1,0,44,77,0,0,63,70
70,18,18,198,,3,*Bholahat,28,22,21,43,10,2,36,51,0,0,43,44
70,18,18,198,01,3,Bholahat,18,15,17,29,8,1,25,34,0,0,31,31
70,18,18,198,02,3,Jadunagar,10,7,4,14,2,1,11,17,0,0,12,13
70,18,18,309,,1,*Chandpur,1,1,4,6,0,0,7,16,0,0,12,15
70,18,18,353,,3,*Dharampur,73,64,88,109,18,9,144,240,7,1,156,161
70,18,18,353,01,3,Dharampur,26,22,28,39,4,2,42,73,1,1,47,56
70,18,18,353,02,3,Char Dhadrampur,47,42,60,70,14,7,102,167,6,0,109,105
70,18,18,397,,1,*Gilahabari,1,3,6,1,1,0,12,7,0,0,7,8
70,18,18,442,,3,*Gopinathpur (Part),72,71,74,99,13,18,106,160,7,6,147,163
70,18,18,442,01,3,Gopinathpur (Part),61,63,52,67,12,17,74,110,7,6,113,133
70,18,18,442,02,3,Char Dharampur,7,4,11,21,0,1,17,29,0,0,17,12
70,18,18,442,03,3,Emamnagar,4,4,11,11,1,0,15,21,0,0,17,18
70,18,18,486,,1,*Hauspur,5,7,7,16,1,0,13,15,0,0,10,16
70,18,18,530,,1,*Jadunagar,60,53,116,166,22,11,163,258,12,2,209,214
70,18,18,530,01,1,Imamnagar,23,14,39,56,9,4,49,78,6,0,62,54
70,18,18,530,02,1,Panch Tikri,17,13,42,64,5,3,65,96,4,0,80,76
