0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
70,,,,,,Chapai Nawabganj Zila Total,1647521,1.5,0.2,0.3,0.2,0.6,0.2,0.1
70,,,,,1,Chapai Nawabganj Zila,1327243,1.6,0.2,0.3,0.2,0.6,0.2,0.1
70,,,,,2,Chapai Nawabganj Zila,275729,1.5,0.2,0.3,0.1,0.7,0.2,0.1
70,,,,,3,Chapai Nawabganj Zila,44549,1.4,0.2,0.2,0.1,0.6,0.2,0.1
70,18,,,,,Bholahat Upazila Total,103301,1.9,0.3,0.5,0.2,0.7,0.2,0.1
70,18,,,,1,Bholahat Upazila,89575,2.0,0.3,0.5,0.2,0.7,0.2,0.1
70,18,,,,3,Bholahat Upazila,13726,1.4,0.2,0.1,0.1,0.6,0.2,0.2
70,18,18,,,,Bholahat Union Total,28456,1.2,0.2,0.2,0.1,0.5,0.1,0.1
70,18,18,,,1,Bholahat Union,14730,1.1,0.2,0.2,0.1,0.4,0.1,0.0
70,18,18,,,3,Bholahat Union,13726,1.4,0.2,0.1,0.1,0.6,0.2,0.2
70,18,37,,,,Daldali Union Total,29456,2.1,0.2,0.7,0.2,0.7,0.2,0.1
70,18,56,,,,Gohalbari Union Total,27632,1.9,0.4,0.4,0.3,0.7,0.1,0.1
70,18,75,,,,Jambaria Union Total,17757,2.7,0.4,0.6,0.4,0.9,0.3,0.1
70,37,,,,,Gomastapur Upazila Total,275823,1.3,0.2,0.2,0.1,0.6,0.2,0.0
70,37,,,,1,Gomastapur Upazila,217199,1.4,0.2,0.2,0.2,0.6,0.2,0.0
70,37,,,,2,Gomastapur Upazila,34941,1.1,0.2,0.2,0.1,0.5,0.1,0.0
70,37,,,,3,Gomastapur Upazila,23683,1.4,0.2,0.2,0.1,0.6,0.2,0.0
70,37,,,,2,Rahanpur Paurashava,34941,1.1,0.2,0.2,0.1,0.5,0.1,0.0
70,37,01,,,,Ward No-01 Total,3611,0.6,0.1,0.1,0.0,0.4,0.1,0.0
70,37,02,,,,Ward No-02 Total,2626,0.8,0.1,0.0,0.0,0.5,0.1,0.0
70,37,03,,,,Ward No-03 Total,3601,1.3,0.1,0.3,0.1,0.6,0.2,0.1
70,37,04,,,,Ward No-04 Total,3271,1.5,0.2,0.2,0.2,0.8,0.1,0.1
70,37,05,,,,Ward No-05 Total,4196,1.3,0.2,0.2,0.0,0.6,0.2,0.0
70,37,06,,,,Ward No-06 Total,6170,1.5,0.2,0.3,0.1,0.6,0.2,0.1
70,37,07,,,,Ward No-07 Total,3918,1.2,0.1,0.3,0.1,0.5,0.1,0.0
70,37,08,,,,Ward No-08 Total,2903,0.7,0.1,0.1,0.0,0.3,0.1,0.0
70,37,09,,,,Ward No-09 Total,4645,0.8,0.2,0.2,0.1,0.3,0.1,0.0
70,37,10,,,,Alinagar Union Total,15280,1.3,0.2,0.2,0.2,0.5,0.2,0.1
70,37,21,,,,Bhangabaria Union Total,25638,1.6,0.2,0.3,0.2,0.5,0.3,0.1
70,37,31,,,,Boalia Union Total,26920,1.8,0.2,0.3,0.2,0.9,0.2,0.0
70,37,42,,,,Chowdala Union Total,35247,1.4,0.2,0.2,0.1,0.6,0.2,0.0
70,37,42,,,1,Chowdala Union,23767,1.3,0.2,0.2,0.1,0.6,0.2,0.0
70,37,42,,,3,Chowdala Union,11480,1.8,0.3,0.3,0.1,0.8,0.2,0.0
70,37,52,,,,Gomastapur Union Total,40776,1.1,0.2,0.2,0.1,0.5,0.2,0.0
70,37,52,,,1,Gomastapur Union,28573,1.1,0.2,0.2,0.1,0.5,0.2,0.0
70,37,52,,,3,Gomastapur Union,12203,1.1,0.2,0.1,0.1,0.5,0.2,0.0
70,37,63,,,,Parbatipur Union Total,36931,1.3,0.2,0.2,0.1,0.6,0.1,0.0
70,37,73,,,,Radhanagar Union Total,40465,1.3,0.2,0.2,0.2,0.5,0.2,0.0
70,37,84,,,,Rohanpur Union Total,19625,1.4,0.2,0.3,0.1,0.6,0.2,0.0
70,56,,,,,Nachole Upazila Total,146627,1.7,0.2,0.4,0.2,0.6,0.2,0.1
70,56,,,,1,Nachole Upazila,129263,1.7,0.2,0.4,0.2,0.6,0.2,0.1
70,56,,,,2,Nachole Upazila,17364,1.5,0.1,0.3,0.2,0.5,0.2,0.1
70,56,,,,2,Nachole Paurashava,17364,1.5,0.1,0.3,0.2,0.5,0.2,0.1
70,56,01,,,,Ward No-01 Total,1344,1.1,0.1,0.0,0.0,0.8,0.0,0.2
70,56,02,,,,Ward No-02 Total,1057,2.2,0.4,0.5,0.0,0.7,0.7,0.0
70,56,03,,,,Ward No-03 Total,1823,0.7,0.1,0.2,0.0,0.3,0.1,0.1
70,56,04,,,,Ward No-04 Total,668,3.7,0.6,0.4,0.6,1.9,0.1,0.0
70,56,05,,,,Ward No-05 Total,2213,1.1,0.1,0.0,0.0,0.5,0.3,0.1
70,56,06,,,,Ward No-06 Total,1826,0.9,0.1,0.0,0.1,0.5,0.2,0.1
70,56,07,,,,Ward No-07 Total,5076,2.0,0.1,0.7,0.3,0.6,0.3,0.1
70,56,08,,,,Ward No-08 Total,2220,1.0,0.1,0.3,0.1,0.4,0.1,0.0
70,56,09,,,,Ward No-09 Total,1137,1.3,0.3,0.0,0.4,0.0,0.6,0.0
70,56,19,,,,Fatehpur Union Total,33180,1.6,0.2,0.3,0.2,0.6,0.2,0.0
70,56,38,,,,Kasba Union Total,33149,2.2,0.2,0.6,0.2,0.8,0.2,0.1
70,56,57,,,,Nachole Union Total,34937,1.5,0.2,0.3,0.2,0.6,0.3,0.1
70,56,76,,,,Nizampur Union Total,27997,1.4,0.2,0.3,0.1,0.5,0.1,0.1
70,66,,,,,Chapai Nawabganj Sadar Upazila Total,530592,1.6,0.2,0.3,0.2,0.6,0.2,0.1
70,66,,,,1,Chapai Nawabganj Sadar Upazila,349861,1.7,0.2,0.4,0.2,0.7,0.2,0.1
70,66,,,,2,Chapai Nawabganj Sadar Upazila,180731,1.4,0.2,0.2,0.1,0.6,0.2,0.1
70,66,,,,2,Chapai Nababganj Paurashava,180731,1.4,0.2,0.2,0.1,0.6,0.2,0.1
70,66,01,,,,Ward No-01 Total,16258,2.4,0.3,0.6,0.1,1.1,0.3,0.1
70,66,02,,,,Ward No-02 Total,11771,1.1,0.2,0.1,0.1,0.4,0.3,0.1
70,66,03,,,,Ward No-03 Total,18744,1.4,0.3,0.2,0.1,0.6,0.2,0.0
70,66,04,,,,Ward No-04 Total,9864,1.6,0.2,0.3,0.2,0.5,0.3,0.1
70,66,05,,,,Ward No-05 Total,12058,1.5,0.2,0.3,0.1,0.5,0.2,0.2
70,66,06,,,,Ward No-06 Total,13832,1.1,0.1,0.1,0.1,0.5,0.2,0.1
70,66,07,,,,Ward No-07 Total,6362,1.2,0.1,0.2,0.1,0.5,0.3,0.0
70,66,08,,,,Ward No-08 Total,7271,1.5,0.2,0.1,0.1,0.9,0.2,0.0
70,66,09,,,,Ward No-09 Total,9145,2.6,0.2,0.4,0.1,1.2,0.5,0.1
70,66,10,,,,Ward No-10 Total,11150,1.2,0.2,0.1,0.1,0.5,0.3,0.0
70,66,11,,,,Ward No-11 Total,10976,0.8,0.1,0.1,0.0,0.4,0.2,0.0
70,66,12,,,,Ward No-12 Total,8419,1.0,0.1,0.2,0.0,0.4,0.1,0.0
70,66,13,,,,Ward No-13 Total,15650,1.4,0.2,0.2,0.1,0.6,0.2,0.0
70,66,14,,,,Ward No-14 Total,15138,1.0,0.1,0.2,0.1,0.5,0.2,0.0
70,66,15,,,,Ward No-15 Total,14093,1.1,0.2,0.2,0.1,0.5,0.2,0.0
70,66,17,,,,Alatuli Union Total,16620,1.5,0.3,0.3,0.2,0.5,0.2,0.0
70,66,18,,,,Balidanga Union Total,36970,1.1,0.1,0.2,0.1,0.5,0.2,0.0
70,66,19,,,,Baragharia Union Total,24076,1.7,0.3,0.3,0.1,0.7,0.2,0.1
70,66,20,,,,Char Anupnagar Union Total,11834,2.5,0.2,0.4,0.3,1.2,0.2,0.1
70,66,22,,,,Char Bagdanga Union Total,20906,1.5,0.3,0.3,0.2,0.5,0.1,0.1
70,66,27,,,,Debinagar Union Total,28127,1.4,0.1,0.3,0.1,0.5,0.2,0.1
70,66,33,,,,Gobratala Union Total,27993,1.9,0.2,0.4,0.2,0.8,0.2,0.0
70,66,39,,,,Islampur Union Total,27597,1.4,0.2,0.2,0.2,0.6,0.3,0.0
