0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
70,,,,,,Chapai Nawabganj Zila Total,232745,223399,9346,176291,3732,8603,1397,38505,
70,,,,,1,Chapai Nawabganj Zila,202471,195296,7175,162018,3326,5602,1030,27676,
70,,,,,2,Chapai Nawabganj Zila,24614,22748,1866,10829,358,2681,329,9238,
70,,,,,3,Chapai Nawabganj Zila,5660,5355,305,3444,48,320,38,1591,
70,18,,,,,Bholahat Upazila Total,13841,13025,816,11580,381,284,172,1161,
70,18,,,,1,Bholahat Upazila,12492,11741,751,10715,368,251,160,775,
70,18,,,,3,Bholahat Upazila,1349,1284,65,865,13,33,12,386,
70,18,18,,,,Bholahat Union Total,3426,3289,137,2769,27,73,49,447,
70,18,18,,,1,Bholahat Union,2077,2005,72,1904,14,40,37,61,
70,18,18,,,3,Bholahat Union,1349,1284,65,865,13,33,12,386,
70,18,18,066,,1,*Alalpur,678,651,27,649,3,0,16,2,
70,18,18,066,01,1,Alalpur,209,208,1,206,1,0,0,2,
70,18,18,066,02,1,Hossain Bhita,133,124,9,124,0,0,9,0,
70,18,18,066,03,1,Kharobatra,105,98,7,98,0,0,7,0,
70,18,18,066,04,1,Chamusa,231,221,10,221,2,0,0,0,
70,18,18,198,,3,*Bholahat,108,94,14,60,2,0,1,34,
70,18,18,198,01,3,Bholahat,75,63,12,50,2,0,0,13,
70,18,18,198,02,3,Jadunagar,33,31,2,10,0,0,1,21,
70,18,18,309,,1,*Chandpur,64,63,1,60,0,0,0,3,
70,18,18,353,,3,*Dharampur,484,462,22,403,7,2,8,57,
70,18,18,353,01,3,Dharampur,209,193,16,149,7,1,4,43,
70,18,18,353,02,3,Char Dhadrampur,275,269,6,254,0,1,4,14,
70,18,18,397,,1,*Gilahabari,19,18,1,16,1,0,0,2,
70,18,18,442,,3,*Gopinathpur (Part),250,239,11,91,1,8,3,140,
70,18,18,442,01,3,Gopinathpur (Part),145,141,4,46,0,0,1,95,
70,18,18,442,02,3,Char Dharampur,56,55,1,14,0,6,0,35,
70,18,18,442,03,3,Emamnagar,49,43,6,31,1,2,2,10,
70,18,18,486,,1,*Hauspur,70,69,1,67,0,0,0,2,
70,18,18,530,,1,*Jadunagar,470,457,13,410,6,14,2,33,5
70,18,18,530,01,1,Imamnagar,152,151,1,135,0,7,0,9,1
70,18,18,530,02,1,Panch Tikri,141,135,6,125,1,0,2,10,3
70,18,18,530,03,1,Hans Pukur,118,114,4,106,4,5,0,3,0
70,18,18,530,04,1,Jadnagar,59,57,2,44,1,2,0,11,1
70,18,18,596,,3,*Jhaubona,255,251,4,191,2,8,0,52,2
70,18,18,596,01,3,Jhaubona,91,88,3,70,1,0,0,18,2
70,18,18,596,02,3,Joyrampur,18,18,0,12,0,1,0,5,0
70,18,18,596,03,3,Khalishakuri,72,71,1,48,1,0,0,23,0
70,18,18,596,04,3,Kashimpur,22,22,0,16,0,1,0,5,0
70,18,18,596,05,3,Tanti Para,52,52,0,45,0,6,0,1,0
70,18,18,906,,1,*Sikari,731,703,28,660,4,26,19,17,5
70,18,18,906,01,1,Sikari,368,353,15,344,3,1,9,8,3
70,18,18,906,02,1,Alalpur,199,197,2,197,0,0,2,0,0
70,18,18,906,03,1,Hossain Bhita,164,153,11,119,1,25,8,9,2
70,18,18,972,,1,*Tanti Para,45,44,1,42,0,0,0,2,1
70,18,18,994,,3,*Teli Para,252,238,14,120,1,15,0,103,13
