0,1,2,3,4,5,6,7,8,9,10,11,12
15,,,,,,Chittagong Zila Total,1305438,1532014,7616352,7611401,4951,1442
15,,,,,1,Chittagong Zila,,863472,4463723,4461777,1946,
15,,,,,2,Chittagong Zila,,632691,2971102,2968240,2862,
15,,,,,3,Chittagong Zila,,35851,181527,181384,143,
15,04,,,,,Anowara Upazila Total,40551,49966,259022,259015,7,1578
15,04,,,,1,Anowara Upazila,,48807,253556,253549,7,
15,04,,,,3,Anowara Upazila,,1159,5466,5466,0,
15,04,15,,,,Anowara Union Total,1871,2171,10260,10260,0,1355
15,04,15,,,1,Anowara Union,,1012,4794,4794,0,
15,04,15,,,3,Anowara Union,,1159,5466,5466,0,
15,04,15,026,,3,*Anowara,,1159,5466,5466,0,
15,04,15,134,,1,*Bilpur,,559,2747,2747,0,
15,04,15,147,,1,*Boalgaon,,199,938,938,0,
15,04,15,295,,1,*Dhanpura,,41,170,170,0,
15,04,15,537,,1,*Khilpara,,213,939,939,0,
15,04,19,,,,Bairag Union Total,4013,5662,30545,30538,7,1881
15,04,19,026,,1,*Badalpura,,736,4235,4235,0,
15,04,19,040,,1,*Bairag,,1740,9498,9498,0,
15,04,19,053,,1,*Bandar,,1872,9530,9530,0,
15,04,19,053,01,1,Dakshin Bandar,,631,3297,3297,0,
15,04,19,053,02,1,Uttar Bandar,,1241,6233,6233,0,
15,04,19,363,,1,*Guapanchak,,1067,6064,6057,7,
15,04,19,510,,1,*Majer Char,,6,126,126,0,
15,04,19,806,,1,*Rangadia,,241,1092,1092,0,
15,04,28,,,,Barakhain Union Total,4378,5679,28836,28836,0,1628
15,04,28,050,,1,*Barakhain,,1970,9658,9658,0,
15,04,28,416,,1,*Hajigaon,,652,3478,3478,0,
15,04,28,457,,1,*Jhiyri,,582,2798,2798,0,
15,04,28,631,,1,*Naidandi (Part-Ii),,21,95,95,0,
15,04,28,833,,1,*Said Kuchaia,,266,1358,1358,0,
15,04,28,873,,1,*Silaigara,,752,3750,3750,0,
15,04,28,914,,1,*Solkata,,664,3637,3637,0,
15,04,28,927,,1,*Tailadwip,,772,4062,4062,0,
15,04,38,,,,Barasat Union Total,3208,5460,28865,28865,0,2224
15,04,38,067,,1,*Barasat,,768,3977,3977,0,
15,04,38,161,,1,*Boalia,,1030,5742,5742,0,
15,04,38,188,,1,*Chalitatali,,280,1502,1502,0,
15,04,38,309,,1,*Dudkumara,,714,4024,4024,0,
15,04,38,345,,1,*Gobadia,,1132,5456,5456,0,
15,04,38,389,,1,*Gundwip,,639,3339,3339,0,
15,04,38,712,,1,*Paschim Chal,,880,4763,4763,0,
15,04,38,745,,1,*Paschin Tuatali,,17,62,62,0,
15,04,47,,,,Burumchhara Union Total,5927,3913,20061,20061,0,836
15,04,47,174,,1,*Burumchhara,,3678,18897,18897,0,
15,04,47,645,,1,*Naldia,,235,1164,1164,0,
15,04,57,,,,Battali Union Total,2935,4659,23630,23630,0,1990
15,04,57,013,,1,*Airmangal,,605,3163,3163,0,
15,04,57,094,,1,*Battali,,2270,11641,11641,0,
15,04,57,201,,1,*Chapatali,,738,3915,3915,0,
15,04,57,699,,1,*Paschim Baraia,,446,2230,2230,0,
15,04,57,766,,1,*Purba Baraia,,470,2128,2128,0,
15,04,57,793,,1,*Purba Tulatali,,130,553,553,0,
15,04,66,,,,Chatari Union Total,3265,3708,19022,19022,0,1440
15,04,66,107,,1,*Belchura,,151,921,921,0,
15,04,66,228,,1,*Chatari,,1330,7223,7223,0,
15,04,66,322,,1,*Dumuria,,459,2499,2499,0,
15,04,66,497,,1,*Kainpura,,566,2863,2863,0,
15,04,66,510,,1,*Keagar,,306,1362,1362,0,
15,04,66,726,,1,*Paschim Kanyara,,97,414,414,0,
15,04,66,820,,1,*Rudura,,333,1574,1574,0,
15,04,66,900,,1,*Singhara,,466,2166,2166,0,
15,04,76,,,,Haildhar Union Total,3885,4979,25315,25315,0,1610
15,04,76,215,,1,*Char Pukuria,,12,72,72,0,
15,04,76,376,,1,*Gujra,,509,2238,2238,0,
15,04,76,403,,1,*Haildhar,,1115,5612,5612,0,
15,04,76,430,,1,*Hetikhain,,358,1907,1907,0,
15,04,76,443,,1,*Ichhakhali.D,,483,2424,2424,0,
15,04,76,447,,1,*Uttar Ichhakhali,,315,1543,1543,0,
15,04,76,524,,1,*Khaskhama,,631,3290,3290,0,
15,04,76,578,,1,*Kunirbil,,220,1097,1097,0,
15,04,76,605,,1,*Malghar,,322,1716,1716,0,
15,04,76,658,,1,*Olghar,,54,225,225,0,
15,04,76,752,,1,*Pirkhain,,536,2868,2868,0,
15,04,76,968,,1,*Tekota,,424,2323,2323,0,
15,04,81,,,,Juidandi Union Total,2144,3291,17575,17575,0,2026
15,04,81,470,,1,*Juidandi,,2339,12405,12405,0,
15,04,81,564,,1,*Khuruskhul,,952,5170,5170,0,
15,04,85,,,,Paraikora Union Total,3935,4055,19635,19635,0,1233
15,04,85,080,,1,*Bathua Para,,146,672,672,0,
15,04,85,121,,1,*Bhingrol,,469,2411,2411,0,
15,04,85,242,,1,*Chenamati,,75,273,273,0,
15,04,85,282,,1,*Deotala,,252,1310,1310,0,
15,04,85,484,,1,*Kaikhain,,564,2956,2956,0,
15,04,85,591,,1,*Mahata,,385,1775,1775,0,
15,04,85,618,,1,*Mamurkhain,,201,930,930,0,
15,04,85,672,,1,*Oskhain,,415,2172,2172,0,
15,04,85,685,,1,*Paraikora,,431,2068,2068,0,
15,04,85,739,,1,*Patnikota,,213,900,900,0,
15,04,85,779,,1,*Purba Kanyara,,333,1628,1628,0,
15,04,85,847,,1,*Saitpetua,,18,113,113,0,
15,04,85,887,,1,*Silalia,,147,587,587,0,
15,04,85,941,,1,*Talsara,,196,955,955,0,
15,04,85,954,,1,*Tatua,,94,444,444,0,
15,04,85,981,,1,*Tisari,,116,441,441,0,
15,04,95,,,,Roypur Union Total,5721,6389,35278,35278,0,1524
15,04,95,255,,1,*Chunna Para,,672,3910,3910,0,
15,04,95,266,,1,*Dakshin Paruapara,,670,3502,3502,0,
15,04,95,336,,1,*Gahira,,1920,10906,10906,0,
15,04,95,551,,1,*Khordda Gahira,,466,2689,2689,0,
15,04,95,806,,1,*Roypur,,1006,5299,5299,0,
15,04,95,860,,1,*Sarenga,,980,5173,5173,0,
15,04,95,994,,1,*Uttar Paruapara,,675,3799,3799,0,
15,06,,,,,Bayejid Bostami Thana Total,4344,46701,211355,211349,6,12023
15,06,,,,2,Bayejid Bostami Thana,,46701,211355,211349,6,
15,06,01,,,,Ward No-01 Total,,6101,29209,29209,0,
15,06,01,199,,2,*Dakshin Fathehabad,,2630,12376,12376,0,
15,06,01,398,,2,*Jangal Dakshin Pahar,,1938,8508,8508,0,
15,06,01,995,,2,*Uttar Fathehabad,,1533,8325,8325,0,
15,06,02,,,,Ward No-02 Total,,24703,103314,103314,0,
15,06,02,210,,2,*Bangla Bazar,,2276,8319,8319,0,
15,06,02,300,,2,*Jalalabad Shilpa Elaka,,3353,13376,13376,0,
15,06,02,326,,2,*Jalalabad,,5481,21926,21926,0,
15,06,02,346,,2,*Kulgaon,,6035,27606,27606,0,
15,06,02,570,,2,*Nasirabad And Aifa,,331,1211,1211,0,
15,06,02,728,,2,*Sindhi Colony & Aziz Colony,,2793,10560,10560,0,
15,06,02,760,,2,*Sher Shah Colony,,3776,16950,16950,0,
15,06,02,772,,2,*Shahinagar,,598,2608,2608,0,
15,06,02,998,,2,Cantonment (Part),,60,758,758,0,
15,06,03,,,,Ward No-03 Total,,14251,68794,68788,6,
15,06,03,011,,2,*Amin Nagar,,205,1144,1144,0,
15,06,03,021,,2,*Bhakta Pur,,265,1256,1256,0,
15,06,03,029,,2,*Bholaganj,,234,1088,1088,0,
15,06,03,037,,2,*Buksunagar,,524,2579,2579,0,
15,06,03,047,,2,*Fakirabad,,1008,4337,4337,0,
15,06,03,077,,2,*Shatghar,,226,1050,1050,0,
15,06,03,088,,2,*Haji Para,,1216,6486,6486,0,
15,06,03,093,,2,*Hajir Pool,,379,1873,1873,0,
15,06,03,097,,2,*Hamid Pur,,316,1637,1637,0,
15,06,03,105,,2,*Haripur,,237,980,980,0,
15,06,03,111,,2,*Jahan Pur,,341,1776,1776,0,
15,06,03,223,,2,*Kamra Bad,,989,4396,4390,6,
15,06,03,227,,2,*Khandakar Bad,,183,1146,1146,0,
15,06,03,247,,2,*Miah Nagar,,248,1158,1158,0,
15,06,03,255,,2,*Mir Pur,,631,2976,2976,0,
15,06,03,266,,2,*Murad Nagar,,945,4192,4192,0,
15,06,03,301,,2,*Nath Pur,,219,932,932,0,
15,06,03,327,,2,*Jananinagar,,262,1287,1287,0,
15,06,03,331,,2,*Karimgonj,,222,1100,1100,0,
15,06,03,367,,2,*Nazira Bad,,217,914,914,0,
15,06,03,399,,2,*Nejamehamaja,,613,3420,3420,0,
15,06,03,501,,2,*Pathan Pur,,710,3142,3142,0,
15,06,03,723,,2,*Saleh Nagar,,167,867,867,0,
15,06,03,778,,2,*Samad Pur,,250,1291,1291,0,
15,06,03,801,,2,*Shahidnagar,,2898,13880,13880,0,
15,06,03,825,,2,*Sonapur,,186,707,707,0,
15,06,03,991,,2,*Wazedia,,560,3180,3180,0,
15,06,98,,,,Chittagang Cnt. Total,,1646,10038,10038,0,
15,06,98,998,,2,*Chittagong Cnt.(Bayejid Bostami),,1646,10038,10038,0,
15,08,,,,,Banshkhali Upazila Total,93135,84216,431162,431060,102,1144
15,08,,,,1,Banshkhali Upazila,,76838,394252,394159,93,
15,08,,,,2,Banshkhali Upazila,,7378,36910,36901,9,
,,,,,,Banshkhali Paurashava,,,,,,
15,08,01,,,,Ward No-01 Total,,902,4810,4810,0,
15,08,01,094,,2,*Badalia,,577,2960,2960,0,
15,08,01,511,,2,*Puran Baidyer Para,,325,1850,1850,0,
15,08,02,,,,Ward No-02 Total,,670,3156,3156,0,
15,08,02,194,,2,*Buruapara,,377,1677,1677,0,
15,08,02,284,,2,*Guratoni Para,,137,659,659,0,
15,08,02,337,,2,*Isim Maizer Para,,156,820,820,0,
15,08,03,,,,Ward No-03 Total,,847,4567,4560,7,
15,08,03,499,,2,*Noyapara,,283,1419,1419,0,
15,08,03,994,,2,*Uttar Neajor Para,,564,3148,3141,7,
15,08,04,,,,Ward No-04 Total,,753,3534,3532,2,
15,08,04,203,,2,*Chumar Para,,77,382,382,0,
15,08,04,237,,2,*Dakshin Banikpara,,110,501,501,0,
15,08,04,243,,2,*Dakshin Neajor Para,,115,550,550,0,
15,08,04,314,,2,*Mainka Para,,79,373,373,0,
15,08,04,358,,2,*Jungle Jaldi(Part),,18,93,93,0,
15,08,04,437,,2,*Laskar Para,,204,877,875,2,
15,08,04,488,,2,*Mahalder Para,,54,263,263,0,
15,08,04,992,,2,*Uttar Banikpara,,96,495,495,0,
15,08,05,,,,Ward No-05 Total,,704,3661,3661,0,
15,08,05,207,,2,*Chumar Para (Part),,290,1493,1493,0,
15,08,05,358,,2,*Jungle Jaldi(Part),,176,909,909,0,
15,08,05,808,,2,*Talukder Para,,128,623,623,0,
15,08,05,991,,2,*Uttar Bahinga Para,,110,636,636,0,
15,08,06,,,,Ward No-06 Total,,906,3981,3981,0,
15,08,06,233,,2,*Dakshin Bahinga Para,,16,72,72,0,
15,08,06,245,,2,*Deb Para,,195,773,773,0,
15,08,06,358,,2,*Jungle Jaldi (Part),,150,755,755,0,
15,08,06,396,,2,*Kazirpara,,97,433,433,0,
15,08,06,404,,2,*Kebal Mohajan Para,,127,568,568,0,
