0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15,,,,,,Chittagong Zila Total,45812,45268,219454,211822,384327,363876,99707,89968,282624,278269,78402,62360
15,,,,,1,Chittagong Zila,23855,24078,145216,139519,246384,235546,64145,56420,182525,183109,47036,32266
15,,,,,2,Chittagong Zila,21107,20303,68695,66792,128387,119052,33158,31368,92440,87516,29738,28990
15,,,,,3,Chittagong Zila,850,887,5543,5511,9556,9278,2404,2180,7659,7644,1628,1104
15 04,,,,,,Anowara Upazila Total,1480,1460,8899,8702,15592,14754,4006,3563,11150,11126,2786,2016
15 04,,,,,1,Anowara Upazila,1436,1434,8791,8574,15320,14513,3950,3523,10980,10914,2762,1993
15 04,,,,,3,Anowara Upazila,44,26,108,128,272,241,56,40,170,212,24,23
15 04,,15,,,,Anowara Union Total,80,48,241,257,512,553,105,82,340,390,55,43
15 04,,15,,,1,Anowara Union,36,22,133,129,240,312,49,42,170,178,31,20
15 04,,15,,,3,Anowara Union,44,26,108,128,272,241,56,40,170,212,24,23
15 04,,15,026,,3,*Anowara,44,26,108,128,272,241,56,40,170,212,24,23
15 04,,15,134,,1,*Bilpur,20,14,78,83,153,201,35,28,103,118,16,15
15 04,,15,147,,1,*Boalgaon,2,5,25,26,39,54,10,6,33,32,5,2
15 04,,15,295,,1,*Dhanpura,4,0,7,4,6,9,0,1,6,3,3,0
15 04,,15,537,,1,*Khilpara,10,3,23,16,42,48,4,7,28,25,7,3
15 04,,19,,,,Bairag Union Total,243,243,888,836,1755,1717,304,274,1223,1206,294,203
15 04,,19,026,,1,*Badalpura,58,56,90,71,251,250,17,17,164,169,34,28
15 04,,19,040,,1,*Bairag,75,88,296,299,612,558,83,73,427,403,127,60
15 04,,19,053,,1,*Bandar,71,75,286,262,513,509,91,94,349,321,81,77
15 04,,19,053,01,1,Dakshin Bandar,23,32,98,80,145,165,41,20,113,101,22,16
15 04,,19,053,02,1,Uttar Bandar,48,43,188,182,368,344,50,74,236,220,59,61
15 04,,19,363,,1,*Guapanchak,33,22,174,179,335,356,105,83,252,286,46,35
15 04,,19,510,,1,*Majer Char,0,0,0,0,0,0,0,0,0,0,3,0
15 04,,19,806,,1,*Rangadia,6,2,42,25,44,44,8,7,31,27,3,3
15 04,,28,,,,Barakhain Union Total,164,160,952,961,1786,1665,372,342,1252,1281,268,205
15 04,,28,050,,1,*Barakhain,33,33,339,336,598,547,116,106,439,432,101,66
15 04,,28,416,,1,*Hajigaon,8,12,143,126,187,194,62,71,141,149,32,24
15 04,,28,457,,1,*Jhiyri,17,23,97,95,152,127,53,49,119,114,24,26
15 04,,28,631,,1,*Naidandi (Part-Ii),0,0,2,4,6,3,0,2,2,2,2,1
15 04,,28,833,,1,*Said Kuchaia,8,7,36,37,86,63,20,18,62,66,9,9
15 04,,28,873,,1,*Silaigara,32,31,97,112,222,230,39,37,180,174,32,21
15 04,,28,914,,1,*Solkata,17,14,99,96,215,225,38,27,146,151,35,23
15 04,,28,927,,1,*Tailadwip,49,40,139,155,320,276,44,32,163,193,33,35
15 04,,38,,,,Barasat Union Total,185,170,941,887,1728,1544,427,379,1403,1248,288,280
15 04,,38,067,,1,*Barasat,23,24,116,107,235,217,37,40,145,155,41,43
15 04,,38,161,,1,*Boalia,21,24,231,233,409,332,114,91,294,245,71,56
15 04,,38,188,,1,*Chalitatali,9,9,68,54,82,53,51,34,69,70,20,23
15 04,,38,309,,1,*Dudkumara,33,18,137,133,215,213,88,87,185,171,54,51
15 04,,38,345,,1,*Gobadia,45,40,129,94,284,311,29,31,331,292,28,30
15 04,,38,389,,1,*Gundwip,19,17,104,129,197,173,48,30,125,126,27,26
15 04,,38,712,,1,*Paschim Chal,33,38,155,137,303,240,58,64,250,184,46,47
15 04,,38,745,,1,*Paschin Tuatali,2,0,1,0,3,5,2,2,4,5,1,4
15 04,,47,,,,Burumchhara Union Total,122,128,763,770,1252,1104,403,357,918,924,262,185
15 04,,47,174,,1,*Burumchhara,116,121,707,721,1187,1032,369,327,882,876,239,177
15 04,,47,645,,1,*Naldia,6,7,56,49,65,72,34,30,36,48,23,8
15 04,,57,,,,Battali Union Total,176,207,720,727,1439,1358,308,270,1016,960,262,173
15 04,,57,013,,1,*Airmangal,23,23,118,141,239,218,60,59,103,122,48,36
15 04,,57,094,,1,*Battali,92,114,316,304,676,660,143,110,514,485,133,80
15 04,,57,201,,1,*Chapatali,43,51,100,101,219,208,46,54,155,155,38,28
15 04,,57,699,,1,*Paschim Baraia,9,3,97,95,140,127,30,22,108,98,18,7
15 04,,57,766,,1,*Purba Baraia,9,14,75,74,144,117,22,21,108,80,20,19
15 04,,57,793,,1,*Purba Tulatali,0,2,14,12,21,28,7,4,28,20,5,3
15 04,,66,,,,Chatari Union Total,75,78,563,605,1052,970,247,222,818,784,156,122
15 04,,66,107,,1,*Belchura,3,0,34,26,63,27,26,15,40,49,8,7
15 04,,66,228,,1,*Chatari,20,19,255,262,379,423,105,96,298,321,61,38
15 04,,66,322,,1,*Dumuria,13,27,67,62,216,130,5,14,135,103,13,7
15 04,,66,497,,1,*Kainpura,2,3,77,118,114,113,74,61,119,98,42,29
15 04,,66,510,,1,*Keagar,9,4,33,48,63,71,9,7,57,39,10,17
15 04,,66,726,,1,*Paschim Kanyara,0,0,16,12,19,19,7,2,15,20,1,3
15 04,,66,820,,1,*Rudura,16,15,26,26,92,83,7,6,77,82,7,10
15 04,,66,900,,1,*Singhara,12,10,55,51,106,104,14,21,77,72,14,11
15 04,,76,,,,Haildhar Union Total,167,163,777,744,1659,1679,184,202,1147,1284,232,126
15 04,,76,215,,1,*Char Pukuria,1,1,1,4,6,6,1,1,3,2,2,1
15 04,,76,376,,1,*Gujra,12,7,76,63,119,132,18,27,97,88,23,12
15 04,,76,403,,1,*Haildhar,28,38,162,181,367,438,27,34,229,356,62,32
15 04,,76,430,,1,*Hetikhain,14,20,58,55,130,144,22,21,84,87,26,18
15 04,,76,443,,1,*Ichhakhali.D,17,8,63,85,176,151,22,27,111,107,33,18
15 04,,76,447,,1,*Uttar Ichhakhali,1,4,65,52,91,83,25,16,72,68,7,6
15 04,,76,524,,1,*Khaskhama,35,37,80,79,184,222,23,22,152,137,14,9
15 04,,76,578,,1,*Kunirbil,16,15,31,19,99,71,5,2,50,52,12,4
15 04,,76,605,,1,*Malghar,9,2,42,39,93,125,11,14,85,86,7,4
15 04,,76,658,,1,*Olghar,0,0,13,8,17,13,3,5,13,11,2,0
15 04,,76,752,,1,*Pirkhain,22,28,90,74,209,154,16,17,134,161,30,18
15 04,,76,968,,1,*Tekota,12,3,96,85,168,140,11,16,117,129,14,4
15 04,,81,,,,Juidandi Union Total,123,95,777,739,991,1042,536,488,669,697,279,218
15 04,,81,470,,1,*Juidandi,106,78,548,520,748,785,328,328,471,513,201,153
15 04,,81,564,,1,*Khuruskhul,17,17,229,219,243,257,208,160,198,184,78,65
15 04,,85,,,,Paraikora Union Total,38,46,701,642,989,882,382,312,802,719,197,136
15 04,,85,080,,1,*Bathua Para,0,0,21,23,22,14,23,12,24,18,4,4
15 04,,85,121,,1,*Bhingrol,16,8,66,78,153,111,36,30,113,102,23,14
