0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15,,,,,,Chittagong Zila Total,1509717,23.0,71.6,5.4,79.1,66.4,31.3,2.3
15,,,,,1,Chittagong Zila,857932,4.0,89.8,6.2,67.0,90.8,6.6,2.6
15,,,,,2,Chittagong Zila,616259,50.4,45.3,4.3,95.7,31.4,66.7,1.9
15,,,,,3,Chittagong Zila,35526,5.3,89.0,5.6,80.3,86.4,12.1,1.5
15,04,,,,,Anowara Upazila Total,49727,3.5,89.2,7.3,63.8,92.7,5.2,2.1
15,04,,,,1,Anowara Upazila,48596,3.5,89.0,7.5,63.2,93.3,4.6,2.1
15,04,,,,3,Anowara Upazila,1131,0.8,99.1,0.1,92.0,67.8,30.1,2.1
15,04,15,,,,Anowara Union Total,2136,0.4,95.1,4.5,82.4,80.3,17.0,2.6
15,04,15,,,1,Anowara Union,1005,0.0,90.5,9.5,71.6,94.4,2.4,3.2
15,04,15,,,3,Anowara Union,1131,0.8,99.1,0.1,92.0,67.8,30.1,2.1
15,04,15,026,,3,*Anowara,1131,0.8,99.1,0.1,92.0,67.8,30.1,2.1
15,04,15,134,,1,*Bilpur,556,0.0,89.9,10.1,68.3,96.6,0.5,2.9
15,04,15,147,,1,*Boalgaon,199,0.0,89.4,10.6,73.4,92.0,6.0,2.0
15,04,15,295,,1,*Dhanpura,41,0.0,58.5,41.5,75.6,82.9,4.9,12.2
15,04,15,537,,1,*Khilpara,209,0.0,99.5,0.5,78.0,93.3,3.3,3.3
15,04,19,,,,Bairag Union Total,5580,10.0,87.5,2.6,74.3,80.5,12.4,7.1
15,04,19,026,,1,*Badalpura,691,22.7,65.4,11.9,83.8,71.8,24.3,3.9
15,04,19,040,,1,*Bairag,1736,0.3,96.7,3.0,65.8,93.1,4.8,2.1
15,04,19,053,,1,*Bandar,1850,19.3,80.4,0.3,80.8,69.8,14.2,15.9
15,04,19,053,01,1,Dakshin Bandar,623,4.2,95.3,0.5,69.0,77.5,21.2,1.3
15,04,19,053,02,1,Uttar Bandar,1227,27.0,72.9,0.2,86.7,65.9,10.7,23.4
15,04,19,363,,1,*Guapanchak,1065,0.4,99.2,0.4,69.9,97.7,1.4,0.9
15,04,19,510,,1,*Majer Char,3,0.0,100.0,0.0,66.7,0.0,0.0,100.0
15,04,19,806,,1,*Rangadia,235,14.0,86.0,0.0,79.1,20.9,69.8,9.4
15,04,28,,,,Barakhain Union Total,5671,0.4,94.3,5.3,70.4,97.7,1.4,1.0
15,04,28,050,,1,*Barakhain,1966,0.2,94.9,4.9,68.6,98.8,0.7,0.5
15,04,28,416,,1,*Hajigaon,651,2.0,85.3,12.7,51.0,97.1,2.5,0.5
15,04,28,457,,1,*Jhiyri,582,0.2,94.0,5.8,77.3,98.5,0.7,0.9
15,04,28,631,,1,*Naidandi (Part-Ii),21,0.0,100.0,0.0,90.5,100.0,0.0,0.0
15,04,28,833,,1,*Said Kuchaia,266,0.0,98.1,1.9,79.3,99.2,0.8,0.0
15,04,28,873,,1,*Silaigara,750,0.5,98.4,1.1,71.6,97.6,1.5,0.9
15,04,28,914,,1,*Solkata,663,0.2,99.7,0.2,68.8,94.1,2.7,3.2
15,04,28,927,,1,*Tailadwip,772,0.4,90.2,9.5,82.4,97.0,1.7,1.3
15,04,38,,,,Barasat Union Total,5440,15.5,73.7,10.8,64.2,83.9,15.1,1.0
15,04,38,067,,1,*Barasat,767,1.2,84.0,14.9,43.2,97.5,0.7,1.8
15,04,38,161,,1,*Boalia,1026,4.0,76.8,19.2,60.2,98.5,0.4,1.1
15,04,38,188,,1,*Chalitatali,276,2.9,92.8,4.3,43.8,97.8,0.4,1.8
15,04,38,309,,1,*Dudkumara,710,0.0,74.6,25.4,37.6,98.2,0.3,1.5
15,04,38,345,,1,*Gobadia,1127,59.4,39.8,0.8,85.1,35.8,63.8,0.4
15,04,38,389,,1,*Gundwip,639,2.0,93.7,4.2,76.8,98.4,0.9,0.6
15,04,38,712,,1,*Paschim Chal,878,11.8,83.1,5.0,80.3,90.7,8.9,0.5
15,04,38,745,,1,*Paschin Tuatali,17,0.0,82.4,17.6,0.0,70.6,29.4,0.0
15,04,47,,,,Burumchhara Union Total,3912,0.5,86.7,12.8,48.5,98.6,0.4,1.0
15,04,47,174,,1,*Burumchhara,3677,0.5,87.1,12.4,51.3,98.6,0.3,1.1
15,04,47,645,,1,*Naldia,235,0.4,80.9,18.7,3.4,98.3,1.3,0.4
15,04,57,,,,Battali Union Total,4647,4.1,90.8,5.1,63.7,92.7,7.0,0.3
15,04,57,013,,1,*Airmangal,605,0.7,99.3,0.0,33.4,98.7,0.8,0.5
15,04,57,094,,1,*Battali,2258,4.8,93.7,1.6,70.1,88.1,11.6,0.4
15,04,57,201,,1,*Chapatali,738,8.4,89.8,1.8,89.0,91.6,8.0,0.4
15,04,57,699,,1,*Paschim Baraia,446,0.0,58.7,41.3,47.8,100.0,0.0,0.0
15,04,57,766,,1,*Purba Baraia,470,3.8,95.1,1.1,62.6,99.8,0.0,0.2
15,04,57,793,,1,*Purba Tulatali,130,0.0,100.0,0.0,10.8,100.0,0.0,0.0
15,04,66,,,,Chatari Union Total,3700,0.3,92.1,7.6,75.4,94.0,4.2,1.8
15,04,66,107,,1,*Belchura,151,0.0,100.0,0.0,79.5,87.4,0.0,12.6
15,04,66,228,,1,*Chatari,1325,0.7,94.7,4.6,64.1,90.0,8.8,1.2
15,04,66,322,,1,*Dumuria,457,0.0,74.8,25.2,75.1,94.1,5.3,0.7
15,04,66,497,,1,*Kainpura,565,0.4,84.4,15.2,76.8,97.2,0.2,2.7
15,04,66,510,,1,*Keagar,306,0.0,99.0,1.0,72.9,99.0,0.3,0.7
15,04,66,726,,1,*Paschim Kanyara,97,0.0,100.0,0.0,88.7,99.0,0.0,1.0
15,04,66,820,,1,*Rudura,333,0.0,100.0,0.0,93.4,98.2,0.9,0.9
15,04,66,900,,1,*Singhara,466,0.0,96.1,3.9,91.0,96.4,2.1,1.5
15,04,76,,,,Haildhar Union Total,4948,0.8,98.4,0.8,77.0,97.4,1.2,1.4
15,04,76,215,,1,*Char Pukuria,12,0.0,100.0,0.0,0.0,100.0,0.0,0.0
15,04,76,376,,1,*Gujra,509,0.6,93.1,6.3,77.2,97.1,0.2,2.8
15,04,76,403,,1,*Haildhar,1104,1.1,98.8,0.1,78.7,94.8,1.9,3.3
15,04,76,430,,1,*Hetikhain,358,0.8,98.9,0.3,79.3,98.3,1.1,0.6
15,04,76,443,,1,*Ichhakhali.D,481,0.8,99.2,0.0,62.2,98.8,0.8,0.4
15,04,76,447,,1,*Uttar Ichhakhali,315,0.6,99.4,0.0,92.4,97.8,1.6,0.6
15,04,76,524,,1,*Khaskhama,629,0.6,99.2,0.2,79.7,98.6,0.5,1.0
15,04,76,578,,1,*Kunirbil,218,0.0,99.1,0.9,80.3,100.0,0.0,0.0
15,04,76,605,,1,*Malghar,321,0.9,99.1,0.0,75.4,98.4,1.6,0.0
15,04,76,658,,1,*Olghar,44,6.8,93.2,0.0,81.8,90.9,9.1,0.0
15,04,76,752,,1,*Pirkhain,535,0.7,99.1,0.2,69.2,98.1,0.7,1.1
15,04,76,968,,1,*Tekota,422,0.0,99.8,0.2,82.9,97.9,1.9,0.2
15,04,81,,,,Juidandi Union Total,3286,0.7,94.2,5.1,42.2,96.8,1.0,2.2
15,04,81,470,,1,*Juidandi,2334,0.8,95.4,3.9,39.5,95.9,1.4,2.7
15,04,81,564,,1,*Khuruskhul,952,0.5,91.3,8.2,48.9,98.9,0.0,1.1
15,04,85,,,,Paraikora Union Total,4022,0.0,92.1,7.8,60.8,97.8,0.6,1.6
15,04,85,080,,1,*Bathua Para,146,0.0,98.6,1.4,62.3,98.6,0.0,1.4
15,04,85,121,,1,*Bhingrol,467,0.0,100.0,0.0,82.4,95.9,2.6,1.5
15,04,85,242,,1,*Chenamati,75,0.0,100.0,0.0,89.3,98.7,0.0,1.3
15,04,85,282,,1,*Deotala,251,0.0,100.0,0.0,100.0,97.6,1.6,0.8
15,04,85,484,,1,*Kaikhain,564,0.0,57.1,42.9,21.6,98.8,0.4,0.9
15,04,85,591,,1,*Mahata,381,0.0,100.0,0.0,65.6,99.0,0.3,0.8
15,04,85,618,,1,*Mamurkhain,201,0.0,100.0,0.0,69.7,99.0,0.0,1.0
15,04,85,672,,1,*Oskhain,413,0.0,100.0,0.0,47.5,99.3,0.2,0.5
15,04,85,685,,1,*Paraikora,425,0.0,87.3,12.7,55.8,97.6,0.0,2.4
15,04,85,739,,1,*Patnikota,213,0.9,98.6,0.5,89.2,96.2,0.0,3.8
15,04,85,779,,1,*Purba Kanyara,317,0.0,100.0,0.0,54.9,95.6,0.0,4.4
15,04,85,847,,1,*Saitpetua,18,0.0,100.0,0.0,100.0,100.0,0.0,0.0
15,04,85,887,,1,*Silalia,147,0.0,100.0,0.0,63.3,100.0,0.0,0.0
15,04,85,941,,1,*Talsara,195,0.0,100.0,0.0,66.2,96.9,2.1,1.0
15,04,85,954,,1,*Tatua,93,0.0,100.0,0.0,0.0,95.7,0.0,4.3
15,04,85,981,,1,*Tisari,116,0.0,87.1,12.9,87.1,99.1,0.0,0.9
15,04,95,,,,Roypur Union Total,6385,0.1,84.5,15.4,48.0,97.3,0.5,2.2
15,04,95,255,,1,*Chunna Para,671,0.0,84.2,15.8,65.6,99.1,0.0,0.9
15,04,95,266,,1,*Dakshin Paruapara,670,0.0,53.1,46.9,56.1,95.5,0.4,4.0
15,04,95,336,,1,*Gahira,1920,0.0,93.6,6.4,27.0,97.1,0.7,2.2
15,04,95,551,,1,*Khordda Gahira,466,0.0,96.6,3.4,84.5,99.4,0.4,0.2
15,04,95,806,,1,*Roypur,1006,0.3,92.2,7.5,64.7,98.0,0.4,1.6
15,04,95,860,,1,*Sarenga,980,0.1,80.7,19.2,28.7,95.2,1.1,3.7
15,04,95,994,,1,*Uttar Paruapara,672,0.0,75.7,24.3,60.0,98.2,0.0,1.8
15,06,,,,,Bayejid Bostami Thana Total,45905,54.6,38.0,7.4,95.3,32.0,66.0,2.0
15,06,,,,2,Bayejid Bostami Thana,45905,54.6,38.0,7.4,95.3,32.0,66.0,2.0
15,06,01,,,,Ward No-01 Total,6062,28.4,60.6,11.1,82.0,68.9,28.1,3.0
15,06,01,199,,2,*Dakshin Fathehabad,2603,43.1,49.8,7.1,96.8,55.0,44.5,0.5
15,06,01,398,,2,*Jangal Dakshin Pahar,1932,5.7,83.4,10.8,54.6,74.2,17.7,8.1
15,06,01,995,,2,*Uttar Fathehabad,1527,31.8,50.0,18.1,91.4,85.7,13.5,0.9
15,06,02,,,,Ward No-02 Total,24169,64.1,28.1,7.7,96.8,16.5,81.1,2.4
15,06,02,210,,2,*Bangla Bazar,2245,81.9,14.6,3.6,98.9,4.5,95.3,0.2
15,06,02,300,,2,*Jalalabad Shilpa Elaka,3274,45.4,44.0,10.6,98.9,7.8,89.1,3.1
15,06,02,326,,2,*Jalalabad,5277,67.4,25.0,7.7,97.3,12.0,86.0,2.0
15,06,02,346,,2,*Kulgaon,5920,61.4,36.4,2.2,98.5,30.7,68.7,0.6
15,06,02,570,,2,*Nasirabad And Aifa,323,77.4,0.6,22.0,100.0,12.1,85.8,2.2
15,06,02,728,,2,*Sindhi Colony & Aziz Colony,2779,44.1,43.0,13.0,83.5,16.6,73.8,9.6
15,06,02,760,,2,*Sher Shah Colony,3706,85.7,1.9,12.4,99.7,16.7,82.1,1.2
15,06,02,772,,2,*Shahinagar,596,47.8,50.2,2.0,96.5,7.4,91.1,1.5
15,06,02,998,,2,Cantonment (Part),49,100.0,0.0,0.0,100.0,22.4,75.5,2.0
15,06,03,,,,Ward No-03 Total,14178,44.8,49.2,6.0,97.9,46.1,53.3,0.7
15,06,03,011,,2,*Amin Nagar,205,26.8,22.0,51.2,96.1,90.2,9.8,0.0
15,06,03,021,,2,*Bhakta Pur,256,30.9,69.1,0.0,98.8,43.8,54.7,1.6
15,06,03,029,,2,*Bholaganj,232,40.5,30.6,28.9,92.7,71.6,26.7,1.7
15,06,03,037,,2,*Buksunagar,524,35.1,64.7,0.2,97.3,61.8,38.0,0.2
15,06,03,047,,2,*Fakirabad,991,63.0,37.0,0.0,99.2,21.8,78.1,0.1
15,06,03,077,,2,*Shatghar,226,37.2,61.1,1.8,97.3,67.7,32.3,0.0
15,06,03,088,,2,*Haji Para,1213,49.3,42.9,7.8,98.7,64.4,34.7,0.9
15,06,03,093,,2,*Hajir Pool,377,52.8,39.0,8.2,99.7,57.8,41.9,0.3
15,06,03,097,,2,*Hamid Pur,316,69.6,29.7,0.6,98.4,51.3,47.8,0.9
15,06,03,105,,2,*Haripur,237,20.7,78.1,1.3,97.5,44.7,54.4,0.8
15,06,03,111,,2,*Jahan Pur,340,63.8,30.0,6.2,98.5,37.1,61.8,1.2
15,06,03,223,,2,*Kamra Bad,975,66.4,33.0,0.6,99.3,14.5,85.2,0.3
15,06,03,227,,2,*Khandakar Bad,183,50.8,13.7,35.5,88.0,80.9,19.1,0.0
15,06,03,247,,2,*Miah Nagar,246,22.0,63.0,15.0,98.0,44.3,55.3,0.4
15,06,03,255,,2,*Mir Pur,630,67.8,31.7,0.5,99.7,21.3,78.7,0.0
15,06,03,266,,2,*Murad Nagar,943,21.1,68.3,10.6,99.5,23.1,76.2,0.6
15,06,03,301,,2,*Nath Pur,219,57.5,42.5,0.0,100.0,16.0,84.0,0.0
15,06,03,327,,2,*Jananinagar,260,37.7,57.3,5.0,96.9,53.8,44.2,1.9
15,06,03,331,,2,*Karimgonj,220,2.3,68.6,29.1,97.3,77.3,21.4,1.4
15,06,03,367,,2,*Nazira Bad,217,48.4,47.9,3.7,97.7,85.7,12.9,1.4
15,06,03,399,,2,*Nejamehamaja,612,31.2,63.6,5.2,99.0,74.2,25.5,0.3
15,06,03,501,,2,*Pathan Pur,710,74.9,25.1,0.0,99.2,24.4,75.6,0.0
15,06,03,723,,2,*Saleh Nagar,164,98.2,1.8,0.0,100.0,34.8,64.6,0.6
15,06,03,778,,2,*Samad Pur,250,42.0,57.6,0.4,93.6,54.8,44.4,0.8
15,06,03,801,,2,*Shahidnagar,2893,36.9,60.9,2.1,97.8,42.3,57.0,0.6
15,06,03,825,,2,*Sonapur,186,36.0,41.4,22.6,89.2,81.2,9.1,9.7
15,06,03,991,,2,*Wazedia,553,12.5,71.8,15.7,94.4,90.8,8.7,0.5
15,06,98,,,,Chittagang Cnt. Total,1496,99.9,0.1,0.0,99.7,0.9,94.5,4.7
15,06,98,998,,2,*Chittagong Cnt.(Bayejid Bostami),1496,99.9,0.1,0.0,99.7,0.9,94.5,4.7
15,08,,,,,Banshkhali Upazila Total,84087,0.6,94.6,4.8,30.7,97.5,1.3,1.2
15,08,,,,1,Banshkhali Upazila,76742,0.5,95.0,4.5,29.2,98.0,0.7,1.2
15,08,,,,2,Banshkhali Upazila,7345,1.8,90.3,7.9,46.5,91.6,7.5,1.0
,,,,,,Banshkhali Paurashava,,,,,,,,
15,08,01,,,,Ward No-01 Total,899,0.1,98.2,1.7,38.6,98.8,0.4,0.8
15,08,01,094,,2,*Badalia,574,0.0,98.3,1.7,32.4,98.6,0.5,0.9
15,08,01,511,,2,*Puran Baidyer Para,325,0.3,98.2,1.5,49.5,99.1,0.3,0.6
15,08,02,,,,Ward No-02 Total,667,0.0,100.0,0.0,40.6,98.4,0.3,1.3
15,08,02,194,,2,*Buruapara,377,0.0,100.0,0.0,51.5,98.4,0.3,1.3
15,08,02,284,,2,*Guratoni Para,136,0.0,100.0,0.0,6.6,100.0,0.0,0.0
15,08,02,337,,2,*Isim Maizer Para,154,0.0,100.0,0.0,44.2,96.8,0.6,2.6
15,08,03,,,,Ward No-03 Total,843,3.2,76.9,19.9,58.5,87.8,12.0,0.2
15,08,03,499,,2,*Noyapara,283,2.8,63.3,33.9,54.4,92.6,7.4,0.0
15,08,03,994,,2,*Uttar Neajor Para,560,3.4,83.8,12.9,60.5,85.4,14.3,0.4
15,08,04,,,,Ward No-04 Total,751,1.2,91.2,7.6,48.6,91.3,8.4,0.3
15,08,04,203,,2,*Chumar Para,77,0.0,100.0,0.0,20.8,98.7,1.3,0.0
15,08,04,237,,2,*Dakshin Banikpara,110,0.0,100.0,0.0,80.0,100.0,0.0,0.0
15,08,04,243,,2,*Dakshin Neajor Para,115,3.5,96.5,0.0,57.4,84.3,14.8,0.9
15,08,04,314,,2,*Mainka Para,79,0.0,100.0,0.0,10.1,98.7,1.3,0.0
15,08,04,358,,2,*Jungle Jaldi(Part),18,0.0,100.0,0.0,0.0,94.4,0.0,5.6
15,08,04,437,,2,*Laskar Para,202,2.5,71.3,26.2,46.5,79.7,20.3,0.0
15,08,04,488,,2,*Mahalder Para,54,0.0,98.1,1.9,70.4,94.4,5.6,0.0
15,08,04,992,,2,*Uttar Banikpara,96,0.0,96.9,3.1,57.3,100.0,0.0,0.0
15,08,05,,,,Ward No-05 Total,704,1.4,86.2,12.4,39.6,93.5,5.5,1.0
15,08,05,207,,2,*Chumar Para (Part),290,0.0,96.6,3.4,43.8,95.5,3.1,1.4
15,08,05,358,,2,*Jungle Jaldi(Part),176,0.0,60.2,39.8,0.0,98.9,0.0,1.1
15,08,05,808,,2,*Talukder Para,128,0.0,94.5,5.5,65.6,91.4,7.8,0.8
15,08,05,991,,2,*Uttar Bahinga Para,110,9.1,90.9,0.0,61.8,81.8,18.2,0.0
15,08,06,,,,Ward No-06 Total,903,4.9,82.6,12.5,47.6,82.1,17.1,0.9
15,08,06,233,,2,*Dakshin Bahinga Para,16,25.0,75.0,0.0,100.0,18.8,81.3,0.0
15,08,06,245,,2,*Deb Para,195,3.1,63.6,33.3,61.5,59.5,40.5,0.0
