0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
18,,,,,,Chuadanga Zila Total,1129015,8.9,10.7,11.1,8.3,8.8,9.9,27.8,6.8,2.8,5.0
18,,,,,1,Chuadanga Zila,822858,9.1,10.9,11.1,8.0,8.7,9.9,27.6,6.8,2.8,5.1
18,,,,,2,Chuadanga Zila,176748,8.2,9.8,10.9,9.6,9.2,9.9,28.3,7.0,2.6,4.5
18,,,,,3,Chuadanga Zila,129409,8.7,10.6,11.0,8.6,8.6,9.9,28.2,6.8,2.8,4.8
18,07,,,,,Alamdanga Upazila Total,345922,8.7,10.6,10.5,7.6,8.4,10.0,28.6,7.2,3.0,5.5
18,07,,,,1,Alamdanga Upazila,267550,8.8,10.8,10.5,7.4,8.4,10.1,28.4,7.1,3.0,5.5
18,07,,,,2,Alamdanga Upazila,32048,8.0,9.4,9.9,8.9,8.7,10.0,29.6,7.6,2.9,5.1
18,07,,,,3,Alamdanga Upazila,46324,8.2,10.5,10.5,8.0,8.1,9.7,28.9,7.4,3.1,5.5
18,07,,,,,Alamdanga Paurashava,32048,8.0,9.4,9.9,8.9,8.7,10.0,29.6,7.6,2.9,5.1
18,07,01,,,,Ward No-01 Total,3971,7.9,8.9,9.4,9.7,9.5,9.4,31.0,7.4,2.5,4.3
18,07,01,085,,2,*Alamdanga North,3490,7.5,8.5,9.2,10.6,9.4,9.0,31.3,7.7,2.5,4.2
18,07,01,510,,2,*Gobindapur North (Mathpara),481,10.8,11.4,10.8,3.5,10.4,11.9,28.5,5.6,2.5,4.6
18,07,02,,,,Ward No-02 Total,4055,8.3,9.5,10.3,9.0,8.5,9.0,30.8,7.1,3.0,4.5
18,07,02,085,,2,*Alamdanga Middle (Part),1112,8.5,9.1,10.6,7.5,6.7,9.2,32.3,8.4,3.3,4.6
18,07,02,120,,2,*Babupara(Alamdagm(Part),1345,6.5,10.2,8.9,11.6,9.2,8.4,31.9,6.8,2.6,3.8
18,07,02,650,,2,*Radhikaganj,1598,9.8,9.1,11.3,7.9,9.2,9.4,28.9,6.4,3.0,4.9
18,07,03,,,,Ward No-03 Total,3049,7.3,7.2,9.2,8.9,8.9,9.5,29.6,9.4,3.4,6.5
18,07,03,085,,2,*Alamdanga South,1404,7.1,7.8,9.7,7.9,7.5,8.9,30.1,9.6,3.8,7.5
18,07,03,340,,2,*College Para East,1364,6.7,7.3,9.3,10.4,10.5,9.6,28.8,9.0,2.9,5.4
18,07,03,510,,2,*Gobindapur Middle,281,11.0,4.3,6.0,6.8,8.2,12.1,31.0,10.7,3.6,6.4
18,07,04,,,,Ward No-04 Total,4431,7.5,9.3,10.0,9.6,8.2,10.0,29.7,8.1,3.0,4.4
18,07,04,170,,2,*Ananada Dham,1736,8.4,9.9,9.9,7.9,8.5,10.5,29.3,7.3,3.2,5.1
18,07,04,340,,2,*College Para West,2549,6.9,9.0,9.9,11.0,8.0,9.5,30.3,8.4,3.0,3.8
18,07,04,450,,2,*Haushpur,146,8.2,8.2,13.0,5.5,8.2,12.3,25.3,11.6,2.1,5.5
18,07,05,,,,Ward No-05 Total,4027,8.2,10.4,10.2,8.5,8.7,10.1,28.8,6.8,2.9,5.4
18,07,05,425,,2,*Ershadpur,4027,8.2,10.4,10.2,8.5,8.7,10.1,28.8,6.8,2.9,5.4
18,07,06,,,,Ward No-06 Total,3992,8.4,9.4,10.1,8.7,8.1,10.5,28.0,7.6,3.4,5.8
18,07,06,510,,2,*Gobindapur South,3992,8.4,9.4,10.1,8.7,8.1,10.5,28.0,7.6,3.4,5.8
18,07,07,,,,Ward No-07 Total,3185,8.0,8.7,9.9,7.9,10.6,10.5,29.8,7.4,2.4,4.7
18,07,07,255,,2,*Bandobil East,179,6.7,8.9,9.5,7.8,12.3,6.7,35.8,4.5,1.1,6.7
18,07,07,510,,2,*Gobindapur Mathpara,637,9.9,9.1,10.7,4.4,10.7,10.2,30.3,7.1,3.0,4.7
18,07,07,511,,2,*Gobindapur North(Part),2369,7.6,8.6,9.7,8.8,10.4,10.9,29.2,7.7,2.4,4.6
18,07,08,,,,Ward No-08 Total,2536,7.8,10.4,9.3,8.5,8.0,10.0,29.7,7.8,2.8,5.8
18,07,08,510,,2,*Gobindapur West,894,7.3,9.3,9.1,7.9,8.7,8.5,31.4,7.3,3.8,6.7
18,07,08,595,,2,*Naoda Bandobil,1642,8.0,11.0,9.4,8.8,7.6,10.8,28.7,8.1,2.3,5.3
18,07,09,,,,Ward No-09 Total,2802,9.0,10.8,10.2,8.2,7.3,11.0,28.9,6.9,2.7,5.0
18,07,09,255,,2,*Bandobil West,2802,9.0,10.8,10.2,8.2,7.3,11.0,28.9,6.9,2.7,5.0
18,07,13,,,,Belgachhi Union Total,14426,8.7,10.1,10.0,7.1,8.3,9.8,28.7,7.8,3.6,5.9
18,07,13,116,,1,*Belgachhi,8344,8.8,10.3,10.2,7.0,8.2,9.6,28.2,7.6,3.9,6.2
18,07,13,116,01,1,Belgachhi,5590,8.8,10.9,10.5,6.6,8.6,9.8,28.2,7.4,3.5,6.0
18,07,13,116,02,1,Kidarnagar,2130,9.7,8.6,9.6,7.7,8.0,9.6,27.7,8.0,4.7,6.4
18,07,13,116,03,1,Kashipur,624,6.7,10.6,10.6,8.5,5.6,8.8,29.6,7.9,4.5,7.2
18,07,13,157,,1,*Bil Chakila,457,8.1,10.5,8.8,7.2,8.3,12.3,28.0,8.1,3.3,5.5
18,07,13,339,,1,*Faridpur,5625,8.4,9.9,9.6,7.2,8.6,9.8,29.7,8.1,3.2,5.5
18,07,13,339,01,1,Faridpur,4631,8.1,10.0,10.3,7.6,8.8,9.9,29.1,7.7,3.1,5.5
18,07,13,339,02,1,Damose,994,10.0,9.3,6.7,5.4,7.5,9.6,32.5,10.3,3.6,5.1
18,07,15,,,,Baradi Union Total,19583,9.6,11.0,10.3,7.2,8.3,9.9,28.8,6.9,2.9,5.1
18,07,15,,,1,Baradi Union,18477,9.6,11.2,10.3,7.1,8.2,9.9,28.8,6.9,2.9,5.0
18,07,15,,,3,Baradi Union,1106,8.4,9.0,9.9,8.0,9.0,9.6,29.0,7.1,2.7,7.4
