0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
18,,,,,,Chuadanga Zila Total,452637,32.4,66.8,0.5,0.2,455638,19.5,71.0,8.3,1.2
18,,,,,1,Chuadanga Zila,328599,31.8,67.4,0.5,0.2,330234,18.9,71.7,8.2,1.2
18,,,,,2,Chuadanga Zila,72046,35.1,64.1,0.6,0.2,72937,22.0,68.1,8.6,1.3
18,,,,,3,Chuadanga Zila,51992,32.4,66.8,0.6,0.2,52467,19.9,70.7,8.3,1.1
18,07,,,,,Alamdanga Upazila Total,139128,30.8,68.5,0.5,0.2,140139,18.0,72.7,8.3,0.9
18,07,,,,1,Alamdanga Upazila,107451,30.4,69.0,0.5,0.2,107710,17.6,73.3,8.2,0.9
18,07,,,,2,Alamdanga Upazila,12964,33.9,65.4,0.6,0.2,13495,19.7,69.6,9.5,1.1
18,07,,,,3,Alamdanga Upazila,18713,31.5,67.6,0.7,0.2,18934,19.1,71.4,8.5,1.0
18,07,,,,,Alamdanga Paurashava,12964,33.9,65.4,0.6,0.2,13495,19.7,69.6,9.5,1.1
18,07,01,,,,Ward No-01 Total,1652,38.8,60.6,0.4,0.2,1652,21.2,69.2,8.5,1.1
18,07,01,085,,2,*Alamdanga North,1470,40.4,59.1,0.3,0.2,1460,22.1,68.8,8.2,1.0
18,07,01,510,,2,*Gobindapur North (Mathpara),182,25.8,72.5,1.1,0.5,192,14.6,72.9,10.4,2.1
18,07,02,,,,Ward No-02 Total,1642,35.7,63.8,0.3,0.2,1691,19.5,71.6,8.2,0.7
18,07,02,085,,2,*Alamdanga Middle (Part),438,33.3,66.4,0.2,0.0,479,19.4,68.9,10.4,1.3
18,07,02,120,,2,*Babupara(Alamdagm(Part),570,39.8,59.8,0.0,0.4,550,22.0,72.7,4.7,0.5
18,07,02,650,,2,*Radhikaganj,634,33.6,65.6,0.6,0.2,662,17.5,72.5,9.5,0.5
18,07,03,,,,Ward No-03 Total,1288,34.6,64.4,0.9,0.0,1317,21.8,67.4,9.6,1.2
18,07,03,085,,2,*Alamdanga South,600,32.8,66.2,1.0,0.0,595,20.8,66.9,10.4,1.8
18,07,03,340,,2,*College Para East,569,36.9,62.6,0.5,0.0,603,24.5,67.0,8.0,0.5
18,07,03,510,,2,*Gobindapur Middle,119,32.8,64.7,2.5,0.0,119,12.6,71.4,14.3,1.7
18,07,04,,,,Ward No-04 Total,1803,36.7,62.8,0.3,0.1,1881,21.3,70.5,7.4,0.7
18,07,04,170,,2,*Ananada Dham,689,34.3,65.5,0.0,0.3,731,17.5,69.8,11.4,1.4
18,07,04,340,,2,*College Para West,1055,39.1,60.5,0.5,0.0,1087,23.8,71.2,4.7,0.3
18,07,04,450,,2,*Haushpur,59,23.7,74.6,1.7,0.0,63,22.2,68.3,9.5,0.0
18,07,05,,,,Ward No-05 Total,1580,31.1,68.3,0.5,0.1,1699,20.8,67.3,10.5,1.4
18,07,05,425,,2,*Ershadpur,1580,31.1,68.3,0.5,0.1,1699,20.8,67.3,10.5,1.4
18,07,06,,,,Ward No-06 Total,1580,30.3,68.7,0.8,0.2,1698,18.3,69.0,11.7,1.1
18,07,06,510,,2,*Gobindapur South,1580,30.3,68.7,0.8,0.2,1698,18.3,69.0,11.7,1.1
18,07,07,,,,Ward No-07 Total,1297,33.5,65.2,1.2,0.1,1356,18.4,69.2,10.7,1.8
18,07,07,255,,2,*Bandobil East,78,24.4,75.6,0.0,0.0,73,12.3,82.2,5.5,0.0
18,07,07,510,,2,*Gobindapur Mathpara,247,28.7,69.6,1.6,0.0,269,15.2,71.4,12.6,0.7
18,07,07,511,,2,*Gobindapur North(Part),972,35.5,63.2,1.2,0.1,1014,19.6,67.7,10.6,2.2
18,07,08,,,,Ward No-08 Total,1017,31.2,67.7,0.7,0.4,1059,18.2,69.6,10.2,2.0
18,07,08,510,,2,*Gobindapur West,358,30.7,68.7,0.6,0.0,388,19.6,66.0,12.6,1.8
18,07,08,595,,2,*Naoda Bandobil,659,31.4,67.2,0.8,0.6,671,17.4,71.7,8.8,2.1
18,07,09,,,,Ward No-09 Total,1105,30.2,69.4,0.3,0.1,1142,16.5,73.6,9.3,0.7
18,07,09,255,,2,*Bandobil West,1105,30.2,69.4,0.3,0.1,1142,16.5,73.6,9.3,0.7
18,07,13,,,,Belgachhi Union Total,5765,28.4,70.7,0.7,0.2,5953,16.0,72.6,10.8,0.6
18,07,13,116,,1,*Belgachhi,3328,28.3,70.8,0.8,0.1,3421,15.8,73.9,10.0,0.3
18,07,13,116,01,1,Belgachhi,2222,28.5,70.7,0.7,0.1,2271,16.0,73.6,10.1,0.3
18,07,13,116,02,1,Kidarnagar,859,28.2,71.2,0.5,0.1,881,16.0,74.2,9.6,0.1
18,07,13,116,03,1,Kashipur,247,27.1,70.4,2.0,0.4,269,13.8,75.1,10.8,0.4
18,07,13,157,,1,*Bil Chakila,192,28.1,71.9,0.0,0.0,180,11.7,76.1,12.2,0.0
18,07,13,339,,1,*Faridpur,2245,28.5,70.5,0.6,0.4,2352,16.5,70.5,11.7,1.2
18,07,13,339,01,1,Faridpur,1848,29.7,69.3,0.7,0.4,1946,18.3,69.1,11.4,1.2
18,07,13,339,02,1,Damose,397,23.2,76.3,0.3,0.3,406,7.9,77.1,13.5,1.5
18,07,15,,,,Baradi Union Total,7785,29.7,69.7,0.4,0.2,7765,17.7,73.9,7.3,1.1
18,07,15,,,1,Baradi Union,7322,29.5,70.0,0.4,0.2,7314,17.6,73.8,7.4,1.1
18,07,15,,,3,Baradi Union,463,33.5,65.7,0.6,0.2,451,18.8,74.9,5.3,0.9
18,07,15,024,,1,*Anupnagar,600,28.0,71.3,0.3,0.3,595,17.1,75.0,6.7,1.2
18,07,15,091,,1,*Baradi,1332,27.6,72.0,0.3,0.2,1400,16.4,72.9,9.2,1.4
18,07,15,091,01,1,Baradi,816,30.9,68.6,0.4,0.1,861,18.2,71.1,9.2,1.5
18,07,15,091,02,1,Anandabas,154,25.3,74.7,0.0,0.0,165,12.7,73.9,12.7,0.6
18,07,15,091,03,1,Gopalnagar,362,21.0,78.5,0.3,0.3,374,13.9,76.7,7.8,1.6
18,07,15,331,,1,*Enayetpur,734,31.9,67.3,0.3,0.5,687,16.4,77.6,4.9,1.0
18,07,15,348,,1,*Attarakhada,909,28.2,71.3,0.3,0.2,906,18.3,72.6,8.2,0.9
18,07,15,414,,1,*Goalbari,574,33.1,66.9,0.0,0.0,550,20.4,73.1,6.4,0.2
18,07,15,538,,3,*Kantabhanga,463,33.5,65.7,0.6,0.2,451,18.8,74.9,5.3,0.9
18,07,15,729,,1,*Natidanga,1747,29.4,69.9,0.5,0.2,1766,18.3,72.2,7.9,1.6
18,07,15,729,01,1,Natidanga,1558,29.1,70.2,0.5,0.2,1583,18.1,72.1,8.1,1.6
18,07,15,729,02,1,Kachikata,189,32.3,67.2,0.5,0.0,183,20.2,72.7,5.5,1.6
18,07,15,804,,1,*Poltadanga,1348,29.7,69.9,0.4,0.1,1336,16.8,76.2,6.4,0.7
18,07,15,837,,1,*Radhakantapur,78,38.5,60.3,1.3,0.0,74,24.3,64.9,6.8,4.1
18,07,23,,,,Bhangabaria Union Total,11225,30.9,68.5,0.4,0.1,11086,17.9,74.2,7.2,0.8
