0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18,,,,,,Chuadanga Zila Total,22789,18928,26049,26344,5271,2799,36255,54725,1001,376,50075,60520
18,,,,,1,Chuadanga Zila,15173,12276,19371,19181,3148,1314,26912,40273,569,160,36771,44173
18,,,,,2,Chuadanga Zila,4737,4189,3769,4280,1474,1079,5328,8331,297,154,7630,9346
18,,,,,3,Chuadanga Zila,2879,2463,2909,2883,649,406,4015,6121,135,62,5674,7001
18,07,,,,,Alamdanga Upazila Total,7095,5525,6772,6870,1731,791,10134,16484,344,111,15217,18923
18,07,,,,1,Alamdanga Upazila,5002,3927,5386,5389,1158,469,8016,12942,228,55,11992,14642
18,07,,,,2,Alamdanga Upazila,964,694,542,638,318,171,793,1498,64,30,1320,1779
18,07,,,,3,Alamdanga Upazila,1129,904,844,843,255,151,1325,2044,52,26,1905,2502
18,07,,,,,Alamdanga Paurashava,964,694,542,638,318,171,793,1498,64,30,1320,1779
18,07,01,,,,Ward No-01 Total,189,103,35,60,91,44,76,168,18,8,146,200
18,07,01,085,,2,*Alamdanga North,188,101,29,52,91,43,63,132,17,7,118,173
18,07,01,510,,2,*Gobindapur North (Mathpara),1,2,6,8,0,1,13,36,1,1,28,27
18,07,02,,,,Ward No-02 Total,141,81,63,81,52,20,89,184,7,3,147,208
18,07,02,085,,2,*Alamdanga Middle (Part),30,19,15,19,5,8,19,42,1,0,37,64
18,07,02,120,,2,*Babupara(Alamdagm(Part),83,41,14,18,37,10,24,53,6,2,39,66
18,07,02,650,,2,*Radhikaganj,28,21,34,44,10,2,46,89,0,1,71,78
18,07,03,,,,Ward No-03 Total,95,87,36,54,40,17,72,143,12,7,111,160
18,07,03,085,,2,*Alamdanga South,38,29,18,26,14,2,35,55,3,4,46,72
18,07,03,340,,2,*College Para East,50,52,16,24,24,12,30,77,7,1,52,71
18,07,03,510,,2,*Gobindapur Middle,7,6,2,4,2,3,7,11,2,2,13,17
18,07,04,,,,Ward No-04 Total,166,126,64,71,60,37,87,181,7,9,158,270
18,07,04,170,,2,*Ananada Dham,45,31,33,29,12,6,48,82,1,2,72,108
18,07,04,340,,2,*College Para West,120,94,29,38,48,31,35,91,6,7,78,152
18,07,04,450,,2,*Haushpur,1,1,2,4,0,0,4,8,0,0,8,10
18,07,05,,,,Ward No-05 Total,72,85,88,97,13,19,130,190,6,1,189,211
18,07,05,425,,2,*Ershadpur,72,85,88,97,13,19,130,190,6,1,189,211
18,07,06,,,,Ward No-06 Total,91,79,81,96,15,3,102,203,5,0,170,243
18,07,06,510,,2,*Gobindapur South,91,79,81,96,15,3,102,203,5,0,170,243
18,07,07,,,,Ward No-07 Total,106,48,47,50,26,22,108,181,6,2,140,188
18,07,07,255,,2,*Bandobil East,3,0,5,6,1,0,11,10,0,0,4,8
18,07,07,510,,2,*Gobindapur Mathpara,9,5,9,5,4,0,23,41,0,0,24,41
18,07,07,511,,2,*Gobindapur North(Part),94,43,33,39,21,22,74,130,6,2,112,139
18,07,08,,,,Ward No-08 Total,47,54,61,53,14,8,63,118,2,0,111,141
18,07,08,510,,2,*Gobindapur West,19,20,14,18,9,5,26,38,1,0,36,39
18,07,08,595,,2,*Naoda Bandobil,28,34,47,35,5,3,37,80,1,0,75,102
18,07,09,,,,Ward No-09 Total,57,31,67,76,7,1,66,130,1,0,148,158
18,07,09,255,,2,*Bandobil West,57,31,67,76,7,1,66,130,1,0,148,158
18,07,13,,,,Belgachhi Union Total,239,167,283,332,64,23,431,686,15,5,606,787
18,07,13,116,,1,*Belgachhi,141,87,157,198,23,10,252,399,9,2,365,429
18,07,13,116,01,1,Belgachhi,85,51,100,131,19,8,177,274,8,2,243,293
18,07,13,116,02,1,Kidarnagar,44,27,48,44,2,2,62,105,1,0,101,102
18,07,13,116,03,1,Kashipur,12,9,9,23,2,0,13,20,0,0,21,34
18,07,13,157,,1,*Bil Chakila,6,3,14,10,2,0,11,25,0,0,23,33
18,07,13,339,,1,*Faridpur,92,77,112,124,39,13,168,262,6,3,218,325
18,07,13,339,01,1,Faridpur,83,70,95,103,38,13,133,223,5,3,178,271
