0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
18,,,,,,Chuadanga Zila Total,1129015,1.7,0.2,0.3,0.2,0.7,0.2,0.1
18,,,,,1,Chuadanga Zila,822858,1.7,0.2,0.3,0.2,0.7,0.2,0.1
18,,,,,2,Chuadanga Zila,176748,1.7,0.2,0.4,0.2,0.7,0.2,0.1
18,,,,,3,Chuadanga Zila,129409,1.6,0.2,0.3,0.1,0.6,0.2,0.1
18,07,,,,,Alamdanga Upazila Total,345922,1.4,0.2,0.3,0.1,0.6,0.2,0.1
18,07,,,,1,Alamdanga Upazila,267550,1.4,0.2,0.2,0.1,0.6,0.2,0.1
18,07,,,,2,Alamdanga Upazila,32048,1.8,0.2,0.5,0.2,0.6,0.3,0.0
18,07,,,,3,Alamdanga Upazila,46324,1.6,0.2,0.3,0.1,0.6,0.2,0.1
18,07,,,,,Alamdanga Paurashava,32048,1.8,0.2,0.5,0.2,0.6,0.3,0.0
18,07,01,,,,Ward No-01 Total,3971,1.5,0.2,0.2,0.3,0.7,0.2,0.0
18,07,02,,,,Ward No-02 Total,4055,1.0,0.1,0.1,0.0,0.6,0.1,0.0
18,07,03,,,,Ward No-03 Total,3049,1.4,0.0,0.2,0.2,0.6,0.3,0.0
18,07,04,,,,Ward No-04 Total,4431,0.8,0.0,0.1,0.0,0.4,0.2,0.1
18,07,05,,,,Ward No-05 Total,4027,1.9,0.1,0.6,0.2,0.6,0.4,0.0
18,07,06,,,,Ward No-06 Total,3992,3.7,0.2,1.3,0.7,1.1,0.3,0.0
18,07,07,,,,Ward No-07 Total,3185,1.2,0.3,0.1,0.2,0.5,0.2,0.0
18,07,08,,,,Ward No-08 Total,2536,3.7,0.3,1.8,0.3,0.9,0.4,0.0
18,07,09,,,,Ward No-09 Total,2802,1.1,0.2,0.1,0.0,0.3,0.5,0.1
18,07,13,,,,Belgachhi Union Total,14426,1.6,0.2,0.3,0.2,0.7,0.1,0.1
18,07,15,,,,Baradi Union Total,19583,1.4,0.2,0.2,0.1,0.5,0.2,0.2
18,07,15,,,1,Baradi Union,18477,1.4,0.2,0.2,0.2,0.5,0.2,0.2
18,07,15,,,3,Baradi Union,1106,0.5,0.2,0.1,0.0,0.2,0.0,0.0
18,07,23,,,,Bhangabaria Union Total,27714,1.4,0.2,0.2,0.1,0.6,0.2,0.1
18,07,23,,,1,Bhangabaria Union,23835,1.4,0.2,0.2,0.1,0.6,0.2,0.1
18,07,23,,,3,Bhangabaria Union,3879,1.0,0.2,0.2,0.1,0.3,0.1,0.1
18,07,27,,,,Chithla Union Total,22613,0.9,0.2,0.1,0.1,0.4,0.1,0.0
18,07,27,,,1,Chithla Union,18891,0.9,0.2,0.1,0.1,0.4,0.1,0.0
18,07,27,,,3,Chithla Union,3722,1.0,0.0,0.2,0.1,0.5,0.2,0.0
18,07,31,,,,Dauki Union Total,18731,1.8,0.2,0.3,0.1,0.9,0.2,0.0
18,07,39,,,,Gangni Union Total,24042,1.2,0.2,0.1,0.1,0.5,0.2,0.1
18,07,47,,,,Hardi Union Total,29542,1.9,0.3,0.3,0.2,0.7,0.3,0.1
18,07,47,,,1,Hardi Union,17097,1.9,0.2,0.4,0.3,0.7,0.2,0.1
18,07,47,,,3,Hardi Union,12445,2.0,0.4,0.3,0.1,0.7,0.4,0.1
18,07,51,,,,Kalidashpur Union Total,23305,1.1,0.1,0.2,0.0,0.4,0.2,0.1
18,07,55,,,,Jamjami Union Total,18498,1.4,0.1,0.2,0.1,0.7,0.2,0.0
18,07,55,,,1,Jamjami Union,12734,1.2,0.1,0.2,0.1,0.5,0.2,0.0
18,07,55,,,3,Jamjami Union,5764,2.0,0.1,0.3,0.2,0.9,0.4,0.0
18,07,63,,,,Jehala Union Total,22286,1.8,0.2,0.5,0.2,0.6,0.2,0.1
18,07,63,,,1,Jehala Union,11831,2.0,0.2,0.5,0.3,0.6,0.3,0.1
18,07,63,,,3,Jehala Union,10455,1.5,0.2,0.4,0.1,0.6,0.2,0.1
18,07,71,,,,Khadimpur Union Total,19855,0.9,0.1,0.1,0.1,0.4,0.1,0.1
18,07,79,,,,Khaskara Union Total,22865,1.4,0.2,0.3,0.1,0.4,0.2,0.1
18,07,79,,,1,Khaskara Union,21963,1.4,0.2,0.3,0.1,0.5,0.2,0.1
18,07,79,,,3,Khaskara Union,902,1.1,0.0,0.2,0.0,0.3,0.2,0.3
18,07,87,,,,Kumari Union Total,18246,1.4,0.2,0.2,0.1,0.6,0.1,0.1
18,07,87,,,1,Kumari Union,10195,1.4,0.2,0.2,0.1,0.6,0.1,0.1
18,07,87,,,3,Kumari Union,8051,1.4,0.2,0.2,0.1,0.6,0.1,0.1
18,07,94,,,,Nagdaha Union Total,32168,1.5,0.2,0.3,0.2,0.6,0.2,0.1
18,23,,,,,Chuadanga Sadar Upazila Total,313935,2.0,0.2,0.5,0.2,0.8,0.2,0.1
18,23,,,,1,Chuadanga Sadar Upazila,185070,2.3,0.2,0.6,0.2,0.9,0.2,0.1
18,23,,,,2,Chuadanga Sadar Upazila,85786,1.8,0.2,0.4,0.2,0.7,0.2,0.1
18,23,,,,3,Chuadanga Sadar Upazila,43079,0.9,0.2,0.1,0.1,0.4,0.2,0.0
18,23,,,,,Chuadanga Paurashava,85786,1.8,0.2,0.4,0.2,0.7,0.2,0.1
18,23,01,,,,Ward No-01 Total,10804,3.0,0.2,0.5,0.2,1.6,0.4,0.1
18,23,02,,,,Ward No-02 Total,10812,1.7,0.2,0.5,0.2,0.5,0.2,0.1
18,23,03,,,,Ward No-03 Total,7963,1.1,0.2,0.2,0.0,0.4,0.3,0.1
18,23,04,,,,Ward No-04 Total,6771,1.4,0.3,0.3,0.1,0.5,0.2,0.1
18,23,05,,,,Ward No-05 Total,8948,0.4,0.1,0.0,0.0,0.2,0.1,0.0
18,23,06,,,,Ward No-06 Total,10682,1.1,0.1,0.2,0.1,0.4,0.1,0.1
18,23,07,,,,Ward No-07 Total,10877,2.0,0.2,0.5,0.3,0.7,0.2,0.1
18,23,08,,,,Ward No-08 Total,9605,3.6,0.2,1.1,0.3,1.7,0.3,0.0
18,23,09,,,,Ward No-09 Total,9324,1.3,0.2,0.3,0.1,0.6,0.1,0.0
18,23,11,,,,Alokdia Union Total,28840,0.9,0.1,0.1,0.1,0.4,0.2,0.0
18,23,11,,,1,Alokdia Union,2544,1.0,0.1,0.2,0.1,0.6,0.1,0.0
18,23,11,,,3,Alokdia Union,26296,0.9,0.1,0.1,0.1,0.4,0.2,0.0
18,23,23,,,,Begampur Union Total,41758,5.0,0.3,1.9,0.5,1.8,0.3,0.1
18,23,47,,,,Kutubpur Union Total,33231,1.2,0.2,0.2,0.1,0.4,0.2,0.0
18,23,47,,,1,Kutubpur Union,31279,1.2,0.2,0.2,0.1,0.5,0.2,0.0
18,23,47,,,3,Kutubpur Union,1952,1.4,0.4,0.3,0.0,0.3,0.4,0.1
18,23,59,,,,Mominpur Union Total,15651,1.3,0.2,0.2,0.2,0.6,0.2,0.0
18,23,59,,,1,Mominpur Union,9635,1.5,0.2,0.2,0.2,0.6,0.2,0.1
18,23,59,,,3,Mominpur Union,6016,1.1,0.2,0.1,0.1,0.4,0.2,0.0
18,23,62,,,,Padmabila Union Total,20214,1.3,0.2,0.3,0.1,0.5,0.1,0.0
18,23,71,,,,Shankar Chandra Union Total,47315,1.9,0.3,0.3,0.2,0.8,0.3,0.1
18,23,71,,,1,Shankar Chandra Union,42123,2.0,0.3,0.3,0.2,0.9,0.3,0.1
18,23,71,,,3,Shankar Chandra Union,5192,0.8,0.3,0.1,0.0,0.3,0.2,0.0
18,23,83,,,,Titudaha Union Total,41140,1.3,0.2,0.1,0.1,0.6,0.1,0.1
18,23,83,,,1,Titudaha Union,37517,1.3,0.2,0.2,0.2,0.6,0.1,0.1
18,23,83,,,3,Titudaha Union,3623,1.0,0.2,0.0,0.0,0.4,0.3,0.1
18,31,,,,,Damurhuda Upazila Total,289577,1.6,0.2,0.3,0.2,0.7,0.2,0.1
18,31,,,,1,Damurhuda Upazila,228809,1.7,0.2,0.3,0.2,0.7,0.2,0.1
18,31,,,,2,Damurhuda Upazila,33396,1.4,0.2,0.2,0.1,0.5,0.3,0.1
18,31,,,,3,Damurhuda Upazila,27372,1.7,0.2,0.3,0.2,0.7,0.3,0.1
18,31,,,,,Damurhuda  Paurashava,33396,1.4,0.2,0.2,0.1,0.5,0.3,0.1
18,31,01,,,,Ward No-01 Total,3636,0.9,0.2,0.2,0.1,0.4,0.1,0.0
18,31,02,,,,Ward No-02 Total,4206,1.0,0.1,0.1,0.1,0.3,0.3,0.1
18,31,03,,,,Ward No-03 Total,3628,2.3,0.2,0.4,0.1,1.0,0.3,0.2
18,31,04,,,,Ward No-04 Total,3594,1.3,0.2,0.3,0.0,0.3,0.3,0.1
18,31,05,,,,Ward No-05 Total,3708,1.7,0.1,0.4,0.1,0.8,0.3,0.1
18,31,06,,,,Ward No-06 Total,3711,1.6,0.1,0.2,0.1,0.8,0.2,0.1
18,31,07,,,,Ward No-07 Total,3063,1.4,0.2,0.3,0.1,0.5,0.3,0.0
18,31,08,,,,Ward No-08 Total,4288,1.5,0.5,0.2,0.1,0.4,0.2,0.1
18,31,09,,,,Ward No-09 Total,3562,1.1,0.2,0.1,0.1,0.4,0.2,0.1
18,31,11,,,,Damurhuda Union Total,41442,2.2,0.2,0.7,0.2,0.7,0.3,0.1
18,31,11,,,1,Damurhuda Union,27111,2.5,0.3,0.9,0.3,0.7,0.3,0.1
18,31,11,,,3,Damurhuda Union,14331,1.5,0.1,0.2,0.1,0.5,0.3,0.2
18,31,23,,,,Perkrishnapur Madna Union Total,25054,1.8,0.3,0.2,0.2,0.9,0.2,0.1
18,31,35,,,,Howli Union Total,40012,1.6,0.2,0.3,0.1,0.6,0.2,0.1
18,31,35,,,1,Howli Union,26971,1.3,0.2,0.2,0.1,0.5,0.2,0.1
18,31,35,,,3,Howli Union,13041,2.0,0.2,0.3,0.2,0.9,0.3,0.1
18,31,47,,,,Juranpur Union Total,36675,1.2,0.2,0.2,0.1,0.6,0.2,0.1
18,31,59,,,,Kapasadanga Union Total,46298,1.7,0.2,0.2,0.2,0.7,0.2,0.2
18,31,71,,,,Kuralgachhi Union Total,29643,1.6,0.2,0.2,0.2,0.8,0.2,0.1
18,31,83,,,,Natipota Union Total,37057,1.6,0.2,0.4,0.2,0.6,0.2,0.1
18,55,,,,,Jiban Nagar Upazila Total,179581,1.7,0.2,0.3,0.2,0.8,0.2,0.1
18,55,,,,1,Jiban Nagar Upazila,141429,1.6,0.2,0.3,0.2,0.8,0.2,0.1
18,55,,,,2,Jiban Nagar Upazila,25518,1.4,0.1,0.4,0.1,0.6,0.2,0.1
18,55,,,,3,Jiban Nagar Upazila,12634,3.5,0.4,1.3,0.3,1.2,0.2,0.1
18,55,,,,,Jiban Nagar Paurashava,25518,1.4,0.1,0.4,0.1,0.6,0.2,0.1
18,55,01,,,,Ward No-01 Total,1365,3.7,0.1,1.5,0.0,2.0,0.2,0.0
18,55,02,,,,Ward No-02 Total,2755,1.0,0.1,0.1,0.1,0.5,0.0,0.0
18,55,03,,,,Ward No-03 Total,3019,1.3,0.1,0.4,0.0,0.4,0.3,0.2
18,55,04,,,,Ward No-04 Total,2848,1.2,0.1,0.1,0.0,0.4,0.5,0.1
18,55,05,,,,Ward No-05 Total,2731,0.8,0.1,0.2,0.0,0.3,0.2,0.1
18,55,06,,,,Ward No-06 Total,2472,0.9,0.1,0.2,0.0,0.4,0.2,0.0
18,55,07,,,,Ward No-07 Total,2616,0.8,0.1,0.1,0.1,0.3,0.2,0.0
18,55,08,,,,Ward No-08 Total,4475,1.6,0.2,0.4,0.1,0.7,0.1,0.0
18,55,09,,,,Ward No-09 Total,3237,1.9,0.1,0.6,0.1,1.0,0.2,0.1
18,55,19,,,,Andulbaria Union Total,27397,1.8,0.2,0.3,0.2,0.9,0.2,0.0
18,55,38,,,,Banka Union Total,48391,1.3,0.1,0.2,0.1,0.7,0.1,0.0
18,55,38,,,1,Banka Union,42816,1.4,0.1,0.2,0.1,0.7,0.2,0.0
18,55,38,,,3,Banka Union,5575,1.0,0.2,0.1,0.0,0.6,0.1,0.0
