0,1,2,3,4,5,6,7,8,9,10,11,12
18,,,,,,Chuadanga Zila Total,1129015,1100330,26514,1593,22,556
18,,,,,1,Chuadanga Zila,822858,807648,13516,1494,13,187
18,,,,,2,Chuadanga Zila,176748,167690,8612,72,8,366
18,,,,,3,Chuadanga Zila,129409,124992,4386,27,1,3
18,07,,,,,Alamdanga Upazila Total,345922,336715,9050,0,0,157
18,07,,,,1,Alamdanga Upazila,267550,263532,3887,0,0,131
18,07,,,,2,Alamdanga Upazila,32048,28390,3635,0,0,23
18,07,,,,3,Alamdanga Upazila,46324,44793,1528,0,0,3
18,07,,,,,Alamdanga Paurashava,32048,28390,3635,0,0,23
18,07,01,,,,Ward No-01 Total,3971,3523,448,0,0,0
18,07,01,085,,2,*Alamdanga North,3490,3154,336,0,0,0
18,07,01,510,,2,*Gobindapur North (Mathpara),481,369,112,0,0,0
18,07,02,,,,Ward No-02 Total,4055,3846,209,0,0,0
18,07,02,085,,2,*Alamdanga Middle (Part),1112,1048,64,0,0,0
18,07,02,120,,2,*Babupara(Alamdagm(Part),1345,1285,60,0,0,0
18,07,02,650,,2,*Radhikaganj,1598,1513,85,0,0,0
18,07,03,,,,Ward No-03 Total,3049,1595,1437,0,0,17
18,07,03,085,,2,*Alamdanga South,1404,474,930,0,0,0
18,07,03,340,,2,*College Para East,1364,974,373,0,0,17
18,07,03,510,,2,*Gobindapur Middle,281,147,134,0,0,0
18,07,04,,,,Ward No-04 Total,4431,3733,698,0,0,0
18,07,04,170,,2,*Ananada Dham,1736,1408,328,0,0,0
18,07,04,340,,2,*College Para West,2549,2179,370,0,0,0
18,07,04,450,,2,*Haushpur,146,146,0,0,0,0
18,07,05,,,,Ward No-05 Total,4027,4025,2,0,0,0
18,07,05,425,,2,*Ershadpur,4027,4025,2,0,0,0
18,07,06,,,,Ward No-06 Total,3992,3746,246,0,0,0
18,07,06,510,,2,*Gobindapur South,3992,3746,246,0,0,0
18,07,07,,,,Ward No-07 Total,3185,2771,408,0,0,6
18,07,07,255,,2,*Bandobil East,179,179,0,0,0,0
18,07,07,510,,2,*Gobindapur Mathpara,637,634,3,0,0,0
18,07,07,511,,2,*Gobindapur North(Part),2369,1958,405,0,0,6
