0,1,2,3,4,5,6,7,8,9,10,11,12
19,,,,,,Comilla Zila Total,777468,1053572,5387288,5384697,2591,1712
19,,,,,1,Comilla Zila,,886900,4546962,4545355,1607,
19,,,,,2,Comilla Zila,,140108,707597,706630,967,
19,,,,,3,Comilla Zila,,26564,132729,132712,17,
19,09,,,,,Barura Upazila Total,59724,82588,405118,405072,46,1676
19,09,,,,1,Barura Upazila,,72781,355992,355959,33,
19,09,,,,2,Barura Upazila,,9807,49126,49113,13,
,,,,,,Barura Paurashava,,,,,,
19,09,01,,,,Ward No-01 Total,,898,4291,4291,0,
19,09,01,080,,2,*Bagmara,,351,1671,1671,0,
19,09,01,124,,2,*Belbhoj,,332,1515,1515,0,
19,09,01,300,,2,*Hobirgaon,,125,684,684,0,
19,09,01,820,,2,*Saudmara,,50,261,261,0,
19,09,01,908,,2,*Somargaon,,40,160,160,0,
19,09,02,,,,Ward No-02 Total,,1097,5321,5321,0,
19,09,02,107,,2,*Barura (Part),,301,1287,1287,0,
19,09,02,943,,2,*Tolagram,,796,4034,4034,0,
19,09,03,,,,Ward No-03 Total,,1527,7840,7827,13,
19,09,03,107,,2,*Barura (Part-2),,1527,7840,7827,13,
19,09,04,,,,Ward No-04 Total,,1045,5387,5387,0,
19,09,04,280,,2,*Dakshin Panch Pukuria,,86,462,462,0,
19,09,04,516,,2,*Kamedda,,255,1377,1377,0,
19,09,04,600,,2,*Nayantala,,445,2275,2275,0,
19,09,04,655,,2,*Paschim Baraia,,32,169,169,0,
19,09,04,720,,2,*Salukia,,227,1104,1104,0,
19,09,05,,,,Ward No-05 Total,,1104,5882,5882,0,
19,09,05,360,,2,*Latifpur,,220,1310,1310,0,
19,09,05,469,,2,*Jinsar,,422,2199,2199,0,
19,09,05,550,,2,*Kalinji Para,,125,718,718,0,
19,09,05,830,,2,*Shahar Padua,,337,1655,1655,0,
19,09,06,,,,Ward No-06 Total,,1199,6223,6223,0,
19,09,06,310,,2,*Kasmi,,316,1579,1579,0,
19,09,06,560,,2,*Uttar Nishchintapur,,77,381,381,0,
19,09,06,610,,2,*Puran Kadba,,457,2233,2233,0,
19,09,06,750,,2,*Uttar Hurua,,349,2030,2030,0,
19,09,07,,,,Ward No-07 Total,,931,4552,4552,0,
19,09,07,320,,2,*Kashedda,,476,2313,2313,0,
19,09,07,938,,2,*Susunda,,455,2239,2239,0,
19,09,08,,,,Ward No-08 Total,,1100,5193,5193,0,
19,09,08,047,,2,*Arjuntala,,481,2266,2266,0,
19,09,08,600,,2,*Deora (East Part),,619,2927,2927,0,
19,09,09,,,,Ward No-09 Total,,906,4437,4437,0,
19,09,09,200,,2,*Deora (West Part),,906,4437,4437,0,
19,09,11,,,,Adda Union Total,4148,5275,26246,26234,12,1564
19,09,11,008,,1,*Adda,,1386,7727,7727,0,
19,09,11,008,01,1,Adda,,1329,7264,7264,0,
19,09,11,008,02,1,Kadirpar,,35,285,285,0,
19,09,11,008,03,1,Shola Pukuria,,22,178,178,0,
19,09,11,055,,1,*Ashwadia,,174,840,840,0,
19,09,11,099,,1,*Bara Putia,,95,417,417,0,
19,09,11,111,,1,*Bejimara,,47,221,221,0,
19,09,11,150,,1,*Bhateshwar,,408,2135,2135,0,
19,09,11,163,,1,*Boalia,,187,916,916,0,
19,09,11,215,,1,*Chhota Putia,,76,325,325,0,
19,09,11,254,,1,*Dakshin Krishnapur,,398,1893,1881,12,
19,09,11,327,,1,*Dighalia,,127,616,616,0,
