0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
19,,,,,,Comilla Zila Total,5387288,11.5,14.1,13.0,9.8,8.8,8.3,20.5,5.8,2.8,5.2
19,,,,,1,Comilla Zila,4546962,11.7,14.4,13.2,9.7,8.6,8.1,20.1,5.9,2.9,5.5
19,,,,,2,Comilla Zila,707597,10.2,12.4,12.1,10.4,10.0,9.6,23.3,5.6,2.3,4.0
19,,,,,3,Comilla Zila,132729,11.6,13.8,12.6,9.6,9.2,9.3,21.6,5.5,2.6,4.3
19,09,,,,,Barura Upazila Total,405118,11.1,13.8,13.1,9.6,8.7,8.2,20.5,5.9,3.0,6.1
19,09,,,,1,Barura Upazila,355992,11.3,13.9,13.1,9.6,8.6,8.1,20.4,6.0,3.0,6.2
19,09,,,,2,Barura Upazila,49126,10.1,13.3,13.3,10.3,9.3,8.8,21.2,5.8,2.7,5.3
,,,,,,Barura Paurashava,,,,,,,,,,,
19,09,01,,,,Ward No-01 Total,4291,9.5,13.1,13.2,10.1,8.9,8.6,20.6,6.5,2.9,6.6
19,09,01,080,,2,*Bagmara,1671,7.4,13.6,13.1,10.7,8.1,10.2,20.8,6.3,3.1,6.6
19,09,01,124,,2,*Belbhoj,1515,10.3,12.7,14.4,9.6,9.3,7.1,20.3,6.5,2.6,7.3
19,09,01,300,,2,*Hobirgaon,684,13.2,13.6,13.6,10.1,8.8,7.5,19.3,6.0,2.8,5.3
19,09,01,820,,2,*Saudmara,261,12.3,10.7,7.3,11.1,11.9,10.0,20.7,6.5,4.6,5.0
19,09,01,908,,2,*Somargaon,160,3.1,13.8,10.0,7.5,9.4,8.8,26.3,11.9,1.3,8.1
19,09,02,,,,Ward No-02 Total,5321,8.5,12.0,11.9,10.2,9.8,8.7,23.7,6.9,3.1,5.2
19,09,02,107,,2,*Barura (Part),1287,9.9,12.2,10.1,9.9,9.1,10.5,26.2,7.0,2.0,3.2
19,09,02,943,,2,*Tolagram,4034,8.1,11.9,12.5,10.3,10.0,8.1,22.9,6.9,3.5,5.8
19,09,03,,,,Ward No-03 Total,7840,11.0,13.2,15.4,9.6,10.0,10.0,20.9,4.9,1.8,3.1
19,09,03,107,,2,*Barura (Part-2),7840,11.0,13.2,15.4,9.6,10.0,10.0,20.9,4.9,1.8,3.1
19,09,04,,,,Ward No-04 Total,5387,11.4,14.7,14.3,10.1,7.9,8.4,20.3,4.5,2.5,5.9
19,09,04,280,,2,*Dakshin Panch Pukuria,462,11.0,14.9,16.0,9.7,9.1,9.3,20.6,5.2,2.2,1.9
19,09,04,516,,2,*Kamedda,1377,12.2,15.3,14.5,10.7,8.9,7.4,18.5,4.2,3.1,5.2
19,09,04,600,,2,*Nayantala,2275,10.9,14.4,14.2,10.6,7.7,8.5,21.1,4.2,2.3,6.0
19,09,04,655,,2,*Paschim Baraia,169,12.4,17.2,14.2,8.9,3.0,8.3,21.9,4.1,2.4,7.7
19,09,04,720,,2,*Salukia,1104,11.1,14.2,13.2,8.3,7.5,9.0,20.7,5.3,2.6,8.1
19,09,05,,,,Ward No-05 Total,5882,9.8,14.1,12.1,10.7,10.0,8.8,20.8,6.0,2.6,5.2
19,09,05,360,,2,*Latifpur,1310,6.0,15.1,11.6,13.0,11.2,8.8,19.2,7.0,2.5,5.6
19,09,05,469,,2,*Jinsar,2199,10.8,14.5,13.3,9.1,10.1,9.6,20.4,5.2,2.5,4.5
19,09,05,550,,2,*Kalinji Para,718,10.7,13.6,12.5,11.0,8.4,10.3,19.4,7.2,2.1,4.7
19,09,05,830,,2,*Shahar Padua,1655,11.0,13.1,10.8,10.9,9.5,6.9,23.1,5.6,2.9,6.2
19,09,06,,,,Ward No-06 Total,6223,10.5,15.0,13.0,10.3,8.7,8.3,20.2,5.4,2.8,5.8
19,09,06,310,,2,*Kasmi,1579,10.4,13.4,13.2,11.5,7.5,8.4,19.8,6.7,2.8,6.2
19,09,06,560,,2,*Uttar Nishchintapur,381,10.5,10.2,10.8,10.2,8.7,10.5,18.9,7.6,5.5,7.1
19,09,06,610,,2,*Puran Kadba,2233,10.5,12.9,12.8,9.5,9.1,8.1,23.2,5.0,2.7,6.2
19,09,06,750,,2,*Uttar Hurua,2030,10.7,19.4,13.5,10.1,9.1,8.0,17.4,4.2,2.4,5.0
19,09,07,,,,Ward No-07 Total,4552,10.1,11.7,12.5,10.3,9.1,8.3,21.5,6.4,3.5,6.5
19,09,07,320,,2,*Kashedda,2313,9.1,11.9,12.2,10.4,8.6,8.3,22.1,6.7,3.8,6.8
19,09,07,938,,2,*Susunda,2239,11.3,11.4,12.9,10.2,9.7,8.4,20.9,6.0,3.3,6.1
19,09,08,,,,Ward No-08 Total,5193,9.4,12.1,12.9,11.1,9.3,8.4,22.4,6.2,2.7,5.5
19,09,08,047,,2,*Arjuntala,2266,8.7,11.5,12.8,11.0,10.1,8.6,22.6,6.4,3.1,5.2
19,09,08,600,,2,*Deora (East Part),2927,10.0,12.5,13.0,11.3,8.6,8.2,22.2,6.1,2.4,5.7
19,09,09,,,,Ward No-09 Total,4437,10.3,13.0,13.2,10.1,9.3,8.9,20.9,5.5,3.1,5.7
19,09,09,200,,2,*Deora (West Part),4437,10.3,13.0,13.2,10.1,9.3,8.9,20.9,5.5,3.1,5.7
19,09,11,,,,Adda Union Total,26246,11.3,13.8,13.0,9.2,8.5,8.6,20.1,6.2,3.2,6.2
19,09,11,008,,1,*Adda,7727,11.0,13.8,12.8,9.9,9.1,8.2,20.5,6.3,3.2,5.3
19,09,11,008,01,1,Adda,7264,10.9,13.5,12.8,9.9,9.1,8.2,20.7,6.3,3.2,5.3
19,09,11,008,02,1,Kadirpar,285,16.5,15.1,13.0,9.1,9.8,7.7,15.8,4.9,2.1,6.0
19,09,11,008,03,1,Shola Pukuria,178,9.6,20.2,11.2,10.1,6.7,8.4,18.5,6.7,2.2,6.2
19,09,11,055,,1,*Ashwadia,840,13.8,12.3,12.4,8.7,7.7,8.5,18.6,6.3,3.6,8.2
19,09,11,099,,1,*Bara Putia,417,8.9,18.7,15.8,9.8,6.0,9.8,18.0,5.8,3.1,4.1
19,09,11,111,,1,*Bejimara,221,12.7,10.0,10.9,11.3,5.9,8.6,22.6,6.3,3.2,8.6
19,09,11,150,,1,*Bhateshwar,2135,12.0,13.7,12.9,9.1,8.2,9.6,19.8,5.3,3.1,6.2
19,09,11,163,,1,*Boalia,916,8.3,13.5,12.9,9.1,7.9,9.6,21.2,6.7,4.1,6.8
19,09,11,215,,1,*Chhota Putia,325,10.2,14.2,17.5,9.5,7.4,7.4,19.1,6.5,2.8,5.5
19,09,11,254,,1,*Dakshin Krishnapur,1893,10.7,14.6,12.9,8.5,7.6,9.0,20.7,5.9,4.0,6.3
19,09,11,327,,1,*Dighalia,616,11.5,17.9,12.7,7.5,11.4,10.9,16.9,4.7,2.4,4.2
19,09,11,542,,1,*Kharul,1014,12.7,13.9,11.4,11.9,8.2,7.6,17.9,6.5,3.3,6.5
19,09,11,542,01,1,Kharul,708,11.7,13.0,10.9,12.1,8.2,7.8,17.5,6.5,3.5,8.8
19,09,11,542,02,1,Hariavita,306,15.0,16.0,12.7,11.4,8.2,7.2,19.0,6.5,2.6,1.3
19,09,11,547,,1,*Khatla,1587,10.8,12.9,11.3,9.8,10.3,7.9,20.2,7.2,2.7,6.9
19,09,11,547,01,1,Khatla,960,10.4,12.7,12.4,9.7,9.1,7.6,21.4,7.4,2.0,7.4
19,09,11,547,02,1,Kandirpar,627,11.3,13.2,9.6,9.9,12.3,8.3,18.3,7.0,3.8,6.2
19,09,11,706,,1,*Paschim Baghmara,1022,11.4,14.8,15.0,8.9,9.2,6.7,18.8,5.7,2.6,7.0
19,09,11,715,,1,*Paschim Gobindapur,1011,11.3,14.3,14.4,8.7,7.4,10.4,20.4,4.6,2.9,5.5
19,09,11,762,,1,*Pilgiri,3832,12.3,12.8,13.4,8.5,8.0,8.4,20.4,6.1,3.1,7.0
19,09,11,766,,1,*Pombaish,1812,10.5,14.1,13.0,8.5,8.5,8.6,20.6,7.0,2.7,6.5
19,09,11,994,,1,*Chota Tulagaon,878,10.7,14.0,14.0,7.7,7.2,9.0,19.9,6.0,5.0,6.4
19,09,12,,,,Adra Union Total,25021,11.1,13.9,12.9,10.1,8.4,7.7,19.6,6.0,3.2,7.0
19,09,12,012,,1,*Adra Ramchandrapur,1212,11.4,14.9,12.0,9.2,10.2,8.1,18.4,6.1,2.5,7.2
19,09,12,034,,1,*Anaidkota,733,11.2,11.9,13.2,10.4,9.0,8.2,19.0,5.7,4.0,7.5
19,09,12,284,,1,*Dakshin Rajapur,783,11.0,15.5,11.6,11.9,8.8,5.9,21.2,5.6,3.8,4.7
19,09,12,357,,1,*Ekaberia,719,10.4,13.8,13.6,9.2,9.3,8.1,19.3,5.0,2.8,8.5
19,09,12,383,,1,*Ganak Khuli,1643,11.2,13.3,15.8,13.0,9.3,7.4,17.2,4.6,2.6,5.7
19,09,12,383,01,1,Ganak Khuli,975,10.3,12.1,18.3,13.8,9.0,7.8,17.0,3.9,2.2,5.6
19,09,12,383,02,1,Nowda,200,11.5,19.0,14.0,10.5,8.0,9.5,15.0,6.5,3.0,3.0
19,09,12,383,03,1,Rajnagar,468,13.0,13.2,11.5,12.4,10.3,5.6,18.4,5.3,3.4,6.8
19,09,12,417,,1,*Harishpur,911,9.9,18.9,14.8,7.7,7.2,9.9,17.8,5.4,2.3,6.1
19,09,12,426,,1,*Herpeti,947,10.5,13.5,10.9,10.1,8.6,7.3,20.4,8.6,3.6,6.7
19,09,12,499,,1,*Kakairtala,2619,11.1,13.4,12.0,10.8,8.5,8.0,20.1,5.6,3.5,7.1
19,09,12,499,01,1,Kakairtala,2340,11.3,13.5,12.1,10.6,8.3,7.9,20.3,5.4,3.5,7.0
19,09,12,499,02,1,Kathalia,279,10.0,12.5,10.4,11.8,9.7,9.0,17.9,7.2,3.9,7.5
19,09,12,603,,1,*Manduk,3532,11.7,13.3,12.5,10.1,8.4,6.9,21.5,5.4,3.5,6.7
19,09,12,628,,1,*Manoharpur,1382,11.9,14.9,12.8,7.7,6.6,8.3,20.4,7.4,3.3,6.7
19,09,12,628,01,1,Manoharpur,410,9.0,14.4,14.6,8.5,7.8,8.8,20.0,4.9,2.7,9.3
19,09,12,628,02,1,Noagaon,972,13.2,15.1,12.0,7.4,6.1,8.1,20.6,8.4,3.5,5.6
19,09,12,650,,1,*Nacharpar,353,13.3,13.3,12.2,10.2,8.2,7.9,19.5,5.7,4.0,5.7
19,09,12,659,,1,*Nagirpar,333,9.6,9.3,12.0,12.9,8.1,6.6,19.2,7.2,3.0,12.0
19,09,12,667,,1,*Narendrapur,1777,11.0,14.5,13.1,10.7,8.9,7.5,18.1,6.2,3.1,6.9
19,09,12,719,,1,*Paschim Nalua,1367,10.9,13.6,12.5,10.3,8.1,8.0,20.0,6.0,3.3,7.2
19,09,12,727,,1,*Paschim Padua,277,8.3,14.1,14.1,11.2,6.1,7.9,25.3,3.6,2.2,7.2
19,09,12,732,,1,*Paschim Satbaria,943,12.9,13.4,12.0,9.8,6.5,8.1,20.6,6.0,3.3,7.5
19,09,12,736,,1,*Paschim Shola Pukharia,209,12.9,12.0,12.9,9.6,5.7,8.6,20.6,4.8,4.3,8.6
