0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
19,,,,,,Comilla Zila Total,1048984,9.9,15.7,73.0,1.3,21.9,54.8,20.2,3.1
19,,,,,1,Comilla Zila,884576,6.9,14.0,78.0,1.2,19.1,56.6,21.0,3.3
19,,,,,2,Comilla Zila,138065,28.0,24.5,45.4,2.1,39.5,43.9,15.1,1.5
19,,,,,3,Comilla Zila,26343,16.9,29.8,51.3,2.0,23.4,52.6,21.9,2.0
19,09,,,,,Barura Upazila Total,82440,6.8,11.2,81.0,1.0,18.5,67.4,11.6,2.5
19,09,,,,1,Barura Upazila,72692,6.4,10.5,82.0,1.1,17.4,69.1,11.0,2.5
19,09,,,,2,Barura Upazila,9748,10.0,16.3,73.3,0.4,26.1,55.1,16.2,2.7
,,,,,,Barura Paurashava,,,,,,,,,
19,09,01,,,,Ward No-01 Total,897,7.4,13.5,79.2,0.0,6.4,73.5,17.5,2.7
19,09,01,080,,2,*Bagmara,350,6.3,29.1,64.6,0.0,4.0,77.4,17.1,1.4
19,09,01,124,,2,*Belbhoj,332,7.5,0.6,91.9,0.0,4.5,69.9,24.7,0.9
19,09,01,300,,2,*Hobirgaon,125,3.2,3.2,93.6,0.0,3.2,84.8,0.8,11.2
19,09,01,820,,2,*Saudmara,50,14.0,18.0,68.0,0.0,22.0,56.0,18.0,4.0
19,09,01,908,,2,*Somargaon,40,20.0,10.0,70.0,0.0,32.5,55.0,12.5,0.0
19,09,02,,,,Ward No-02 Total,1085,24.3,18.7,56.7,0.3,59.8,32.9,7.0,0.3
19,09,02,107,,2,*Barura (Part),291,59.5,16.5,24.1,0.0,71.8,27.5,0.0,0.7
19,09,02,943,,2,*Tolagram,794,11.5,19.5,68.6,0.4,55.4,34.9,9.6,0.1
19,09,03,,,,Ward No-03 Total,1496,20.9,32.1,46.4,0.6,33.6,52.3,12.7,1.5
19,09,03,107,,2,*Barura (Part-2),1496,20.9,32.1,46.4,0.6,33.6,52.3,12.7,1.5
19,09,04,,,,Ward No-04 Total,1042,3.1,11.0,85.7,0.2,14.9,61.4,15.2,8.5
