0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
19,,,,,,Comilla Zila Total,1048984,5.6,89.3,5.1,74.9,91.3,7.4,1.3
19,,,,,1,Comilla Zila,884576,2.3,92.5,5.2,71.8,96.0,2.8,1.3
19,,,,,2,Comilla Zila,138065,24.5,71.2,4.3,92.7,64.3,34.2,1.5
19,,,,,3,Comilla Zila,26343,16.1,79.8,4.0,86.5,75.4,22.3,2.3
19,09,,,,,Barura Upazila Total,82440,0.9,95.0,4.0,61.5,97.4,1.7,0.9
19,09,,,,1,Barura Upazila,72692,0.8,95.3,4.0,59.8,98.4,0.7,0.9
19,09,,,,2,Barura Upazila,9748,2.3,93.2,4.6,74.2,90.0,9.0,1.0
,,,,,,Barura Paurashava,,,,,,,,
19,09,01,,,,Ward No-01 Total,897,1.0,98.0,1.0,68.5,99.1,0.0,0.9
19,09,01,080,,2,*Bagmara,350,0.6,97.4,2.0,68.9,100.0,0.0,0.0
19,09,01,124,,2,*Belbhoj,332,1.8,98.2,0.0,56.0,98.2,0.0,1.8
19,09,01,300,,2,*Hobirgaon,125,0.0,100.0,0.0,88.0,98.4,0.0,1.6
19,09,01,820,,2,*Saudmara,50,0.0,96.0,4.0,80.0,100.0,0.0,0.0
19,09,01,908,,2,*Somargaon,40,2.5,97.5,0.0,92.5,100.0,0.0,0.0
19,09,02,,,,Ward No-02 Total,1085,7.7,91.3,0.9,91.2,74.0,25.2,0.8
19,09,02,107,,2,*Barura (Part),291,24.7,75.3,0.0,97.9,34.4,63.6,2.1
19,09,02,943,,2,*Tolagram,794,1.5,97.2,1.3,88.7,88.5,11.1,0.4
19,09,03,,,,Ward No-03 Total,1496,7.1,92.5,0.4,91.4,63.8,34.0,2.3
19,09,03,107,,2,*Barura (Part-2),1496,7.1,92.5,0.4,91.4,63.8,34.0,2.3
19,09,04,,,,Ward No-04 Total,1042,0.1,85.4,14.5,35.9,98.7,0.3,1.1
19,09,04,280,,2,*Dakshin Panch Pukuria,86,1.2,98.8,0.0,5.8,98.8,0.0,1.2
19,09,04,516,,2,*Kamedda,253,0.0,60.5,39.5,39.1,99.2,0.4,0.4
19,09,04,600,,2,*Nayantala,445,0.0,93.7,6.3,45.4,98.4,0.4,1.1
19,09,04,655,,2,*Paschim Baraia,31,0.0,100.0,0.0,41.9,96.8,0.0,3.2
19,09,04,720,,2,*Salukia,227,0.0,89.9,10.1,24.2,98.7,0.0,1.3
19,09,05,,,,Ward No-05 Total,1101,0.2,96.4,3.5,64.2,95.1,3.3,1.6
19,09,05,360,,2,*Latifpur,218,0.0,98.2,1.8,73.9,99.5,0.5,0.0
19,09,05,469,,2,*Jinsar,421,0.2,99.8,0.0,55.8,91.2,7.4,1.4
19,09,05,550,,2,*Kalinji Para,125,0.0,92.0,8.0,51.2,99.2,0.0,0.8
19,09,05,830,,2,*Shahar Padua,337,0.3,92.6,7.1,73.3,95.5,1.2,3.3
19,09,06,,,,Ward No-06 Total,1195,0.1,90.0,10.0,74.2,99.0,0.8,0.2
19,09,06,310,,2,*Kasmi,316,0.0,84.5,15.5,67.7,99.4,0.3,0.3
19,09,06,560,,2,*Uttar Nishchintapur,77,0.0,100.0,0.0,94.8,100.0,0.0,0.0
19,09,06,610,,2,*Puran Kadba,456,0.2,98.2,1.5,80.7,99.1,0.9,0.0
19,09,06,750,,2,*Uttar Hurua,346,0.0,81.8,18.2,67.1,98.3,1.4,0.3
19,09,07,,,,Ward No-07 Total,931,1.0,92.7,6.3,86.5,98.5,1.1,0.4
19,09,07,320,,2,*Kashedda,476,1.1,91.6,7.4,84.0,99.2,0.2,0.6
19,09,07,938,,2,*Susunda,455,0.9,93.8,5.3,89.0,97.8,2.0,0.2
19,09,08,,,,Ward No-08 Total,1095,0.6,96.3,3.1,74.9,96.3,2.9,0.7
19,09,08,047,,2,*Arjuntala,477,1.5,98.3,0.2,69.2,93.3,6.5,0.2
19,09,08,600,,2,*Deora (East Part),618,0.0,94.7,5.3,79.3,98.7,0.2,1.1
19,09,09,,,,Ward No-09 Total,906,0.2,97.6,2.2,73.5,99.3,0.2,0.4
19,09,09,200,,2,*Deora (West Part),906,0.2,97.6,2.2,73.5,99.3,0.2,0.4
19,09,11,,,,Adda Union Total,5270,0.6,99.0,0.5,71.8,99.1,0.6,0.3
19,09,11,008,,1,*Adda,1381,0.4,99.5,0.1,75.5,98.3,1.7,0.0
19,09,11,008,01,1,Adda,1324,0.4,99.5,0.2,78.8,98.3,1.7,0.0
19,09,11,008,02,1,Kadirpar,35,0.0,100.0,0.0,0.0,100.0,0.0,0.0
19,09,11,008,03,1,Shola Pukuria,22,0.0,100.0,0.0,0.0,95.5,4.5,0.0
19,09,11,055,,1,*Ashwadia,174,0.0,100.0,0.0,70.1,98.3,0.0,1.7
19,09,11,099,,1,*Bara Putia,95,0.0,100.0,0.0,94.7,100.0,0.0,0.0
19,09,11,111,,1,*Bejimara,47,0.0,100.0,0.0,59.6,100.0,0.0,0.0
19,09,11,150,,1,*Bhateshwar,408,2.5,97.1,0.5,50.2,99.5,0.0,0.5
19,09,11,163,,1,*Boalia,187,0.5,99.5,0.0,84.0,100.0,0.0,0.0
19,09,11,215,,1,*Chhota Putia,76,0.0,100.0,0.0,100.0,100.0,0.0,0.0
19,09,11,254,,1,*Dakshin Krishnapur,398,0.5,99.5,0.0,77.9,98.7,0.3,1.0
19,09,11,327,,1,*Dighalia,127,2.4,97.6,0.0,32.3,100.0,0.0,0.0
19,09,11,542,,1,*Kharul,219,0.0,100.0,0.0,54.8,99.1,0.5,0.5
