0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
22,,,,,,Cox's Bazar Zila Total,415954,413402,321,2231,2289990,1169604,1120386,104
22,,,,,1,Cox's Bazar Zila,323849,322857,227,765,1790979,905902,885077,102
22,,,,,2,Cox's Bazar Zila,54407,53047,57,1303,292523,158972,133551,119
22,,,,,3,Cox's Bazar Zila,37698,37498,37,163,206488,104730,101758,103
22,16,,,,,Chakoria Upazila Total,88391,88047,56,288,474465,239198,235267,102
22,16,,,,1,Chakoria Upazila,75228,74982,48,198,401796,201870,199926,101
22,16,,,,2,Chakoria Upazila,13163,13065,8,90,72669,37328,35341,106
22,16,,,,,Chakaria Paurashava,,,,,,,,
22,16,01,,,,Ward No-01 Total,1314,1312,0,2,7471,3812,3659,104
22,16,01,410,,2,*Laksher Char (Part),1314,1312,0,2,7471,3812,3659,104
22,16,02,,,,Ward No-02 Total,1368,1363,1,4,7655,3983,3672,108
22,16,02,290,,2,*Chiringa (Part),442,438,0,4,2244,1193,1051,114
22,16,02,360,,2,*Kakara (Part),926,925,1,0,5411,2790,2621,106
22,16,03,,,,Ward No-03 Total,1508,1506,1,1,8220,4224,3996,106
22,16,03,120,,2,*Batakhali (Part),687,687,0,0,3619,1758,1861,94
22,16,03,160,,2,*Lakshyarchar (Part),625,624,1,0,3676,1985,1691,117
22,16,03,290,,2,*Chiringa (Part),196,195,0,1,925,481,444,108
22,16,04,,,,Ward No-04 Total,1595,1582,3,10,7890,4221,3669,115
22,16,04,120,,2,*Batakhali (Part),179,178,1,0,899,473,426,111
22,16,04,160,,2,*Bharamuhuri (Part),1416,1404,2,10,6991,3748,3243,116
22,16,05,,,,Ward No-05 Total,1410,1410,0,0,7949,3957,3992,99
22,16,05,395,,2,*Khariaghona (Part),595,595,0,0,3306,1634,1672,98
22,16,05,459,,2,*Karia Ghona,815,815,0,0,4643,2323,2320,100
22,16,06,,,,Ward No-06 Total,1399,1397,0,2,8051,4106,3945,104
