0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
22,,,,,,Cox's Bazar Zila Total,413402,1.5,5.9,12.7,17.6,18.1,15.9,11.5,16.9,5.5
22,,,,,1,Cox's Bazar Zila,322857,1.3,5.7,12.3,17.1,18.1,16.1,12.0,17.5,5.5
22,,,,,2,Cox's Bazar Zila,53047,2.4,7.6,15.2,20.3,18.0,14.3,9.0,13.3,5.1
22,,,,,3,Cox's Bazar Zila,37498,1.5,5.7,12.5,17.8,18.9,15.9,10.9,16.8,5.5
22,16,,,,,Chakoria Upazila Total,88047,1.6,6.1,12.7,18.2,18.7,16.1,11.4,15.2,5.3
22,16,,,,1,Chakoria Upazila,74982,1.6,6.2,12.8,18.2,18.8,16.2,11.5,14.8,5.3
22,16,,,,2,Chakoria Upazila,13065,2.1,5.6,12.0,18.0,18.2,16.0,10.6,17.4,5.5
22,16,,,,,Chakaria Paurashava,,,,,,,,,,
22,16,01,,,,Ward No-01 Total,1312,1.2,5.0,10.6,16.8,18.0,16.5,12.6,19.4,5.7
22,16,01,410,,2,*Laksher Char (Part),1312,1.2,5.0,10.6,16.8,18.0,16.5,12.6,19.4,5.7
22,16,02,,,,Ward No-02 Total,1363,1.5,4.5,11.9,19.0,18.6,15.8,9.8,18.9,5.6
22,16,02,290,,2,*Chiringa (Part),438,1.4,5.7,15.5,25.6,19.6,13.9,5.0,13.2,5.1
22,16,02,360,,2,*Kakara (Part),925,1.6,4.0,10.2,15.9,18.1,16.6,12.0,21.6,5.8
22,16,03,,,,Ward No-03 Total,1506,1.5,6.6,13.7,18.8,19.5,16.7,9.0,14.2,5.3
22,16,03,120,,2,*Batakhali (Part),687,2.2,7.7,13.2,16.2,18.6,15.7,11.5,14.8,5.3
22,16,03,160,,2,*Lakshyarchar (Part),624,1.1,5.3,11.9,20.0,20.5,18.3,7.4,15.5,5.5
22,16,03,290,,2,*Chiringa (Part),195,0.0,6.7,21.5,24.1,19.5,15.4,5.1,7.7,4.7
22,16,04,,,,Ward No-04 Total,1582,5.4,7.5,15.2,21.7,19.3,13.2,7.1,10.7,4.8
22,16,04,120,,2,*Batakhali (Part),178,6.7,7.9,16.3,20.2,16.3,14.6,4.5,13.5,5.0
22,16,04,160,,2,*Bharamuhuri (Part),1404,5.2,7.4,15.1,21.9,19.7,13.0,7.4,10.3,4.8
22,16,05,,,,Ward No-05 Total,1410,1.1,4.3,10.5,17.4,18.6,18.6,11.5,18.0,5.6
22,16,05,395,,2,*Khariaghona (Part),595,1.2,4.9,12.9,16.6,19.3,17.0,9.9,18.2,5.6
22,16,05,459,,2,*Karia Ghona,815,1.0,3.9,8.7,18.0,18.0,19.8,12.6,17.9,5.7
