0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
22,,,,,,Cox's Bazar Zila Total,747960,363643,384317,272678,20827,8094,1742,13788,288535,69083,73213
22,,,,,1,Cox's Bazar Zila,609347,294853,314494,218356,15894,7180,1482,12158,237520,57159,59598
22,,,,,2,Cox's Bazar Zila,74926,38761,36165,32089,3332,294,113,715,25603,5663,7117
22,,,,,3,Cox's Bazar Zila,63687,30029,33658,22233,1601,620,147,915,25412,6261,6498
22,16,,,,,Chakoria Upazila Total,119906,57046,62860,42679,4383,1948,349,1742,46433,10677,11695
22,16,,,,1,Chakoria Upazila,105194,50123,55071,37347,3911,1900,324,1634,40748,9242,10088
22,16,,,,2,Chakoria Upazila,14712,6923,7789,5332,472,48,25,108,5685,1435,1607
22,16,,,,,Chakaria Paurashava,,,,,,,,,,,
22,16,01,,,,Ward No-01 Total,1511,695,816,509,35,20,8,3,583,163,190
22,16,01,410,,2,*Laksher Char (Part),1511,695,816,509,35,20,8,3,583,163,190
22,16,02,,,,Ward No-02 Total,1295,619,676,441,37,8,6,17,496,153,137
22,16,02,290,,2,*Chiringa (Part),192,83,109,65,8,0,0,2,80,16,21
22,16,02,360,,2,*Kakara (Part),1103,536,567,376,29,8,6,15,416,137,116
22,16,03,,,,Ward No-03 Total,1811,852,959,680,102,5,2,14,705,153,150
22,16,03,120,,2,*Batakhali (Part),831,400,431,341,23,3,1,7,340,49,67
22,16,03,160,,2,*Lakshyarchar (Part),828,379,449,288,50,2,1,6,325,83,73
22,16,03,290,,2,*Chiringa (Part),152,73,79,51,29,0,0,1,40,21,10
22,16,04,,,,Ward No-04 Total,1019,444,575,337,39,1,1,2,353,104,182
22,16,04,120,,2,*Batakhali (Part),108,41,67,32,4,0,0,1,47,8,16
22,16,04,160,,2,*Bharamuhuri (Part),911,403,508,305,35,1,1,1,306,96,166
22,16,05,,,,Ward No-05 Total,1936,948,988,753,78,1,1,7,781,187,128
22,16,05,395,,2,*Khariaghona (Part),650,298,352,235,54,1,1,3,236,59,61
22,16,05,459,,2,*Karia Ghona,1286,650,636,518,24,0,0,4,545,128,67
22,16,06,,,,Ward No-06 Total,1383,578,805,437,59,2,4,12,543,127,199
22,16,06,160,,2,*Baramuhuri (Part),256,90,166,68,16,0,4,3,89,19,57
22,16,06,200,,2,*Nizapankhali,362,157,205,91,8,2,0,2,120,62,77
22,16,06,395,,2,*Xhariaghona(Part),765,331,434,278,35,0,0,7,334,46,65
22,16,07,,,,Ward No-07 Total,1991,937,1054,768,20,2,1,8,869,159,164
22,16,07,200,,2,*Binamara (Part),326,138,188,123,7,0,0,0,157,15,24
22,16,07,400,,2,*Palakata (Part),1444,711,733,573,12,2,1,7,601,129,119
22,16,07,710,,2,*Nij Pankhali(Part),221,88,133,72,1,0,0,1,111,15,21
22,16,08,,,,Ward No-08 Total,2056,1031,1025,802,58,7,1,22,682,200,284
22,16,08,290,,2,*Cheringa (Part),1794,914,880,718,52,7,1,13,591,176,236
22,16,08,400,,2,*Kochpara (Part),145,67,78,50,3,0,0,3,47,14,28
22,16,08,425,,2,*Khojanagar (Part),94,40,54,31,3,0,0,0,34,9,17
22,16,08,710,,2,*Nij Pankhali(Part),23,10,13,3,0,0,0,6,10,1,3
22,16,09,,,,Ward No-09 Total,1710,819,891,605,44,2,1,23,673,189,173
22,16,09,300,,2,*Digar Pankhali (Part),624,279,345,211,5,1,0,3,264,64,76
22,16,09,660,,2,*Pok-Pokuria (Part),689,342,347,259,29,1,0,11,255,71,63
22,16,09,710,,2,*Nijapankhali,397,198,199,135,10,0,1,9,154,54,34
22,16,10,,,,Badarkhali Union Total,8907,4466,4441,3320,234,318,20,132,3516,696,671
