0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
22,,,,,,Cox's Bazar Zila Total,293505,272678,20827,181055,8429,14566,1279,77057,11119
22,,,,,1,Cox's Bazar Zila,234250,218356,15894,157011,7516,9955,908,51390,7470
22,,,,,2,Cox's Bazar Zila,35421,32089,3332,12633,353,1701,183,17755,2796
22,,,,,3,Cox's Bazar Zila,23834,22233,1601,11411,560,2910,188,7912,853
22,16,,,,,Chakoria Upazila Total,47062,42679,4383,28637,2158,2468,217,11574,2008
22,16,,,,1,Chakoria Upazila,41258,37347,3911,26962,2073,2060,198,8325,1640
22,16,,,,2,Chakoria Upazila,5804,5332,472,1675,85,408,19,3249,368
22,16,,,,,Chakaria Paurashava,,,,,,,,,
22,16,01,,,,Ward No-01 Total,544,509,35,197,6,12,2,300,27
22,16,01,410,,2,*Laksher Char (Part),544,509,35,197,6,12,2,300,27
22,16,02,,,,Ward No-02 Total,478,441,37,64,7,12,0,365,30
22,16,02,290,,2,*Chiringa (Part),73,65,8,30,3,6,0,29,5
22,16,02,360,,2,*Kakara (Part),405,376,29,34,4,6,0,336,25
22,16,03,,,,Ward No-03 Total,782,680,102,139,17,29,2,512,83
22,16,03,120,,2,*Batakhali (Part),364,341,23,69,9,25,1,247,13
22,16,03,160,,2,*Lakshyarchar (Part),338,288,50,64,8,4,1,220,41
22,16,03,290,,2,*Chiringa (Part),80,51,29,6,0,0,0,45,29
22,16,04,,,,Ward No-04 Total,376,337,39,10,0,13,0,314,39
22,16,04,120,,2,*Batakhali (Part),36,32,4,0,0,0,0,32,4
22,16,04,160,,2,*Bharamuhuri (Part),340,305,35,10,0,13,0,282,35
22,16,05,,,,Ward No-05 Total,831,753,78,493,16,7,0,253,62
22,16,05,395,,2,*Khariaghona (Part),289,235,54,73,2,4,0,158,52
22,16,05,459,,2,*Karia Ghona,542,518,24,420,14,3,0,95,10
22,16,06,,,,Ward No-06 Total,496,437,59,242,15,15,6,180,38
