0,1,2,3,4,5,6,7,8,9,10,11,12
22,,,,,,Cox's Bazar Zila Total,2289990,2151958,97648,1503,37822,1059
22,,,,,1,Cox's Bazar Zila,1790979,1703486,59477,1342,26300,374
22,,,,,2,Cox's Bazar Zila,292523,259353,26886,113,5645,526
22,,,,,3,Cox's Bazar Zila,206488,189119,11285,48,5877,159
22,16,,,,,Chakoria Upazila Total,474465,442799,26142,1265,4207,52
22,16,,,,1,Chakoria Upazila,401796,376912,20382,1265,3201,36
22,16,,,,2,Chakoria Upazila,72669,65887,5760,0,1006,16
22,16,,,,,Chakaria Paurashava,,,,,,
22,16,01,,,,Ward No-01 Total,7471,7465,6,0,0,0
22,16,01,410,,2,*Laksher Char (Part),7471,7465,6,0,0,0
22,16,02,,,,Ward No-02 Total,7655,7007,622,0,26,0
22,16,02,290,,2,*Chiringa (Part),2244,1609,609,0,26,0
22,16,02,360,,2,*Kakara (Part),5411,5398,13,0,0,0
22,16,03,,,,Ward No-03 Total,8220,6613,1592,0,15,0
22,16,03,120,,2,*Batakhali (Part),3619,3081,537,0,1,0
22,16,03,160,,2,*Lakshyarchar (Part),3676,3275,401,0,0,0
22,16,03,290,,2,*Chiringa (Part),925,257,654,0,14,0
22,16,04,,,,Ward No-04 Total,7890,5549,2275,0,51,15
22,16,04,120,,2,*Batakhali (Part),899,463,430,0,6,0
22,16,04,160,,2,*Bharamuhuri (Part),6991,5086,1845,0,45,15
22,16,05,,,,Ward No-05 Total,7949,7945,4,0,0,0
22,16,05,395,,2,*Khariaghona (Part),3306,3303,3,0,0,0
22,16,05,459,,2,*Karia Ghona,4643,4642,1,0,0,0
22,16,06,,,,Ward No-06 Total,8051,7025,196,0,830,0
22,16,06,160,,2,*Baramuhuri (Part),2216,2053,128,0,35,0
22,16,06,200,,2,*Nizapankhali,1443,818,0,0,625,0
22,16,06,395,,2,*Xhariaghona(Part),4392,4154,68,0,170,0
22,16,07,,,,Ward No-07 Total,8497,8357,90,0,50,0
22,16,07,200,,2,*Binamara (Part),1685,1674,0,0,11,0
22,16,07,400,,2,*Palakata (Part),5817,5727,90,0,0,0
22,16,07,710,,2,*Nij Pankhali(Part),995,956,0,0,39,0
22,16,08,,,,Ward No-08 Total,10427,10109,286,0,31,1
22,16,08,290,,2,*Cheringa (Part),8868,8613,223,0,31,1
22,16,08,400,,2,*Kochpara (Part),916,853,63,0,0,0
22,16,08,425,,2,*Khojanagar (Part),496,496,0,0,0,0
22,16,08,710,,2,*Nij Pankhali(Part),147,147,0,0,0,0
22,16,09,,,,Ward No-09 Total,6509,5817,689,0,3,0
22,16,09,300,,2,*Digar Pankhali (Part),2435,1880,555,0,0,0
22,16,09,660,,2,*Pok-Pokuria (Part),2345,2342,0,0,3,0
22,16,09,710,,2,*Nijapankhali,1729,1595,134,0,0,0
22,16,10,,,,Badarkhali Union Total,30964,30755,198,0,11,0
22,16,10,015,,1,*Badarkhali Ghona,30964,30755,198,0,11,0
22,16,10,015,01,1,Badarkhali No.1,5691,5606,83,0,2,0
22,16,10,015,02,1,Badarkhali No.2,10116,10030,80,0,6,0
22,16,10,015,03,1,Badarkhali No.3,15157,15119,35,0,3,0
22,16,12,,,,Bamo Bilchari Union Total,8571,7689,41,348,487,6
22,16,12,061,,1,*Bamo,4558,4447,3,0,107,1
22,16,12,061,01,1,Painasha Bil,1577,1577,0,0,0,0
22,16,12,061,02,1,Bomokhola,768,768,0,0,0,0
22,16,12,061,03,1,Pukuria Khala,724,724,0,0,0,0
22,16,12,061,04,1,Fadukhola,807,805,1,0,0,1
22,16,12,061,05,1,Nandir Bil,682,573,2,0,107,0
22,16,12,183,,1,*Bilchari,4013,3242,38,348,380,5
22,16,12,183,01,1,Maiz Para,1682,1310,15,347,10,0
22,16,12,183,02,1,Purba Para,1030,655,10,1,364,0
22,16,12,183,03,1,Pachim Para,1301,1277,13,0,6,5
22,16,16,,,,Baraitali Union Total,35585,32190,3355,33,7,0
22,16,16,091,,1,*Baraitali,22288,19998,2250,33,7,0
22,16,16,091,01,1,Hindu Para,1603,8,1573,22,0,0
22,16,16,091,02,1,Katakhali,607,607,0,0,0,0
22,16,16,091,03,1,Rasulabad,1127,1127,0,0,0,0
22,16,16,091,04,1,Dingakata,1933,1933,0,0,0,0
22,16,16,091,05,1,Maiz Para,3351,3250,100,1,0,0
22,16,16,091,06,1,Kharati Para,3948,3504,432,10,2,0
22,16,16,091,07,1,Baniachhara,2212,2165,42,0,5,0
22,16,16,091,08,1,Fateh Ali Sikdar Para,1232,1232,0,0,0,0
22,16,16,091,09,1,Napit Para,547,478,69,0,0,0
22,16,16,091,10,1,Chhararkul,1895,1895,0,0,0,0
22,16,16,091,11,1,Chander Baperbari,2036,2018,18,0,0,0
22,16,16,091,12,1,Sikdar Para,1797,1781,16,0,0,0
22,16,16,719,,1,*Paharchanda,13297,12192,1105,0,0,0
22,16,16,719,01,1,Bibirkhil,4202,3114,1088,0,0,0
22,16,16,719,02,1,Gobindapur,4695,4695,0,0,0,0
22,16,16,719,03,1,Hapalia Kata,4400,4383,17,0,0,0
22,16,22,,,,Bheola Manik Char Union Total,19951,19935,10,0,0,6
22,16,22,137,,1,*Bethua,4483,4481,0,0,0,2
22,16,22,137,01,1,Khanjanir Ghona,1177,1177,0,0,0,0
22,16,22,137,02,1,Chhai Number Para,1412,1411,0,0,0,1
22,16,22,137,03,1,Konayer Jumpara,680,679,0,0,0,1
22,16,22,137,04,1,Mobin Para,1214,1214,0,0,0,0
22,16,22,168,,1,*Bheola Manik Char,15468,15454,10,0,0,4
22,16,22,168,01,1,Krishanpur,1339,1339,0,0,0,0
22,16,22,168,02,1,Noapara,1256,1248,4,0,0,4
22,16,22,168,03,1,Dakshin Bahaddarkata,2257,2257,0,0,0,0
22,16,22,168,04,1,Uttar Bahaddarkata,4052,4052,0,0,0,0
22,16,22,168,05,1,Puchhala Para,1193,1193,0,0,0,0
22,16,22,168,06,1,Haci Sikdar Para,669,669,0,0,0,0
22,16,22,168,07,1,Paharia Para,2804,2798,6,0,0,0
22,16,22,168,08,1,Bethuarkul,1898,1898,0,0,0,0
22,16,27,,,,Chiringa Union Total,15745,15486,259,0,0,0
22,16,27,214,,1,*Charamdwip,4463,4463,0,0,0,0
22,16,27,734,,1,*Palakata (Part),11282,11023,259,0,0,0
22,16,27,734,01,1,Palakata,3336,3336,0,0,0,0
22,16,27,734,02,1,Buri Pukur,3613,3354,259,0,0,0
22,16,27,734,03,1,Sadagarghona,4333,4333,0,0,0,0
22,16,31,,,,Demusia Union Total,12366,12293,73,0,0,0
22,16,31,260,,1,*Demusia,12366,12293,73,0,0,0
22,16,31,260,01,1,Hatalia Para,1109,1053,56,0,0,0
22,16,31,260,02,1,Shokri Tekka Para,2156,2156,0,0,0,0
22,16,31,260,03,1,Jamider Para,1415,1414,1,0,0,0
22,16,31,260,04,1,Muchar Para,504,504,0,0,0,0
22,16,31,260,05,1,Noapara,840,840,0,0,0,0
22,16,31,260,06,1,Bazar Para,945,929,16,0,0,0
22,16,31,260,07,1,Ammer Dera,1307,1307,0,0,0,0
22,16,31,260,08,1,Khas Para,1278,1278,0,0,0,0
22,16,31,260,09,1,Daskhali Para,545,545,0,0,0,0
22,16,31,260,10,1,Gandi Para,1209,1209,0,0,0,0
22,16,31,260,11,1,Techapara,1058,1058,0,0,0,0
22,16,33,,,,Dulahazara Union Total,42904,37771,4197,872,48,16
22,16,33,030,,1,*Bagachari,9827,8253,1537,5,32,0
22,16,33,030,01,1,Rangmahal,8355,7276,1074,5,0,0
22,16,33,030,02,1,Mogchhara Jum,1088,593,463,0,32,0
22,16,33,030,03,1,Bagachari,384,384,0,0,0,0
22,16,33,290,,1,*Dulahazara,22140,20363,1771,5,1,0
22,16,33,290,01,1,Domkhali,6443,6213,225,5,0,0
22,16,33,290,02,1,Katakhali,1924,1924,0,0,0,0
22,16,33,290,03,1,Ulobonia,3095,3033,62,0,0,0
22,16,33,290,04,1,Uttarpara,1698,1340,357,0,1,0
22,16,33,290,05,1,Maiz Para,1924,1609,315,0,0,0
22,16,33,290,06,1,Balur Char,717,717,0,0,0,0
22,16,33,290,07,1,Sholoisha,1224,1224,0,0,0,0
22,16,33,290,08,1,Bairagir Khal,2310,2309,1,0,0,0
22,16,33,290,09,1,Dakshin Hindu Para,603,87,516,0,0,0
22,16,33,290,10,1,Naya Para,1843,1548,295,0,0,0
22,16,33,290,11,1,Mouluvi Kata,359,359,0,0,0,0
22,16,33,704,,1,*Pagalir Bil,2334,2192,142,0,0,0
22,16,33,704,01,1,Pagalir Bil,706,629,77,0,0,0
22,16,33,704,02,1,Bilager Para,1126,1126,0,0,0,0
22,16,33,704,03,1,Ali Barjum/Konapara,502,437,65,0,0,0
22,16,33,887,,1,*Ringbhang,8603,6963,747,862,15,16
22,16,33,887,01,1,Sagirshahkata,4142,3800,341,0,0,1
22,16,33,887,02,1,Chabagan,3340,2450,119,748,8,15
22,16,33,887,03,1,Malumghat,1121,713,287,114,7,0
22,16,39,,,,Purba Barabheola Union Total,28248,27374,873,0,1,0
22,16,39,795,,1,*Purba Barabheola(Part),28248,27374,873,0,1,0
22,16,39,795,01,1,Eidmoni Ghona,4770,4668,102,0,0,0
22,16,39,795,02,1,K.Amiajir Para,1315,1315,0,0,0,0
22,16,39,795,03,1,Sikdar Para,3130,3130,0,0,0,0
22,16,39,795,04,1,Char Para,2332,2332,0,0,0,0
22,16,39,795,05,1,Kalagazi Sikdar Para,1139,1137,2,0,0,0
22,16,39,795,06,1,Maiz Para,2318,2315,2,0,1,0
22,16,39,795,07,1,Bamon Para,1072,988,84,0,0,0
