0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
26,,,,,,Dhaka Zila Total,2786133,2639630,5578,140925,12043977,6555792,5488185,119
26,,,,,1,Dhaka Zila,648886,635773,650,12463,2726934,1409754,1317180,107
26,,,,,2,Dhaka Zila,1684986,1569197,4303,111486,7423137,4119728,3303409,125
26,,,,,3,Dhaka Zila,452261,434660,625,16976,1893906,1026310,867596,118
26,02,,,,,Adabor Thana Total,49600,47642,71,1887,203989,109354,94635,116
26,02,,,,2,Adabor Thana,49600,47642,71,1887,203989,109354,94635,116
26,02,43,,,,Ward No-43 Total,45761,43895,64,1802,186639,100568,86071,117
26,02,43,215,,2,*Adarsha Chaya Nir,122,79,0,43,575,374,201,186
26,02,43,217,,2,*Akkas Nagar,309,286,0,23,1145,603,542,111
26,02,43,265,,2,*Baitul Aman(Part-1),5654,5408,24,222,24910,13281,11629,114
26,02,43,266,,2,*Baitul Aman(Part-2),952,944,1,7,3652,1883,1769,106
26,02,43,283,,2,*Chanrima Housing,38,37,1,0,154,85,69,123
26,02,43,285,,2,*Chowdhury Gali Lane,472,471,0,1,1658,786,872,90
26,02,43,293,,2,*Comfort Housing Society,2110,2054,0,56,8850,4726,4124,115
26,02,43,295,,2,*Dhaka Housing Society,662,644,0,18,2776,1401,1375,102
26,02,43,298,,2,*Dhaka Uddhyan,3541,3427,2,112,13395,7335,6060,121
26,02,43,314,,2,*Ekota Housing Society,109,107,0,2,423,224,199,113
26,02,43,326,,2,*Golden Street Housing Society,764,642,3,119,3265,2139,1126,190
26,02,43,338,,2,*Holly Lane Housing Society,266,235,1,30,1033,557,476,117
26,02,43,347,,2,*Hosnabad State,180,147,0,33,841,490,351,140
26,02,43,353,,2,*Hossain Housing Society,100,97,1,2,457,232,225,103
26,02,43,412,,2,*Janata Housing Society,263,238,2,23,1163,660,503,131
26,02,43,436,,2,*Mehedi Bag,1230,1188,0,42,4516,2421,2095,116
26,02,43,446,,2,*Mofiz Housing And Balumat,506,501,0,5,2058,1068,990,108
26,02,43,477,,2,*Mohan Pur,665,521,2,142,3167,2079,1088,191
26,02,43,485,,2,*Monsurabad Housing Society,1705,1691,0,14,6120,3233,2887,112
26,02,43,511,,2,*Nabinagar Housing,1935,1861,3,71,7417,4106,3311,124
26,02,43,513,,2,*Naboudhoy Housing Society,4751,4560,2,189,20356,10794,9562,113
26,02,43,614,,2,*Pisiculture Housing Society,5678,5439,9,230,24140,12684,11456,111
26,02,43,626,,2,*Probal Housing Society,200,185,3,12,969,509,460,111
26,02,43,638,,2,*Prominent Housing Society,217,217,0,0,1034,482,552,87
26,02,43,645,,2,*Provati Housing,330,326,0,4,1309,684,625,109
26,02,43,646,,2,*Balu Mat Malik Samitee,385,383,0,2,1590,838,752,111
26,02,43,647,,2,*Rafique Housing Society,1604,1499,4,101,6874,3793,3081,123
26,02,43,713,,2,*Shyamoly Housing Society,3088,3033,0,55,12633,6800,5833,117
26,02,43,741,,2,*Sunibir Housing Society,2949,2873,0,76,11600,6167,5433,114
26,02,43,811,,2,*Turag Housing,738,657,0,81,2658,1477,1181,125
26,02,43,898,,2,*Unique Housing Society,150,148,0,2,633,326,307,106
26,02,43,950,,2,*Uttar Adabor,4088,3997,6,85,15268,8331,6937,120
26,02,46,,,,Ward No-46 (Part) Total,3839,3747,7,85,17350,8786,8564,103
26,02,46,464,,2,*Japan Garden City,1270,1266,0,4,5975,2835,3140,90
26,02,46,564,,2,*Mohammadi H.Society,2569,2481,7,81,11375,5951,5424,110
26,04,,,,,Badda Thana Total,129673,120190,237,9246,536621,302228,234393,129
26,04,,,,2,Badda Thana,46066,41792,136,4138,190761,109665,81096,135
26,04,,,,3,Badda Thana,83607,78398,101,5108,345860,192563,153297,126
26,04,13,,,,Badda Union Total,43690,41336,61,2293,180554,99794,80760,124
26,04,13,590,,3,*Badda,37155,35051,56,2048,153569,84949,68620,124
26,04,13,590,01,3,Ananda Nagar,2324,2220,4,100,10199,5613,4586,122
26,04,13,590,02,3,Chaitan Tali,989,963,1,25,4313,2316,1997,116
26,04,13,590,03,3,Dakshin Ananda Nagar,816,793,1,22,3394,1827,1567,117
26,04,13,590,04,3,Tekpara,785,778,0,7,3396,1828,1568,117
26,04,13,590,05,3,D I T Housing Area,3160,2835,7,318,13328,7546,5782,131
26,04,13,590,06,3,Sonakatra,3040,2975,0,65,12623,6695,5928,113
26,04,13,590,07,3,Purba Badda Namapara,8680,8340,7,333,34453,18773,15680,120
26,04,13,590,08,3,Madhya Badda Purba,3099,2962,1,136,12512,6675,5837,114
26,04,13,590,09,3,Adarsa Nagar,4429,4128,5,296,17685,9720,7965,122
26,04,13,590,10,3,Satar Kul Road Mahallah,1885,1807,4,74,7872,4361,3511,124
26,04,13,590,11,3,Sadinatha Sarani Road,5358,4848,22,488,22477,12987,9490,137
26,04,13,590,12,3,Mayner Bag,2071,1905,4,162,8661,5011,3650,137
26,04,13,590,13,3,Daukandi,123,121,0,2,693,359,334,107
26,04,13,590,14,3,Aftab Nagar,294,276,0,18,1501,997,504,198
26,04,13,590,15,3,Indulia,102,100,0,2,462,241,221,109
26,04,13,895,,3,*Sutibhola Part-2,6535,6285,5,245,26985,14845,12140,122
26,04,13,895,01,3,Misritola,1120,1090,1,29,4861,2601,2260,115
26,04,13,895,02,3,Hazipara,1543,1470,0,73,6067,3350,2717,123
26,04,13,895,03,3,Abdulla Bag,1890,1811,1,78,7863,4450,3413,130
26,04,13,895,04,3,Purba Chal,1982,1914,3,65,8194,4444,3750,119
26,04,17,,,,Ward No-17 (Part) Total,22289,19654,92,2543,94650,55663,38987,143
26,04,17,200,,2,*Basundhara R/A Prokalpa,4327,3649,14,664,21159,12711,8448,150
26,04,17,425,,2,*Jagannathpur,3934,3317,31,586,17053,10778,6275,172
26,04,17,502,,2,*Kuril (UttarMadhya & Dakshin),7407,6857,26,524,30174,17074,13100,130
26,04,17,650,,2,*Olipara,783,744,0,39,3249,1721,1528,113
26,04,17,675,,2,*Joar Shewra Bazar,4602,4104,9,489,18334,10443,7891,132
26,04,17,679,,2,*Joar Shewra Kha Para,1236,983,12,241,4681,2936,1745,168
26,04,19,,,,Beraid Union Total,3121,3115,0,6,14949,7756,7193,108
26,04,19,124,,3,*Bara Beraid,2667,2663,0,4,12700,6581,6119,108
26,04,19,124,01,3,Chandar Tek,147,147,0,0,779,409,370,111
26,04,19,124,02,3,Moral Para,359,359,0,0,1756,905,851,106
26,04,19,124,03,3,Araddapura,202,201,0,1,886,480,406,118
26,04,19,124,04,3,Ashkertek,145,145,0,0,699,364,335,109
26,04,19,124,05,3,Chinadi Para,366,366,0,0,1730,907,823,110
26,04,19,124,06,3,Purbapara,463,463,0,0,2228,1124,1104,102
26,04,19,124,07,3,Rishipara,357,357,0,0,1603,818,785,104
26,04,19,124,08,3,Bhuiyanpara,357,354,0,3,1655,851,804,106
26,04,19,124,09,3,Agar Para,271,271,0,0,1364,723,641,113
26,04,19,288,,3,*Chhota Beraid,217,216,0,1,1074,547,527,104
26,04,19,562,,3,*Nigur Aplaid (Fakirkhali),237,236,0,1,1175,628,547,115
26,04,21,,,,Ward No-21 Total,23777,22138,44,1595,96111,54002,42109,128
26,04,21,315,,2,*Dakshin Badda Paschim,6915,6547,15,353,26812,14858,11954,124
26,04,21,590,,2,*Madhya Badda Paschim,7508,6635,3,870,30354,17144,13210,130
26,04,21,685,,2,*Madhya Badda Purba,646,574,12,60,3109,1999,1110,180
26,04,21,775,,2,*Paschim Merul,1712,1698,5,9,7257,4034,3223,125
26,04,21,866,,2,*Madhya Badda (Dakshin-Purba),944,897,0,47,3655,2059,1596,129
26,04,21,892,,2,*Purba Merul,822,794,1,27,3269,1992,1277,156
26,04,21,925,,2,*Uttar Badda (Paschim),4275,4062,2,211,17654,9688,7966,122
26,04,21,976,,2,*Uttar Badda (Purba),955,931,6,18,4001,2228,1773,126
26,04,57,,,,Bhatara Union Total,31214,28536,37,2641,126694,72469,54225,134
26,04,57,199,,3,*Bhatara,31214,28536,37,2641,126694,72469,54225,134
26,04,57,199,01,3,Bhatara,5676,5347,5,324,22739,12827,9912,129
26,04,57,199,02,3,Solamaid,5426,5085,9,332,21908,12047,9861,122
26,04,57,199,03,3,Nayanagar,5537,4789,8,740,21093,12660,8433,150
26,04,57,199,04,3,Nurer Chala,7829,7246,8,575,32463,18279,14184,129
26,04,57,199,05,3,Khilbarir Tek,6746,6069,7,670,28491,16656,11835,141
26,04,82,,,,Satarkul Union Total,5582,5411,3,168,23663,12544,11119,113
26,04,82,870,,3,*Satarkul,2338,2306,1,31,10127,5316,4811,110
26,04,82,870,01,3,Satarkul Pukurpara,337,332,1,4,1445,770,675,114
26,04,82,870,02,3,Satarkul Taltala,350,344,0,6,1437,773,664,116
26,04,82,870,04,3,Satarkul Uttar Para(East Part),336,336,0,0,1439,734,705,104
26,04,82,870,05,3,Satarkul Dakshin Para,342,337,0,5,1501,785,716,110
26,04,82,870,06,3,Mogadia,240,240,0,0,1133,565,568,99
26,04,82,870,07,3,Bengartek (Islambag),557,541,0,16,2342,1231,1111,111
26,04,82,870,08,3,Pachkhola,102,102,0,0,517,258,259,100
26,04,82,870,09,3,Merulkhola,74,74,0,0,313,200,113,177
26,04,82,895,,3,*Sutibhola (Part-1),3244,3105,2,137,13536,7228,6308,115
26,04,82,895,01,3,Padaridia Paschim,1746,1694,0,52,7199,3733,3466,108
26,04,82,895,02,3,Padaridia Purba,1498,1411,2,85,6337,3495,2842,123
26,05,,,,,Bangshal Thana Total,35410,29711,424,5275,186952,120382,66570,181
26,05,,,,2,Bangshal Thana,35410,29711,424,5275,186952,120382,66570,181
26,05,63,,,,Ward No-63 (Part) Total,457,436,3,18,2802,1553,1249,124
26,05,63,808,,2,*Nazimuddin Road,457,436,3,18,2802,1553,1249,124
26,05,66,,,,Ward No-66 (Part) Total,881,646,9,226,5878,3500,2378,147
26,05,66,075,,2,*Babu Bazar (Commity Ganj),13,9,0,4,75,49,26,188
26,05,66,680,,2,*Mitford Road,242,159,7,76,2255,1082,1173,92
26,05,66,870,,2,*Nalgola,265,146,2,117,1641,1281,360,356
26,05,66,899,,2,*Rajoni Basu Lane,361,332,0,29,1907,1088,819,133
26,05,67,,,,Ward No-67 (Part) Total,2959,2723,11,225,15856,9187,6669,138
