0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
26,,,,,,Dhaka Zila Total,69767,67028,274028,264213,464762,430802,131178,125145,323163,307217,127705,123806
26,,,,,1,Dhaka Zila,12813,12485,73144,70494,116945,109627,33992,30736,77876,76643,26722,19071
26,,,,,2,Dhaka Zila,45453,43450,149811,144738,267330,245497,73047,72832,191971,179170,79266,87711
26,,,,,3,Dhaka Zila,11501,11093,51073,48981,80487,75678,24139,21577,53316,51404,21717,17024
26,02,,,,,Adabor Thana Total,1300,1182,4969,4896,7209,6550,3000,3022,4585,4090,2380,3445
26,02,,,,2,Adabor Thana,1300,1182,4969,4896,7209,6550,3000,3022,4585,4090,2380,3445
26,02,43,,,,Ward No-43 Total,1130,1035,4725,4651,6542,6058,2887,2843,4055,3642,2289,3055
26,02,43,215,,2,*Adarsha Chaya Nir,2,3,3,3,20,8,5,2,9,11,2,5
26,02,43,217,,2,*Akkas Nagar,0,3,30,29,32,35,42,58,11,14,13,19
26,02,43,265,,2,*Baitul Aman(Part-1),186,165,516,477,834,787,228,272,649,506,256,487
26,02,43,266,,2,*Baitul Aman(Part-2),26,13,128,132,154,168,47,39,72,129,26,15
26,02,43,283,,2,*Chanrima Housing,1,1,5,3,4,9,4,5,6,4,2,0
26,02,43,285,,2,*Chowdhury Gali Lane,3,6,21,36,49,46,10,4,38,69,0,15
26,02,43,293,,2,*Comfort Housing Society,57,51,273,265,391,358,158,160,215,196,142,170
26,02,43,295,,2,*Dhaka Housing Society,20,14,54,51,83,71,45,42,56,61,32,74
26,02,43,298,,2,*Dhaka Uddhyan,65,64,429,429,485,416,264,288,259,181,163,168
26,02,43,314,,2,*Ekota Housing Society,0,0,15,12,9,13,15,18,5,7,13,12
26,02,43,326,,2,*Golden Street Housing Society,25,21,48,47,111,64,13,23,80,45,32,35
26,02,43,338,,2,*Holly Lane Housing Society,11,10,6,10,30,23,2,8,24,13,5,10
26,02,43,347,,2,*Hosnabad State,0,1,11,10,16,7,21,14,8,15,10,14
26,02,43,353,,2,*Hossain Housing Society,9,5,2,5,14,10,0,9,10,11,0,11
26,02,43,412,,2,*Janata Housing Society,10,6,30,8,26,35,6,7,28,25,12,29
26,02,43,436,,2,*Mehedi Bag,6,6,133,144,116,99,114,123,48,44,69,93
26,02,43,446,,2,*Mofiz Housing And Balumat,3,5,69,73,82,64,76,63,43,25,47,43
26,02,43,477,,2,*Mohan Pur,19,16,50,44,85,94,18,20,55,42,31,27
26,02,43,485,,2,*Monsurabad Housing Society,58,32,124,137,200,194,45,60,138,123,43,94
26,02,43,511,,2,*Nabinagar Housing,48,31,265,246,300,226,195,165,149,113,126,121
26,02,43,513,,2,*Naboudhoy Housing Society,108,117,579,586,633,737,411,366,410,445,302,356
26,02,43,614,,2,*Pisiculture Housing Society,245,230,350,402,955,744,131,215,579,515,154,471
26,02,43,626,,2,*Probal Housing Society,7,11,8,6,41,26,4,9,64,36,5,19
26,02,43,638,,2,*Prominent Housing Society,9,14,12,13,30,27,0,5,28,21,8,26
26,02,43,645,,2,*Provati Housing,2,0,61,58,37,47,67,51,21,13,45,22
26,02,43,646,,2,*Balu Mat Malik Samitee,3,3,59,70,57,49,60,39,13,27,50,24
26,02,43,647,,2,*Rafique Housing Society,19,28,194,191,245,244,129,116,199,131,105,122
26,02,43,713,,2,*Shyamoly Housing Society,68,53,379,371,453,432,255,230,251,249,206,196
26,02,43,741,,2,*Sunibir Housing Society,46,62,410,346,457,418,266,204,214,228,204,165
26,02,43,811,,2,*Turag Housing,7,3,98,66,56,58,95,117,26,20,56,58
