0,1,2,3,4,5,6,7,8,9,10,11,12
26,,,,,,Dhaka Zila Total,12043977,11400096,566368,62064,13267,2182
26,,,,,1,Dhaka Zila,2726934,2500467,213326,10172,2607,362
26,,,,,2,Dhaka Zila,7423137,7061305,302416,47816,9973,1627
26,,,,,3,Dhaka Zila,1893906,1838324,50626,4076,687,193
26,02,,,,,Adabor Thana Total,203989,200107,3281,404,156,41
26,02,,,,2,Adabor Thana,203989,200107,3281,404,156,41
26,02,43,,,,Ward No-43 Total,186639,183452,2818,228,107,34
26,02,43,215,,2,*Adarsha Chaya Nir,575,537,24,3,11,0
26,02,43,217,,2,*Akkas Nagar,1145,1142,3,0,0,0
26,02,43,265,,2,*Baitul Aman(Part-1),24910,24351,502,35,20,2
26,02,43,266,,2,*Baitul Aman(Part-2),3652,3619,33,0,0,0
26,02,43,283,,2,*Chanrima Housing,154,153,1,0,0,0
26,02,43,285,,2,*Chowdhury Gali Lane,1658,1599,51,7,1,0
26,02,43,293,,2,*Comfort Housing Society,8850,8771,71,8,0,0
26,02,43,295,,2,*Dhaka Housing Society,2776,2690,78,2,6,0
26,02,43,298,,2,*Dhaka Uddhyan,13395,13314,75,6,0,0
26,02,43,314,,2,*Ekota Housing Society,423,423,0,0,0,0
26,02,43,326,,2,*Golden Street Housing Society,3265,3140,124,0,1,0
26,02,43,338,,2,*Holly Lane Housing Society,1033,984,45,4,0,0
26,02,43,347,,2,*Hosnabad State,841,824,15,1,1,0
26,02,43,353,,2,*Hossain Housing Society,457,450,7,0,0,0
26,02,43,412,,2,*Janata Housing Society,1163,1126,12,5,13,7
26,02,43,436,,2,*Mehedi Bag,4516,4483,32,1,0,0
26,02,43,446,,2,*Mofiz Housing And Balumat,2058,2052,6,0,0,0
26,02,43,477,,2,*Mohan Pur,3167,3103,51,0,13,0
26,02,43,485,,2,*Monsurabad Housing Society,6120,5998,103,13,5,1
26,02,43,511,,2,*Nabinagar Housing,7417,7367,50,0,0,0
26,02,43,513,,2,*Naboudhoy Housing Society,20356,20046,279,28,3,0
26,02,43,614,,2,*Pisiculture Housing Society,24140,23335,684,72,31,18
26,02,43,626,,2,*Probal Housing Society,969,928,20,16,1,4
26,02,43,638,,2,*Prominent Housing Society,1034,1005,18,11,0,0
26,02,43,645,,2,*Provati Housing,1309,1306,3,0,0,0
26,02,43,646,,2,*Balu Mat Malik Samitee,1590,1586,4,0,0,0
26,02,43,647,,2,*Rafique Housing Society,6874,6784,88,0,1,1
26,02,43,713,,2,*Shyamoly Housing Society,12633,12528,105,0,0,0
26,02,43,741,,2,*Sunibir Housing Society,11600,11509,91,0,0,0
26,02,43,811,,2,*Turag Housing,2658,2640,10,8,0,0
26,02,43,898,,2,*Unique Housing Society,633,622,11,0,0,0
26,02,43,950,,2,*Uttar Adabor,15268,15037,222,8,0,1
26,02,46,,,,Ward No-46 (Part) Total,17350,16655,463,176,49,7
26,02,46,464,,2,*Japan Garden City,5975,5738,209,19,9,0
26,02,46,564,,2,*Mohammadi H.Society,11375,10917,254,157,40,7
26,04,,,,,Badda Thana Total,536621,510467,19799,5427,727,201
26,04,,,,2,Badda Thana,190761,180481,6820,3048,303,109
26,04,,,,3,Badda Thana,345860,329986,12979,2379,424,92
26,04,13,,,,Badda Union Total,180554,174855,4877,574,232,16
26,04,13,590,,3,*Badda,153569,148551,4413,376,218,11
26,04,13,590,01,3,Ananda Nagar,10199,9870,322,0,7,0
26,04,13,590,02,3,Chaitan Tali,4313,3987,326,0,0,0
26,04,13,590,03,3,Dakshin Ananda Nagar,3394,3380,14,0,0,0
26,04,13,590,04,3,Tekpara,3396,2491,899,6,0,0
26,04,13,590,05,3,D I T Housing Area,13328,12509,608,38,172,1
26,04,13,590,06,3,Sonakatra,12623,12001,606,4,12,0
26,04,13,590,07,3,Purba Badda Namapara,34453,33993,444,14,2,0
26,04,13,590,08,3,Madhya Badda Purba,12512,12245,232,31,4,0
26,04,13,590,09,3,Adarsa Nagar,17685,17372,277,33,3,0
26,04,13,590,10,3,Satar Kul Road Mahallah,7872,7683,130,47,4,8
26,04,13,590,11,3,Sadinatha Sarani Road,22477,22012,345,106,12,2
26,04,13,590,12,3,Mayner Bag,8661,8367,195,97,2,0
26,04,13,590,13,3,Daukandi,693,692,1,0,0,0
26,04,13,590,14,3,Aftab Nagar,1501,1488,13,0,0,0
26,04,13,590,15,3,Indulia,462,461,1,0,0,0
26,04,13,895,,3,*Sutibhola Part-2,26985,26304,464,198,14,5
26,04,13,895,01,3,Misritola,4861,4623,123,100,10,5
26,04,13,895,02,3,Hazipara,6067,5943,70,50,4,0
26,04,13,895,03,3,Abdulla Bag,7863,7671,156,36,0,0
26,04,13,895,04,3,Purba Chal,8194,8067,115,12,0,0
26,04,17,,,,Ward No-17 (Part) Total,94650,89745,2715,1983,161,46
26,04,17,200,,2,*Basundhara R/A Prokalpa,21159,20242,550,302,40,25
26,04,17,425,,2,*Jagannathpur,17053,15456,535,1007,53,2
26,04,17,502,,2,*Kuril (UttarMadhya & Dakshin),30174,29006,816,291,42,19
26,04,17,650,,2,*Olipara,3249,2859,148,235,7,0
26,04,17,675,,2,*Joar Shewra Bazar,18334,17622,568,131,13,0
26,04,17,679,,2,*Joar Shewra Kha Para,4681,4560,98,17,6,0
26,04,19,,,,Beraid Union Total,14949,13434,1515,0,0,0
26,04,19,124,,3,*Bara Beraid,12700,11233,1467,0,0,0
26,04,19,124,01,3,Chandar Tek,779,755,24,0,0,0
26,04,19,124,02,3,Moral Para,1756,1686,70,0,0,0
26,04,19,124,03,3,Araddapura,886,801,85,0,0,0
26,04,19,124,04,3,Ashkertek,699,699,0,0,0,0
26,04,19,124,05,3,Chinadi Para,1730,1726,4,0,0,0
26,04,19,124,06,3,Purbapara,2228,1944,284,0,0,0
26,04,19,124,07,3,Rishipara,1603,708,895,0,0,0
26,04,19,124,08,3,Bhuiyanpara,1655,1550,105,0,0,0
26,04,19,124,09,3,Agar Para,1364,1364,0,0,0,0
26,04,19,288,,3,*Chhota Beraid,1074,1026,48,0,0,0
26,04,19,562,,3,*Nigur Aplaid (Fakirkhali),1175,1175,0,0,0,0
26,04,21,,,,Ward No-21 Total,96111,90736,4105,1065,142,63
26,04,21,315,,2,*Dakshin Badda Paschim,26812,25992,709,74,29,8
26,04,21,590,,2,*Madhya Badda Paschim,30354,29267,837,200,47,3
26,04,21,685,,2,*Madhya Badda Purba,3109,2962,110,29,4,4
26,04,21,775,,2,*Paschim Merul,7257,6107,1145,5,0,0
26,04,21,866,,2,*Madhya Badda (Dakshin-Purba),3655,3486,124,13,32,0
26,04,21,892,,2,*Purba Merul,3269,2598,651,12,8,0
26,04,21,925,,2,*Uttar Badda (Paschim),17654,16462,433,698,17,44
26,04,21,976,,2,*Uttar Badda (Purba),4001,3862,96,34,5,4
26,04,57,,,,Bhatara Union Total,126694,119153,5537,1737,191,76
26,04,57,199,,3,*Bhatara,126694,119153,5537,1737,191,76
26,04,57,199,01,3,Bhatara,22739,18976,3220,532,11,0
26,04,57,199,02,3,Solamaid,21908,21358,321,224,1,4
26,04,57,199,03,3,Nayanagar,21093,20301,397,327,50,18
26,04,57,199,04,3,Nurer Chala,32463,31096,905,350,71,41
26,04,57,199,05,3,Khilbarir Tek,28491,27422,694,304,58,13
26,04,82,,,,Satarkul Union Total,23663,22544,1050,68,1,0
26,04,82,870,,3,*Satarkul,10127,9349,777,0,1,0
26,04,82,870,01,3,Satarkul Pukurpara,1445,1443,2,0,0,0
26,04,82,870,02,3,Satarkul Taltala,1437,1437,0,0,0,0
26,04,82,870,04,3,Satarkul Uttar Para(East Part),1439,1407,32,0,0,0
26,04,82,870,05,3,Satarkul Dakshin Para,1501,1496,4,0,1,0
26,04,82,870,06,3,Mogadia,1133,1133,0,0,0,0
26,04,82,870,07,3,Bengartek (Islambag),2342,2014,328,0,0,0
26,04,82,870,08,3,Pachkhola,517,130,387,0,0,0
26,04,82,870,09,3,Merulkhola,313,289,24,0,0,0
26,04,82,895,,3,*Sutibhola (Part-1),13536,13195,273,68,0,0
26,04,82,895,01,3,Padaridia Paschim,7199,7016,150,33,0,0
26,04,82,895,02,3,Padaridia Purba,6337,6179,123,35,0,0
26,05,,,,,Bangshal Thana Total,186952,181672,5233,43,2,2
26,05,,,,2,Bangshal Thana,186952,181672,5233,43,2,2
26,05,63,,,,Ward No-63 (Part) Total,2802,2748,54,0,0,0
26,05,63,808,,2,*Nazimuddin Road,2802,2748,54,0,0,0
26,05,66,,,,Ward No-66 (Part) Total,5878,5352,516,9,1,0
26,05,66,075,,2,*Babu Bazar (Commity Ganj),75,74,1,0,0,0
26,05,66,680,,2,*Mitford Road,2255,2008,243,3,1,0
26,05,66,870,,2,*Nalgola,1641,1530,111,0,0,0
26,05,66,899,,2,*Rajoni Basu Lane,1907,1740,161,6,0,0
26,05,67,,,,Ward No-67 (Part) Total,15856,15395,456,5,0,0
26,05,67,035,,2,*Abul Hasnat Road (Part),1177,1174,3,0,0,0
26,05,67,040,,2,*Abul Khairat Road,2145,2093,52,0,0,0
26,05,67,084,,2,*Armanian Street,1468,1385,82,1,0,0
26,05,67,087,,2,*Azizullah Road,64,59,5,0,0,0
26,05,67,110,,2,*A.C.Roy Road,515,486,29,0,0,0
26,05,67,112,,2,*D.C.Roy Road,998,844,150,4,0,0
26,05,67,162,,2,*Gulam Mustafa Lane,1281,1272,9,0,0,0
26,05,67,175,,2,*Begum Bazar (Part),330,322,8,0,0,0
26,05,67,253,,2,*Kedar Nath Dey Lane,320,316,4,0,0,0
26,05,67,269,,2,*K.M. Azam Lane,1700,1692,8,0,0,0
26,05,67,825,,2,*Nurbaksh Lane,1672,1649,23,0,0,0
26,05,67,875,,2,*Nabalak Mia Lane,620,610,10,0,0,0
26,05,67,901,,2,*Paddalochan Roy Lane,566,562,4,0,0,0
26,05,67,920,,2,*Purba Becharam Dewri,2386,2334,52,0,0,0
26,05,67,950,,2,*S.C.C. Road (Part),614,597,17,0,0,0
26,05,68,,,,Ward No-68(Part) Total,22616,22391,216,9,0,0
26,05,68,195,,2,*Bagdasha Lane,3021,3013,6,2,0,0
26,05,68,207,,2,*Dakshin Bangsal Rd.(Makim Bzr,1986,1982,4,0,0,0
26,05,68,215,,2,*Dakshin K.P. Ghosh Lane,1023,999,20,4,0,0
26,05,68,497,,2,*Gobinda Das Lane,1086,1064,19,3,0,0
26,05,68,537,,2,*Haji A.Rashid Lane,1642,1633,9,0,0,0
26,05,68,568,,2,*Uttar K.P. Ghosh Lane,4211,4140,71,0,0,0
26,05,68,575,,2,*Kazimuddin Siddique Lane,694,692,2,0,0,0
26,05,68,597,,2,*Kashaitali,2874,2837,37,0,0,0
26,05,68,950,,2,*S.C.C. Road (Part),2931,2894,37,0,0,0
26,05,68,960,,2,*Samserabad,3148,3137,11,0,0,0
26,05,69,,,,Ward No-69 Total,65289,62256,3026,7,0,0
26,05,69,035,,2,*Abul Hasnat Road (Part),6213,6165,48,0,0,0
26,05,69,106,,2,*Agamashi Lane,9301,9252,49,0,0,0
26,05,69,125,,2,*Aga Sadeque Lane,15011,12574,2434,3,0,0
26,05,69,130,,2,*Ali Naki Deuri,2661,2633,27,1,0,0
26,05,69,204,,2,*Abdul Hadi Lane,5476,5457,19,0,0,0
26,05,69,205,,2,*B.K.Ganguli Lane(Kayettul,4395,4179,216,0,0,0
26,05,69,210,,2,*Chankharpool,4761,4686,72,3,0,0
26,05,69,800,,2,*Nawab Katara,4162,4089,73,0,0,0
26,05,69,875,,2,*Sikkatuli Lane,6633,6601,32,0,0,0
26,05,69,885,,2,*Uttar Bangshal Road,6676,6620,56,0,0,0
26,05,70,,,,Ward No-70 Total,50624,50149,462,10,1,2
26,05,70,228,,2,*Haji Osman Gani Road(Alu Baza),8969,8889,77,2,0,1
26,05,70,285,,2,*Kazi A.Hamid Lane,951,949,1,1,0,0
26,05,70,295,,2,*Kazi Alauddin Road (Part+Part,6968,6861,107,0,0,0
26,05,70,315,,2,*Lutfur Rahman Lane,9514,9448,65,0,0,1
26,05,70,755,,2,*Nawabpur Road,1477,1442,34,0,1,0
26,05,70,781,,2,*Nazira Bazar,5768,5727,41,0,0,0
26,05,70,810,,2,*Puratan Station Road,90,90,0,0,0,0
26,05,70,823,,2,*Siddique Bazar,14786,14658,121,7,0,0
26,05,70,838,,2,*Takerhat,2101,2085,16,0,0,0
26,05,71,,,,Ward No-71(Part) Total,23887,23381,503,3,0,0
26,05,71,045,,2,*Bangshal Road,2402,2371,31,0,0,0
26,05,71,095,,2,*Bhitar Bari Lane,339,339,0,0,0,0
26,05,71,133,,2,*English Road,461,316,143,2,0,0
26,05,71,255,,2,*France Road,919,906,13,0,0,0
26,05,71,461,,2,*Gulak Pal Lane,1772,1761,11,0,0,0
26,05,71,533,,2,*Haji Abdullah Sarkar Lane,4903,4880,23,0,0,0
26,05,71,573,,2,*Haji Mainuddin Road,389,376,12,1,0,0
26,05,71,675,,2,*Malitola Road,7970,7826,144,0,0,0
26,05,71,680,,2,*Naya Bazar,586,582,4,0,0,0
26,05,71,685,,2,*Nawab Yousuf Road,1017,1003,14,0,0,0
26,05,71,695,,2,*Nawabpur Road,536,521,15,0,0,0
26,05,71,746,,2,*Puratan Mogultoli,2593,2500,93,0,0,0
26,06,,,,,Biman Bandar Thana Total,10626,10067,488,30,25,16
26,06,,,,2,Biman Bandar Thana,5112,4938,114,23,21,16
26,06,,,,3,Biman Bandar Thana,5514,5129,374,7,4,0
26,06,01,,,,Ward No-01(Part) Total,3391,3255,76,23,21,16
26,06,01,401,,2,*Sector No-1,3391,3255,76,23,21,16
26,06,38,,,,Dakshinkhan(Part) Union Total,5514,5129,374,7,4,0
26,06,38,348,,3,*Dakshinkhan(Part),5514,5129,374,7,4,0
26,06,38,348,01,3,Kawlar(Part)C.Aviation Stf Qtr,4420,4051,358,7,4,0
26,06,38,348,02,3,Askona(Part)Haji Cmp Ansr.Bark,1094,1078,16,0,0,0
26,06,98,,,,Ward No-98(Rest. Area Part) Total,1721,1683,38,0,0,0
26,06,98,972,,2,*Zia International Airport,1721,1683,38,0,0,0
26,08,,,,,Cantonment Thana Total,131864,129230,1844,515,219,56
26,08,,,,2,Cantonment Thana,131864,129230,1844,515,219,56
26,08,15,,,,Ward No-15 (Part) Total,70615,69122,941,404,116,32
26,08,15,125,,2,*Baridhara D.O.H.S,10156,9400,351,327,56,22
26,08,15,270,,2,*Dewan Para,4786,4740,41,5,0,0
26,08,15,706,,2,*Matikata,13689,13599,78,2,10,0
26,08,15,710,,2,*Manikdi,34203,33826,331,12,28,6
26,08,15,722,,2,*Mohakhali D.O.H.S,7781,7557,140,58,22,4
26,08,98,,,,Ward No-98 (Rest. Area) Total,61249,60108,903,111,103,24
26,08,98,996,,2,*Cantt. Board Authority,22218,21844,275,52,43,4
26,08,98,998,,2,*Navy (Dhaka Cantt.),39031,38264,628,59,60,20
26,09,,,,,Chak Bazar Thana Total,156147,152888,3116,96,45,2
26,09,,,,2,Chak Bazar Thana,156147,152888,3116,96,45,2
26,09,63,,,,Ward No-63 (Part) Total,25723,24622,1061,17,21,2
26,09,63,102,,2,*Amlapara(Buet Teach.Staff Qu.),1915,1834,70,4,7,0
26,09,63,120,,2,*Bakshi Bazar Lane,1410,1351,59,0,0,0
26,09,63,188,,2,*Bakshi Bazar Road,1224,1157,60,1,6,0
26,09,63,325,,2,*Girda Urdu Road,812,782,29,0,1,0
26,09,63,331,,2,*Hossaini Dalan Road,6406,6250,148,3,5,0
26,09,63,350,,2,*Joynag Road,2523,2375,146,2,0,0
26,09,63,435,,2,*Kamaldaha Road,734,710,22,0,0,2
26,09,63,858,,2,*Nurfatah Lane,1527,1451,76,0,0,0
26,09,63,862,,2,*Nawab Garden,851,840,11,0,0,0
26,09,63,875,,2,*Orphanage Road,1993,1866,120,6,1,0
26,09,63,885,,2,*Paschim Nazimuddin Road,2765,2684,79,1,1,0
26,09,63,910,,2,*Tatkhan Lane,1610,1554,56,0,0,0
26,09,63,940,,2,*Umesh Datta Road,1953,1768,185,0,0,0
26,09,64,,,,Ward No-64 Total,24656,23801,849,3,3,0
