0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
26,,,,,,Dhaka Zila Total,2639630,45.6,36.6,15.9,1.9,51.9,41.6,6.1,0.4
26,,,,,1,Dhaka Zila,635773,18.6,44.4,35.9,1.0,38.6,51.7,9.0,0.8
26,,,,,2,Dhaka Zila,1569197,59.1,30.1,8.4,2.5,59.2,35.6,5.0,0.3
26,,,,,3,Dhaka Zila,434660,36.5,48.4,13.7,1.4,45.2,48.5,6.1,0.2
26,02,,,,,Adabor Thana Total,47642,53.5,32.3,13.0,1.3,48.3,44.9,6.7,0.2
26,02,,,,2,Adabor Thana,47642,53.5,32.3,13.0,1.3,48.3,44.9,6.7,0.2
26,02,43,,,,Ward No-43 Total,43895,50.6,34.4,13.7,1.3,44.8,47.8,7.2,0.2
26,02,43,215,,2,*Adarsha Chaya Nir,79,97.5,2.5,0.0,0.0,98.7,1.3,0.0,0.0
26,02,43,217,,2,*Akkas Nagar,286,3.8,95.5,0.3,0.3,0.0,97.2,2.8,0.0
26,02,43,265,,2,*Baitul Aman(Part-1),5408,62.6,23.4,13.0,1.1,67.0,29.0,3.8,0.1
26,02,43,266,,2,*Baitul Aman(Part-2),944,33.2,65.9,0.1,0.8,19.7,77.3,3.0,0.0
26,02,43,283,,2,*Chanrima Housing,37,67.6,29.7,2.7,0.0,45.9,51.4,2.7,0.0
26,02,43,285,,2,*Chowdhury Gali Lane,471,95.1,4.9,0.0,0.0,64.8,34.8,0.2,0.2
26,02,43,293,,2,*Comfort Housing Society,2054,15.1,55.6,28.3,1.0,3.6,83.3,13.1,0.0
26,02,43,295,,2,*Dhaka Housing Society,644,74.2,19.4,6.2,0.2,42.5,55.6,1.9,0.0
26,02,43,298,,2,*Dhaka Uddhyan,3427,42.3,45.1,11.1,1.6,61.8,32.7,5.4,0.1
26,02,43,314,,2,*Ekota Housing Society,107,1.9,92.5,3.7,1.9,1.9,90.7,7.5,0.0
26,02,43,326,,2,*Golden Street Housing Society,642,73.7,18.7,7.5,0.2,35.7,61.1,3.1,0.2
26,02,43,338,,2,*Holly Lane Housing Society,235,91.5,8.5,0.0,0.0,78.7,20.4,0.9,0.0
26,02,43,347,,2,*Hosnabad State,147,59.2,40.8,0.0,0.0,52.4,46.3,1.4,0.0
26,02,43,353,,2,*Hossain Housing Society,97,83.5,16.5,0.0,0.0,82.5,17.5,0.0,0.0
26,02,43,412,,2,*Janata Housing Society,238,93.7,4.6,0.4,1.3,69.7,28.6,1.7,0.0
26,02,43,436,,2,*Mehedi Bag,1188,54.2,30.1,15.7,0.0,0.6,89.3,10.1,0.0
26,02,43,446,,2,*Mofiz Housing And Balumat,501,9.8,59.7,30.5,0.0,30.9,63.5,5.4,0.2
26,02,43,477,,2,*Mohan Pur,521,68.7,27.1,2.7,1.5,25.5,68.5,6.0,0.0
26,02,43,485,,2,*Monsurabad Housing Society,1691,82.7,9.4,6.0,1.9,56.5,37.9,5.6,0.0
26,02,43,511,,2,*Nabinagar Housing,1861,21.5,47.8,29.2,1.6,18.6,57.1,23.5,0.8
26,02,43,513,,2,*Naboudhoy Housing Society,4560,37.0,36.2,22.7,4.1,53.0,26.8,19.9,0.2
26,02,43,614,,2,*Pisiculture Housing Society,5439,82.3,14.9,1.7,1.1,85.3,13.1,1.5,0.0
26,02,43,626,,2,*Probal Housing Society,185,99.5,0.5,0.0,0.0,100.0,0.0,0.0,0.0
26,02,43,638,,2,*Prominent Housing Society,217,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
26,02,43,645,,2,*Provati Housing,326,0.9,11.0,86.5,1.5,0.0,93.6,6.1,0.3
26,02,43,646,,2,*Balu Mat Malik Samitee,383,8.6,34.5,51.4,5.5,2.3,77.8,18.8,1.0
26,02,43,647,,2,*Rafique Housing Society,1499,57.6,26.2,16.3,0.0,57.2,42.7,0.1,0.0
26,02,43,713,,2,*Shyamoly Housing Society,3033,39.2,38.9,20.8,1.1,47.4,40.6,12.0,0.0
26,02,43,741,,2,*Sunibir Housing Society,2873,27.4,53.7,18.1,0.8,1.7,91.1,7.2,0.0
26,02,43,811,,2,*Turag Housing,657,19.2,64.8,11.4,4.6,40.2,47.8,6.5,5.5
26,02,43,898,,2,*Unique Housing Society,148,97.3,2.7,0.0,0.0,65.5,34.5,0.0,0.0
26,02,43,950,,2,*Uttar Adabor,3997,52.4,43.2,4.4,0.0,12.3,87.4,0.3,0.0
26,02,46,,,,Ward No-46 (Part) Total,3747,86.5,7.6,5.0,0.8,88.5,11.0,0.5,0.0
26,02,46,464,,2,*Japan Garden City,1266,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
26,02,46,564,,2,*Mohammadi H.Society,2481,79.7,11.5,7.6,1.2,82.6,16.6,0.8,0.0
