0,1,2,3,4,5,6,7,8,9,10,11,12
27,,,,,,Dinajpur Zila Total,851104,715773,2990128,2987624,2504,868
27,,,,,1,Dinajpur Zila,,610459,2536429,2535803,626,
27,,,,,2,Dinajpur Zila,,91112,393920,392136,1784,
27,,,,,3,Dinajpur Zila,,14202,59779,59685,94,
27,10,,,,,Birampur Upazila Total,52605,42140,170806,170711,95,802
27,10,,,,1,Birampur Upazila,,30777,123267,123257,10,
27,10,,,,2,Birampur Upazila,,10802,45334,45249,85,
27,10,,,,3,Birampur Upazila,,561,2205,2205,0,
27,10,,,,2,Birampur Paurashava,,10802,45334,45249,85,
27,10,01,,,,Ward No-01 Total,,825,3571,3571,0,
27,10,01,267,,2,*Charkai(Dakshin),,438,1919,1919,0,
27,10,01,354,,2,*Debipur,,387,1652,1652,0,
27,10,02,,,,Ward No-02 Total,,1212,5051,5051,0,
27,10,02,052,,2,*Bamnahar,,58,254,254,0,
27,10,02,226,,2,*Chak Para,,747,3184,3184,0,
27,10,02,482,,2,*Jolagari,,90,363,363,0,
27,10,02,698,,2,*Manushmora,,38,179,179,0,
27,10,02,948,,2,*Tayebpur,,279,1071,1071,0,
27,10,03,,,,Ward No-03 Total,,1773,7443,7406,37,
27,10,03,762,,2,*Pali Prayagpur(East),,329,1431,1431,0,
27,10,03,832,,2,*Purba Jagannathpur(Uttar),,1444,6012,5975,37,
27,10,04,,,,Ward No-04 Total,,1590,6686,6641,45,
27,10,04,151,,2,*Birampur(Uattar),,910,3954,3909,45,
27,10,04,832,,2,*Purba Jagannathpur(Dakshin),,680,2732,2732,0,
27,10,05,,,,Ward No-05 Total,,876,4037,4037,0,
27,10,05,151,,2,*Birampur(Dakshin),,726,3431,3431,0,
27,10,05,471,,2,*Hossainpur,,150,606,606,0,
27,10,06,,,,Ward No-06 Total,,1274,5028,5028,0,
27,10,06,314,,2,*Dakshin Lakshmipur,,137,565,565,0,
27,10,06,669,,2,*Mahmudpur,,523,2056,2056,0,
27,10,06,814,,2,*Prostampur,,273,1071,1071,0,
27,10,06,849,,2,*Rampura,,115,442,442,0,
27,10,06,896,,2,*Sarangpur,,226,894,894,0,
27,10,07,,,,Ward No-07 Total,,1415,6196,6193,3,
27,10,07,244,,2,*Chandpur,,628,2751,2751,0,
27,10,07,407,,2,*Dosra Palashbari,,120,496,496,0,
27,10,07,925,,2,*Shimultali,,667,2949,2946,3,
27,10,08,,,,Ward No-08 Total,,982,4051,4051,0,
27,10,08,087,,2,*Begumpur,,193,803,803,0,
27,10,08,250,,2,*Changair,,120,442,442,0,
27,10,08,709,,2,*Mirzapur,,669,2806,2806,0,
27,10,09,,,,Ward No-09 Total,,855,3271,3271,0,
27,10,09,122,,2,*Bhabanipur,,410,1615,1615,0,
