0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
27,,,,,,Dinajpur Zila Total,2990128,9.9,11.7,10.8,8.5,8.7,9.5,26.1,7.0,2.7,4.9
27,,,,,1,Dinajpur Zila,2536429,10.2,12.0,10.8,8.2,8.5,9.5,26.0,7.0,2.8,5.1
27,,,,,2,Dinajpur Zila,393920,8.4,9.9,10.9,10.3,10.3,9.7,27.1,6.8,2.4,4.0
27,,,,,3,Dinajpur Zila,59779,9.7,11.3,11.9,9.2,8.5,9.4,26.3,6.6,2.6,4.5
27,10,,,,,Birampur Upazila Total,170806,8.8,11.3,10.7,8.4,8.5,9.5,27.0,7.4,3.0,5.3
27,10,,,,1,Birampur Upazila,123267,8.8,11.5,10.7,8.0,8.5,9.5,26.8,7.6,3.1,5.6
27,10,,,,2,Birampur Upazila,45334,8.8,10.7,10.7,9.5,8.7,9.7,27.7,6.9,2.7,4.5
27,10,,,,3,Birampur Upazila,2205,9.7,10.9,9.7,7.7,9.6,9.8,25.9,7.9,2.8,6.0
27,10,,,,2,Birampur Paurashava,45334,8.8,10.7,10.7,9.5,8.7,9.7,27.7,6.9,2.7,4.5
27,10,01,,,,Ward No-01 Total,3571,10.0,10.3,11.1,8.3,8.5,9.8,26.9,6.9,3.0,5.3
27,10,01,267,,2,*Charkai(Dakshin),1919,9.7,10.8,10.7,8.7,9.2,10.2,25.4,6.7,3.1,5.6
27,10,01,354,,2,*Debipur,1652,10.2,9.7,11.6,7.8,7.7,9.4,28.5,7.1,2.9,5.1
27,10,02,,,,Ward No-02 Total,5051,9.3,11.2,10.8,9.4,8.4,9.2,27.7,6.3,2.8,5.0
27,10,02,052,,2,*Bamnahar,254,9.1,11.4,8.3,7.5,10.6,11.8,23.2,6.7,1.6,9.8
27,10,02,226,,2,*Chak Para,3184,8.9,11.2,11.7,10.1,7.9,9.3,28.6,5.9,2.8,3.6
27,10,02,482,,2,*Jolagari,363,10.5,9.6,8.5,10.2,9.9,11.8,23.7,6.6,5.0,4.1
27,10,02,698,,2,*Manushmora,179,5.6,8.9,12.3,11.7,10.1,6.7,26.3,8.4,3.9,6.1
27,10,02,948,,2,*Tayebpur,1071,11.1,11.9,9.1,7.3,8.2,7.9,27.5,6.8,2.3,7.8
27,10,03,,,,Ward No-03 Total,7443,8.6,10.5,11.1,9.2,8.3,8.8,29.6,7.0,2.8,4.2
27,10,03,762,,2,*Pali Prayagpur(East),1431,7.5,9.2,10.8,8.9,8.6,9.2,31.7,7.8,2.6,3.5
27,10,03,832,,2,*Purba Jagannathpur(Uttar),6012,8.8,10.9,11.1,9.2,8.2,8.7,29.1,6.8,2.9,4.3
27,10,04,,,,Ward No-04 Total,6686,8.8,10.0,10.6,9.3,8.7,11.0,28.0,7.0,2.7,3.9
27,10,04,151,,2,*Birampur(Uattar),3954,7.8,9.5,11.3,9.7,8.9,10.8,27.9,7.3,3.2,3.6
27,10,04,832,,2,*Purba Jagannathpur(Dakshin),2732,10.1,10.7,9.6,8.8,8.5,11.2,28.1,6.6,2.1,4.2
27,10,05,,,,Ward No-05 Total,4037,8.4,10.2,10.0,11.2,9.5,9.5,28.0,6.3,2.7,4.3
27,10,05,151,,2,*Birampur(Dakshin),3431,8.3,10.1,9.8,11.7,9.8,9.4,27.8,6.1,2.6,4.5
27,10,05,471,,2,*Hossainpur,606,8.6,11.2,11.1,7.9,7.8,10.2,29.0,7.9,3.3,3.0
27,10,06,,,,Ward No-06 Total,5028,9.1,11.3,10.1,8.1,8.6,10.3,27.5,7.4,2.8,4.6
27,10,06,314,,2,*Dakshin Lakshmipur,565,7.8,11.5,11.5,10.1,8.8,7.8,28.7,6.7,2.5,4.6
27,10,06,669,,2,*Mahmudpur,2056,8.4,11.2,11.3,8.9,8.5,10.3,28.0,7.6,2.5,3.3
27,10,06,814,,2,*Prostampur,1071,9.9,11.1,7.4,7.8,9.5,11.2,28.0,6.1,3.4,5.6
27,10,06,849,,2,*Rampura,442,10.4,11.3,12.2,8.4,8.8,10.9,24.4,6.6,2.0,5.0
27,10,06,896,,2,*Sarangpur,894,10.0,11.9,8.8,5.4,7.5,10.5,26.8,9.2,3.6,6.4
27,10,07,,,,Ward No-07 Total,6196,7.5,11.2,11.2,11.3,8.1,9.6,28.0,7.3,2.1,3.7
27,10,07,244,,2,*Chandpur,2751,7.2,10.2,10.6,12.8,7.0,9.6,29.9,6.6,2.1,4.0
27,10,07,407,,2,*Dosra Palashbari,496,8.5,12.7,10.5,6.7,8.1,8.7,27.8,8.3,4.0,4.8
27,10,07,925,,2,*Shimultali,2949,7.7,11.9,11.8,10.8,9.1,9.8,26.2,7.7,1.8,3.2
27,10,08,,,,Ward No-08 Total,4051,9.5,11.5,10.7,9.2,9.5,9.3,26.3,6.3,2.9,4.7
27,10,08,087,,2,*Begumpur,803,11.6,12.7,10.8,7.0,9.0,8.6,27.1,5.0,2.1,6.1
27,10,08,250,,2,*Changair,442,9.3,11.5,10.4,9.0,11.5,8.4,25.3,7.7,2.9,3.8
27,10,08,709,,2,*Mirzapur,2806,8.9,11.1,10.7,9.8,9.4,9.7,26.3,6.5,3.1,4.5
27,10,09,,,,Ward No-09 Total,3271,9.4,10.6,10.2,9.6,9.4,9.0,25.3,6.9,2.9,6.5
27,10,09,122,,2,*Bhabanipur,1615,9.9,10.8,10.2,9.8,9.3,9.0,23.5,7.5,3.3,6.7
27,10,09,692,,2,*Manirampur,1656,8.9,10.5,10.3,9.4,9.5,9.0,27.1,6.3,2.5,6.4
27,10,11,,,,Benail Union Total,19087,8.3,11.0,9.4,7.8,8.5,10.0,27.6,8.5,3.1,5.8
27,10,11,017,,1,*Achintyapur,934,8.5,9.3,9.2,8.2,9.5,10.5,28.1,8.5,1.8,6.4
27,10,11,029,,1,*Ayra,1142,7.9,9.8,10.5,8.1,6.6,10.8,28.3,8.3,3.5,6.2
27,10,11,034,,1,*Bagra,338,8.0,12.4,8.3,5.6,9.8,7.4,32.2,7.7,2.7,5.9
27,10,11,040,,1,*Bakunda,659,10.0,14.6,9.0,6.1,9.4,13.7,23.8,7.1,2.1,4.2
27,10,11,139,,1,*Benail,1501,8.1,11.9,9.5,7.3,6.5,9.7,26.6,8.9,4.5,7.1
27,10,11,145,,1,*Binodpur,10,0.0,0.0,30.0,10.0,0.0,10.0,30.0,10.0,10.0,0.0
27,10,11,203,,1,*Chak Madhab,119,13.4,13.4,1.7,5.9,10.1,13.4,26.1,6.7,5.0,4.2
27,10,11,256,,1,*Chapra,911,7.7,11.1,11.2,10.2,8.2,6.9,31.0,6.3,2.2,5.3
27,10,11,285,,1,*Chautha,896,8.3,9.4,9.2,8.3,7.7,11.4,29.7,9.0,3.2,3.9
27,10,11,372,,1,*Desma,832,7.6,13.1,9.9,7.3,8.7,8.7,32.2,6.4,1.3,4.9
27,10,11,430,,1,*Gangadaspur,396,9.3,10.4,11.6,8.8,7.1,7.6,28.0,6.8,4.3,6.1
27,10,11,436,,1,*Gopalpur,484,8.5,12.0,7.9,9.1,8.7,8.7,30.6,5.4,3.3,6.0
27,10,11,448,,1,*Hamlakuri,429,8.6,9.3,9.6,8.4,10.5,11.2,22.8,11.0,2.3,6.3
27,10,11,465,,1,*Herma,418,8.1,12.7,7.2,6.9,7.7,12.4,26.8,7.4,1.0,9.8
27,10,11,523,,1,*Kalyanpur,1379,7.3,11.2,8.3,7.4,9.3,8.8,27.0,10.6,4.0,6.2
27,10,11,541,,1,*Karampur,279,5.0,12.5,7.5,8.6,10.4,10.0,27.2,10.4,1.8,6.5
27,10,11,546,,1,*Karanji,563,7.6,10.7,11.0,8.3,10.3,9.9,26.1,5.9,2.8,7.3
27,10,11,587,,1,*Khiar Durgapur,73,6.8,9.6,8.2,4.1,13.7,12.3,24.7,12.3,4.1,4.1
27,10,11,599,,1,*Khiar Ramkrishnapur,814,8.5,9.1,9.6,7.9,8.7,10.7,25.2,9.6,4.7,6.1
27,10,11,605,,1,*Khiar Tegharia,752,8.6,10.4,9.0,7.0,7.0,10.1,29.4,10.9,2.5,4.9
27,10,11,622,,1,*Krishnabati,597,9.9,11.4,10.2,5.0,7.7,11.9,28.0,8.9,3.4,3.7
27,10,11,628,,1,*Kundan,690,7.2,10.9,10.0,8.3,8.8,9.3,25.8,9.7,3.9,6.1
27,10,11,657,,1,*Mahugram,397,8.3,8.1,10.3,8.8,10.3,11.8,26.7,8.8,2.5,4.3
27,10,11,674,,1,*Mandira,1020,7.7,13.1,9.8,8.2,6.5,7.4,25.8,9.0,4.2,8.2
27,10,11,721,,1,*Mohanpur,589,8.7,9.0,7.0,8.0,9.2,10.2,30.6,9.5,2.7,5.3
27,10,11,733,,1,*Narsinhabati,290,9.0,9.3,7.9,11.7,11.4,10.0,26.2,8.6,1.4,4.5
27,10,11,826,,1,*Puinanda,783,8.3,10.1,10.6,9.2,9.5,8.4,28.1,7.3,2.6,6.0
27,10,11,867,,1,*Raninagar,1117,9.0,10.7,8.6,7.1,10.8,12.4,24.9,7.9,3.5,5.2
27,10,11,971,,1,*Titashwar,675,9.0,11.7,9.2,6.5,8.1,10.7,28.6,8.3,3.6,4.3
27,10,23,,,,Mukundapur Union Total,14238,8.4,10.7,10.2,8.9,9.3,9.7,26.8,7.1,3.1,5.9
27,10,23,116,,1,*Berakhai,63,9.5,4.8,7.9,4.8,14.3,12.7,23.8,14.3,4.8,3.2
27,10,23,128,,1,*Bhelarpar,1488,8.4,10.0,9.9,9.3,8.8,8.4,28.3,6.3,3.5,7.1
27,10,23,162,,1,*Bishwanathpur,567,9.2,11.6,9.7,6.7,9.2,9.5,28.7,7.8,3.0,4.6
27,10,23,174,,1,*Buzruk Gangapur,1156,7.2,11.5,10.1,8.5,11.7,9.8,28.0,7.3,2.2,3.7
27,10,23,192,,1,*Chak Durga,891,8.2,9.9,9.1,7.9,14.4,9.8,25.9,7.0,3.4,4.6
27,10,23,320,,1,*Dakshin Mukundapur,1920,9.5,12.0,11.8,8.1,8.3,9.0,26.0,6.8,2.6,5.8
27,10,23,453,,1,*Harekrishnapur,1951,8.0,10.4,11.3,9.4,9.1,9.9,26.9,6.6,2.7,5.8
27,10,23,570,,1,*Keshabpur,1159,9.5,11.0,10.1,11.6,7.9,9.2,25.3,6.8,2.8,5.8
27,10,23,663,,1,*Mallikpur,468,8.8,9.4,11.5,10.5,8.8,9.6,26.5,6.6,1.5,6.8
27,10,23,756,,1,*Pali Gangapur,135,8.1,12.6,13.3,5.9,6.7,6.7,27.4,6.7,5.9,6.7
