0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
27,,,,,,Dinajpur Zila Total,1177600,35.1,64.0,0.8,0.2,1164813,21.7,67.7,9.7,0.9
27,,,,,1,Dinajpur Zila,989048,33.9,65.1,0.8,0.2,984451,20.7,68.5,9.8,0.9
27,,,,,2,Dinajpur Zila,164604,41.4,57.7,0.7,0.2,157054,27.2,62.7,9.0,1.1
27,,,,,3,Dinajpur Zila,23948,37.6,61.5,0.7,0.2,23308,24.1,66.2,8.7,1.0
27,10,,,,,Birampur Upazila Total,68772,33.8,65.1,0.8,0.2,67705,19.9,69.3,9.7,1.1
27,10,,,,1,Birampur Upazila,49358,32.9,66.0,0.9,0.2,48913,19.0,70.1,9.8,1.1
27,10,,,,2,Birampur Upazila,18528,36.3,62.7,0.8,0.2,17926,22.2,67.0,9.6,1.3
27,10,,,,3,Birampur Upazila,886,31.6,67.3,0.9,0.2,866,18.2,73.0,7.5,1.3
27,10,,,,2,Birampur Paurashava,18528,36.3,62.7,0.8,0.2,17926,22.2,67.0,9.6,1.3
27,10,01,,,,Ward No-01 Total,1425,34.5,64.8,0.7,0.0,1423,19.5,70.3,9.3,1.0
27,10,01,267,,2,*Charkai(Dakshin),748,32.6,66.8,0.5,0.0,777,19.9,70.9,7.7,1.4
27,10,01,354,,2,*Debipur,677,36.5,62.6,0.9,0.0,646,18.9,69.5,11.1,0.5
27,10,02,,,,Ward No-02 Total,2011,37.3,61.9,0.6,0.1,2004,20.9,67.4,10.5,1.2
27,10,02,052,,2,*Bamnahar,99,36.4,62.6,1.0,0.0,103,13.6,65.0,21.4,0.0
27,10,02,226,,2,*Chak Para,1282,38.4,60.8,0.6,0.2,1263,23.0,67.0,8.2,1.8
27,10,02,482,,2,*Jolagari,144,36.1,63.9,0.0,0.0,146,13.7,66.4,19.9,0.0
27,10,02,698,,2,*Manushmora,72,36.1,62.5,1.4,0.0,81,29.6,56.8,13.6,0.0
27,10,02,948,,2,*Tayebpur,414,35.0,64.3,0.7,0.0,411,17.0,71.8,10.9,0.2
27,10,03,,,,Ward No-03 Total,2988,33.9,64.9,0.9,0.3,3030,25.2,63.6,9.9,1.3
27,10,03,762,,2,*Pali Prayagpur(East),662,30.2,68.9,0.8,0.2,529,26.7,60.9,10.6,1.9
27,10,03,832,,2,*Purba Jagannathpur(Uttar),2326,35.0,63.8,0.9,0.3,2501,25.0,64.1,9.7,1.2
27,10,04,,,,Ward No-04 Total,2782,37.7,61.2,0.9,0.3,2651,22.9,66.2,9.4,1.5
27,10,04,151,,2,*Birampur(Uattar),1699,38.5,60.5,0.7,0.3,1571,23.4,66.3,9.3,1.0
27,10,04,832,,2,*Purba Jagannathpur(Dakshin),1083,36.4,62.3,1.1,0.2,1080,22.1,66.0,9.5,2.3
27,10,05,,,,Ward No-05 Total,1702,41.0,57.3,1.4,0.3,1584,23.3,65.5,10.2,1.1
27,10,05,151,,2,*Birampur(Dakshin),1461,42.1,56.3,1.2,0.3,1339,23.4,65.5,10.2,1.0
27,10,05,471,,2,*Hossainpur,241,34.4,63.5,2.1,0.0,245,22.9,65.3,10.2,1.6
27,10,06,,,,Ward No-06 Total,2039,32.9,66.4,0.4,0.3,1962,18.1,70.7,9.8,1.4
27,10,06,314,,2,*Dakshin Lakshmipur,224,34.4,64.7,0.4,0.4,232,23.7,66.8,9.5,0.0
27,10,06,669,,2,*Mahmudpur,850,34.7,64.4,0.6,0.4,804,18.0,69.5,10.4,2.0
27,10,06,814,,2,*Prostampur,437,29.1,70.3,0.2,0.5,409,13.7,75.1,9.5,1.7
27,10,06,849,,2,*Rampura,168,33.3,65.5,0.6,0.6,178,24.2,66.9,6.2,2.8
27,10,06,896,,2,*Sarangpur,360,31.9,67.8,0.3,0.0,339,16.5,72.9,10.6,0.0
27,10,07,,,,Ward No-07 Total,2531,39.4,60.1,0.4,0.1,2504,26.5,64.5,8.0,1.0
27,10,07,244,,2,*Chandpur,1186,41.6,58.2,0.3,0.0,1088,27.7,64.0,8.0,0.4
27,10,07,407,,2,*Dosra Palashbari,194,31.4,67.5,1.0,0.0,197,18.3,72.1,7.6,2.0
27,10,07,925,,2,*Shimultali,1151,38.6,60.7,0.4,0.3,1219,26.7,63.7,8.1,1.5
27,10,08,,,,Ward No-08 Total,1722,34.3,64.3,1.0,0.3,1480,19.7,68.3,10.9,1.0
27,10,08,087,,2,*Begumpur,306,32.0,67.3,0.3,0.3,302,17.9,65.9,15.6,0.7
27,10,08,250,,2,*Changair,174,32.2,66.1,1.7,0.0,176,19.9,63.6,14.2,2.3
27,10,08,709,,2,*Mirzapur,1242,35.2,63.4,1.0,0.4,1002,20.3,69.9,9.0,0.9
27,10,09,,,,Ward No-09 Total,1328,34.3,64.3,1.1,0.3,1288,18.0,71.6,8.6,1.8
27,10,09,122,,2,*Bhabanipur,658,34.7,64.0,1.1,0.3,623,16.4,74.6,7.9,1.1
27,10,09,692,,2,*Manirampur,670,34.0,64.6,1.0,0.3,665,19.5,68.7,9.3,2.4
27,10,11,,,,Benail Union Total,7735,30.8,68.2,0.9,0.1,7683,16.8,71.2,11.1,1.0
27,10,11,017,,1,*Achintyapur,407,28.5,70.3,1.2,0.0,361,16.6,71.7,10.8,0.8
27,10,11,029,,1,*Ayra,467,33.2,65.7,1.1,0.0,473,18.6,67.9,11.2,2.3
27,10,11,034,,1,*Bagra,135,28.9,69.6,1.5,0.0,134,16.4,70.9,11.2,1.5
